"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2013-04-01 00:00:00";"2013-04-01 03:00:00";85.74167;0.13411;85.6;86;6.47222;0.96684;5.5;8.5
"2013-04-01 03:00:00";"2013-04-01 06:00:00";85.725;0.09242;85.6;86;6.28333;0.60987;5.4;7.9
"2013-04-01 06:00:00";"2013-04-01 09:00:00";78.36389;9.16094;59.9;86.6;12.65278;4.24267;5.5;18.6
"2013-04-01 09:00:00";"2013-04-01 12:00:00";51.56944;3.90682;45.9;62.6;20.88333;1.15362;18;23.2
"2013-04-01 12:00:00";"2013-04-01 15:00:00";50.91786;2.82477;44.8;55.3;20.81429;1.01126;19.3;23.1
"2013-04-01 15:00:00";"2013-04-01 18:00:00";;;;;;;;
"2013-04-01 18:00:00";"2013-04-01 21:00:00";90.62424;3.54376;86.2;94.8;11.73939;0.91219;10;13.8
"2013-04-01 21:00:00";"2013-04-02 00:00:00";89.86977;3.61666;86.1;94.5;10.07907;0.9108;8.7;11.4
"2013-04-02 00:00:00";"2013-04-02 03:00:00";;;;;;;;
"2013-04-02 03:00:00";"2013-04-02 06:00:00";;;;;;;;
"2013-04-02 06:00:00";"2013-04-02 09:00:00";;;;;;;;
"2013-04-02 09:00:00";"2013-04-02 12:00:00";;;;;;;;
"2013-04-02 12:00:00";"2013-04-02 15:00:00";;;;;;;;
"2013-04-02 15:00:00";"2013-04-02 18:00:00";;;;;;;;
"2013-04-02 18:00:00";"2013-04-02 21:00:00";;;;;;;;
"2013-04-02 21:00:00";"2013-04-03 00:00:00";;;;;;;;
"2013-04-03 00:00:00";"2013-04-03 03:00:00";;;;;;;;
"2013-04-03 03:00:00";"2013-04-03 06:00:00";;;;;;;;
"2013-04-03 06:00:00";"2013-04-03 09:00:00";;;;;;;;
"2013-04-03 09:00:00";"2013-04-03 12:00:00";;;;;;;;
"2013-04-03 12:00:00";"2013-04-03 15:00:00";;;;;;;;
"2013-04-03 15:00:00";"2013-04-03 18:00:00";;;;;;;;
"2013-04-03 18:00:00";"2013-04-03 21:00:00";;;;;;;;
"2013-04-03 21:00:00";"2013-04-04 00:00:00";;;;;;;;
"2013-04-04 00:00:00";"2013-04-04 03:00:00";;;;;;;;
"2013-04-04 03:00:00";"2013-04-04 06:00:00";;;;;;;;
"2013-04-04 06:00:00";"2013-04-04 09:00:00";;;;;;;;
"2013-04-04 09:00:00";"2013-04-04 12:00:00";;;;;;;;
"2013-04-04 12:00:00";"2013-04-04 15:00:00";;;;;;;;
"2013-04-04 15:00:00";"2013-04-04 18:00:00";;;;;;;;
"2013-04-04 18:00:00";"2013-04-04 21:00:00";;;;;;;;
"2013-04-04 21:00:00";"2013-04-05 00:00:00";;;;;;;;
"2013-04-05 00:00:00";"2013-04-05 03:00:00";;;;;;;;
"2013-04-05 03:00:00";"2013-04-05 06:00:00";;;;;;;;
"2013-04-05 06:00:00";"2013-04-05 09:00:00";;;;;;;;
"2013-04-05 09:00:00";"2013-04-05 12:00:00";45.26327;2.03908;40.4;49.4;25.35918;3.50998;22.5;30.3
"2013-04-05 12:00:00";"2013-04-05 15:00:00";;;;;;;;
"2013-04-05 15:00:00";"2013-04-05 18:00:00";76.50952;8.42692;65.1;95;18.29365;1.85339;14.3;22.5
"2013-04-05 18:00:00";"2013-04-05 21:00:00";90.76176;3.46627;86.4;94.8;12.86471;0.66438;11.3;14.2
"2013-04-05 21:00:00";"2013-04-06 00:00:00";90.78955;3.46764;86.5;94.7;13.15522;0.44126;12.3;13.9
"2013-04-06 00:00:00";"2013-04-06 03:00:00";90.485;3.55276;86.2;94.7;11.611;0.7951;10;13.3
"2013-04-06 03:00:00";"2013-04-06 06:00:00";90.065;3.60361;86;94.5;10.40625;1.20024;8;12.5
"2013-04-06 06:00:00";"2013-04-06 09:00:00";77.09537;13.56418;58.7;94.6;15.25463;5.125;8.1;26.6
"2013-04-06 09:00:00";"2013-04-06 12:00:00";56.48393;11.67731;49.8;93.6;22.975;4.0619;20.6;31.1
"2013-04-06 12:00:00";"2013-04-06 15:00:00";;;;;;;;
"2013-04-06 15:00:00";"2013-04-06 18:00:00";80.45862;9.42886;70.5;95;17.69885;1.87767;14.5;22.1
"2013-04-06 18:00:00";"2013-04-06 21:00:00";90.97692;3.37038;86.5;94.7;13.09615;0.69031;12;13.8
"2013-04-06 21:00:00";"2013-04-07 00:00:00";90.10308;3.41927;86.4;94.8;12.63385;0.70934;10.9;14.2
"2013-04-07 00:00:00";"2013-04-07 03:00:00";89.49035;3.62782;86;94.6;10.10789;1.52483;7.8;12.8
"2013-04-07 03:00:00";"2013-04-07 06:00:00";87.77302;3.14321;85.8;94.1;7.4246;0.85195;6.3;9.2
"2013-04-07 06:00:00";"2013-04-07 09:00:00";85.91049;3.3938;80.3;94.8;14.22098;3.18444;6.5;18.6
"2013-04-07 09:00:00";"2013-04-07 12:00:00";;;;;;;;
"2013-04-07 12:00:00";"2013-04-07 15:00:00";52.91556;1.79505;51.1;58.1;23.91111;1.52231;22.7;27.1
"2013-04-07 15:00:00";"2013-04-07 18:00:00";;;;;;;;
"2013-04-07 18:00:00";"2013-04-07 21:00:00";;;;;;;;
"2013-04-07 21:00:00";"2013-04-08 00:00:00";;;;;;;;
"2013-04-08 00:00:00";"2013-04-08 03:00:00";;;;;;;;
"2013-04-08 03:00:00";"2013-04-08 06:00:00";;;;;;;;
"2013-04-08 06:00:00";"2013-04-08 09:00:00";;;;;;;;
"2013-04-08 09:00:00";"2013-04-08 12:00:00";;;;;;;;
"2013-04-08 12:00:00";"2013-04-08 15:00:00";;;;;;;;
"2013-04-08 15:00:00";"2013-04-08 18:00:00";;;;;;;;
"2013-04-08 18:00:00";"2013-04-08 21:00:00";;;;;;;;
"2013-04-08 21:00:00";"2013-04-09 00:00:00";;;;;;;;
"2013-04-09 00:00:00";"2013-04-09 03:00:00";;;;;;;;
"2013-04-09 03:00:00";"2013-04-09 06:00:00";;;;;;;;
"2013-04-09 06:00:00";"2013-04-09 09:00:00";;;;;;;;
"2013-04-09 09:00:00";"2013-04-09 12:00:00";;;;;;;;
"2013-04-09 12:00:00";"2013-04-09 15:00:00";;;;;;;;
"2013-04-09 15:00:00";"2013-04-09 18:00:00";80.99825;4.20073;75.2;91.3;17.57456;1.36804;16.1;21.1
"2013-04-09 18:00:00";"2013-04-09 21:00:00";90.4;3.60524;86.3;95;12.7963;0.91994;10.7;15.2
"2013-04-09 21:00:00";"2013-04-10 00:00:00";89.73509;3.56703;86.2;94.7;11.42281;0.86997;10;13.2
"2013-04-10 00:00:00";"2013-04-10 03:00:00";90.27949;3.5817;86.1;94.6;10.89359;0.89017;9.4;12.8
"2013-04-10 03:00:00";"2013-04-10 06:00:00";90.51765;3.63009;86.1;94.5;10.13725;0.63399;9;11.5
"2013-04-10 06:00:00";"2013-04-10 09:00:00";90.82424;3.64443;86.1;94.5;10.53333;1.06449;8.5;12
"2013-04-10 09:00:00";"2013-04-10 12:00:00";;;;;;;;
"2013-04-10 12:00:00";"2013-04-10 15:00:00";61.86735;7.29177;55.9;77.1;19.33469;0.30409;18.7;19.9
"2013-04-10 15:00:00";"2013-04-10 18:00:00";89.11667;3.34286;86.8;94.9;14.26667;0.39861;13.9;15
"2013-04-10 18:00:00";"2013-04-10 21:00:00";90.38131;3.42654;86.3;94.8;12.38785;0.85726;10.5;14.3
"2013-04-10 21:00:00";"2013-04-11 00:00:00";89.25946;3.54608;86;94.5;10.51351;1.45543;8.2;12.7
"2013-04-11 00:00:00";"2013-04-11 03:00:00";89.18028;3.57103;85.9;94.3;9.35211;0.91465;7.6;11.3
"2013-04-11 03:00:00";"2013-04-11 06:00:00";;;;;;;;
"2013-04-11 06:00:00";"2013-04-11 09:00:00";;;;;;;;
"2013-04-11 09:00:00";"2013-04-11 12:00:00";;;;;;;;
"2013-04-11 12:00:00";"2013-04-11 15:00:00";;;;;;;;
"2013-04-11 15:00:00";"2013-04-11 18:00:00";;;;;;;;
"2013-04-11 18:00:00";"2013-04-11 21:00:00";;;;;;;;
"2013-04-11 21:00:00";"2013-04-12 00:00:00";;;;;;;;
"2013-04-12 00:00:00";"2013-04-12 03:00:00";;;;;;;;
"2013-04-12 03:00:00";"2013-04-12 06:00:00";;;;;;;;
"2013-04-12 06:00:00";"2013-04-12 09:00:00";;;;;;;;
"2013-04-12 09:00:00";"2013-04-12 12:00:00";;;;;;;;
"2013-04-12 12:00:00";"2013-04-12 15:00:00";;;;;;;;
"2013-04-12 15:00:00";"2013-04-12 18:00:00";;;;;;;;
"2013-04-12 18:00:00";"2013-04-12 21:00:00";;;;;;;;
"2013-04-12 21:00:00";"2013-04-13 00:00:00";;;;;;;;
"2013-04-13 00:00:00";"2013-04-13 03:00:00";;;;;;;;
"2013-04-13 03:00:00";"2013-04-13 06:00:00";;;;;;;;
"2013-04-13 06:00:00";"2013-04-13 09:00:00";;;;;;;;
"2013-04-13 09:00:00";"2013-04-13 12:00:00";;;;;;;;
"2013-04-13 12:00:00";"2013-04-13 15:00:00";;;;;;;;
"2013-04-13 15:00:00";"2013-04-13 18:00:00";;;;;;;;
"2013-04-13 18:00:00";"2013-04-13 21:00:00";;;;;;;;
"2013-04-13 21:00:00";"2013-04-14 00:00:00";;;;;;;;
"2013-04-14 00:00:00";"2013-04-14 03:00:00";;;;;;;;
"2013-04-14 03:00:00";"2013-04-14 06:00:00";;;;;;;;
"2013-04-14 06:00:00";"2013-04-14 09:00:00";;;;;;;;
"2013-04-14 09:00:00";"2013-04-14 12:00:00";;;;;;;;
"2013-04-14 12:00:00";"2013-04-14 15:00:00";;;;;;;;
"2013-04-14 15:00:00";"2013-04-14 18:00:00";;;;;;;;
"2013-04-14 18:00:00";"2013-04-14 21:00:00";;;;;;;;
"2013-04-14 21:00:00";"2013-04-15 00:00:00";;;;;;;;
"2013-04-15 00:00:00";"2013-04-15 03:00:00";;;;;;;;
"2013-04-15 03:00:00";"2013-04-15 06:00:00";;;;;;;;
"2013-04-15 06:00:00";"2013-04-15 09:00:00";;;;;;;;
"2013-04-15 09:00:00";"2013-04-15 12:00:00";;;;;;;;
"2013-04-15 12:00:00";"2013-04-15 15:00:00";;;;;;;;
"2013-04-15 15:00:00";"2013-04-15 18:00:00";76.87647;8.6299;63.2;95;18.56891;1.64668;14.4;21.3
"2013-04-15 18:00:00";"2013-04-15 21:00:00";90.91875;3.61416;86.7;94.9;13.84375;0.46967;13;14.7
"2013-04-15 21:00:00";"2013-04-16 00:00:00";90.8913;3.45687;86.5;94.7;12.66304;0.38468;11.9;13.5
"2013-04-16 00:00:00";"2013-04-16 03:00:00";90.4807;3.53521;86.2;94.6;11.43158;0.70839;10.1;12.8
"2013-04-16 03:00:00";"2013-04-16 06:00:00";89.88551;3.55097;86.2;94.5;10.97391;0.47446;10;11.8
"2013-04-16 06:00:00";"2013-04-16 09:00:00";89.29296;3.78155;84.3;94.8;12.26479;1.13648;10.1;14
"2013-04-16 09:00:00";"2013-04-16 12:00:00";;;;;;;;
"2013-04-16 12:00:00";"2013-04-16 15:00:00";;;;;;;;
"2013-04-16 15:00:00";"2013-04-16 18:00:00";81.01206;8.84216;63.4;92.3;17.43719;2.30989;15.2;24.4
"2013-04-16 18:00:00";"2013-04-16 21:00:00";90.5369;3.36904;86.4;94.9;12.79167;0.64165;11.5;14.6
"2013-04-16 21:00:00";"2013-04-17 00:00:00";90.68506;3.41695;86.3;94.7;12.74023;0.67644;10.9;13.7
"2013-04-17 00:00:00";"2013-04-17 03:00:00";89.49143;3.6441;85.9;94.5;9.77905;1.15501;8;12.2
"2013-04-17 03:00:00";"2013-04-17 06:00:00";88.80379;3.53179;85.9;94.2;8.91288;0.62053;7.6;10.2
"2013-04-17 06:00:00";"2013-04-17 09:00:00";75.65281;13.651;60.2;94.4;15.58876;5.24626;8.4;24.4
"2013-04-17 09:00:00";"2013-04-17 12:00:00";55.31569;2.76089;52.7;62.6;20.73137;0.97508;20;22.9
"2013-04-17 12:00:00";"2013-04-17 15:00:00";39.72895;3.97836;32.5;48.8;26.23684;1.72374;24.1;32
"2013-04-17 15:00:00";"2013-04-17 18:00:00";85.04521;3.49089;81.4;95.1;16.71096;1.28985;14.6;19.6
"2013-04-17 18:00:00";"2013-04-17 21:00:00";85.64066;2.51467;82.8;94.9;13.55632;0.26476;12.5;15.2
"2013-04-17 21:00:00";"2013-04-18 00:00:00";91.05238;3.13894;86.5;94.6;12.84127;0.30479;12.4;13.4
"2013-04-18 00:00:00";"2013-04-18 03:00:00";91.23714;3.14761;86.5;94.6;12.22857;0.36455;11.6;13
"2013-04-18 03:00:00";"2013-04-18 06:00:00";91.175;3.3052;86.5;94.5;11.96875;0.40423;11.5;12.7
"2013-04-18 06:00:00";"2013-04-18 09:00:00";;;;;;;;
"2013-04-18 09:00:00";"2013-04-18 12:00:00";;;;;;;;
"2013-04-18 12:00:00";"2013-04-18 15:00:00";;;;;;;;
"2013-04-18 15:00:00";"2013-04-18 18:00:00";85.35963;4.70547;77.7;95.2;16.1882;1.03901;14.6;20.3
"2013-04-18 18:00:00";"2013-04-18 21:00:00";90.89688;3.62142;86.6;94.9;13.55313;0.59107;12.7;14.6
"2013-04-18 21:00:00";"2013-04-19 00:00:00";91.15;3.53458;86.4;94.6;12.31923;0.54067;11.4;13
"2013-04-19 00:00:00";"2013-04-19 03:00:00";91.45714;3.34685;86.3;94.6;12;0.72259;10.6;13.1
"2013-04-19 03:00:00";"2013-04-19 06:00:00";90.62195;3.41585;86.3;94.5;11.14146;0.61762;10.4;12.1
"2013-04-19 06:00:00";"2013-04-19 09:00:00";;;;;;;;
"2013-04-19 09:00:00";"2013-04-19 12:00:00";;;;;;;;
"2013-04-19 12:00:00";"2013-04-19 15:00:00";;;;;;;;
"2013-04-19 15:00:00";"2013-04-19 18:00:00";91.38152;3.24901;86.5;94.9;13.63152;0.91639;12.1;15.3
"2013-04-19 18:00:00";"2013-04-19 21:00:00";90.96957;3.40712;86.5;94.8;12.77681;0.56879;11.9;14
"2013-04-19 21:00:00";"2013-04-20 00:00:00";90.5913;3.70299;86.5;94.7;12.36522;0.51297;11.8;13.1
"2013-04-20 00:00:00";"2013-04-20 03:00:00";91.07941;3.38967;86.3;94.7;11.59706;0.58936;10.7;12.8
"2013-04-20 03:00:00";"2013-04-20 06:00:00";90.69048;3.5705;86.3;94.5;11.09048;0.48196;10.5;11.7
"2013-04-20 06:00:00";"2013-04-20 09:00:00";90.79388;3.49463;86.3;94.7;12.15102;1.03137;10.7;14.3
"2013-04-20 09:00:00";"2013-04-20 12:00:00";;;;;;;;
"2013-04-20 12:00:00";"2013-04-20 15:00:00";;;;;;;;
"2013-04-20 15:00:00";"2013-04-20 18:00:00";;;;;;;;
"2013-04-20 18:00:00";"2013-04-20 21:00:00";;;;;;;;
"2013-04-20 21:00:00";"2013-04-21 00:00:00";;;;;;;;
"2013-04-21 00:00:00";"2013-04-21 03:00:00";;;;;;;;
"2013-04-21 03:00:00";"2013-04-21 06:00:00";;;;;;;;
"2013-04-21 06:00:00";"2013-04-21 09:00:00";;;;;;;;
"2013-04-21 09:00:00";"2013-04-21 12:00:00";;;;;;;;
"2013-04-21 12:00:00";"2013-04-21 15:00:00";;;;;;;;
"2013-04-21 15:00:00";"2013-04-21 18:00:00";;;;;;;;
