"inicio";"fin";"humidity (fantasy 003)";"std";"min";"max";"temp_dry (fantasy 003)";"std";"min";"max";"temp_wet (fantasy 003)";"std";"min";"max"
"2013-06-01 00:00:00";"2013-06-01 09:48:00";;;;;;;;;;;;
"2013-06-01 09:48:00";"2013-06-01 19:36:00";;;;;;;;;;;;
"2013-06-01 19:36:00";"2013-06-02 05:24:00";;;;;;;;;;;;
"2013-06-02 05:24:00";"2013-06-02 15:12:00";;;;;;;;;;;;
"2013-06-02 15:12:00";"2013-06-03 01:00:00";;;;;;;;;;;;
"2013-06-03 01:00:00";"2013-06-03 10:48:00";;;;;;;;;;;;
"2013-06-03 10:48:00";"2013-06-03 20:36:00";;;;;;;;;;;;
"2013-06-03 20:36:00";"2013-06-04 06:24:00";;;;;;;;;;;;
"2013-06-04 06:24:00";"2013-06-04 16:12:00";;;;;;;;;;;;
"2013-06-04 16:12:00";"2013-06-05 02:00:00";;;;;;;;;;;;
"2013-06-05 02:00:00";"2013-06-05 11:48:00";;;;;;;;;;;;
"2013-06-05 11:48:00";"2013-06-05 21:36:00";;;;;;;;;;;;
"2013-06-05 21:36:00";"2013-06-06 07:24:00";;;;;;;;;;;;
"2013-06-06 07:24:00";"2013-06-06 17:12:00";77.1629;3.81123;70;83;16.18462;1.45734;13.5;18.6;13.54706;1.08363;11.6;15.3
"2013-06-06 17:12:00";"2013-06-07 03:00:00";91.58119;2.93929;82;97;10.3597;1.55514;7.1;14.8;9.58703;1.26302;6.9;13.1
"2013-06-07 03:00:00";"2013-06-07 12:48:00";91.40625;0.74412;90;93;10.08125;0.3386;9.7;10.5;9.32188;0.28585;9;9.7
"2013-06-07 12:48:00";"2013-06-07 22:36:00";81.48333;8.08819;61;93;13.90607;2.51154;10.4;21;11.86357;1.64038;9.6;16.6
"2013-06-07 22:36:00";"2013-06-08 08:24:00";91.91554;5.03462;67;98;9.40563;2.19974;6;17.5;8.66434;1.69344;5.8;14.5
"2013-06-08 08:24:00";"2013-06-08 18:12:00";53.50721;9.1035;35;81;19.44018;2.53904;13.8;25.6;13.12331;1.91236;9.6;18
"2013-06-08 18:12:00";"2013-06-09 04:00:00";84.17742;7.90824;63;96;11.35609;1.49887;8.2;14;9.76989;0.84911;7.8;11.6
"2013-06-09 04:00:00";"2013-06-09 13:48:00";;;;;;;;;;;;
"2013-06-09 13:48:00";"2013-06-09 23:36:00";;;;;;;;;;;;
"2013-06-09 23:36:00";"2013-06-10 09:24:00";;;;;;;;;;;;
"2013-06-10 09:24:00";"2013-06-10 19:12:00";;;;;;;;;;;;
"2013-06-10 19:12:00";"2013-06-11 05:00:00";;;;;;;;;;;;
"2013-06-11 05:00:00";"2013-06-11 14:48:00";;;;;;;;;;;;
