"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2012-01-01 00:00:00";"2012-01-02 08:09:12";;;;;;;;
"2012-01-02 08:09:12";"2012-01-03 16:18:24";;;;;;;;
"2012-01-03 16:18:24";"2012-01-05 00:27:36";;;;;;;;
"2012-01-05 00:27:36";"2012-01-06 08:36:49";;;;;;;;
"2012-01-06 08:36:49";"2012-01-07 16:46:01";;;;;;;;
"2012-01-07 16:46:01";"2012-01-09 00:55:13";;;;;;;;
"2012-01-09 00:55:13";"2012-01-10 09:04:26";;;;;;;;
"2012-01-10 09:04:26";"2012-01-11 17:13:38";;;;;;;;
"2012-01-11 17:13:38";"2012-01-13 01:22:50";;;;;;;;
"2012-01-13 01:22:50";"2012-01-14 09:32:03";;;;;;;;
"2012-01-14 09:32:03";"2012-01-15 17:41:15";;;;;;;;
"2012-01-15 17:41:15";"2012-01-17 01:50:27";;;;;;;;
"2012-01-17 01:50:27";"2012-01-18 09:59:40";;;;;;;;
"2012-01-18 09:59:40";"2012-01-19 18:08:52";;;;;;;;
"2012-01-19 18:08:52";"2012-01-21 02:18:04";;;;;;;;
"2012-01-21 02:18:04";"2012-01-22 10:27:17";;;;;;;;
"2012-01-22 10:27:17";"2012-01-23 18:36:29";;;;;;;;
"2012-01-23 18:36:29";"2012-01-25 02:45:41";;;;;;;;
"2012-01-25 02:45:41";"2012-01-26 10:54:54";;;;;;;;
"2012-01-26 10:54:54";"2012-01-27 19:04:06";;;;;;;;
"2012-01-27 19:04:06";"2012-01-29 03:13:18";;;;;;;;
"2012-01-29 03:13:18";"2012-01-30 11:22:31";;;;;;;;
"2012-01-30 11:22:31";"2012-01-31 19:31:43";;;;;;;;
"2012-01-31 19:31:43";"2012-02-02 03:40:55";;;;;;;;
"2012-02-02 03:40:55";"2012-02-03 11:50:08";;;;;;;;
"2012-02-03 11:50:08";"2012-02-04 19:59:20";;;;;;;;
"2012-02-04 19:59:20";"2012-02-06 04:08:32";;;;;;;;
"2012-02-06 04:08:32";"2012-02-07 12:17:45";;;;;;;;
"2012-02-07 12:17:45";"2012-02-08 20:26:57";;;;;;;;
"2012-02-08 20:26:57";"2012-02-10 04:36:09";;;;;;;;
"2012-02-10 04:36:09";"2012-02-11 12:45:22";;;;;;;;
"2012-02-11 12:45:22";"2012-02-12 20:54:34";;;;;;;;
"2012-02-12 20:54:34";"2012-02-14 05:03:46";;;;;;;;
"2012-02-14 05:03:46";"2012-02-15 13:12:59";;;;;;;;
"2012-02-15 13:12:59";"2012-02-16 21:22:11";;;;;;;;
"2012-02-16 21:22:11";"2012-02-18 05:31:23";;;;;;;;
"2012-02-18 05:31:23";"2012-02-19 13:40:36";;;;;;;;
"2012-02-19 13:40:36";"2012-02-20 21:49:48";;;;;;;;
"2012-02-20 21:49:48";"2012-02-22 05:59:00";;;;;;;;
"2012-02-22 05:59:00";"2012-02-23 14:08:13";;;;;;;;
"2012-02-23 14:08:13";"2012-02-24 22:17:25";;;;;;;;
"2012-02-24 22:17:25";"2012-02-26 06:26:37";;;;;;;;
"2012-02-26 06:26:37";"2012-02-27 14:35:50";;;;;;;;
"2012-02-27 14:35:50";"2012-02-28 22:45:02";;;;;;;;
"2012-02-28 22:45:02";"2012-03-01 06:54:14";;;;;;;;
"2012-03-01 06:54:14";"2012-03-02 15:03:27";;;;;;;;
"2012-03-02 15:03:27";"2012-03-03 23:12:39";;;;;;;;
"2012-03-03 23:12:39";"2012-03-05 07:21:51";;;;;;;;
"2012-03-05 07:21:51";"2012-03-06 15:31:04";;;;;;;;
"2012-03-06 15:31:04";"2012-03-07 23:40:16";;;;;;;;
"2012-03-07 23:40:16";"2012-03-09 07:49:28";;;;;;;;
"2012-03-09 07:49:28";"2012-03-10 15:58:41";;;;;;;;
"2012-03-10 15:58:41";"2012-03-12 00:07:53";;;;;;;;
"2012-03-12 00:07:53";"2012-03-13 08:17:05";;;;;;;;
"2012-03-13 08:17:05";"2012-03-14 16:26:18";;;;;;;;
"2012-03-14 16:26:18";"2012-03-16 00:35:30";;;;;;;;
"2012-03-16 00:35:30";"2012-03-17 08:44:42";;;;;;;;
"2012-03-17 08:44:42";"2012-03-18 16:53:55";;;;;;;;
"2012-03-18 16:53:55";"2012-03-20 01:03:07";;;;;;;;
"2012-03-20 01:03:07";"2012-03-21 09:12:19";;;;;;;;
"2012-03-21 09:12:19";"2012-03-22 17:21:32";;;;;;;;
