"dia";"hora";"sanpedro/002/humidity";"sanpedro/002/temperature"
"2013-04-24";"03:14:46";92;9.9
"2013-04-24";"03:14:24";86;8.4
"2013-04-24";"03:13:47";86.1;8.4
"2013-04-24";"03:13:36";86.1;8.5
"2013-04-24";"03:13:31";86.1;8.4
"2013-04-24";"03:11:23";94.2;9.8
"2013-04-24";"03:10:34";94.2;9.9
"2013-04-24";"03:10:13";86.1;8.5
"2013-04-24";"03:09:41";92;9.9
"2013-04-24";"03:08:47";86.1;8.6
"2013-04-24";"03:06:23";92;10
"2013-04-24";"03:05:29";94.2;9.9
"2013-04-24";"03:05:13";86.1;8.7
"2013-04-24";"02:49:23";92;10.2
"2013-04-24";"02:49:12";86.1;9.3
"2013-04-24";"02:48:03";94.3;10.3
"2013-04-24";"02:47:25";92;10.1
"2013-04-24";"02:47:09";94.3;10.4
"2013-04-24";"02:46:21";94.3;10.3
"2013-04-24";"02:45:27";94.3;10.4
"2013-04-24";"02:22:22";92.1;10.7
"2013-04-24";"02:21:02";86.2;9.8
"2013-04-24";"02:20:35";94.3;10.9
"2013-04-24";"02:20:24";94.3;11
"2013-04-24";"01:58:08";92.1;11.1
"2013-04-24";"01:57:14";86.3;10.4
"2013-04-24";"01:56:16";94.4;11.4
"2013-04-24";"01:24:06";92.1;11.5
"2013-04-24";"01:23:45";94.5;11.8
"2013-04-24";"01:23:13";94.5;11.9
"2013-04-24";"01:22:03";86.4;10.8
"2013-04-24";"01:21:47";86.4;10.9
"2013-04-24";"01:19:01";92.1;11.5
"2013-04-24";"01:18:08";94.5;11.9
"2013-04-24";"01:16:42";86.4;10.9
"2013-04-24";"01:15:28";94.5;12
"2013-04-24";"01:08:04";92.1;11.7
"2013-04-24";"01:05:24";94.5;12.1
"2013-04-24";"01:05:07";86.4;11.1
"2013-04-24";"01:04:51";92.1;11.6
"2013-04-24";"01:03:26";92.1;11.7
"2013-04-24";"01:00:19";94.5;12.1
"2013-04-24";"01:00:03";86.4;11.1
"2013-04-24";"00:58:21";92.1;11.7
"2013-04-24";"00:57:44";92.1;11.6
"2013-04-24";"00:55:14";94.5;12.1
"2013-04-24";"00:27:42";92.1;11.6
"2013-04-24";"00:27:26";86.4;11.4
"2013-04-24";"00:27:15";92.1;11.5
