"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-01-01 00:00:00";"2013-01-01 18:12:00";;;;;;;;;;;;
"2013-01-01 18:12:00";"2013-01-02 12:24:00";;;;;;;;;;;;
"2013-01-02 12:24:00";"2013-01-03 06:36:00";;;;;;;;;;;;
"2013-01-03 06:36:00";"2013-01-04 00:48:00";;;;;;;;;;;;
"2013-01-04 00:48:00";"2013-01-04 19:00:00";;;;;;;;;;;;
"2013-01-04 19:00:00";"2013-01-05 13:12:00";;;;;;;;;;;;
"2013-01-05 13:12:00";"2013-01-06 07:24:00";;;;;;;;;;;;
"2013-01-06 07:24:00";"2013-01-07 01:36:00";;;;;;;;;;;;
"2013-01-07 01:36:00";"2013-01-07 19:48:00";;;;;;;;;;;;
"2013-01-07 19:48:00";"2013-01-08 14:00:00";;;;;;;;;;;;
"2013-01-08 14:00:00";"2013-01-09 08:12:00";;;;;;;;;;;;
"2013-01-09 08:12:00";"2013-01-10 02:24:00";;;;;;;;;;;;
"2013-01-10 02:24:00";"2013-01-10 20:36:00";;;;;;;;;;;;
"2013-01-10 20:36:00";"2013-01-11 14:48:00";;;;;;;;;;;;
"2013-01-11 14:48:00";"2013-01-12 09:00:00";;;;;;;;;;;;
"2013-01-12 09:00:00";"2013-01-13 03:12:00";;;;;;;;;;;;
"2013-01-13 03:12:00";"2013-01-13 21:24:00";;;;;;;;;;;;
"2013-01-13 21:24:00";"2013-01-14 15:36:00";;;;;;;;;;;;
"2013-01-14 15:36:00";"2013-01-15 09:48:00";;;;;;;;;;;;
"2013-01-15 09:48:00";"2013-01-16 04:00:00";;;;;;;;;;;;
"2013-01-16 04:00:00";"2013-01-16 22:12:00";;;;;;;;;;;;
"2013-01-16 22:12:00";"2013-01-17 16:24:00";;;;;;;;;;;;
"2013-01-17 16:24:00";"2013-01-18 10:36:00";;;;;;;;;;;;
"2013-01-18 10:36:00";"2013-01-19 04:48:00";;;;;;;;;;;;
"2013-01-19 04:48:00";"2013-01-19 23:00:00";;;;;;;;;;;;
"2013-01-19 23:00:00";"2013-01-20 17:12:00";;;;;;;;;;;;
"2013-01-20 17:12:00";"2013-01-21 11:24:00";;;;;;;;;;;;
"2013-01-21 11:24:00";"2013-01-22 05:36:00";;;;;;;;;;;;
"2013-01-22 05:36:00";"2013-01-22 23:48:00";;;;;;;;;;;;
"2013-01-22 23:48:00";"2013-01-23 18:00:00";;;;;;;;;;;;
"2013-01-23 18:00:00";"2013-01-24 12:12:00";;;;;;;;;;;;
"2013-01-24 12:12:00";"2013-01-25 06:24:00";;;;;;;;;;;;
"2013-01-25 06:24:00";"2013-01-26 00:36:00";;;;;;;;;;;;
"2013-01-26 00:36:00";"2013-01-26 18:48:00";;;;;;;;;;;;
"2013-01-26 18:48:00";"2013-01-27 13:00:00";;;;;;;;;;;;
