"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2012-10-01 00:00:00";"2012-10-02 12:30:00";;;;;;;;
"2012-10-02 12:30:00";"2012-10-04 01:00:00";;;;;;;;
"2012-10-04 01:00:00";"2012-10-05 13:30:00";;;;;;;;
"2012-10-05 13:30:00";"2012-10-07 02:00:00";;;;;;;;
"2012-10-07 02:00:00";"2012-10-08 14:30:00";;;;;;;;
"2012-10-08 14:30:00";"2012-10-10 03:00:00";;;;;;;;
"2012-10-10 03:00:00";"2012-10-11 15:30:00";;;;;;;;
"2012-10-11 15:30:00";"2012-10-13 04:00:00";;;;;;;;
"2012-10-13 04:00:00";"2012-10-14 16:30:00";;;;;;;;
"2012-10-14 16:30:00";"2012-10-16 05:00:00";;;;;;;;
"2012-10-16 05:00:00";"2012-10-17 17:30:00";;;;;;;;
"2012-10-17 17:30:00";"2012-10-19 06:00:00";;;;;;;;
"2012-10-19 06:00:00";"2012-10-20 18:30:00";;;;;;;;
"2012-10-20 18:30:00";"2012-10-22 07:00:00";;;;;;;;
"2012-10-22 07:00:00";"2012-10-23 19:30:00";;;;;;;;
"2012-10-23 19:30:00";"2012-10-25 08:00:00";;;;;;;;
"2012-10-25 08:00:00";"2012-10-26 20:30:00";;;;;;;;
"2012-10-26 20:30:00";"2012-10-28 09:00:00";;;;;;;;
"2012-10-28 09:00:00";"2012-10-29 21:30:00";;;;;;;;
"2012-10-29 21:30:00";"2012-10-31 10:00:00";;;;;;;;
"2012-10-31 10:00:00";"2012-11-01 22:30:00";;;;;;;;
"2012-11-01 22:30:00";"2012-11-03 11:00:00";;;;;;;;
"2012-11-03 11:00:00";"2012-11-04 23:30:00";;;;;;;;
"2012-11-04 23:30:00";"2012-11-06 12:00:00";;;;;;;;
"2012-11-06 12:00:00";"2012-11-08 00:30:00";;;;;;;;
"2012-11-08 00:30:00";"2012-11-09 13:00:00";;;;;;;;
"2012-11-09 13:00:00";"2012-11-11 01:30:00";;;;;;;;
"2012-11-11 01:30:00";"2012-11-12 14:00:00";;;;;;;;
"2012-11-12 14:00:00";"2012-11-14 02:30:00";;;;;;;;
"2012-11-14 02:30:00";"2012-11-15 15:00:00";;;;;;;;
"2012-11-15 15:00:00";"2012-11-17 03:30:00";;;;;;;;
"2012-11-17 03:30:00";"2012-11-18 16:00:00";;;;;;;;
"2012-11-18 16:00:00";"2012-11-20 04:30:00";;;;;;;;
"2012-11-20 04:30:00";"2012-11-21 17:00:00";;;;;;;;
"2012-11-21 17:00:00";"2012-11-23 05:30:00";;;;;;;;
"2012-11-23 05:30:00";"2012-11-24 18:00:00";;;;;;;;
"2012-11-24 18:00:00";"2012-11-26 06:30:00";;;;;;;;
"2012-11-26 06:30:00";"2012-11-27 19:00:00";;;;;;;;
"2012-11-27 19:00:00";"2012-11-29 07:30:00";;;;;;;;
"2012-11-29 07:30:00";"2012-11-30 20:00:00";;;;;;;;
"2012-11-30 20:00:00";"2012-12-02 08:30:00";;;;;;;;
"2012-12-02 08:30:00";"2012-12-03 21:00:00";;;;;;;;
