"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2013-03-31 00:00:00";"2013-07-18 16:42:05";92;0;92;92;11.45;0.05;11.4;11.5;10.75;0.05;10.7;10.8
"2013-07-18 16:42:05";"2013-11-05 09:24:10";92.5;0.5;92;93;11.45;0.05;11.4;11.5;10.8;0;10.8;10.8
"2013-11-05 09:24:10";"2014-02-23 02:06:15";94;0;94;94;11.4;0;11.4;11.4;10.9;0;10.9;10.9
"2014-02-23 02:06:15";"2014-06-12 18:48:20";94;0;94;94;11.4;0;11.4;11.4;10.9;0;10.9;10.9
"2014-06-12 18:48:20";"2014-09-30 11:30:25";94;0;94;94;11.4;0;11.4;11.4;10.9;0;10.9;10.9
"2014-09-30 11:30:25";"2015-01-18 04:12:30";94;0;94;94;11.4;0;11.4;11.4;10.9;0;10.9;10.9
"2015-01-18 04:12:30";"2015-05-07 20:54:35";94;0;94;94;11.45;0.05;11.4;11.5;10.95;0.05;10.9;11
"2015-05-07 20:54:35";"2015-08-25 13:36:40";93.5;0.5;93;94;11.45;0.05;11.4;11.5;10.9;0;10.9;10.9
"2015-08-25 13:36:40";"2015-12-13 06:18:45";94;0;94;94;11.4;0;11.4;11.4;10.9;0;10.9;10.9
"2015-12-13 06:18:45";"2016-03-31 23:00:50";93;0;93;93;11.5;0;11.5;11.5;10.9;0;10.9;10.9
"2016-03-31 23:00:50";"2016-07-19 15:42:55";94;0;94;94;11.5;0;11.5;11.5;11;0;11;11
"2016-07-19 15:42:55";"2016-11-06 08:25:00";94.5;0.5;94;95;11.45;0.05;11.4;11.5;11;0;11;11
"2016-11-06 08:25:00";"2017-02-24 01:07:05";94;0;94;94;11.5;0;11.5;11.5;11;0;11;11
"2017-02-24 01:07:05";"2017-06-13 17:49:10";93.5;0.5;93;94;11.4;0;11.4;11.4;10.85;0.05;10.8;10.9
"2017-06-13 17:49:10";"2017-10-01 10:31:15";94;0;94;94;11.4;0;11.4;11.4;10.9;0;10.9;10.9
"2017-10-01 10:31:15";"2018-01-19 03:13:20";94.5;0.5;94;95;11.35;0.05;11.3;11.4;10.9;0;10.9;10.9
"2018-01-19 03:13:20";"2018-05-08 19:55:25";95;0;95;95;11.3;0;11.3;11.3;10.9;0;10.9;10.9
"2018-05-08 19:55:25";"2018-08-26 12:37:30";95;1;94;96;11.25;0.05;11.2;11.3;10.8;0;10.8;10.8
"2018-08-26 12:37:30";"2018-12-14 05:19:35";95;0;95;95;11;0.1;10.9;11.1;10.6;0.1;10.5;10.7
