"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2013-05-16 00:00:00";"2013-05-16 00:10:00";91.06667;3.38657;86.5;94.6;12.16667;0.26247;11.8;12.4
"2013-05-16 00:10:00";"2013-05-16 00:20:00";;;;;;;;
"2013-05-16 00:20:00";"2013-05-16 00:30:00";;;;;;;;
"2013-05-16 00:30:00";"2013-05-16 00:40:00";;;;;;;;
"2013-05-16 00:40:00";"2013-05-16 00:50:00";;;;;;;;
"2013-05-16 00:50:00";"2013-05-16 01:00:00";;;;;;;;
"2013-05-16 01:00:00";"2013-05-16 01:10:00";;;;;;;;
"2013-05-16 01:10:00";"2013-05-16 01:20:00";;;;;;;;
"2013-05-16 01:20:00";"2013-05-16 01:30:00";;;;;;;;
"2013-05-16 01:30:00";"2013-05-16 01:40:00";;;;;;;;
"2013-05-16 01:40:00";"2013-05-16 01:50:00";91.21429;3.15614;86.5;94.6;12.01429;0.30439;11.6;12.4
"2013-05-16 01:50:00";"2013-05-16 02:00:00";91.06667;3.38657;86.5;94.6;12.03333;0.32998;11.6;12.4
"2013-05-16 02:00:00";"2013-05-16 02:10:00";91.06667;3.38657;86.5;94.6;11.98333;0.33375;11.5;12.4
"2013-05-16 02:10:00";"2013-05-16 02:20:00";;;;;;;;
"2013-05-16 02:20:00";"2013-05-16 02:30:00";;;;;;;;
"2013-05-16 02:30:00";"2013-05-16 02:40:00";;;;;;;;
"2013-05-16 02:40:00";"2013-05-16 02:50:00";;;;;;;;
"2013-05-16 02:50:00";"2013-05-16 03:00:00";90.3;3.30273;86.4;94.5;11.3;0.37417;10.8;11.7
"2013-05-16 03:00:00";"2013-05-16 03:10:00";91;3.39706;86.4;94.5;11.36667;0.33993;10.9;11.7
"2013-05-16 03:10:00";"2013-05-16 03:20:00";;;;;;;;
"2013-05-16 03:20:00";"2013-05-16 03:30:00";90.9;3.53116;86.4;94.5;11.57273;0.34665;11.1;12
"2013-05-16 03:30:00";"2013-05-16 03:40:00";91;3.39706;86.4;94.5;11.63333;0.32998;11.2;12
"2013-05-16 03:40:00";"2013-05-16 03:50:00";91.5;3.37512;86.4;94.5;11.7;0.34641;11.2;12.1
"2013-05-16 03:50:00";"2013-05-16 04:00:00";;;;;;;;
"2013-05-16 04:00:00";"2013-05-16 04:10:00";;;;;;;;
"2013-05-16 04:10:00";"2013-05-16 04:20:00";;;;;;;;
"2013-05-16 04:20:00";"2013-05-16 04:30:00";;;;;;;;
"2013-05-16 04:30:00";"2013-05-16 04:40:00";;;;;;;;
"2013-05-16 04:40:00";"2013-05-16 04:50:00";;;;;;;;
"2013-05-16 04:50:00";"2013-05-16 05:00:00";;;;;;;;
"2013-05-16 05:00:00";"2013-05-16 05:10:00";;;;;;;;
"2013-05-16 05:10:00";"2013-05-16 05:20:00";;;;;;;;
"2013-05-16 05:20:00";"2013-05-16 05:30:00";;;;;;;;
"2013-05-16 05:30:00";"2013-05-16 05:40:00";90.65556;3.21009;86.3;94.4;10.78889;0.46772;10.1;11.2
"2013-05-16 05:40:00";"2013-05-16 05:50:00";91.4;3.37512;86.3;94.4;10.8;0.38173;10.2;11.1
"2013-05-16 05:50:00";"2013-05-16 06:00:00";91.60769;3.09179;86.3;94.4;10.86923;0.35167;10.2;11.1
"2013-05-16 06:00:00";"2013-05-16 06:10:00";;;;;;;;
"2013-05-16 06:10:00";"2013-05-16 06:20:00";90.68;3.68206;86.3;94.4;11.06;0.42237;10.5;11.5
"2013-05-16 06:20:00";"2013-05-16 06:30:00";89.51429;3.69997;86.3;94.5;11.42857;0.4165;11;12
"2013-05-16 06:30:00";"2013-05-16 06:40:00";;;;;;;;
"2013-05-16 06:40:00";"2013-05-16 06:50:00";91.96;2.9964;86.4;94.6;12.28;0.27857;11.8;12.6
"2013-05-16 06:50:00";"2013-05-16 07:00:00";89.86429;3.46752;86.5;94.6;12.49286;0.25485;12;12.9
"2013-05-16 07:00:00";"2013-05-16 07:10:00";;;;;;;;
"2013-05-16 07:10:00";"2013-05-16 07:20:00";;;;;;;;
"2013-05-16 07:20:00";"2013-05-16 07:30:00";;;;;;;;
"2013-05-16 07:30:00";"2013-05-16 07:40:00";79.29184;5.39882;75.2;90.1;16.64286;0.22039;16.5;17.3
"2013-05-16 07:40:00";"2013-05-16 07:50:00";;;;;;;;
"2013-05-16 07:50:00";"2013-05-16 08:00:00";;;;;;;;
"2013-05-16 08:00:00";"2013-05-16 08:10:00";75.04314;5.31717;69.6;86;17.7;0.66774;17;19
"2013-05-16 08:10:00";"2013-05-16 08:20:00";73.97736;5.02915;69.7;86;17.96226;0.89532;17;19.5
"2013-05-16 08:20:00";"2013-05-16 08:30:00";;;;;;;;
"2013-05-16 08:30:00";"2013-05-16 08:40:00";;;;;;;;
"2013-05-16 08:40:00";"2013-05-16 08:50:00";;;;;;;;
"2013-05-16 08:50:00";"2013-05-16 09:00:00";;;;;;;;
"2013-05-16 09:00:00";"2013-05-16 09:10:00";;;;;;;;
"2013-05-16 09:10:00";"2013-05-16 09:20:00";;;;;;;;
"2013-05-16 09:20:00";"2013-05-16 09:30:00";;;;;;;;
"2013-05-16 09:30:00";"2013-05-16 09:40:00";;;;;;;;
"2013-05-16 09:40:00";"2013-05-16 09:50:00";;;;;;;;
"2013-05-16 09:50:00";"2013-05-16 10:00:00";;;;;;;;
"2013-05-16 10:00:00";"2013-05-16 10:10:00";;;;;;;;
"2013-05-16 10:10:00";"2013-05-16 10:20:00";;;;;;;;
"2013-05-16 10:20:00";"2013-05-16 10:30:00";;;;;;;;
"2013-05-16 10:30:00";"2013-05-16 10:40:00";;;;;;;;
"2013-05-16 10:40:00";"2013-05-16 10:50:00";;;;;;;;
"2013-05-16 10:50:00";"2013-05-16 11:00:00";;;;;;;;
"2013-05-16 11:00:00";"2013-05-16 11:10:00";;;;;;;;
"2013-05-16 11:10:00";"2013-05-16 11:20:00";;;;;;;;
"2013-05-16 11:20:00";"2013-05-16 11:30:00";;;;;;;;
"2013-05-16 11:30:00";"2013-05-16 11:40:00";;;;;;;;
"2013-05-16 11:40:00";"2013-05-16 11:50:00";;;;;;;;
"2013-05-16 11:50:00";"2013-05-16 12:00:00";;;;;;;;
"2013-05-16 12:00:00";"2013-05-16 12:10:00";;;;;;;;
"2013-05-16 12:10:00";"2013-05-16 12:20:00";;;;;;;;
"2013-05-16 12:20:00";"2013-05-16 12:30:00";;;;;;;;
"2013-05-16 12:30:00";"2013-05-16 12:40:00";;;;;;;;
"2013-05-16 12:40:00";"2013-05-16 12:50:00";;;;;;;;
"2013-05-16 12:50:00";"2013-05-16 13:00:00";;;;;;;;
"2013-05-16 13:00:00";"2013-05-16 13:10:00";;;;;;;;
"2013-05-16 13:10:00";"2013-05-16 13:20:00";;;;;;;;
"2013-05-16 13:20:00";"2013-05-16 13:30:00";;;;;;;;
"2013-05-16 13:30:00";"2013-05-16 13:40:00";;;;;;;;
"2013-05-16 13:40:00";"2013-05-16 13:50:00";;;;;;;;
"2013-05-16 13:50:00";"2013-05-16 14:00:00";;;;;;;;
"2013-05-16 14:00:00";"2013-05-16 14:10:00";;;;;;;;
"2013-05-16 14:10:00";"2013-05-16 14:20:00";;;;;;;;
"2013-05-16 14:20:00";"2013-05-16 14:30:00";;;;;;;;
"2013-05-16 14:30:00";"2013-05-16 14:40:00";;;;;;;;
"2013-05-16 14:40:00";"2013-05-16 14:50:00";;;;;;;;
"2013-05-16 14:50:00";"2013-05-16 15:00:00";;;;;;;;
"2013-05-16 15:00:00";"2013-05-16 15:10:00";;;;;;;;
"2013-05-16 15:10:00";"2013-05-16 15:20:00";;;;;;;;
"2013-05-16 15:20:00";"2013-05-16 15:30:00";;;;;;;;
"2013-05-16 15:30:00";"2013-05-16 15:40:00";;;;;;;;
"2013-05-16 15:40:00";"2013-05-16 15:50:00";;;;;;;;
"2013-05-16 15:50:00";"2013-05-16 16:00:00";;;;;;;;
"2013-05-16 16:00:00";"2013-05-16 16:10:00";;;;;;;;
"2013-05-16 16:10:00";"2013-05-16 16:20:00";;;;;;;;
"2013-05-16 16:20:00";"2013-05-16 16:30:00";;;;;;;;
"2013-05-16 16:30:00";"2013-05-16 16:40:00";;;;;;;;
"2013-05-16 16:40:00";"2013-05-16 16:50:00";;;;;;;;
"2013-05-16 16:50:00";"2013-05-16 17:00:00";;;;;;;;
"2013-05-16 17:00:00";"2013-05-16 17:10:00";;;;;;;;
"2013-05-16 17:10:00";"2013-05-16 17:20:00";;;;;;;;
"2013-05-16 17:20:00";"2013-05-16 17:30:00";;;;;;;;
"2013-05-16 17:30:00";"2013-05-16 17:40:00";;;;;;;;
"2013-05-16 17:40:00";"2013-05-16 17:50:00";;;;;;;;
"2013-05-16 17:50:00";"2013-05-16 18:00:00";;;;;;;;
"2013-05-16 18:00:00";"2013-05-16 18:10:00";;;;;;;;
"2013-05-16 18:10:00";"2013-05-16 18:20:00";;;;;;;;
"2013-05-16 18:20:00";"2013-05-16 18:30:00";;;;;;;;
"2013-05-16 18:30:00";"2013-05-16 18:40:00";;;;;;;;
"2013-05-16 18:40:00";"2013-05-16 18:50:00";;;;;;;;
"2013-05-16 18:50:00";"2013-05-16 19:00:00";;;;;;;;
"2013-05-16 19:00:00";"2013-05-16 19:10:00";;;;;;;;
"2013-05-16 19:10:00";"2013-05-16 19:20:00";;;;;;;;
"2013-05-16 19:20:00";"2013-05-16 19:30:00";;;;;;;;
"2013-05-16 19:30:00";"2013-05-16 19:40:00";;;;;;;;
"2013-05-16 19:40:00";"2013-05-16 19:50:00";;;;;;;;
"2013-05-16 19:50:00";"2013-05-16 20:00:00";;;;;;;;
"2013-05-16 20:00:00";"2013-05-16 20:10:00";;;;;;;;
"2013-05-16 20:10:00";"2013-05-16 20:20:00";;;;;;;;
"2013-05-16 20:20:00";"2013-05-16 20:30:00";;;;;;;;
"2013-05-16 20:30:00";"2013-05-16 20:40:00";;;;;;;;
"2013-05-16 20:40:00";"2013-05-16 20:50:00";;;;;;;;
"2013-05-16 20:50:00";"2013-05-16 21:00:00";;;;;;;;
"2013-05-16 21:00:00";"2013-05-16 21:10:00";;;;;;;;
"2013-05-16 21:10:00";"2013-05-16 21:20:00";;;;;;;;
"2013-05-16 21:20:00";"2013-05-16 21:30:00";;;;;;;;
"2013-05-16 21:30:00";"2013-05-16 21:40:00";;;;;;;;
"2013-05-16 21:40:00";"2013-05-16 21:50:00";;;;;;;;
"2013-05-16 21:50:00";"2013-05-16 22:00:00";;;;;;;;
"2013-05-16 22:00:00";"2013-05-16 22:10:00";;;;;;;;
"2013-05-16 22:10:00";"2013-05-16 22:20:00";;;;;;;;
"2013-05-16 22:20:00";"2013-05-16 22:30:00";;;;;;;;
"2013-05-16 22:30:00";"2013-05-16 22:40:00";;;;;;;;
"2013-05-16 22:40:00";"2013-05-16 22:50:00";;;;;;;;
"2013-05-16 22:50:00";"2013-05-16 23:00:00";;;;;;;;
"2013-05-16 23:00:00";"2013-05-16 23:10:00";;;;;;;;
"2013-05-16 23:10:00";"2013-05-16 23:20:00";;;;;;;;
"2013-05-16 23:20:00";"2013-05-16 23:30:00";;;;;;;;
"2013-05-16 23:30:00";"2013-05-16 23:40:00";;;;;;;;
"2013-05-16 23:40:00";"2013-05-16 23:50:00";;;;;;;;
"2013-05-16 23:50:00";"2013-05-17 00:00:00";;;;;;;;
