"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-05-22";"23:47:40";86.5;11.9
"2013-05-22";"23:46:51";94.7;12.8
"2013-05-22";"23:45:29";92.2;12.4
"2013-05-22";"23:42:40";86.5;11.9
"2013-05-22";"23:41:51";94.7;12.8
"2013-05-22";"23:41:45";94.7;12.8
"2013-05-22";"23:40:29";92.2;12.4
"2013-05-22";"23:37:40";86.5;11.9
"2013-05-22";"23:36:45";94.7;12.7
"2013-05-22";"23:35:29";92.2;12.4
"2013-05-22";"23:34:56";86.5;11.8
"2013-05-22";"23:34:34";94.7;12.8
"2013-05-22";"23:31:12";92.2;12.3
"2013-05-22";"23:29:56";86.5;11.8
"2013-05-22";"23:29:34";94.7;12.8
"2013-05-22";"23:26:12";92.2;12.3
"2013-05-22";"23:24:55";86.5;11.8
"2013-05-22";"23:21:07";94.7;12.7
"2013-05-22";"23:21:06";92.2;12.3
"2013-05-22";"23:21:01";92.2;12.3
"2013-05-22";"23:19:55";86.5;11.8
"2013-05-22";"23:16:07";94.7;12.7
"2013-05-22";"23:16:01";92.2;12.4
"2013-05-22";"23:15:34";94.7;12.8
"2013-05-22";"23:14:55";86.5;11.8
"2013-05-22";"23:11:28";86.5;11.9
"2013-05-22";"23:11:01";92.2;12.4
"2013-05-22";"23:10:33";94.7;12.8
"2013-05-22";"23:06:28";86.5;11.9
"2013-05-22";"23:06:00";92.2;12.4
"2013-05-22";"23:05:33";94.7;12.8
"2013-05-22";"23:01:27";86.5;11.9
"2013-05-22";"23:01:00";92.2;12.4
"2013-05-22";"23:00:33";94.7;12.8
"2013-05-22";"22:34:32";86.5;11.9
"2013-05-22";"22:33:59";92.2;12.5
"2013-05-22";"22:33:37";86.5;12
"2013-05-22";"22:32:32";94.7;12.9
"2013-05-22";"21:53:57";86.5;12.1
"2013-05-22";"21:53:52";92.2;12.5
"2013-05-22";"21:52:14";94.7;13
"2013-05-22";"21:51:19";94.7;13.1
"2013-05-22";"21:48:57";86.5;12.1
"2013-05-22";"21:48:52";92.2;12.5
"2013-05-22";"21:47:14";94.7;13
"2013-05-22";"21:45:52";94.7;13.1
"2013-05-22";"21:44:41";86.5;12
"2013-05-22";"21:43:52";92.2;12.5
"2013-05-22";"21:43:24";94.7;13
"2013-05-22";"21:41:08";94.7;13.1
"2013-05-22";"21:40:46";94.7;13
"2013-05-22";"21:39:40";86.5;12
"2013-05-22";"21:38:51";92.2;12.5
"2013-05-22";"21:35:51";92.2;12.4
"2013-05-22";"21:35:46";94.7;13
"2013-05-22";"21:34:35";86.5;12
"2013-05-22";"21:34:02";94.7;12.9
"2013-05-22";"21:30:51";92.2;12.4
"2013-05-22";"21:29:35";86.5;12
"2013-05-22";"21:29:02";94.7;12.9
"2013-05-22";"21:25:51";92.2;12.4
"2013-05-22";"21:24:34";86.5;12
"2013-05-22";"21:24:02";94.7;12.9
"2013-05-22";"21:20:51";92.2;12.4
"2013-05-22";"21:20:40";86.5;11.9
"2013-05-22";"21:08:45";86.5;11.8
