"inicio";"fin";"humidity (valentina 002)";"std";"min";"max";"temperature (valentina 002)";"std";"min";"max"
"2013-03-16 00:00:00";"2013-03-16 03:00:00";;;;;;;;
"2013-03-16 03:00:00";"2013-03-16 06:00:00";;;;;;;;
"2013-03-16 06:00:00";"2013-03-16 09:00:00";;;;;;;;
"2013-03-16 09:00:00";"2013-03-16 12:00:00";;;;;;;;
"2013-03-16 12:00:00";"2013-03-16 15:00:00";;;;;;;;
"2013-03-16 15:00:00";"2013-03-16 18:00:00";;;;;;;;
"2013-03-16 18:00:00";"2013-03-16 21:00:00";;;;;;;;
"2013-03-16 21:00:00";"2013-03-17 00:00:00";;;;;;;;
"2013-03-17 00:00:00";"2013-03-17 03:00:00";;;;;;;;
"2013-03-17 03:00:00";"2013-03-17 06:00:00";;;;;;;;
"2013-03-17 06:00:00";"2013-03-17 09:00:00";;;;;;;;
"2013-03-17 09:00:00";"2013-03-17 12:00:00";;;;;;;;
"2013-03-17 12:00:00";"2013-03-17 15:00:00";;;;;;;;
"2013-03-17 15:00:00";"2013-03-17 18:00:00";;;;;;;;
"2013-03-17 18:00:00";"2013-03-17 21:00:00";;;;;;;;
"2013-03-17 21:00:00";"2013-03-18 00:00:00";;;;;;;;
"2013-03-18 00:00:00";"2013-03-18 03:00:00";;;;;;;;
"2013-03-18 03:00:00";"2013-03-18 06:00:00";;;;;;;;
"2013-03-18 06:00:00";"2013-03-18 09:00:00";66.4;11.65912;54.7;78.7;20.9;2.85219;17.9;23.8
"2013-03-18 09:00:00";"2013-03-18 12:00:00";45.95754;6.56769;26;56.3;25.77821;1.73981;23.1;30.3
"2013-03-18 12:00:00";"2013-03-18 15:00:00";64.405;13.83862;40.4;82.7;22.21444;3.51242;17.8;28.6
"2013-03-18 15:00:00";"2013-03-18 18:00:00";66.55389;12.85962;48.3;82.5;20.58278;3.91402;15.6;26.9
"2013-03-18 18:00:00";"2013-03-18 21:00:00";82.28278;0.05561;82.2;82.4;14.52944;0.52374;13.8;15.6
"2013-03-18 21:00:00";"2013-03-19 00:00:00";82.2;0;82.2;82.2;13.89778;0.14101;13.6;14.1
"2013-03-19 00:00:00";"2013-03-19 03:00:00";82.2;0;82.2;82.2;13.76313;0.09325;13.6;13.9
"2013-03-19 03:00:00";"2013-03-19 06:00:00";82.10722;0.02589;82.1;82.2;13.24444;0.17392;12.9;13.6
"2013-03-19 06:00:00";"2013-03-19 09:00:00";69.96556;14.99383;38;82.6;18.44944;5.3857;13;27.8
"2013-03-19 09:00:00";"2013-03-19 12:00:00";56.75167;11.45421;37.2;83.1;24.47833;3.05796;19.1;30.6
"2013-03-19 12:00:00";"2013-03-19 15:00:00";66.92458;13.18585;34.4;81;21.22291;4.06595;17.2;31.7
"2013-03-19 15:00:00";"2013-03-19 18:00:00";59.48833;11.63065;35.8;82.4;22.35222;3.57249;15.3;29.6
"2013-03-19 18:00:00";"2013-03-19 21:00:00";82.16111;0.06863;82.1;82.3;13.48389;0.52917;12.7;15.2
"2013-03-19 21:00:00";"2013-03-20 00:00:00";81.97222;0.05381;81.9;82.1;12.01111;0.27707;11.6;12.7
"2013-03-20 00:00:00";"2013-03-20 03:00:00";81.92978;0.04573;81.9;82;11.89607;0.51955;11.2;12.7
"2013-03-20 03:00:00";"2013-03-20 06:00:00";81.88944;0.07031;81.8;82;11.41056;0.50105;10.6;12.4
"2013-03-20 06:00:00";"2013-03-20 09:00:00";73.73722;7.56695;56.2;82.5;16.07667;3.50386;10.5;21.4
"2013-03-20 09:00:00";"2013-03-20 12:00:00";48.18278;6.08171;34.3;66.2;26.25722;2.5417;19.1;30.5
"2013-03-20 12:00:00";"2013-03-20 15:00:00";34.07719;6.95372;21.1;51.5;32.47544;3.12432;26.2;39.6
"2013-03-20 15:00:00";"2013-03-20 18:00:00";65.96556;7.96836;44.6;82.7;21.03833;1.76778;16.7;26.1
"2013-03-20 18:00:00";"2013-03-20 21:00:00";82.36056;0.08131;82.2;82.6;15.07389;0.72651;13.6;16.6
"2013-03-20 21:00:00";"2013-03-21 00:00:00";82.07542;0.08363;82;82.2;12.68603;0.56881;11.9;13.6
"2013-03-21 00:00:00";"2013-03-21 03:00:00";82.01556;0.03624;82;82.1;12.63444;0.21117;12;13
"2013-03-21 03:00:00";"2013-03-21 06:00:00";82.07778;0.04157;82;82.1;12.89722;0.301;11.9;13.2
"2013-03-21 06:00:00";"2013-03-21 09:00:00";71.56389;11.81622;46.3;82.7;17.88056;4.14179;12.9;25.1
"2013-03-21 09:00:00";"2013-03-21 12:00:00";55.52;4.91775;40.2;63.1;23.6;2.18317;20.7;29.5
"2013-03-21 12:00:00";"2013-03-21 15:00:00";52.84722;12.70749;33.4;75.2;24.75833;4.26259;18.1;31.7
"2013-03-21 15:00:00";"2013-03-21 18:00:00";76.625;4.07174;69.4;82.4;16.83611;1.02717;14.7;19.1
"2013-03-21 18:00:00";"2013-03-21 21:00:00";82.175;0.05951;82.1;82.3;13.44167;0.34268;12.8;14.3
"2013-03-21 21:00:00";"2013-03-22 00:00:00";82.1;0;82.1;82.1;13.44167;0.1949;12.9;13.7
"2013-03-22 00:00:00";"2013-03-22 03:00:00";82.1;0;82.1;82.1;13.25278;0.14811;13.1;13.6
"2013-03-22 03:00:00";"2013-03-22 06:00:00";82.075;0.0433;82;82.1;12.88889;0.2092;12.4;13.2
"2013-03-22 06:00:00";"2013-03-22 09:00:00";81.08056;3.57272;65.4;82.8;15.36111;2.73468;12.3;21.7
"2013-03-22 09:00:00";"2013-03-22 12:00:00";52.91944;11.08276;35.6;72.4;24.15;2.69201;19.6;29
"2013-03-22 12:00:00";"2013-03-22 15:00:00";51.18333;6.36961;40.7;63.4;24.87778;2.46544;20.6;29.8
"2013-03-22 15:00:00";"2013-03-22 18:00:00";78.14286;5.87514;61.2;82.5;16.97143;1.78174;14.7;20.7
"2013-03-22 18:00:00";"2013-03-22 21:00:00";82.22059;0.0867;82.1;82.3;13.45882;0.68861;12.4;14.5
"2013-03-22 21:00:00";"2013-03-23 00:00:00";81.95278;0.04992;81.9;82;11.72222;0.36371;11.1;12.3
"2013-03-23 00:00:00";"2013-03-23 03:00:00";81.85882;0.05487;81.8;82;11.05588;0.27028;10.4;11.4
"2013-03-23 03:00:00";"2013-03-23 06:00:00";81.63611;0.04803;81.6;81.7;9.31944;0.45936;8.8;10.3
"2013-03-23 06:00:00";"2013-03-23 09:00:00";81.79444;0.15446;81.6;82.1;10.81389;1.00171;9.4;12.8
"2013-03-23 09:00:00";"2013-03-23 12:00:00";66.19722;14.22098;40.3;82.4;19.26389;4.24298;12.8;28.4
"2013-03-23 12:00:00";"2013-03-23 15:00:00";45.91944;6.1445;33.3;59.3;25.87222;1.88586;21.2;29
"2013-03-23 15:00:00";"2013-03-23 18:00:00";60.44444;13.67854;41.3;82.5;21.92222;3.6756;15.6;27.2
"2013-03-23 18:00:00";"2013-03-23 21:00:00";82.00968;0.03898;82;82.2;12.37097;0.3154;11.7;13.6
"2013-03-23 21:00:00";"2013-03-24 00:00:00";81.88333;0.10672;81.7;82;11.72222;0.68602;10.5;12.5
"2013-03-24 00:00:00";"2013-03-24 03:00:00";81.63611;0.04803;81.6;81.7;9.77778;0.48196;9.1;10.5
"2013-03-24 03:00:00";"2013-03-24 06:00:00";81.39444;0.12235;81.2;81.6;7.88333;0.82748;6.7;9.3
"2013-03-24 06:00:00";"2013-03-24 09:00:00";72.05833;9.76193;51.8;82.1;15.83889;6.05807;6.7;24.5
"2013-03-24 09:00:00";"2013-03-24 12:00:00";42.06389;5.09832;34;56;25.225;1.02885;23;27.8
"2013-03-24 12:00:00";"2013-03-24 15:00:00";55.58333;11.87159;29.3;71.9;21.9;2.09457;19.4;27.6
"2013-03-24 15:00:00";"2013-03-24 18:00:00";65.4;5.44127;53.1;77.6;20.25714;1.70985;16.4;22.6
"2013-03-24 18:00:00";"2013-03-24 21:00:00";80.71944;2.46518;73.1;82.2;14.63889;0.81181;13.1;16.3
"2013-03-24 21:00:00";"2013-03-25 00:00:00";81.86667;0.07071;81.8;82;11.60278;0.56297;10.9;12.9
"2013-03-25 00:00:00";"2013-03-25 03:00:00";81.66389;0.08217;81.6;81.8;10.20833;0.56341;9.5;11.3
"2013-03-25 03:00:00";"2013-03-25 06:00:00";81.58611;0.07871;81.5;81.7;9.50278;0.74628;8.4;10.6
"2013-03-25 06:00:00";"2013-03-25 09:00:00";68.09722;11.79834;50;82.2;16.95278;5.31975;8.8;23.2
"2013-03-25 09:00:00";"2013-03-25 12:00:00";43.84167;5.68083;33.6;56.9;26.33889;2.29471;22.9;30.5
"2013-03-25 12:00:00";"2013-03-25 15:00:00";41.89167;3.67441;34.2;48.7;29.25278;2.06727;25.9;33.1
"2013-03-25 15:00:00";"2013-03-25 18:00:00";77.38056;7.71311;53.3;82.6;18.14167;2.00033;15.8;25
"2013-03-25 18:00:00";"2013-03-25 21:00:00";82.2;0.08819;82.1;82.4;14.24444;0.66057;13.3;15.7
"2013-03-25 21:00:00";"2013-03-26 00:00:00";82.06667;0.04714;82;82.1;13.18056;0.50156;12.3;13.8
"2013-03-26 00:00:00";"2013-03-26 03:00:00";81.74722;0.11177;81.6;81.9;10.83611;0.76127;9.5;12.1
"2013-03-26 03:00:00";"2013-03-26 06:00:00";81.40833;0.09825;81.3;81.6;7.98333;0.64485;7.1;9.3
"2013-03-26 06:00:00";"2013-03-26 09:00:00";69.76111;10.61486;51.5;81.9;15.29722;5.08863;6.9;21.9
"2013-03-26 09:00:00";"2013-03-26 12:00:00";46.70556;10.12497;33.7;82.9;25.62222;2.99445;19.5;31.7
"2013-03-26 12:00:00";"2013-03-26 15:00:00";32.38056;5.58176;24.3;50.9;32.23056;1.9442;26.1;35.6
"2013-03-26 15:00:00";"2013-03-26 18:00:00";47.86286;17.80571;26.2;78.2;26.03429;5.85315;17.6;33.5
"2013-03-26 18:00:00";"2013-03-26 21:00:00";81.78286;0.8739;78.4;82.3;14.14;1.39759;12.1;17.2
"2013-03-26 21:00:00";"2013-03-27 00:00:00";81.775;0.10639;81.6;82;10.55556;0.80293;9;12.1
"2013-03-27 00:00:00";"2013-03-27 03:00:00";81.41944;0.11742;81.2;81.6;7.86667;0.8756;6.3;9.1
"2013-03-27 03:00:00";"2013-03-27 06:00:00";81.08333;0.06872;81;81.2;5.39444;0.51744;4.4;6.4
"2013-03-27 06:00:00";"2013-03-27 09:00:00";62.53611;16.58961;35.9;81.7;14.08611;5.61185;4.5;20.8
"2013-03-27 09:00:00";"2013-03-27 12:00:00";32.80833;4.30874;20.8;40.2;26.43333;2.12551;20.9;29.3
"2013-03-27 12:00:00";"2013-03-27 15:00:00";37.88889;7.74409;28.7;52;28.91944;2.55515;24.8;32.8
"2013-03-27 15:00:00";"2013-03-27 18:00:00";64.48333;13.93484;35.3;82.4;21.15556;4.99969;14.8;33.9
"2013-03-27 18:00:00";"2013-03-27 21:00:00";82.19444;0.09702;82;82.3;13.58611;0.67583;12.2;14.6
"2013-03-27 21:00:00";"2013-03-28 00:00:00";81.99444;0.06211;81.9;82.1;12.175;0.44371;11.3;12.9
"2013-03-28 00:00:00";"2013-03-28 03:00:00";81.81389;0.1084;81.7;82;10.78611;0.73415;9.6;12
"2013-03-28 03:00:00";"2013-03-28 06:00:00";81.86667;0.07071;81.8;82;11.38611;0.3645;10.6;12.1
"2013-03-28 06:00:00";"2013-03-28 09:00:00";74.50556;9.88014;52.3;82.8;17.22222;4.20734;11;23.3
"2013-03-28 09:00:00";"2013-03-28 12:00:00";38.61667;7.11022;29.7;54.9;28.45278;2.5301;22.3;33
"2013-03-28 12:00:00";"2013-03-28 15:00:00";34.98056;3.89778;27.6;45;31.40833;1.70398;26.5;34.5
"2013-03-28 15:00:00";"2013-03-28 18:00:00";68.61944;14.12185;37.4;82.2;19.10833;4.24057;14.2;30
"2013-03-28 18:00:00";"2013-03-28 21:00:00";82.08;0.06676;82;82.3;12.76571;0.57169;11.9;13.9
"2013-03-28 21:00:00";"2013-03-29 00:00:00";81.99444;0.02291;81.9;82;12.07778;0.31101;11.3;12.5
"2013-03-29 00:00:00";"2013-03-29 03:00:00";81.76389;0.06304;81.7;81.9;10.275;0.45969;9.3;11.2
"2013-03-29 03:00:00";"2013-03-29 06:00:00";81.55;0.08333;81.4;81.7;8.45833;0.42057;7.6;9.3
"2013-03-29 06:00:00";"2013-03-29 09:00:00";69.11429;12.24829;45.7;82.3;17.00857;4.7841;9.1;23.4
"2013-03-29 09:00:00";"2013-03-29 12:00:00";47.3871;5.8866;37.8;58.7;24.09032;1.47218;21.5;27.7
"2013-03-29 12:00:00";"2013-03-29 15:00:00";47.71944;6.54182;30.6;57.3;23.78333;2.43248;21;29.9
"2013-03-29 15:00:00";"2013-03-29 18:00:00";66.63889;11.25061;46.7;82.5;20.23889;2.94357;15.6;25.3
"2013-03-29 18:00:00";"2013-03-29 21:00:00";82.175;0.10375;82;82.4;13.41944;0.76877;12.4;15.3
"2013-03-29 21:00:00";"2013-03-30 00:00:00";81.94722;0.09856;81.8;82.1;11.67778;0.67746;10.6;12.8
"2013-03-30 00:00:00";"2013-03-30 03:00:00";81.77778;0.04157;81.7;81.8;10.45278;0.16581;10.2;10.8
"2013-03-30 03:00:00";"2013-03-30 06:00:00";81.71111;0.03143;81.7;81.8;9.75833;0.31656;9.3;10.5
"2013-03-30 06:00:00";"2013-03-30 09:00:00";72.84722;8.92666;55.1;82.2;15.54722;3.79894;10;22
"2013-03-30 09:00:00";"2013-03-30 12:00:00";55.66944;5.67068;45;67;21.64444;1.29001;19.2;24.5
"2013-03-30 12:00:00";"2013-03-30 15:00:00";49.20556;5.59543;37.3;58.8;22.59444;1.92396;19.3;26.8
"2013-03-30 15:00:00";"2013-03-30 18:00:00";57.15556;8.82624;32.7;70.4;20.55278;2.84336;16.7;28.6
