"dia";"hora";"sanpedro/002/humidity";"sanpedro/002/temperature"
"2013-04-15";"23:58:06";92.2;12
"2013-04-15";"23:57:07";86.4;12.1
"2013-04-15";"23:55:58";94.6;12.7
"2013-04-15";"23:53:01";92.2;12
"2013-04-15";"23:52:02";86.4;12.1
"2013-04-15";"23:50:53";94.6;12.7
"2013-04-15";"23:47:56";92.2;12
"2013-04-15";"23:47:03";86.4;12
"2013-04-15";"23:46:09";94.6;12.8
"2013-04-15";"23:42:52";92.2;12
"2013-04-15";"23:41:58";86.4;12
"2013-04-15";"23:41:05";94.6;12.8
"2013-04-15";"23:37:47";92.2;12
"2013-04-15";"23:36:54";86.4;12
"2013-04-15";"23:36:00";94.6;12.8
"2013-04-15";"23:34:18";92.2;12.1
"2013-04-15";"23:31:49";86.4;12
"2013-04-15";"23:30:55";94.6;12.8
"2013-04-15";"23:29:14";92.2;12.1
"2013-04-15";"23:26:44";86.4;12
"2013-04-15";"23:26:28";92.2;12.2
"2013-04-15";"23:25:51";94.6;12.8
"2013-04-15";"23:24:46";92.2;12.3
"2013-04-15";"23:22:33";92.2;12.4
"2013-04-15";"23:21:39";86.4;12
"2013-04-15";"23:20:46";94.6;12.8
"2013-04-15";"23:17:28";92.2;12.4
"2013-04-15";"23:16:35";86.4;12
"2013-04-15";"23:16:19";92.2;12.3
"2013-04-15";"23:16:08";86.4;11.9
"2013-04-15";"23:15:41";94.6;12.8
"2013-04-15";"23:14:37";92.2;12.4
"2013-04-15";"23:12:29";94.6;12.7
"2013-04-15";"23:11:46";92.2;12.3
"2013-04-15";"23:11:03";86.4;11.9
"2013-04-15";"22:44:56";92.2;12.2
"2013-04-15";"22:42:59";94.6;12.6
"2013-04-15";"22:42:26";86.5;11.8
"2013-04-15";"22:41:06";92.2;12.3
"2013-04-15";"21:59:43";92.3;12.7
"2013-04-15";"21:59:38";92.3;12.6
"2013-04-15";"21:59:16";92.3;12.7
"2013-04-15";"21:59:11";86.6;12.8
"2013-04-15";"21:58:50";92.3;12.7
"2013-04-15";"21:58:44";92.3;12.6
"2013-04-15";"21:58:39";92.3;12.7
"2013-04-15";"21:58:33";92.3;12.6
"2013-04-15";"21:57:02";92.3;12.7
"2013-04-15";"21:43:51";92.3;12.6
"2013-04-15";"21:42:36";86.6;12.6
"2013-04-15";"21:40:49";94.7;13.1
"2013-04-15";"21:38:47";92.3;12.6
"2013-04-15";"21:37:37";92.3;12.5
"2013-04-15";"21:37:32";86.6;12.6
"2013-04-15";"21:33:47";92.3;12.6
"2013-04-15";"21:33:26";92.3;12.7
"2013-04-15";"21:33:21";92.3;12.6
"2013-04-15";"21:32:59";92.3;12.7
"2013-04-15";"21:32:54";92.3;12.6
"2013-04-15";"21:32:32";92.3;12.7
"2013-04-15";"21:32:27";86.6;12.6
"2013-04-15";"21:32:21";92.3;12.7
"2013-04-15";"21:32:16";92.3;12.6
"2013-04-15";"20:44:56";92.3;13.1
"2013-04-15";"20:42:05";92.3;13.2
"2013-04-15";"20:41:27";86.7;13.5
"2013-04-15";"20:41:17";94.8;13.8
"2013-04-15";"20:40:28";94.8;13.9
"2013-04-15";"20:37:00";92.3;13.2
"2013-04-15";"20:36:33";92.3;13.3
"2013-04-15";"20:36:22";86.7;13.5
"2013-04-15";"20:35:24";94.8;13.9
"2013-04-15";"20:35:07";86.7;13.6
"2013-04-15";"20:34:03";92.4;13.3
"2013-04-15";"20:30:19";94.8;13.9
"2013-04-15";"20:30:02";86.7;13.6
"2013-04-15";"20:28:58";86.7;13.7
"2013-04-15";"20:28:31";94.8;14
"2013-04-15";"20:23:53";86.7;13.7
"2013-04-15";"20:23:27";94.8;14
"2013-04-15";"20:20:41";86.7;13.8
"2013-04-15";"20:20:03";94.8;14.1
"2013-04-15";"20:18:48";92.4;13.3
"2013-04-15";"20:15:36";86.7;13.8
