"inicio";"fin";"humidity (valentina 002)";"std";"min";"max";"temperature (valentina 002)";"std";"min";"max"
"2013-04-27 12:40:00";"2013-04-27 12:50:00";55.35;0.85;54.5;56.2;21.25;0.25;21;21.5
"2013-04-27 12:50:00";"2013-04-27 13:00:00";62.45;8.05;54.4;70.5;20;2;18;22
"2013-04-27 13:00:00";"2013-04-27 13:10:00";55.26667;7.93361;44.8;64;21.8;3.08653;19;26.1
"2013-04-27 13:10:00";"2013-04-27 13:20:00";50.5;10.01432;36.4;58.7;23.1;4.1142;19.8;28.9
"2013-04-27 13:20:00";"2013-04-27 13:30:00";50.45;1.85;48.6;52.3;22.65;0.35;22.3;23
"2013-04-27 13:30:00";"2013-04-27 13:40:00";51.56667;9.82559;40.7;64.5;24.1;4.92003;18.7;30.6
"2013-04-27 13:40:00";"2013-04-27 13:50:00";48.95;1.65;47.3;50.6;23.2;0.1;23.1;23.3
"2013-04-27 13:50:00";"2013-04-27 14:00:00";46.85;3.95;42.9;50.8;23.2;0.9;22.3;24.1
"2013-04-27 14:00:00";"2013-04-27 14:10:00";46;1.5;44.5;47.5;23.75;0.45;23.3;24.2
"2013-04-27 14:10:00";"2013-04-27 14:20:00";42.15;2.05;40.1;44.2;24.75;0.65;24.1;25.4
"2013-04-27 14:20:00";"2013-04-27 14:30:00";44.35;1.75;42.6;46.1;24.05;0.45;23.6;24.5
"2013-04-27 14:30:00";"2013-04-27 14:40:00";44.75;0.75;44;45.5;23.55;0.45;23.1;24
"2013-04-27 14:40:00";"2013-04-27 14:50:00";42.9;5.88104;35.1;49.3;25.73333;2.94882;22.9;29.8
"2013-04-27 14:50:00";"2013-04-27 15:00:00";43.75;0.35;43.4;44.1;24.2;0.7;23.5;24.9
"2013-04-27 15:00:00";"2013-04-27 15:10:00";52.45;5.35;47.1;57.8;22.35;1.65;20.7;24
"2013-04-27 15:10:00";"2013-04-27 15:20:00";42.7;0.9;41.8;43.6;25;0.7;24.3;25.7
"2013-04-27 15:20:00";"2013-04-27 15:30:00";43.15;1.55;41.6;44.7;24.8;0.7;24.1;25.5
"2013-04-27 15:30:00";"2013-04-27 15:40:00";52.1;7.8;44.3;59.9;21.6;2;19.6;23.6
"2013-04-27 15:40:00";"2013-04-27 15:50:00";53.35;8.65;44.7;62;21.45;2.45;19;23.9
"2013-04-27 15:50:00";"2013-04-27 16:00:00";63.35;3.55;59.8;66.9;19.2;0.8;18.4;20
"2013-04-27 16:00:00";"2013-04-27 16:10:00";59.65;0.35;59.3;60;20.4;0.2;20.2;20.6
"2013-04-27 16:10:00";"2013-04-27 16:20:00";60.43333;2.50377;57.8;63.8;20.53333;1.56915;18.8;22.6
"2013-04-27 16:20:00";"2013-04-27 16:30:00";67.95;2.25;65.7;70.2;17.5;0.2;17.3;17.7
"2013-04-27 16:30:00";"2013-04-27 16:40:00";63.9;1.8;62.1;65.7;18.35;0.55;17.8;18.9
"2013-04-27 16:40:00";"2013-04-27 16:50:00";67.25;2.65;64.6;69.9;17.8;0.8;17;18.6
"2013-04-27 16:50:00";"2013-04-27 17:00:00";73.76667;2.31565;70.5;75.6;16.93333;0.97411;16.1;18.3
"2013-04-27 17:00:00";"2013-04-27 17:10:00";78.66667;0.81786;77.9;79.8;16.26667;0.665;15.7;17.2
"2013-04-27 17:10:00";"2013-04-27 17:20:00";83.4;0.3;83.1;83.7;15.35;0.05;15.3;15.4
