"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2012-05-09 00:00:00";"2012-05-10 00:00:00";;;;;;;;;;;;
"2012-05-10 00:00:00";"2012-05-11 00:00:00";;;;;;;;;;;;
"2012-05-11 00:00:00";"2012-05-12 00:00:00";;;;;;;;;;;;
"2012-05-12 00:00:00";"2012-05-13 00:00:00";;;;;;;;;;;;
"2012-05-13 00:00:00";"2012-05-14 00:00:00";;;;;;;;;;;;
"2012-05-14 00:00:00";"2012-05-15 00:00:00";;;;;;;;;;;;
"2012-05-15 00:00:00";"2012-05-16 00:00:00";;;;;;;;;;;;
"2012-05-16 00:00:00";"2012-05-17 00:00:00";;;;;;;;;;;;
"2012-05-17 00:00:00";"2012-05-18 00:00:00";;;;;;;;;;;;
"2012-05-18 00:00:00";"2012-05-19 00:00:00";;;;;;;;;;;;
"2012-05-19 00:00:00";"2012-05-20 00:00:00";;;;;;;;;;;;
"2012-05-20 00:00:00";"2012-05-21 00:00:00";;;;;;;;;;;;
"2012-05-21 00:00:00";"2012-05-22 00:00:00";;;;;;;;;;;;
"2012-05-22 00:00:00";"2012-05-23 00:00:00";;;;;;;;;;;;
"2012-05-23 00:00:00";"2012-05-24 00:00:00";;;;;;;;;;;;
"2012-05-24 00:00:00";"2012-05-25 00:00:00";;;;;;;;;;;;
"2012-05-25 00:00:00";"2012-05-26 00:00:00";;;;;;;;;;;;
"2012-05-26 00:00:00";"2012-05-27 00:00:00";;;;;;;;;;;;
"2012-05-27 00:00:00";"2012-05-28 00:00:00";;;;;;;;;;;;
"2012-05-28 00:00:00";"2012-05-29 00:00:00";;;;;;;;;;;;
"2012-05-29 00:00:00";"2012-05-30 00:00:00";;;;;;;;;;;;
"2012-05-30 00:00:00";"2012-05-31 00:00:00";;;;;;;;;;;;
"2012-05-31 00:00:00";"2012-06-01 00:00:00";;;;;;;;;;;;
"2012-06-01 00:00:00";"2012-06-02 00:00:00";;;;;;;;;;;;
"2012-06-02 00:00:00";"2012-06-03 00:00:00";;;;;;;;;;;;
"2012-06-03 00:00:00";"2012-06-04 00:00:00";;;;;;;;;;;;
