"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-04-24";"03:02:17";86.1;8.8
"2013-04-24";"03:01:55";94.2;10
"2013-04-24";"03:01:20";92;10
"2013-04-24";"02:59:59";86.1;8.9
"2013-04-24";"02:58:18";86.1;9
"2013-04-24";"02:58:12";92;10.1
"2013-04-24";"02:57:08";94.2;10.1
"2013-04-24";"02:44:07";86.1;9.3
"2013-04-24";"02:43:45";92;10
"2013-04-24";"02:40:23";94.3;10.4
"2013-04-24";"02:40:17";94.3;10.4
"2013-04-24";"02:39:02";86.1;9.3
"2013-04-24";"02:38:57";92;10.1
"2013-04-24";"02:36:27";92;10.2
"2013-04-24";"02:35:50";86.1;9.4
"2013-04-24";"02:35:13";94.3;10.5
"2013-04-24";"02:33:52";86.1;9.5
"2013-04-24";"02:33:47";92;10.3
"2013-04-24";"02:32:32";92;10.4
"2013-04-24";"02:32:26";86.2;9.5
"2013-04-24";"02:32:21";92.1;10.4
"2013-04-24";"02:32:05";94.3;10.6
"2013-04-24";"02:31:38";92.1;10.5
"2013-04-24";"02:29:08";86.2;9.6
"2013-04-24";"02:28:52";94.3;10.7
"2013-04-24";"02:26:33";92.1;10.5
"2013-04-24";"02:26:01";86.2;9.7
"2013-04-24";"02:25:45";94.3;10.8
"2013-04-24";"02:25:40";94.3;10.9
"2013-04-24";"02:25:13";92.1;10.6
"2013-04-24";"02:18:53";86.2;9.9
"2013-04-24";"02:18:43";92.1;10.8
"2013-04-24";"02:18:11";94.4;11
"2013-04-24";"02:16:50";86.2;10
"2013-04-24";"02:16:34";94.4;11.1
"2013-04-24";"02:16:13";92.1;10.9
"2013-04-24";"02:15:30";86.2;10.1
"2013-04-24";"02:13:59";86.3;10.1
"2013-04-24";"02:13:43";94.4;11.2
"2013-04-24";"02:11:35";92.1;11
"2013-04-24";"02:11:29";86.3;10.2
"2013-04-24";"01:42:00";86.3;10.4
"2013-04-24";"01:41:34";94.4;11.5
"2013-04-24";"01:40:19";92.1;11.2
"2013-04-24";"01:14:34";86.4;11
"2013-04-24";"01:13:57";92.1;11.5
"2013-04-24";"01:10:28";94.5;12.1
"2013-04-24";"01:10:12";86.4;11.1
"2013-04-24";"01:10:07";92.1;11.6
"2013-04-24";"00:54:58";86.4;11.1
"2013-04-24";"00:53:43";86.4;11.2
"2013-04-24";"00:52:39";92.1;11.6
"2013-04-24";"00:51:24";94.5;12.2
"2013-04-24";"00:48:38";86.4;11.2
"2013-04-24";"00:47:34";92.1;11.6
"2013-04-24";"00:46:25";86.4;11.3
"2013-04-24";"00:46:20";94.5;12.2
"2013-04-24";"00:45:15";92.1;11.7
"2013-04-24";"00:41:20";86.4;11.3
"2013-04-24";"00:41:15";94.5;12.2
"2013-04-24";"00:40:11";92.1;11.7
"2013-04-24";"00:37:36";86.4;11.4
"2013-04-24";"00:36:32";94.5;12.3
"2013-04-24";"00:35:33";94.5;12.4
"2013-04-24";"00:35:12";94.5;12.3
"2013-04-24";"00:35:06";92.1;11.7
"2013-04-24";"00:32:31";86.4;11.4
"2013-04-24";"00:30:07";94.5;12.3
"2013-04-24";"00:30:01";92.1;11.7
"2013-04-23";"23:59:54";;
"2013-04-23";"23:46:53";86.4;11.4
"2013-04-23";"23:46:37";86.4;11.3
"2013-04-23";"23:46:27";92.1;11.7
"2013-04-23";"23:46:00";94.5;12.2
"2013-04-23";"23:07:41";86.4;11.2
"2013-04-23";"23:05:49";92.1;11.6
"2013-04-23";"23:05:38";94.4;12
"2013-04-23";"23:04:13";86.4;11.1
"2013-04-23";"23:04:07";86.3;11.1
"2013-04-23";"23:03:19";94.4;11.9
"2013-04-23";"23:01:48";92.1;11.5
"2013-04-23";"22:59:03";86.3;11
"2013-04-23";"22:58:15";94.4;11.9
"2013-04-23";"22:57:59";92.1;11.6
"2013-04-23";"22:56:17";92.1;11.5
"2013-04-23";"22:55:13";86.3;10.9
"2013-04-23";"22:49:04";86.3;10.7
"2013-04-23";"22:47:33";94.4;11.6
"2013-04-23";"22:46:08";92.1;11.5
"2013-04-23";"22:44:31";86.3;10.6
"2013-04-23";"22:42:29";94.4;11.6
"2013-04-23";"22:42:28";92.1;11.4
"2013-04-23";"22:42:23";86.3;10.5
"2013-04-23";"22:40:57";92.1;11.5
"2013-04-23";"22:14:23";86.3;10.7
"2013-04-23";"22:13:25";86.4;10.7
"2013-04-23";"22:12:05";94.5;11.8
"2013-04-23";"22:10:50";86.4;10.8
"2013-04-23";"22:10:34";92.1;11.7
"2013-04-23";"21:59:41";86.4;11.2
"2013-04-23";"21:58:42";94.5;12.2
"2013-04-23";"21:58:21";92.2;11.9
"2013-04-23";"21:57:22";86.4;11.3
"2013-04-23";"21:55:35";94.5;12.3
"2013-04-23";"21:55:08";86.4;11.4
"2013-04-23";"21:55:03";86.4;11.5
"2013-04-23";"21:49:58";86.4;11.5
"2013-04-23";"21:49:47";92.2;12.1
"2013-04-23";"21:48:16";86.4;11.6
"2013-04-23";"21:47:18";94.5;12.4
"2013-04-23";"21:33:23";86.5;11.7
"2013-04-23";"21:32:30";94.5;12.5
"2013-04-23";"21:30:21";86.5;11.8
"2013-04-23";"21:30:05";92.2;12.2
"2013-04-23";"21:22:04";86.5;11.9
"2013-04-23";"21:21:49";94.5;12.6
"2013-04-23";"21:21:00";92.2;12.2
"2013-04-23";"21:18:31";86.5;11.8
"2013-04-23";"21:18:25";86.5;11.8
"2013-04-23";"21:17:48";94.5;12.5
"2013-04-23";"21:15:55";92.2;12.2
"2013-04-23";"20:44:55";86.5;12.2
"2013-04-23";"20:44:07";94.6;13
"2013-04-23";"20:42:52";86.6;12.2
"2013-04-23";"20:42:15";92.3;12.5
"2013-04-23";"20:41:05";86.6;12.3
"2013-04-23";"20:40:01";92.3;12.6
"2013-04-23";"20:19:57";86.6;12.8
"2013-04-23";"20:18:11";92.3;12.7
"2013-04-23";"20:17:33";86.6;12.9
"2013-04-23";"20:17:17";94.6;13.4
"2013-04-23";"20:16:45";86.6;13
"2013-04-23";"20:15:51";86.5;13
"2013-04-23";"20:15:30";86.4;13
"2013-04-23";"20:15:03";86.5;13
"2013-04-23";"20:14:47";86.4;13
"2013-04-23";"20:14:31";86.3;13
"2013-04-23";"20:14:20";86.3;13.1
"2013-04-23";"20:14:09";86.4;13.1
"2013-04-23";"20:13:59";86.2;13.1
"2013-04-23";"20:13:37";86.1;13.1
"2013-04-23";"20:13:26";86;13.1
"2013-04-23";"20:13:00";85.9;13.1
"2013-04-23";"20:12:54";85.8;13.1
"2013-04-23";"20:12:38";85.7;13.1
"2013-04-23";"20:12:17";94.6;13.4
"2013-04-23";"20:12:16";85.6;13.1
"2013-04-23";"20:12:06";85.7;13.1
"2013-04-23";"20:12:00";85.7;13.2
"2013-04-23";"20:11:44";85.6;13.2
"2013-04-23";"20:11:39";85.5;13.2
"2013-04-23";"20:11:33";85.4;13.2
"2013-04-23";"20:11:06";85.3;13.2
"2013-04-23";"20:11:01";85.2;13.2
"2013-04-23";"20:10:45";85.1;13.2
"2013-04-23";"20:10:39";85;13.2
"2013-04-23";"20:10:34";84.9;13.2
"2013-04-23";"20:10:28";84.8;13.2
"2013-04-23";"20:09:46";84.6;13.2
"2013-04-23";"20:09:30";84.5;13.2
"2013-04-23";"20:09:14";84.4;13.2
"2013-04-23";"20:09:08";92.3;12.8
"2013-04-23";"20:09:03";84.6;13.2
"2013-04-23";"20:08:57";84.5;13.2
"2013-04-23";"20:08:41";84.4;13.2
"2013-04-23";"20:08:25";84.5;13.2
"2013-04-23";"20:08:14";84.4;13.2
"2013-04-23";"20:08:09";84.5;13.2
"2013-04-23";"20:08:03";84.6;13.2
"2013-04-23";"20:07:58";84.7;13.3
"2013-04-23";"20:07:42";84.8;13.3
"2013-04-23";"20:07:37";84.7;13.3
"2013-04-23";"20:07:26";84.6;13.3
"2013-04-23";"20:07:20";84.5;13.3
"2013-04-23";"20:07:15";94.6;13.4
"2013-04-23";"20:06:59";84.4;13.3
"2013-04-23";"20:06:53";84.3;13.3
"2013-04-23";"20:06:32";84.1;13.3
"2013-04-23";"20:06:21";84;13.3
"2013-04-23";"20:06:16";92.3;12.7
"2013-04-23";"20:06:15";83.9;13.3
"2013-04-23";"20:06:05";83.8;13.3
"2013-04-23";"20:05:49";83.6;13.3
"2013-04-23";"20:05:32";83.6;13.2
"2013-04-23";"20:05:22";94.6;13.3
"2013-04-23";"20:05:16";83.7;13.2
"2013-04-23";"20:05:00";83.6;13.2
"2013-04-23";"20:04:44";83.5;13.2
"2013-04-23";"20:04:23";83.6;13.2
"2013-04-23";"20:04:17";83.8;13.2
"2013-04-23";"20:04:12";84;13.2
"2013-04-23";"20:04:06";84;13.1
"2013-04-23";"20:04:01";83.8;13.1
"2013-04-23";"20:03:55";83.6;13.1
"2013-04-23";"20:03:50";83.5;13.1
"2013-04-23";"20:03:45";83.4;13.1
"2013-04-23";"20:03:39";83.5;13.1
"2013-04-23";"20:03:18";83.6;13.1
"2013-04-23";"20:03:02";83.8;13.1
"2013-04-23";"20:02:51";83.8;13
"2013-04-23";"20:02:45";84.1;13
"2013-04-23";"20:02:35";84.2;13
"2013-04-23";"20:02:29";84.1;13
"2013-04-23";"20:02:24";84;13
"2013-04-23";"20:02:13";83.8;13
"2013-04-23";"20:02:02";84.1;13
"2013-04-23";"20:01:57";84.2;13
"2013-04-23";"20:01:51";84.3;13
"2013-04-23";"20:01:30";84.4;13
"2013-04-23";"20:01:19";84.4;12.9
"2013-04-23";"20:01:14";84.3;12.9
"2013-04-23";"20:01:08";84.2;12.9
"2013-04-23";"20:01:03";84.1;12.9
"2013-04-23";"20:00:57";84.2;12.9
"2013-04-23";"20:00:52";84.3;12.9
"2013-04-23";"20:00:46";84.4;12.9
"2013-04-23";"20:00:41";84.7;12.9
"2013-04-23";"20:00:30";85;12.9
"2013-04-23";"20:00:14";84.7;12.9
"2013-04-23";"19:59:53";84.7;12.8
"2013-04-23";"19:59:47";84.8;12.8
"2013-04-23";"19:59:42";85.2;12.8
"2013-04-23";"19:59:36";85.4;12.8
"2013-04-23";"19:59:31";85.9;12.8
"2013-04-23";"19:59:20";92.3;12.5
"2013-04-23";"19:59:04";86.1;12.8
"2013-04-23";"19:58:59";86.2;12.8
"2013-04-23";"19:58:53";86;12.8
"2013-04-23";"19:58:48";85.9;12.8
"2013-04-23";"19:58:43";94.6;13.1
"2013-04-23";"19:58:42";85.8;12.8
"2013-04-23";"19:58:37";85.9;12.8
"2013-04-23";"19:58:31";86;12.8
"2013-04-23";"19:58:26";86.3;12.8
"2013-04-23";"19:58:15";86.4;12.8
"2013-04-23";"19:58:10";86.5;12.8
"2013-04-23";"19:56:39";92.3;12.6
"2013-04-23";"19:56:34";92.3;12.5
"2013-04-23";"19:56:23";94.6;13
"2013-04-23";"19:54:25";86.6;12.8
"2013-04-23";"19:54:04";86.5;12.8
"2013-04-23";"19:53:59";86.4;12.8
"2013-04-23";"19:53:53";86.2;12.8
"2013-04-23";"19:53:48";85.7;12.8
"2013-04-23";"19:53:42";85.3;12.8
"2013-04-23";"19:53:37";85.2;12.8
"2013-04-23";"19:53:26";85.3;12.8
"2013-04-23";"19:53:21";85.2;12.8
"2013-04-23";"19:53:15";84.9;12.8
"2013-04-23";"19:53:10";84.7;12.8
"2013-04-23";"19:53:04";84.9;12.8
"2013-04-23";"19:52:59";85.4;12.8
"2013-04-23";"19:52:48";85.8;12.8
"2013-04-23";"19:52:43";85.6;12.7
"2013-04-23";"19:52:37";85.3;12.7
"2013-04-23";"19:52:32";85.1;12.7
"2013-04-23";"19:52:26";84.8;12.7
"2013-04-23";"19:52:21";84.6;12.7
"2013-04-23";"19:52:16";84.4;12.7
"2013-04-23";"19:52:10";84.3;12.7
"2013-04-23";"19:52:05";84.4;12.7
"2013-04-23";"19:51:59";84.7;12.7
"2013-04-23";"19:51:54";85.2;12.7
"2013-04-23";"19:51:49";85.4;12.7
"2013-04-23";"19:51:32";85.5;12.7
"2013-04-23";"19:51:27";85.4;12.7
"2013-04-23";"19:51:22";94.6;13
"2013-04-23";"19:51:21";85.3;12.7
"2013-04-23";"19:51:16";85.1;12.7
"2013-04-23";"19:51:10";84.9;12.7
"2013-04-23";"19:50:44";84.8;12.7
"2013-04-23";"19:50:38";84.7;12.6
"2013-04-23";"19:50:33";84.6;12.6
"2013-04-23";"19:50:27";84.7;12.6
"2013-04-23";"19:50:22";84.9;12.6
"2013-04-23";"19:50:17";85.3;12.6
"2013-04-23";"19:50:11";85.5;12.6
"2013-04-23";"19:50:06";85.7;12.6
"2013-04-23";"19:50:00";85.8;12.6
"2013-04-23";"19:49:55";86.1;12.6
"2013-04-23";"19:49:50";86.3;12.6
"2013-04-23";"19:48:35";86.5;12.6
"2013-04-23";"19:48:19";86.4;12.6
"2013-04-23";"19:48:13";86.3;12.6
"2013-04-23";"19:48:08";86;12.6
"2013-04-23";"19:48:02";85.9;12.6
"2013-04-23";"19:47:52";85.8;12.6
"2013-04-23";"19:47:41";85.7;12.6
"2013-04-23";"19:47:35";85.6;12.6
"2013-04-23";"19:46:53";85.5;12.6
"2013-04-23";"19:46:47";85.6;12.6
"2013-04-23";"19:46:42";85.8;12.6
"2013-04-23";"19:46:36";86.1;12.6
"2013-04-23";"19:46:31";92.3;12.5
"2013-04-23";"19:46:25";86.3;12.7
"2013-04-23";"19:46:20";86.4;12.7
"2013-04-23";"19:45:00";86.5;12.7
"2013-04-23";"19:44:54";86.4;12.7
"2013-04-23";"19:44:49";86.3;12.7
"2013-04-23";"19:44:44";85.9;12.7
"2013-04-23";"19:44:38";85.7;12.7
"2013-04-23";"19:44:33";85.5;12.7
"2013-04-23";"19:44:11";85.4;12.7
"2013-04-23";"19:43:50";85.5;12.7
"2013-04-23";"19:43:44";85.3;12.7
"2013-04-23";"19:43:29";94.6;13.1
"2013-04-23";"19:43:23";85.1;12.7
"2013-04-23";"19:43:17";85;12.7
"2013-04-23";"19:43:12";84.7;12.7
"2013-04-23";"19:43:07";84.6;12.7
"2013-04-23";"19:43:01";84.5;12.7
"2013-04-23";"19:42:50";84.3;12.7
"2013-04-23";"19:42:45";84.1;12.7
"2013-04-23";"19:42:40";83.8;12.7
"2013-04-23";"19:42:34";83.7;12.7
"2013-04-23";"19:42:23";83.6;12.7
"2013-04-23";"19:42:18";83.7;12.7
"2013-04-23";"19:42:13";83.8;12.7
"2013-04-23";"19:42:07";83.9;12.7
"2013-04-23";"19:42:02";84.1;12.7
"2013-04-23";"19:41:56";84.2;12.7
"2013-04-23";"19:41:51";84.3;12.7
"2013-04-23";"19:41:45";84.6;12.7
"2013-04-23";"19:41:40";84.8;12.7
"2013-04-23";"19:41:34";85.1;12.7
"2013-04-23";"19:41:29";85.6;12.7
"2013-04-23";"19:41:23";86;12.7
"2013-04-23";"19:41:18";86.3;12.7
"2013-04-23";"19:41:13";94.7;13.2
"2013-04-23";"19:40:56";86.4;12.7
"2013-04-23";"19:40:40";86.3;12.7
"2013-04-23";"19:40:29";86.2;12.7
"2013-04-23";"19:40:24";86.1;12.7
"2013-04-23";"19:40:19";85.9;12.7
"2013-04-23";"19:40:13";85.7;12.7
"2013-04-23";"19:39:30";85.6;12.7
"2013-04-23";"19:39:19";85.7;12.7
"2013-04-23";"19:39:14";85.7;12.8
"2013-04-23";"19:39:09";92.3;12.7
"2013-04-23";"19:39:08";85.6;12.8
"2013-04-23";"19:38:52";85.5;12.8
"2013-04-23";"19:38:42";85.6;12.8
"2013-04-23";"19:37:59";85.8;12.8
"2013-04-23";"19:37:53";85.7;12.8
"2013-04-23";"19:37:48";85.6;12.8
"2013-04-23";"19:37:42";85.5;12.8
"2013-04-23";"19:37:37";85.4;12.8
"2013-04-23";"19:37:26";94.7;13.3
"2013-04-23";"19:37:15";85.3;12.8
"2013-04-23";"19:36:43";85.3;12.9
"2013-04-23";"19:36:27";85.2;12.9
"2013-04-23";"19:36:16";85.1;12.9
"2013-04-23";"19:36:06";85;12.9
"2013-04-23";"19:36:00";85.1;12.9
"2013-04-23";"19:35:49";85.2;12.9
"2013-04-23";"19:35:44";85.1;12.9
"2013-04-23";"19:35:38";85;12.9
"2013-04-23";"19:35:28";84.7;12.9
"2013-04-23";"19:35:22";84.5;12.9
"2013-04-23";"19:35:17";84.3;13
"2013-04-23";"19:35:11";84.2;13
"2013-04-23";"19:35:06";84;13
"2013-04-23";"19:35:00";83.9;13
"2013-04-23";"19:34:55";83.7;13
"2013-04-23";"19:34:18";83.6;13
"2013-04-23";"19:34:07";83.5;13
"2013-04-23";"19:34:01";83.3;13
"2013-04-23";"19:33:56";83.2;13
"2013-04-23";"19:33:40";83.1;13
"2013-04-23";"19:33:34";83.1;13.1
"2013-04-23";"19:33:29";83.3;13.1
"2013-04-23";"19:32:41";83.5;13.1
"2013-04-23";"19:32:25";83.5;13.2
"2013-04-23";"19:32:14";83.3;13.2
"2013-04-23";"19:32:03";83.2;13.2
"2013-04-23";"19:31:52";83.1;13.2
"2013-04-23";"19:31:47";82.8;13.2
"2013-04-23";"19:31:41";82.6;13.2
"2013-04-23";"19:31:36";82.5;13.3
"2013-04-23";"19:31:30";82.3;13.3
"2013-04-23";"19:31:25";82.2;13.3
"2013-04-23";"19:31:20";82.1;13.3
"2013-04-23";"19:30:58";82.2;13.3
"2013-04-23";"19:30:53";82.1;13.3
"2013-04-23";"19:30:37";82;13.3
"2013-04-23";"19:30:31";82.1;13.3
"2013-04-23";"19:30:10";82.2;13.4
"2013-04-23";"19:30:04";82.1;13.4
"2013-04-23";"19:29:54";82;13.4
"2013-04-23";"19:29:48";81.8;13.4
"2013-04-23";"19:29:43";81.6;13.4
"2013-04-23";"19:29:37";81.3;13.4
"2013-04-23";"19:29:32";80.9;13.4
"2013-04-23";"19:29:27";80.4;13.4
"2013-04-23";"19:29:21";80;13.4
"2013-04-23";"19:29:16";79.8;13.4
"2013-04-23";"19:29:05";79.7;13.4
"2013-04-23";"19:28:49";79.6;13.4
"2013-04-23";"19:28:38";79.8;13.4
"2013-04-23";"19:28:32";79.7;13.4
"2013-04-23";"19:28:27";79.4;13.4
"2013-04-23";"19:28:22";79.2;13.4
"2013-04-23";"19:28:16";79.1;13.4
"2013-04-23";"19:28:11";78.9;13.4
"2013-04-23";"19:28:05";78.8;13.4
"2013-04-23";"19:28:00";78.6;13.4
"2013-04-23";"19:27:49";78.5;13.4
