"dia";"hora";"sanpedro/002/humidity";"sanpedro/002/temperature"
"2013-04-27";"07:34:56";77.2;14.7
"2013-04-27";"07:34:51";77.3;14.7
"2013-04-27";"07:34:45";85.6;14.2
"2013-04-27";"07:34:39";85.5;14.2
"2013-04-27";"07:34:34";84.8;15.7
"2013-04-27";"07:34:33";85.4;14.2
"2013-04-27";"07:34:28";77.3;14.6
"2013-04-27";"07:34:17";85.1;14.2
"2013-04-27";"07:34:16";77.4;14.6
"2013-04-27";"07:34:11";77.3;14.5
"2013-04-27";"07:34:05";84.8;14.2
"2013-04-27";"07:34:00";84.3;15.6
"2013-04-27";"07:33:59";77.2;14.5
"2013-04-27";"07:33:54";84;15.6
"2013-04-27";"07:33:48";77.3;14.5
"2013-04-27";"07:33:43";84.6;14.2
"2013-04-27";"07:33:42";77.1;14.5
"2013-04-27";"07:33:37";76.8;14.5
"2013-04-27";"07:33:31";76.5;14.5
"2013-04-27";"07:33:26";84.8;15.6
"2013-04-27";"07:33:25";76.6;14.5
"2013-04-27";"07:33:20";76.7;14.5
"2013-04-27";"07:33:14";76.9;14.5
"2013-04-27";"07:33:08";77.3;14.5
"2013-04-27";"07:33:02";77.3;14.4
"2013-04-27";"07:32:57";77.9;14.4
"2013-04-27";"07:32:51";78.1;14.4
"2013-04-27";"07:32:46";84.8;15.5
"2013-04-27";"07:32:40";78.5;14.4
"2013-04-27";"07:32:35";85.1;14.3
"2013-04-27";"07:32:29";85.5;15.5
"2013-04-27";"07:32:23";78.6;14.4
"2013-04-27";"07:32:18";78.8;14.4
"2013-04-27";"07:32:12";79.1;14.3
"2013-04-27";"07:32:07";84.8;15.4
"2013-04-27";"07:32:06";79.3;14.3
"2013-04-27";"07:32:01";79.6;14.3
"2013-04-27";"07:31:55";84.5;15.4
"2013-04-27";"07:31:50";84.4;15.4
"2013-04-27";"07:31:44";79.8;14.3
"2013-04-27";"07:31:38";79.8;14.2
"2013-04-27";"07:31:32";80.1;14.2
"2013-04-27";"07:31:27";85.2;14.3
"2013-04-27";"07:31:21";80.4;14.2
"2013-04-27";"07:31:16";84;15.4
"2013-04-27";"07:31:15";80.3;14.1
"2013-04-27";"07:31:10";80.2;14.1
"2013-04-27";"07:31:04";80.1;14.1
"2013-04-27";"07:30:58";79.9;14.1
"2013-04-27";"07:30:53";79.6;14.1
"2013-04-27";"07:30:47";79.3;14.1
"2013-04-27";"07:30:42";85.7;15.4
"2013-04-27";"07:30:41";78.7;14.1
"2013-04-27";"07:30:36";78.3;14
"2013-04-27";"07:14:54";88.6;12.5
