"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-05-16";"08:14:57";69.7;17.6
"2013-05-16";"08:14:51";69.9;17.6
"2013-05-16";"08:14:46";73.2;19.4
"2013-05-16";"08:14:45";70.4;17.6
"2013-05-16";"08:14:40";73.4;19.4
"2013-05-16";"08:14:34";70.8;17.6
"2013-05-16";"08:14:29";84.1;19
"2013-05-16";"08:14:28";70.5;17.6
"2013-05-16";"08:14:23";73.6;19.4
"2013-05-16";"08:14:17";70.3;17.6
"2013-05-16";"08:14:12";84.1;19
"2013-05-16";"08:14:11";70.2;17.5
"2013-05-16";"08:14:06";70.1;17.5
"2013-05-16";"08:14:00";70;17.5
"2013-05-16";"08:13:54";70.1;17.5
"2013-05-16";"08:13:49";84.7;18.9
"2013-05-16";"08:13:48";74.1;19.5
"2013-05-16";"08:13:43";70.2;17.5
"2013-05-16";"08:13:37";70.6;17.5
"2013-05-16";"08:13:31";84.1;18.9
"2013-05-16";"08:13:26";74.8;19.5
"2013-05-16";"08:13:25";71.5;17.4
"2013-05-16";"08:13:20";71.4;17.4
"2013-05-16";"08:13:14";71;17.4
"2013-05-16";"08:13:09";84.6;18.9
"2013-05-16";"08:13:08";70.7;17.4
"2013-05-16";"08:13:03";70.5;17.4
"2013-05-16";"08:12:57";70.7;17.3
"2013-05-16";"08:12:52";86;18.9
"2013-05-16";"08:12:51";71.2;17.3
"2013-05-16";"08:12:46";71.3;17.3
"2013-05-16";"08:12:40";74.6;19.5
"2013-05-16";"08:12:35";71.1;17.3
"2013-05-16";"08:12:29";71;17.3
"2013-05-16";"08:12:23";71.6;17.3
"2013-05-16";"08:12:18";74.8;19.5
"2013-05-16";"08:12:17";71.8;17.3
"2013-05-16";"08:12:12";72.1;17.2
"2013-05-16";"08:12:06";72.3;17.2
"2013-05-16";"08:12:00";72.2;17.2
"2013-05-16";"08:11:55";84.7;18.8
"2013-05-16";"08:11:54";72.1;17.2
"2013-05-16";"08:11:49";72;17.2
"2013-05-16";"08:11:43";71.9;17.1
"2013-05-16";"08:11:38";75.9;19.5
"2013-05-16";"08:11:32";76;19.5
"2013-05-16";"08:11:26";71.6;17.1
"2013-05-16";"08:11:21";84.8;18.7
"2013-05-16";"08:11:20";71.8;17.1
"2013-05-16";"08:11:15";71.8;17
"2013-05-16";"08:11:09";72;17
"2013-05-16";"08:11:03";72.5;17
"2013-05-16";"08:10:58";84.4;18.7
"2013-05-16";"08:04:56";69.6;17.6
"2013-05-16";"08:04:50";80;19
"2013-05-16";"08:04:45";80.1;19
"2013-05-16";"08:04:39";69.9;17.6
"2013-05-16";"08:04:33";69.8;17.6
"2013-05-16";"08:04:28";80.7;19
"2013-05-16";"08:04:27";70;17.6
"2013-05-16";"08:04:22";70.3;17.6
"2013-05-16";"08:04:16";71;17.6
"2013-05-16";"08:04:11";83.3;18.6
"2013-05-16";"08:04:10";71.3;17.5
"2013-05-16";"08:04:05";71.6;17.5
"2013-05-16";"08:03:59";71.8;17.5
"2013-05-16";"08:03:54";72.2;17.5
"2013-05-16";"08:03:48";72.2;17.4
"2013-05-16";"08:03:42";71.9;17.4
"2013-05-16";"08:03:37";82.7;18.6
"2013-05-16";"08:03:36";72.2;17.4
"2013-05-16";"08:03:31";72.5;17.4
"2013-05-16";"08:03:25";72.4;17.3
"2013-05-16";"08:03:19";72.3;17.3
"2013-05-16";"08:03:14";82.3;18.9
"2013-05-16";"08:03:08";72.2;17.3
"2013-05-16";"08:03:02";71.9;17.3
"2013-05-16";"08:02:57";72;17.3
"2013-05-16";"08:02:51";72.3;17.2
"2013-05-16";"08:02:45";72.8;17.2
"2013-05-16";"08:02:40";82.9;18.8
"2013-05-16";"08:02:39";72.6;17.2
"2013-05-16";"08:02:34";83.4;18.6
"2013-05-16";"08:02:29";83.1;18.6
"2013-05-16";"08:02:28";72.7;17.2
"2013-05-16";"08:02:23";83.3;18.7
"2013-05-16";"08:02:22";72.6;17.1
"2013-05-16";"08:02:17";72.2;17.1
"2013-05-16";"08:02:11";71.8;17.1
"2013-05-16";"08:02:06";83.3;18.5
"2013-05-16";"08:02:05";71.7;17.1
"2013-05-16";"08:02:00";71.5;17.1
"2013-05-16";"08:01:54";71.4;17.1
"2013-05-16";"08:01:49";85.4;18.5
"2013-05-16";"08:01:48";71.2;17.1
"2013-05-16";"08:01:43";71.3;17.1
"2013-05-16";"08:01:37";71.6;17.1
"2013-05-16";"08:01:32";85.7;18.5
"2013-05-16";"08:01:31";71.9;17
"2013-05-16";"08:01:26";72;17
"2013-05-16";"08:01:20";72.1;17
"2013-05-16";"08:01:15";86;18.5
"2013-05-16";"08:01:14";72.3;17
"2013-05-16";"08:01:09";83.9;18.5
"2013-05-16";"07:59:05";;
"2013-05-16";"07:58:54";;
"2013-05-16";"07:34:59";77.9;16.6
"2013-05-16";"07:34:53";89.2;16.7
"2013-05-16";"07:34:47";77.7;16.5
"2013-05-16";"07:34:42";77.6;16.5
"2013-05-16";"07:34:36";77.3;16.5
"2013-05-16";"07:34:31";89.1;17.2
"2013-05-16";"07:34:25";89.4;17.2
"2013-05-16";"07:34:19";77.2;16.5
"2013-05-16";"07:34:14";77;16.5
"2013-05-16";"07:34:08";76.9;16.5
"2013-05-16";"07:34:02";76.7;16.5
"2013-05-16";"07:33:57";76.5;16.5
"2013-05-16";"07:33:51";76.3;16.5
"2013-05-16";"07:33:46";76.1;16.5
"2013-05-16";"07:33:40";75.8;16.5
