"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2013-04-16 00:00:00";"2013-04-16 03:23:59";90.47846;3.52121;86.2;94.6;11.36;0.70554;10.1;12.8
"2013-04-16 03:23:59";"2013-04-16 06:47:59";89.84778;3.5748;86.2;94.5;11.01222;0.50702;10;12.1
"2013-04-16 06:47:59";"2013-04-16 10:11:59";88.85476;3.83959;84.3;94.8;13.09762;0.51984;11.8;14
"2013-04-16 10:11:59";"2013-04-16 13:35:59";;;;;;;;
"2013-04-16 13:35:59";"2013-04-16 16:59:58";67.92982;4.1113;63.4;75.8;20.77895;1.09876;20;24.4
"2013-04-16 16:59:58";"2013-04-16 20:23:58";87.54585;3.39938;83.2;94.9;15.08878;1.71137;11.5;18.2
"2013-04-16 20:23:58";"2013-04-16 23:47:58";90.76333;3.45358;86.4;94.7;12.91778;0.4637;11.5;13.7
"2013-04-16 23:47:58";"2013-04-17 03:11:58";89.65769;3.62572;85.9;94.6;10.04231;1.28481;8;12.6
"2013-04-17 03:11:58";"2013-04-17 06:35:57";88.7336;3.51413;85.9;94.2;8.884;0.61102;7.6;10.2
"2013-04-17 06:35:57";"2013-04-17 09:59:57";75.65281;13.651;60.2;94.4;15.58876;5.24626;8.4;24.4
"2013-04-17 09:59:57";"2013-04-17 13:23:57";48.66067;8.40038;32.5;62.6;23.08202;3.03798;20;32
"2013-04-17 13:23:57";"2013-04-17 16:47:57";83.33922;1.79291;81.4;87.3;17.37843;0.84466;16.8;19.6
"2013-04-17 16:47:57";"2013-04-17 20:11:56";85.65189;2.47777;82.8;95.1;13.67595;0.46446;12.7;16.9
"2013-04-17 20:11:56";"2013-04-17 23:35:56";90.84675;3.2422;86.5;94.7;12.87532;0.31834;12.4;13.6
"2013-04-17 23:35:56";"2013-04-18 02:59:56";91.2;3.20667;86.5;94.6;12.25946;0.38866;11.6;13.2
"2013-04-18 02:59:56";"2013-04-18 06:23:56";91.175;3.3052;86.5;94.5;11.96875;0.40423;11.5;12.7
"2013-04-18 06:23:56";"2013-04-18 09:47:55";;;;;;;;
"2013-04-18 09:47:55";"2013-04-18 13:11:55";;;;;;;;
"2013-04-18 13:11:55";"2013-04-18 16:35:55";79.80566;1.32841;77.7;82.9;17.39245;0.87499;16.8;20.3
"2013-04-18 16:35:55";"2013-04-18 19:59:55";88.2641;3.18301;85.1;95.2;15.44786;0.66917;13.1;16.9
"2013-04-18 19:59:55";"2013-04-18 23:23:54";91.12326;3.62798;86.4;94.8;12.93721;0.85236;11.4;14.3
"2013-04-18 23:23:54";"2013-04-19 02:47:54";91.38235;3.34217;86.3;94.6;12.14902;0.69009;10.6;13.1
"2013-04-19 02:47:54";"2013-04-19 06:11:54";90.83077;3.43598;86.3;94.5;11.23077;0.64197;10.4;12.2
"2013-04-19 06:11:54";"2013-04-19 09:35:54";;;;;;;;
"2013-04-19 09:35:54";"2013-04-19 12:59:53";;;;;;;;
"2013-04-19 12:59:53";"2013-04-19 16:23:53";;;;;;;;
"2013-04-19 16:23:53";"2013-04-19 19:47:53";91.23819;3.31122;86.5;94.9;13.34792;0.89551;12;15.3
"2013-04-19 19:47:53";"2013-04-19 23:11:53";90.7325;3.58799;86.5;94.7;12.45;0.5005;11.8;13.3
"2013-04-19 23:11:53";"2013-04-20 02:35:52";91.07941;3.38967;86.3;94.7;11.59706;0.58936;10.7;12.8
"2013-04-20 02:35:52";"2013-04-20 05:59:52";90.69048;3.5705;86.3;94.5;11.09048;0.48196;10.5;11.7
"2013-04-20 05:59:52";"2013-04-20 09:23:52";90.79388;3.49463;86.3;94.7;12.15102;1.03137;10.7;14.3
"2013-04-20 09:23:52";"2013-04-20 12:47:52";;;;;;;;
"2013-04-20 12:47:52";"2013-04-20 16:11:51";;;;;;;;
"2013-04-20 16:11:51";"2013-04-20 19:35:51";;;;;;;;
"2013-04-20 19:35:51";"2013-04-20 22:59:51";;;;;;;;
"2013-04-20 22:59:51";"2013-04-21 02:23:51";;;;;;;;
"2013-04-21 02:23:51";"2013-04-21 05:47:50";;;;;;;;
"2013-04-21 05:47:50";"2013-04-21 09:11:50";;;;;;;;
"2013-04-21 09:11:50";"2013-04-21 12:35:50";;;;;;;;
"2013-04-21 12:35:50";"2013-04-21 15:59:50";;;;;;;;
"2013-04-21 15:59:50";"2013-04-21 19:23:49";;;;;;;;
"2013-04-21 19:23:49";"2013-04-21 22:47:49";;;;;;;;
"2013-04-21 22:47:49";"2013-04-22 02:11:49";;;;;;;;
"2013-04-22 02:11:49";"2013-04-22 05:35:49";;;;;;;;
