"dia";"hora";"sanpedro/002/humidity";"sanpedro/002/temperature"
"2013-02-28";"23:54:33";92.1;12.1
"2013-02-28";"23:49:29";92.1;12.1
"2013-02-28";"23:44:24";92.1;12.1
"2013-02-28";"23:39:20";92.1;12.1
"2013-02-28";"23:39:14";92.2;12.1
"2013-02-28";"23:37:27";92.2;12.2
"2013-02-28";"23:32:23";92.2;12.2
"2013-02-28";"23:32:12";92.2;12.2
"2013-02-28";"23:32:06";92.2;12.1
"2013-02-28";"23:31:45";92.2;12.2
"2013-02-28";"23:28:38";92.2;12.1
"2013-02-28";"23:24:22";92.2;12.3
"2013-02-28";"23:24:16";92.2;12.2
"2013-02-28";"23:19:22";92.2;12.3
"2013-02-28";"23:17:51";92.2;12.4
"2013-02-28";"23:12:47";92.2;12.4
"2013-02-28";"23:07:42";92.2;12.4
"2013-02-28";"23:03:36";92.2;12.5
"2013-02-28";"22:58:32";92.2;12.5
"2013-02-28";"22:57:11";92.2;12.6
"2013-02-28";"22:52:55";92.2;12.5
"2013-02-28";"22:47:50";92.2;12.5
"2013-02-28";"22:47:13";92.2;12.6
"2013-02-28";"22:42:19";92.2;12.5
"2013-02-28";"22:37:14";92.2;12.5
"2013-02-28";"22:35:49";92.2;12.6
"2013-02-28";"22:34:44";92.2;12.5
"2013-02-28";"22:32:52";92.2;12.6
"2013-02-28";"22:32:30";92.2;12.6
"2013-02-28";"22:31:58";92.2;12.7
"2013-02-28";"22:26:53";92.2;12.7
"2013-02-28";"22:26:48";92.2;12.8
"2013-02-28";"22:21:43";92.2;12.8
"2013-02-28";"22:20:50";92.2;12.7
"2013-02-28";"22:15:45";92.2;12.7
"2013-02-28";"22:13:37";92.2;12.8
"2013-02-28";"22:08:32";92.2;12.8
"2013-02-28";"22:06:50";92.2;12.9
"2013-02-28";"22:03:38";92.2;12.8
"2013-02-28";"22:02:55";92.2;12.9
"2013-02-28";"22:02:12";92.3;12.9
"2013-02-28";"21:58:49";92.3;13
"2013-02-28";"21:53:44";92.3;13
"2013-02-28";"21:48:39";92.3;13
"2013-02-28";"21:45:11";92.3;13.1
"2013-02-28";"21:40:06";92.3;13.1
"2013-02-28";"21:35:02";92.3;13.1
"2013-02-28";"21:29:57";92.3;13.1
"2013-02-28";"21:25:56";92.3;13.2
"2013-02-28";"21:22:01";92.3;13.3
"2013-02-28";"21:20:14";92.3;13.4
"2013-02-28";"21:18:00";92.4;13.4
"2013-02-28";"21:14:31";92.4;13.5
"2013-02-28";"21:12:18";92.4;13.6
"2013-02-28";"21:12:02";92.4;13.7
"2013-02-28";"21:06:57";92.4;13.7
"2013-02-28";"21:04:16";92.4;13.8
"2013-02-28";"20:59:12";92.4;13.8
"2013-02-28";"20:54:07";92.4;13.8
"2013-02-28";"20:52:26";92.4;13.7
"2013-02-28";"20:49:02";92.4;13.8
"2013-02-28";"20:44:14";92.4;13.7
"2013-02-28";"20:39:10";92.4;13.7
"2013-02-28";"20:35:25";92.4;13.6
"2013-02-28";"20:33:59";92.4;13.7
"2013-02-28";"20:32:44";92.4;13.8
"2013-02-28";"20:27:40";92.4;13.8
"2013-02-28";"20:27:13";92.4;13.9
"2013-02-28";"20:22:08";92.4;13.9
"2013-02-28";"20:17:03";92.4;13.9
"2013-02-28";"20:15:16";92.4;14
"2013-02-28";"20:12:25";92.4;14.1
"2013-02-28";"20:11:10";92.4;14.2
"2013-02-28";"20:06:05";92.4;14.2
"2013-02-28";"20:05:33";92.5;14.2
"2013-02-28";"20:02:52";92.5;14.3
"2013-02-28";"19:58:09";92.5;14.4
"2013-02-28";"19:53:04";92.5;14.4
"2013-02-28";"19:51:17";92.5;14.5
"2013-02-28";"19:48:14";92.5;14.6
"2013-02-28";"19:46:04";92.5;14.7
"2013-02-28";"19:41:07";92.5;14.8
"2013-02-28";"19:38:25";92.5;14.9
"2013-02-28";"19:36:48";92.5;15
"2013-02-28";"19:31:45";92.5;15
"2013-02-28";"19:31:18";92.5;14.9
"2013-02-28";"19:30:45";92.4;14.9
"2013-02-28";"19:30:23";92.2;14.9
"2013-02-28";"19:30:13";92;14.9
"2013-02-28";"19:30:02";91.8;14.9
"2013-02-28";"19:29:51";91.5;14.9
"2013-02-28";"19:29:40";91.4;15
"2013-02-28";"19:29:02";91.4;15
"2013-02-28";"19:28:51";91.7;15
"2013-02-28";"19:28:45";91.8;15
"2013-02-28";"19:28:34";91.9;15
"2013-02-28";"19:28:23";91.6;15
"2013-02-28";"19:28:13";91.4;15
"2013-02-28";"19:27:45";91.3;15
"2013-02-28";"19:26:40";91.4;15.1
"2013-02-28";"19:26:24";91.3;15.1
"2013-02-28";"19:26:02";91.3;15.2
"2013-02-28";"19:25:52";91.2;15.2
"2013-02-28";"19:25:46";91.1;15.2
"2013-02-28";"19:25:19";91;15.2
"2013-02-28";"19:24:57";91;15.3
"2013-02-28";"19:24:41";90.9;15.3
"2013-02-28";"19:24:30";91.1;15.3
"2013-02-28";"19:24:24";91.2;15.3
"2013-02-28";"19:24:13";91.3;15.3
"2013-02-28";"19:24:03";91.3;15.4
"2013-02-28";"19:23:25";91.2;15.4
"2013-02-28";"19:23:14";91.1;15.4
"2013-02-28";"19:23:03";90.9;15.4
"2013-02-28";"19:22:52";90.6;15.4
"2013-02-28";"19:22:41";90.5;15.4
"2013-02-28";"19:22:30";90.4;15.4
"2013-02-28";"19:21:41";90.4;15.4
"2013-02-28";"19:21:30";90.5;15.5
"2013-02-28";"19:21:14";90.6;15.5
"2013-02-28";"19:21:03";90.3;15.5
"2013-02-28";"19:20:52";90.1;15.5
"2013-02-28";"19:20:41";89.8;15.5
"2013-02-28";"19:20:30";89.6;15.5
"2013-02-28";"19:20:08";89.5;15.5
"2013-02-28";"19:19:52";89.6;15.5
"2013-02-28";"19:19:41";89.8;15.5
"2013-02-28";"19:19:35";90;15.6
"2013-02-28";"19:19:08";90.2;15.6
"2013-02-28";"19:18:51";90.1;15.6
"2013-02-28";"19:18:46";90;15.6
"2013-02-28";"19:18:35";89.9;15.6
"2013-02-28";"19:18:02";89.8;15.6
"2013-02-28";"19:17:51";90;15.6
"2013-02-28";"19:17:45";90.3;15.6
"2013-02-28";"19:17:34";90.4;15.6
"2013-02-28";"19:17:23";90.5;15.6
"2013-02-28";"19:16:50";90.6;15.6
"2013-02-28";"19:16:45";90.5;15.6
"2013-02-28";"19:16:34";90.4;15.6
"2013-02-28";"19:16:22";90.3;15.6
"2013-02-28";"19:15:44";90.2;15.6
"2013-02-28";"19:15:33";90.1;15.6
"2013-02-28";"19:15:22";89.8;15.6
"2013-02-28";"19:15:11";89.6;15.6
"2013-02-28";"19:15:00";89.4;15.6
"2013-02-28";"19:14:54";89.2;15.6
"2013-02-28";"19:14:43";89.1;15.6
"2013-02-28";"19:14:38";89.1;15.7
"2013-02-28";"19:14:21";89.3;15.7
"2013-02-28";"19:14:10";89.6;15.7
"2013-02-28";"19:14:05";89.8;15.7
"2013-02-28";"19:13:59";90;15.7
"2013-02-28";"19:13:37";90.1;15.7
"2013-02-28";"19:13:21";90;15.7
"2013-02-28";"19:12:59";89.9;15.7
"2013-02-28";"19:12:15";90;15.7
"2013-02-28";"19:11:53";89.8;15.7
"2013-02-28";"19:11:42";89.6;15.7
"2013-02-28";"19:11:31";89.4;15.7
"2013-02-28";"19:11:20";89.1;15.7
"2013-02-28";"19:11:14";89;15.7
"2013-02-28";"19:10:52";88.9;15.7
"2013-02-28";"19:10:47";89;15.8
"2013-02-28";"19:10:36";89.1;15.8
"2013-02-28";"19:10:14";89.4;15.8
"2013-02-28";"19:09:52";89.5;15.8
"2013-02-28";"19:09:35";89.4;15.8
"2013-02-28";"19:09:13";89.2;15.8
"2013-02-28";"19:09:02";89.1;15.7
"2013-02-28";"19:08:51";88.9;15.7
"2013-02-28";"19:08:40";88.7;15.7
"2013-02-28";"19:08:34";88.6;15.7
"2013-02-28";"19:08:23";88.4;15.7
"2013-02-28";"19:08:12";88;15.7
"2013-02-28";"19:08:01";87.7;15.7
"2013-02-28";"19:07:49";87.4;15.8
"2013-02-28";"19:07:33";87.2;15.8
"2013-02-28";"19:07:22";87;15.8
"2013-02-28";"19:07:11";86.8;15.8
"2013-02-28";"19:07:00";86.4;15.8
"2013-02-28";"19:06:54";86.3;15.8
"2013-02-28";"19:06:43";86.2;15.8
"2013-02-28";"19:06:32";86;15.8
"2013-02-28";"19:06:20";85.8;15.8
"2013-02-28";"19:06:15";85.5;15.9
"2013-02-28";"19:06:09";85.4;15.9
"2013-02-28";"19:05:36";85.3;15.9
"2013-02-28";"19:05:20";85.2;15.9
"2013-02-28";"19:05:14";85.1;15.9
"2013-02-28";"19:05:03";85.1;16
"2013-02-28";"19:04:30";85;16
"2013-02-28";"19:04:25";85;16.1
"2013-02-28";"19:04:14";84.8;16.1
"2013-02-28";"19:04:03";84.6;16.1
"2013-02-28";"19:03:52";84.4;16.1
"2013-02-28";"19:03:41";84.2;16.1
"2013-02-28";"19:03:30";83.8;16.2
"2013-02-28";"19:03:24";83.7;16.2
"2013-02-28";"19:03:13";83.6;16.2
"2013-02-28";"19:02:50";83.5;16.3
"2013-02-28";"19:02:39";83.4;16.3
"2013-02-28";"19:02:06";83.3;16.3
"2013-02-28";"19:01:55";83.3;16.4
"2013-02-28";"19:01:33";83.1;16.4
"2013-02-28";"19:01:22";82.9;16.4
"2013-02-28";"19:01:17";82.7;16.4
"2013-02-28";"19:01:00";82.5;16.5
"2013-02-28";"19:00:55";82.4;16.5
"2013-02-28";"19:00:44";82.2;16.5
"2013-02-28";"19:00:38";82.1;16.6
"2013-02-28";"19:00:21";81.7;16.6
"2013-02-28";"19:00:16";81.6;16.6
"2013-02-28";"19:00:04";81.5;16.6
"2013-02-28";"18:59:53";81.4;16.6
"2013-02-28";"18:59:21";81.3;16.7
"2013-02-28";"18:59:15";81.3;16.8
"2013-02-28";"18:58:53";81.2;16.8
"2013-02-28";"18:58:42";81;16.8
"2013-02-28";"18:58:30";80.5;16.8
"2013-02-28";"18:58:25";80.3;16.9
"2013-02-28";"18:58:14";80;16.9
"2013-02-28";"18:58:08";79.9;16.9
"2013-02-28";"18:57:57";79.8;16.9
"2013-02-28";"18:57:40";79.6;16.9
"2013-02-28";"18:57:35";79.5;16.9
"2013-02-28";"18:57:18";79.5;17
"2013-02-28";"18:57:01";79.4;17
"2013-02-28";"18:56:45";79.4;17.1
"2013-02-28";"18:56:34";79.3;17.1
"2013-02-28";"18:56:23";78.9;17.2
"2013-02-28";"18:56:17";78.8;17.2
"2013-02-28";"18:56:06";78.7;17.2
"2013-02-28";"18:55:49";78.8;17.3
"2013-02-28";"18:55:33";78.9;17.3
"2013-02-28";"18:55:22";78.7;17.4
"2013-02-28";"18:55:16";78.6;17.4
"2013-02-28";"18:55:00";78.3;17.4
"2013-02-28";"18:54:54";78.2;17.5
"2013-02-28";"18:54:27";78.1;17.5
"2013-02-28";"18:54:10";78.1;17.6
"2013-02-28";"18:54:04";78;17.6
"2013-02-28";"18:53:59";77.9;17.6
"2013-02-28";"18:53:42";78;17.7
"2013-02-28";"18:53:31";78.3;17.7
"2013-02-28";"18:53:20";78.9;17.7
"2013-02-28";"18:53:15";79.1;17.7
"2013-02-28";"18:53:09";79.4;17.7
"2013-02-28";"18:52:52";79.4;17.7
"2013-02-28";"18:52:41";78.8;17.8
"2013-02-28";"18:52:30";78.5;17.8
"2013-02-28";"18:52:24";78.3;17.8
"2013-02-28";"18:52:13";77.7;17.8
"2013-02-28";"18:52:02";77.4;17.8
"2013-02-28";"18:51:51";77.4;17.9
"2013-02-28";"18:51:34";77.3;17.9
"2013-02-28";"18:51:29";77.4;17.9
"2013-02-28";"18:51:12";77.6;18
"2013-02-28";"18:51:01";77.2;18
"2013-02-28";"18:50:50";76.9;18
"2013-02-28";"18:50:22";76.7;18
"2013-02-28";"18:50:11";76.3;18.1
"2013-02-28";"18:49:21";76.2;18.1
"2013-02-28";"18:48:43";76.1;18.2
"2013-02-28";"18:48:32";75.8;18.2
"2013-02-28";"18:48:20";75.8;18.2
"2013-02-28";"18:48:15";75.9;18.2
"2013-02-28";"18:48:04";76.2;18.2
"2013-02-28";"18:47:58";76.3;18.2
"2013-02-28";"18:47:41";76.1;18.2
"2013-02-28";"18:47:30";75.5;18.2
"2013-02-28";"18:47:19";75.2;18.2
"2013-02-28";"18:46:41";75.3;18.3
"2013-02-28";"18:46:35";;
"2013-02-28";"18:46:29";74.7;18.3
"2013-02-28";"18:46:24";74.4;18.3
"2013-02-28";"18:46:13";74;18.3
"2013-02-28";"18:45:50";73.9;18.3
"2013-02-28";"18:45:17";73.8;18.3
"2013-02-28";"18:45:00";73.9;18.4
"2013-02-28";"18:44:43";74;18.4
"2013-02-28";"18:44:33";73.9;18.4
"2013-02-28";"18:44:27";73.8;18.4
"2013-02-28";"18:44:05";73.7;18.4
"2013-02-28";"18:43:49";73.6;18.4
"2013-02-28";"18:43:32";73.5;18.4
"2013-02-28";"18:43:21";73.6;18.5
"2013-02-28";"18:43:10";73.8;18.5
"2013-02-28";"18:43:04";74.2;18.5
"2013-02-28";"18:42:53";74.4;18.5
"2013-02-28";"18:42:42";74.5;18.5
"2013-02-28";"18:42:31";74.1;18.5
"2013-02-28";"18:42:25";73.9;18.5
"2013-02-28";"18:42:14";73.7;18.5
"2013-02-28";"18:42:03";73.5;18.5
"2013-02-28";"18:41:46";73.4;18.5
"2013-02-28";"18:41:24";73.4;18.6
"2013-02-28";"18:41:13";73.1;18.6
"2013-02-28";"18:41:02";72.9;18.6
"2013-02-28";"18:40:51";73.1;18.6
"2013-02-28";"18:40:40";73.5;18.6
"2013-02-28";"18:40:34";73.7;18.7
"2013-02-28";"18:40:28";73.9;18.7
"2013-02-28";"18:40:12";74;18.7
"2013-02-28";"18:40:01";73.8;18.8
"2013-02-28";"18:39:50";73.4;18.8
"2013-02-28";"18:39:44";72.8;18.8
"2013-02-28";"18:39:39";72.5;18.8
"2013-02-28";"18:39:22";72.6;18.9
"2013-02-28";"18:39:11";72.7;18.9
"2013-02-28";"18:39:00";72.6;18.9
"2013-02-28";"18:38:54";72.7;19
"2013-02-28";"18:38:43";73.2;19
"2013-02-28";"18:38:32";73.4;19
"2013-02-28";"18:38:21";73.5;19.1
"2013-02-28";"18:38:15";73.6;19.1
"2013-02-28";"18:38:04";73.7;19.1
"2013-02-28";"18:37:53";73.9;19.1
"2013-02-28";"18:37:42";74.3;19.2
"2013-02-28";"18:37:31";74.8;19.2
"2013-02-28";"18:37:20";74.4;19.2
"2013-02-28";"18:37:14";74.3;19.2
"2013-02-28";"18:37:03";74.1;19.2
"2013-02-28";"18:36:52";73.7;19.3
"2013-02-28";"18:36:40";73.4;19.3
"2013-02-28";"18:36:35";73.1;19.3
"2013-02-28";"18:36:23";72.8;19.3
"2013-02-28";"18:36:12";72.7;19.4
"2013-02-28";"18:35:50";72.6;19.4
"2013-02-28";"18:35:45";72.7;19.4
"2013-02-28";"18:35:39";72.9;19.5
"2013-02-28";"18:35:28";73;19.5
"2013-02-28";"18:35:11";73.1;19.5
"2013-02-28";"18:35:00";72.6;19.5
"2013-02-28";"18:34:55";72;19.5
"2013-02-28";"18:34:49";71.6;19.5
"2013-02-28";"18:34:32";71.5;19.6
"2013-02-28";"18:34:27";71.9;19.6
"2013-02-28";"18:34:05";72.1;19.6
"2013-02-28";"18:33:53";72.4;19.7
"2013-02-28";"18:33:31";72.5;19.7
"2013-02-28";"18:33:20";72.3;19.7
"2013-02-28";"18:33:15";72;19.7
"2013-02-28";"18:33:09";71.6;19.7
"2013-02-28";"18:32:58";71.4;19.8
"2013-02-28";"18:32:41";71.4;19.8
"2013-02-28";"18:32:30";71.3;19.8
"2013-02-28";"18:32:24";71.2;19.8
"2013-02-28";"18:32:13";70.6;19.9
"2013-02-28";"18:32:08";70.4;19.9
"2013-02-28";"18:31:34";70.2;19.9
"2013-02-28";"18:31:23";70;20
"2013-02-28";"18:31:12";69.2;20
"2013-02-28";"18:31:01";68.9;20.1
"2013-02-28";"18:30:50";69.5;20.1
"2013-02-28";"18:30:45";69.7;20.1
"2013-02-28";"18:30:33";70.3;20.1
"2013-02-28";"18:30:11";70.2;20.2
"2013-02-28";"18:30:00";69.5;20.2
"2013-02-28";"18:29:54";69;20.3
"2013-02-28";"18:29:43";68.4;20.3
"2013-02-28";"18:29:32";67.6;20.3
