"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-01-01 00:00:00";"2013-01-01 06:11:59";;;;;;;;;;;;
"2013-01-01 06:11:59";"2013-01-01 12:23:59";;;;;;;;;;;;
"2013-01-01 12:23:59";"2013-01-01 18:35:59";;;;;;;;;;;;
"2013-01-01 18:35:59";"2013-01-02 00:47:59";;;;;;;;;;;;
"2013-01-02 00:47:59";"2013-01-02 06:59:58";;;;;;;;;;;;
"2013-01-02 06:59:58";"2013-01-02 13:11:58";;;;;;;;;;;;
"2013-01-02 13:11:58";"2013-01-02 19:23:58";;;;;;;;;;;;
"2013-01-02 19:23:58";"2013-01-03 01:35:58";;;;;;;;;;;;
"2013-01-03 01:35:58";"2013-01-03 07:47:57";;;;;;;;;;;;
"2013-01-03 07:47:57";"2013-01-03 13:59:57";;;;;;;;;;;;
"2013-01-03 13:59:57";"2013-01-03 20:11:57";;;;;;;;;;;;
"2013-01-03 20:11:57";"2013-01-04 02:23:57";;;;;;;;;;;;
"2013-01-04 02:23:57";"2013-01-04 08:35:56";;;;;;;;;;;;
"2013-01-04 08:35:56";"2013-01-04 14:47:56";;;;;;;;;;;;
"2013-01-04 14:47:56";"2013-01-04 20:59:56";;;;;;;;;;;;
"2013-01-04 20:59:56";"2013-01-05 03:11:56";;;;;;;;;;;;
"2013-01-05 03:11:56";"2013-01-05 09:23:55";;;;;;;;;;;;
"2013-01-05 09:23:55";"2013-01-05 15:35:55";;;;;;;;;;;;
"2013-01-05 15:35:55";"2013-01-05 21:47:55";;;;;;;;;;;;
"2013-01-05 21:47:55";"2013-01-06 03:59:55";;;;;;;;;;;;
"2013-01-06 03:59:55";"2013-01-06 10:11:54";;;;;;;;;;;;
"2013-01-06 10:11:54";"2013-01-06 16:23:54";;;;;;;;;;;;
"2013-01-06 16:23:54";"2013-01-06 22:35:54";;;;;;;;;;;;
"2013-01-06 22:35:54";"2013-01-07 04:47:54";;;;;;;;;;;;
"2013-01-07 04:47:54";"2013-01-07 10:59:53";;;;;;;;;;;;
"2013-01-07 10:59:53";"2013-01-07 17:11:53";;;;;;;;;;;;
"2013-01-07 17:11:53";"2013-01-07 23:23:53";;;;;;;;;;;;
"2013-01-07 23:23:53";"2013-01-08 05:35:53";;;;;;;;;;;;
"2013-01-08 05:35:53";"2013-01-08 11:47:52";;;;;;;;;;;;
"2013-01-08 11:47:52";"2013-01-08 17:59:52";;;;;;;;;;;;
"2013-01-08 17:59:52";"2013-01-09 00:11:52";;;;;;;;;;;;
"2013-01-09 00:11:52";"2013-01-09 06:23:52";;;;;;;;;;;;
"2013-01-09 06:23:52";"2013-01-09 12:35:51";;;;;;;;;;;;
"2013-01-09 12:35:51";"2013-01-09 18:47:51";;;;;;;;;;;;
