"inicio";"fin";"humidity (marly 003)";"std";"min";"max";"temperature (marly 003)";"std";"min";"max"
"2013-04-16 00:00:00";"2013-04-16 03:00:00";;;;;;;;
"2013-04-16 03:00:00";"2013-04-16 06:00:00";;;;;;;;
"2013-04-16 06:00:00";"2013-04-16 09:00:00";;;;;;;;
"2013-04-16 09:00:00";"2013-04-16 12:00:00";;;;;;;;
"2013-04-16 12:00:00";"2013-04-16 15:00:00";;;;;;;;
"2013-04-16 15:00:00";"2013-04-16 18:00:00";;;;;;;;
"2013-04-16 18:00:00";"2013-04-16 21:00:00";;;;;;;;
"2013-04-16 21:00:00";"2013-04-17 00:00:00";;;;;;;;
"2013-04-17 00:00:00";"2013-04-17 03:00:00";;;;;;;;
"2013-04-17 03:00:00";"2013-04-17 06:00:00";;;;;;;;
"2013-04-17 06:00:00";"2013-04-17 09:00:00";;;;;;;;
"2013-04-17 09:00:00";"2013-04-17 12:00:00";;;;;;;;
"2013-04-17 12:00:00";"2013-04-17 15:00:00";;;;;;;;
"2013-04-17 15:00:00";"2013-04-17 18:00:00";;;;;;;;
"2013-04-17 18:00:00";"2013-04-17 21:00:00";;;;;;;;
"2013-04-17 21:00:00";"2013-04-18 00:00:00";;;;;;;;
"2013-04-18 00:00:00";"2013-04-18 03:00:00";;;;;;;;
"2013-04-18 03:00:00";"2013-04-18 06:00:00";;;;;;;;
"2013-04-18 06:00:00";"2013-04-18 09:00:00";;;;;;;;
"2013-04-18 09:00:00";"2013-04-18 12:00:00";;;;;;;;
"2013-04-18 12:00:00";"2013-04-18 15:00:00";;;;;;;;
"2013-04-18 15:00:00";"2013-04-18 18:00:00";;;;;;;;
"2013-04-18 18:00:00";"2013-04-18 21:00:00";;;;;;;;
"2013-04-18 21:00:00";"2013-04-19 00:00:00";;;;;;;;
"2013-04-19 00:00:00";"2013-04-19 03:00:00";;;;;;;;
"2013-04-19 03:00:00";"2013-04-19 06:00:00";;;;;;;;
"2013-04-19 06:00:00";"2013-04-19 09:00:00";;;;;;;;
"2013-04-19 09:00:00";"2013-04-19 12:00:00";;;;;;;;
"2013-04-19 12:00:00";"2013-04-19 15:00:00";;;;;;;;
"2013-04-19 15:00:00";"2013-04-19 18:00:00";;;;;;;;
"2013-04-19 18:00:00";"2013-04-19 21:00:00";;;;;;;;
"2013-04-19 21:00:00";"2013-04-20 00:00:00";;;;;;;;
"2013-04-20 00:00:00";"2013-04-20 03:00:00";;;;;;;;
"2013-04-20 03:00:00";"2013-04-20 06:00:00";;;;;;;;
"2013-04-20 06:00:00";"2013-04-20 09:00:00";;;;;;;;
"2013-04-20 09:00:00";"2013-04-20 12:00:00";;;;;;;;
"2013-04-20 12:00:00";"2013-04-20 15:00:00";;;;;;;;
"2013-04-20 15:00:00";"2013-04-20 18:00:00";;;;;;;;
"2013-04-20 18:00:00";"2013-04-20 21:00:00";;;;;;;;
"2013-04-20 21:00:00";"2013-04-21 00:00:00";;;;;;;;
"2013-04-21 00:00:00";"2013-04-21 03:00:00";;;;;;;;
"2013-04-21 03:00:00";"2013-04-21 06:00:00";;;;;;;;
"2013-04-21 06:00:00";"2013-04-21 09:00:00";;;;;;;;
"2013-04-21 09:00:00";"2013-04-21 12:00:00";;;;;;;;
"2013-04-21 12:00:00";"2013-04-21 15:00:00";;;;;;;;
"2013-04-21 15:00:00";"2013-04-21 18:00:00";;;;;;;;
"2013-04-21 18:00:00";"2013-04-21 21:00:00";;;;;;;;
"2013-04-21 21:00:00";"2013-04-22 00:00:00";;;;;;;;
"2013-04-22 00:00:00";"2013-04-22 03:00:00";;;;;;;;
"2013-04-22 03:00:00";"2013-04-22 06:00:00";;;;;;;;
"2013-04-22 06:00:00";"2013-04-22 09:00:00";;;;;;;;
"2013-04-22 09:00:00";"2013-04-22 12:00:00";;;;;;;;
"2013-04-22 12:00:00";"2013-04-22 15:00:00";;;;;;;;
"2013-04-22 15:00:00";"2013-04-22 18:00:00";;;;;;;;
"2013-04-22 18:00:00";"2013-04-22 21:00:00";;;;;;;;
"2013-04-22 21:00:00";"2013-04-23 00:00:00";;;;;;;;
"2013-04-23 00:00:00";"2013-04-23 03:00:00";;;;;;;;
"2013-04-23 03:00:00";"2013-04-23 06:00:00";;;;;;;;
"2013-04-23 06:00:00";"2013-04-23 09:00:00";63.3679;8.12975;51.7;81.3;19.99259;3.02764;13.9;23.8
"2013-04-23 09:00:00";"2013-04-23 12:00:00";61.39076;14.73669;36.4;87.3;21.04713;5.0993;13;30.8
"2013-04-23 12:00:00";"2013-04-23 15:00:00";57.29775;10.9357;36.5;86;20.47191;3.98628;13.9;27.6
"2013-04-23 15:00:00";"2013-04-23 18:00:00";67.4;6.01077;60;77.3;15.66667;1.52912;12.4;17.4
"2013-04-23 18:00:00";"2013-04-23 21:00:00";79.26296;4.61039;71.9;86.9;13.44074;1.19668;10.8;14.8
"2013-04-23 21:00:00";"2013-04-24 00:00:00";85.54286;1.28991;83.8;86.8;11.71429;1.51321;9.1;13.3
"2013-04-24 00:00:00";"2013-04-24 03:00:00";85.54167;1.24797;83.8;86.7;11.53333;1.51511;8.2;12.9
"2013-04-24 03:00:00";"2013-04-24 06:00:00";85.37391;1.28341;83.6;86.7;10.4;1.3972;7.8;11.8
"2013-04-24 06:00:00";"2013-04-24 09:00:00";82.7314;6.20962;58;87;14.07397;2.72863;10.1;22.3
"2013-04-24 09:00:00";"2013-04-24 12:00:00";57.41171;10.40832;40.5;81.3;21.26577;3.92096;14.3;27.5
"2013-04-24 12:00:00";"2013-04-24 15:00:00";50.67756;6.92663;39.5;70.8;22.30028;3.21061;14.5;26.9
"2013-04-24 15:00:00";"2013-04-24 18:00:00";61.07127;7.0495;45.7;75.8;18.59337;2.1857;12.8;22.1
"2013-04-24 18:00:00";"2013-04-24 21:00:00";84.16118;2.63569;76.1;86.9;13.16176;1.41717;10.7;15.2
"2013-04-24 21:00:00";"2013-04-25 00:00:00";85.68667;1.23315;83.8;86.9;11.86333;1.18244;9.6;13.4
"2013-04-25 00:00:00";"2013-04-25 03:00:00";85.69032;1.24754;83.8;86.9;11.83871;1.18449;9.9;13
