"dia";"hora";"sanpedro/006/VoltR"
"2013-05-09";"13:49:12";0
"2013-05-09";"13:44:11";0
"2013-05-09";"13:39:06";0
"2013-05-09";"13:34:06";0
"2013-05-09";"13:29:04";0
"2013-05-09";"13:24:03";0
"2013-05-09";"13:19:02";0
"2013-05-09";"13:14:01";0
"2013-05-09";"13:09:00";0
"2013-05-09";"13:04:00";0
"2013-05-09";"12:58:55";0
"2013-05-09";"12:53:49";0
"2013-05-09";"12:48:48";0
"2013-05-09";"12:43:48";0
"2013-05-09";"12:38:43";0
"2013-05-09";"12:33:37";0
"2013-05-09";"12:33:31";0
"2013-05-09";"12:29:16";0
"2013-05-09";"12:24:15";0
"2013-05-09";"12:19:15";0
"2013-05-09";"12:18:52";134
"2013-05-09";"12:18:46";133
"2013-05-09";"12:18:00";134
"2013-05-09";"12:17:54";96
"2013-05-09";"12:17:49";
"2013-05-09";"12:15:06";0
"2013-05-09";"12:10:06";
"2013-05-09";"12:10:05";0
"2013-05-09";"12:09:48";138
"2013-05-09";"12:09:42";136
"2013-05-09";"12:09:37";138
"2013-05-09";"12:09:19";137
"2013-05-09";"12:09:13";136
"2013-05-09";"12:08:50";137
"2013-05-09";"12:08:45";
"2013-05-09";"12:06:54";0
"2013-05-09";"12:01:52";0
"2013-05-09";"12:01:47";
"2013-05-09";"12:01:46";0
"2013-05-09";"12:01:23";138
"2013-05-09";"12:01:17";137
"2013-05-09";"12:00:31";138
"2013-05-09";"12:00:26";
"2013-05-09";"11:58:48";
"2013-05-09";"11:58:47";0
"2013-05-09";"11:58:41";136
"2013-05-09";"11:57:31";137
"2013-05-09";"11:57:26";
"2013-05-09";"11:56:45";0
"2013-05-09";"11:51:42";0
"2013-05-09";"11:46:39";0
"2013-05-09";"11:41:38";0
"2013-05-09";"11:36:37";0
"2013-05-09";"11:31:37";0
"2013-05-09";"11:26:35";0
"2013-05-09";"11:21:33";0
"2013-05-09";"11:16:31";0
"2013-05-09";"11:11:28";0
"2013-05-09";"11:06:24";0
"2013-05-09";"11:01:18";0
"2013-05-09";"10:56:15";0
"2013-05-09";"10:51:12";0
"2013-05-09";"10:46:09";0
"2013-05-09";"10:41:08";0
"2013-05-09";"10:36:08";0
"2013-05-09";"10:31:03";0
"2013-05-09";"10:26:02";0
"2013-05-09";"10:20:57";0
"2013-05-09";"10:15:52";0
"2013-05-09";"10:10:47";0
"2013-05-09";"10:09:28";133
"2013-05-09";"10:09:22";
"2013-05-09";"10:06:21";0
"2013-05-09";"10:01:19";0
"2013-05-09";"09:56:15";0
"2013-05-09";"09:51:14";0
"2013-05-09";"09:46:13";0
