"dia";"hora";"sanpedro/004/humidity";"sanpedro/004/temp_dry";"sanpedro/004/temp_wet"
"2013-04-27";"07:04:29";78;13.6;11.3
"2013-04-27";"07:03:39";79;13.6;11.4
"2013-04-27";"07:03:33";78;13.6;11.3
"2013-04-27";"07:03:27";79;13.5;11.3
"2013-04-27";"07:03:00";80;13.4;11.3
"2013-04-27";"07:02:48";81;13.3;11.3
"2013-04-27";"07:02:43";80;13.3;11.2
"2013-04-27";"07:02:26";81;13.2;11.2
"2013-04-27";"07:02:21";80;13.2;11.1
"2013-04-27";"07:02:15";81;13.2;11.1
"2013-04-27";"07:01:59";81;13.1;11.1
"2013-04-27";"07:01:31";82;13;11.1
"2013-04-27";"07:01:14";82;12.9;11.1
"2013-04-27";"07:01:08";83;12.8;11.1
"2013-04-27";"07:00:52";82;12.9;11.1
"2013-04-27";"07:00:35";82;12.9;11
"2013-04-27";"07:00:07";82;12.8;10.9
"2013-04-27";"06:59:56";81;12.8;10.8
"2013-04-27";"06:58:56";82;12.8;10.9
"2013-04-27";"06:58:44";82;12.8;11
"2013-04-27";"06:58:33";82;12.9;11.1
"2013-04-27";"06:58:17";83;12.8;11.1
"2013-04-27";"06:58:06";82;12.8;11
"2013-04-27";"06:57:55";83;12.7;11
"2013-04-27";"06:57:27";83;12.6;10.9
"2013-04-27";"06:57:22";82;12.6;10.8
"2013-04-27";"06:57:16";83;12.5;10.8
"2013-04-27";"06:57:00";82;12.5;10.7
"2013-04-27";"06:55:59";83;12.4;10.7
"2013-04-27";"06:55:43";82;12.5;10.7
"2013-04-27";"06:55:26";81;12.6;10.7
"2013-04-27";"06:55:15";82;12.5;10.7
"2013-04-27";"06:55:10";83;12.4;10.7
"2013-04-27";"06:54:53";82;12.4;10.6
"2013-04-27";"06:54:37";83;12.3;10.6
"2013-04-27";"06:53:58";84;12.3;10.7
"2013-04-27";"06:53:47";83;12.4;10.7
"2013-04-27";"06:53:30";82;12.4;10.6
"2013-04-27";"06:53:19";81;12.4;10.5
"2013-04-27";"06:52:57";82;12.3;10.5
"2013-04-27";"06:52:41";82;12.2;10.4
"2013-04-27";"06:52:30";81;12.2;10.3
"2013-04-27";"06:52:13";82;12.1;10.3
"2013-04-27";"06:52:08";83;12;10.3
"2013-04-27";"06:51:18";82;12;10.2
"2013-04-27";"06:51:02";83;11.9;10.2
"2013-04-27";"06:50:56";84;11.8;10.2
"2013-04-27";"06:50:34";83;11.8;10.1
"2013-04-27";"06:50:23";84;11.7;10.1
"2013-04-27";"06:50:07";85;11.6;10.1
"2013-04-27";"06:49:56";86;11.6;10.2
"2013-04-27";"06:49:45";87;11.6;10.3
"2013-04-27";"06:49:17";86;11.6;10.2
"2013-04-27";"06:48:50";85;11.6;10.1
"2013-04-27";"06:48:33";84;11.6;10
"2013-04-27";"06:48:28";83;11.6;9.9
"2013-04-27";"06:48:11";84;11.5;9.9
"2013-04-27";"06:47:38";85;11.4;9.9
"2013-04-27";"06:47:27";84;11.4;9.8
"2013-04-27";"06:47:21";85;11.3;9.8
"2013-04-27";"06:47:10";84;11.3;9.7
"2013-04-27";"06:46:26";85;11.2;9.7
"2013-04-27";"06:46:10";86;11.1;9.7
"2013-04-27";"06:45:42";86;11;9.7
"2013-04-27";"06:45:31";87;11;9.8
"2013-04-27";"06:45:04";87;11.1;9.8
"2013-04-27";"06:44:20";86;11;9.7
"2013-04-27";"06:44:09";85;11;9.6
"2013-04-27";"06:43:58";86;10.9;9.6
"2013-04-27";"06:43:47";85;10.9;9.5
"2013-04-27";"06:43:19";86;10.8;9.5
"2013-04-27";"06:43:14";85;10.8;9.4
"2013-04-27";"06:42:52";86;10.7;9.4
"2013-04-27";"06:42:46";87;10.6;9.4
"2013-04-27";"06:42:35";86;10.6;9.3
"2013-04-27";"06:42:03";87;10.5;9.3
"2013-04-27";"06:41:13";88;10.4;9.3
"2013-04-27";"06:41:08";89;10.4;9.4
"2013-04-27";"06:40:35";88;10.5;9.4
"2013-04-27";"06:40:13";87;10.6;9.4
"2013-04-27";"06:39:51";86;10.6;9.3
"2013-04-27";"06:39:40";87;10.5;9.3
"2013-04-27";"06:39:23";86;10.5;9.2
"2013-04-27";"06:38:50";86;10.4;9.1
"2013-04-27";"06:38:29";87;10.3;9.1
"2013-04-27";"06:38:01";88;10.2;9.1
"2013-04-27";"06:37:50";87;10.2;9
"2013-04-27";"06:37:44";88;10.1;9
"2013-04-27";"06:37:39";87;10.1;8.9
"2013-04-27";"06:37:11";88;10;8.9
"2013-04-27";"06:36:44";89;9.9;8.9
"2013-04-27";"06:36:38";89;10;9
"2013-04-27";"06:36:05";90;10;9.1
"2013-04-27";"06:35:38";89;10.1;9.1
"2013-04-27";"06:35:11";88;10.2;9.1
"2013-04-27";"06:35:00";87;10.2;9
"2013-04-27";"06:34:43";88;10.1;9
"2013-04-27";"06:34:38";87;10.1;8.9
"2013-04-27";"06:33:54";88;10;8.9
"2013-04-27";"06:33:43";89;9.9;8.9
"2013-04-27";"06:33:10";88;9.9;8.8
"2013-04-27";"06:32:21";87;9.9;8.7
"2013-04-27";"06:32:04";88;9.9;8.8
"2013-04-27";"06:31:20";89;9.8;8.8
"2013-04-27";"06:31:15";90;9.7;8.8
"2013-04-27";"06:30:31";89;9.7;8.7
"2013-04-27";"06:30:14";90;9.6;8.7
"2013-04-27";"06:29:42";89;9.6;8.6
"2013-04-27";"06:29:36";90;9.5;8.6
"2013-04-27";"06:29:30";89;9.5;8.5
"2013-04-27";"06:27:46";90;9.4;8.5
"2013-04-27";"06:27:35";91;9.4;8.6
"2013-04-27";"06:27:24";90;9.4;8.5
"2013-04-27";"06:27:08";91;9.3;8.5
"2013-04-27";"06:26:46";92;9.3;8.6
"2013-04-27";"06:26:40";91;9.3;8.6
"2013-04-27";"06:26:35";91;9.4;8.6
"2013-04-27";"06:26:07";90;9.5;8.6
"2013-04-27";"06:26:02";89;9.5;8.5
"2013-04-27";"06:25:51";90;9.4;8.5
"2013-04-27";"06:25:29";89;9.4;8.4
"2013-04-27";"06:25:23";90;9.4;8.4
"2013-04-27";"06:25:06";90;9.3;8.4
"2013-04-27";"06:25:01";91;9.2;8.4
"2013-04-27";"06:24:01";90;9.2;8.3
"2013-04-27";"06:23:39";91;9.1;8.3
"2013-04-27";"06:23:28";90;9.2;8.3
"2013-04-27";"06:22:11";91;9.2;8.4
"2013-04-27";"06:21:27";92;9.2;8.5
"2013-04-27";"06:21:11";91;9.2;8.4
"2013-04-27";"06:19:27";90;9.2;8.3
"2013-04-27";"06:18:59";91;9.2;8.4
"2013-04-27";"06:18:10";91;9.3;8.5
"2013-04-27";"06:17:59";90;9.3;8.4
"2013-04-27";"06:16:59";91;9.2;8.4
"2013-04-27";"06:16:48";90;9.3;8.4
"2013-04-27";"06:16:37";91;9.2;8.4
"2013-04-27";"06:16:26";90;9.2;8.3
"2013-04-27";"06:16:09";89;9.2;8.2
"2013-04-27";"06:15:15";90;9.1;8.2
"2013-04-27";"06:14:25";91;9;8.2
"2013-04-27";"06:14:09";90;9.1;8.2
"2013-04-27";"06:13:58";91;9;8.2
"2013-04-27";"06:13:25";90;9;8.1
"2013-04-27";"06:13:03";89;9;8
"2013-04-27";"06:11:52";90;8.9;8
"2013-04-27";"06:11:25";91;8.8;8
"2013-04-27";"06:10:46";90;8.8;7.9
"2013-04-27";"06:10:30";91;8.7;7.9
"2013-04-27";"06:10:08";90;8.7;7.8
"2013-04-27";"06:09:24";91;8.7;7.9
"2013-04-27";"06:09:19";92;8.7;8
"2013-04-27";"06:09:13";91;8.8;8
"2013-04-27";"06:08:51";92;8.7;8
"2013-04-27";"06:08:40";91;8.8;8
"2013-04-27";"06:08:18";91;8.7;7.9
"2013-04-27";"06:07:29";92;8.6;7.9
"2013-04-27";"06:06:51";91;8.6;7.8
"2013-04-27";"06:04:40";92;8.5;7.8
"2013-04-27";"06:04:02";93;8.4;7.8
"2013-04-27";"06:03:18";92;8.5;7.8
"2013-04-27";"06:01:23";93;8.4;7.8
"2013-04-27";"06:01:12";94;8.4;7.9
"2013-04-27";"06:00:56";93;8.5;7.9
"2013-04-27";"06:00:18";94;8.5;8
"2013-04-27";"05:59:50";93;8.5;7.9
"2013-04-27";"05:58:12";94;8.5;8
"2013-04-27";"05:56:44";95;8.5;8.1
"2013-04-27";"05:56:22";94;8.6;8.1
"2013-04-27";"05:56:05";95;8.6;8.2
"2013-04-27";"05:55:10";94;8.6;8.1
"2013-04-27";"05:54:27";93;8.6;8
"2013-04-27";"05:52:31";94;8.5;8
"2013-04-27";"05:52:20";95;8.5;8.1
"2013-04-27";"05:52:14";96;8.5;8.2
"2013-04-27";"05:51:25";95;8.6;8.2
"2013-04-27";"05:51:03";94;8.6;8.1
"2013-04-27";"05:50:31";93;8.6;8
"2013-04-27";"05:49:41";94;8.5;8
"2013-04-27";"05:48:57";95;8.4;8
"2013-04-27";"05:48:46";94;8.5;8
"2013-04-27";"05:48:24";95;8.4;8
"2013-04-27";"05:46:51";94;8.5;8
"2013-04-27";"05:43:56";95;8.4;8
"2013-04-27";"05:43:34";94;8.5;8
"2013-04-27";"05:43:29";95;8.5;8.1
"2013-04-27";"05:43:23";94;8.6;8.1
"2013-04-27";"05:42:45";95;8.6;8.2
"2013-04-27";"05:42:18";94;8.6;8.1
"2013-04-27";"05:42:12";93;8.6;8
"2013-04-27";"05:42:07";94;8.5;8
"2013-04-27";"05:41:01";95;8.5;8.1
"2013-04-27";"05:39:12";94;8.6;8.1
"2013-04-27";"05:38:39";95;8.6;8.2
"2013-04-27";"05:33:39";95;8.6;8.2
"2013-04-27";"05:33:17";94;8.7;8.2
"2013-04-27";"05:33:00";93;8.8;8.2
"2013-04-27";"05:32:11";94;8.7;8.2
"2013-04-27";"05:30:06";95;8.6;8.2
"2013-04-27";"05:29:49";94;8.7;8.2
"2013-04-27";"05:29:38";95;8.6;8.2
"2013-04-27";"05:27:33";94;8.6;8.1
"2013-04-27";"05:26:22";93;8.6;8
"2013-04-27";"05:25:44";94;8.5;8
"2013-04-27";"05:25:11";93;8.6;8
"2013-04-27";"05:22:54";94;8.5;8
"2013-04-27";"05:22:11";95;8.4;8
"2013-04-27";"05:21:32";94;8.4;7.9
"2013-04-27";"05:20:05";95;8.4;8
"2013-04-27";"05:19:16";94;8.4;7.9
"2013-04-27";"05:14:16";94;8.4;7.9
"2013-04-27";"05:13:59";95;8.4;8
"2013-04-27";"05:13:32";94;8.5;8
"2013-04-27";"05:13:26";95;8.5;8
"2013-04-27";"05:12:09";95;8.4;8
"2013-04-27";"05:11:36";94;8.5;8
"2013-04-27";"05:11:25";95;8.4;8
"2013-04-27";"05:10:41";94;8.4;7.9
"2013-04-27";"05:08:08";95;8.4;8
"2013-04-27";"05:04:14";94;8.5;8
"2013-04-27";"05:03:30";95;8.5;8.1
"2013-04-27";"05:02:19";94;8.6;8.1
"2013-04-27";"05:02:13";93;8.6;8
"2013-04-27";"05:01:46";94;8.5;8
"2013-04-27";"05:01:41";95;8.5;8
"2013-04-27";"05:01:19";95;8.4;8
