"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2013-05-16 00:00:00";"2013-05-16 00:30:00";91.06667;3.38657;86.5;94.6;12.13333;0.27487;11.7;12.5
"2013-05-16 00:30:00";"2013-05-16 01:00:00";90.97273;3.52216;86.5;94.6;12.01818;0.3157;11.6;12.4
"2013-05-16 01:00:00";"2013-05-16 01:30:00";91.06667;3.38657;86.5;94.6;12.03333;0.32998;11.6;12.4
"2013-05-16 01:30:00";"2013-05-16 02:00:00";;;;;;;;
"2013-05-16 02:00:00";"2013-05-16 02:30:00";;;;;;;;
"2013-05-16 02:30:00";"2013-05-16 03:00:00";;;;;;;;
"2013-05-16 03:00:00";"2013-05-16 03:30:00";91.15714;3.16853;86.4;94.5;11.47143;0.31493;11;11.8
"2013-05-16 03:30:00";"2013-05-16 04:00:00";91.5;3.37512;86.4;94.5;11.62857;0.34934;11.1;12
"2013-05-16 04:00:00";"2013-05-16 04:30:00";91;3.39706;86.4;94.5;11.56667;0.33993;11.1;11.9
"2013-05-16 04:30:00";"2013-05-16 05:00:00";91;3.39706;86.4;94.5;11.38333;0.38909;10.8;11.8
"2013-05-16 05:00:00";"2013-05-16 05:30:00";90.26;3.34999;86.3;94.5;11.02;0.47074;10.4;11.5
"2013-05-16 05:30:00";"2013-05-16 06:00:00";;;;;;;;
"2013-05-16 06:00:00";"2013-05-16 06:30:00";91.11818;3.12143;86.3;94.5;11.32727;0.44126;10.4;11.8
"2013-05-16 06:30:00";"2013-05-16 07:00:00";90.48462;3.34177;86.4;94.6;11.92308;0.34003;11.3;12.6
"2013-05-16 07:00:00";"2013-05-16 07:30:00";90.51429;3.50446;86.6;94.7;13.05;0.17627;12.7;13.3
"2013-05-16 07:30:00";"2013-05-16 08:00:00";;;;;;;;
"2013-05-16 08:00:00";"2013-05-16 08:30:00";71.09;4.19344;67.2;83.2;18.198;0.76511;17.6;19.6
"2013-05-16 08:30:00";"2013-05-16 09:00:00";70.70588;1.56599;68.5;74.4;18.11765;2.00095;16.5;21.2
"2013-05-16 09:00:00";"2013-05-16 09:30:00";61.43646;9.69974;53.9;89.4;20.8375;1.01645;20;23.8
"2013-05-16 09:30:00";"2013-05-16 10:00:00";65.83585;3.58509;60.2;73.3;19.06038;1.22895;17.8;21.1
"2013-05-16 10:00:00";"2013-05-16 10:30:00";;;;;;;;
"2013-05-16 10:30:00";"2013-05-16 11:00:00";74.89804;3.45341;71;80.4;17.16667;0.53675;16.6;18.3
"2013-05-16 11:00:00";"2013-05-16 11:30:00";58.5;4.66357;53.5;71;21.29111;0.86277;20.2;23.6
"2013-05-16 11:30:00";"2013-05-16 12:00:00";60.02766;1.9588;56.7;64.7;20.2234;2.24264;18.5;24.3
"2013-05-16 12:00:00";"2013-05-16 12:30:00";;;;;;;;
"2013-05-16 12:30:00";"2013-05-16 13:00:00";;;;;;;;
"2013-05-16 13:00:00";"2013-05-16 13:30:00";;;;;;;;
"2013-05-16 13:30:00";"2013-05-16 14:00:00";;;;;;;;
"2013-05-16 14:00:00";"2013-05-16 14:30:00";75.87736;3.39598;72.3;80.9;18.26226;0.43577;17.9;18.9
"2013-05-16 14:30:00";"2013-05-16 15:00:00";72.47407;3.94631;68.4;80;18.6037;0.44595;18.3;19.7
"2013-05-16 15:00:00";"2013-05-16 15:30:00";;;;;;;;
"2013-05-16 15:30:00";"2013-05-16 16:00:00";;;;;;;;
"2013-05-16 16:00:00";"2013-05-16 16:30:00";86.1459;3.46441;82.7;92.3;16.86885;0.58071;16.3;17.6
"2013-05-16 16:30:00";"2013-05-16 17:00:00";91.89091;1.66239;86.9;95.1;16.12727;0.23195;15.2;16.5
"2013-05-16 17:00:00";"2013-05-16 17:30:00";89.62143;3.33063;86.8;95;14.66429;0.41851;14.1;15.4
"2013-05-16 17:30:00";"2013-05-16 18:00:00";90.7;3.30273;86.8;94.9;14.24;0.42237;13.7;14.8
"2013-05-16 18:00:00";"2013-05-16 18:30:00";;;;;;;;
"2013-05-16 18:30:00";"2013-05-16 19:00:00";91.01111;2.97114;86.6;94.8;12.78889;0.445;11.9;13.4
"2013-05-16 19:00:00";"2013-05-16 19:30:00";91.16667;3.38657;86.6;94.7;12.95;0.36401;12.4;13.3
"2013-05-16 19:30:00";"2013-05-16 20:00:00";91.74667;2.78086;86.6;94.7;13.06;0.19596;12.7;13.4
"2013-05-16 20:00:00";"2013-05-16 20:30:00";91.27368;2.91147;86.6;94.7;12.96842;0.24073;12.6;13.4
"2013-05-16 20:30:00";"2013-05-16 21:00:00";90.7;3.59166;86.6;94.7;12.89167;0.37296;12.4;13.4
"2013-05-16 21:00:00";"2013-05-16 21:30:00";91.25263;2.94464;86.6;94.7;12.89474;0.2762;12.5;13.4
"2013-05-16 21:30:00";"2013-05-16 22:00:00";91.0375;3.57104;86.6;94.7;12.975;0.34911;12.5;13.4
"2013-05-16 22:00:00";"2013-05-16 22:30:00";91.425;2.99447;86.5;94.6;12.7;0.35355;12.1;13
"2013-05-16 22:30:00";"2013-05-16 23:00:00";;;;;;;;
"2013-05-16 23:00:00";"2013-05-16 23:30:00";91.025;3.41958;86.3;94.5;11.63333;0.58642;10.6;12.4
"2013-05-16 23:30:00";"2013-05-17 00:00:00";;;;;;;;
"2013-05-17 00:00:00";"2013-05-17 00:30:00";90.26;3.34999;86.3;94.5;11.32;0.45343;10.7;11.8
"2013-05-17 00:30:00";"2013-05-17 01:00:00";91;3.39706;86.4;94.5;11.93333;0.32998;11.5;12.3
"2013-05-17 01:00:00";"2013-05-17 01:30:00";91.475;3.10675;86.4;94.5;12.16667;0.31447;11.7;12.6
"2013-05-17 01:30:00";"2013-05-17 02:00:00";;;;;;;;
"2013-05-17 02:00:00";"2013-05-17 02:30:00";91.15714;3.16853;86.4;94.5;12.05;0.36401;11.5;12.5
"2013-05-17 02:30:00";"2013-05-17 03:00:00";89.1;3.81838;86.4;94.5;11.86667;0.44969;11.5;12.5
"2013-05-17 03:00:00";"2013-05-17 03:30:00";91;3.39706;86.4;94.5;11.83333;0.41096;11.3;12.3
"2013-05-17 03:30:00";"2013-05-17 04:00:00";;;;;;;;
"2013-05-17 04:00:00";"2013-05-17 04:30:00";91;3.39706;86.4;94.5;11.8;0.37417;11.3;12.2
"2013-05-17 04:30:00";"2013-05-17 05:00:00";91.275;2.98025;86.4;94.5;11.95;0.32016;11.5;12.4
"2013-05-17 05:00:00";"2013-05-17 05:30:00";91;3.39706;86.4;94.5;11.83333;0.41096;11.3;12.3
"2013-05-17 05:30:00";"2013-05-17 06:00:00";91.32857;3.27794;86.4;94.5;11.80714;0.38999;11.2;12.3
"2013-05-17 06:00:00";"2013-05-17 06:30:00";91;3.39706;86.4;94.5;11.9;0.40661;11.3;12.4
"2013-05-17 06:30:00";"2013-05-17 07:00:00";91.10455;3.02992;86.4;94.5;12.05455;0.38106;11.5;12.6
"2013-05-17 07:00:00";"2013-05-17 07:30:00";90.65;3.11328;86.4;94.5;11.98333;0.38909;11.4;12.4
"2013-05-17 07:30:00";"2013-05-17 08:00:00";89.3;2.9;86.4;92.2;11.8;0.25495;11.5;12.1
"2013-05-17 08:00:00";"2013-05-17 08:30:00";92.42857;2.65691;86.5;94.6;12.81429;0.33564;12.1;13.2
"2013-05-17 08:30:00";"2013-05-17 09:00:00";90.90784;3.44536;86.5;94.9;13.86471;0.87061;12.2;15.3
"2013-05-17 09:00:00";"2013-05-17 09:30:00";91.81818;3.28739;86.7;94.9;14.64545;0.60206;13.6;15.3
"2013-05-17 09:30:00";"2013-05-17 10:00:00";91.48;3.28323;86.7;94.9;14.515;0.75251;13.3;15.4
"2013-05-17 10:00:00";"2013-05-17 10:30:00";88.63605;3.62937;83.9;95;15.17209;1.14381;14;17
"2013-05-17 10:30:00";"2013-05-17 11:00:00";84.43529;4.26586;79.8;94.3;15.45098;1.26155;14.5;18.1
"2013-05-17 11:00:00";"2013-05-17 11:30:00";;;;;;;;
"2013-05-17 11:30:00";"2013-05-17 12:00:00";74.09468;2.20687;71.2;80.8;17.72872;2.34809;15.6;22.1
"2013-05-17 12:00:00";"2013-05-17 12:30:00";54.31818;2.55167;45.9;57.9;22.01818;3.5387;19.4;30
"2013-05-17 12:30:00";"2013-05-17 13:00:00";67.12708;4.17736;62;78.9;19.47917;1.81618;18;24
"2013-05-17 13:00:00";"2013-05-17 13:30:00";;;;;;;;
"2013-05-17 13:30:00";"2013-05-17 14:00:00";82.15873;4.94329;77;95;16.16825;0.83359;14.1;18.1
"2013-05-17 14:00:00";"2013-05-17 14:30:00";80.86042;10.58655;60.9;95.1;17.49375;2.38497;13.9;23.1
"2013-05-17 14:30:00";"2013-05-17 15:00:00";76.66429;2.34562;73;81.1;17.71071;0.63406;17;18.7
"2013-05-17 15:00:00";"2013-05-17 15:30:00";72.96;4.53544;66;81.2;18.85905;0.74702;17.9;20.1
"2013-05-17 15:30:00";"2013-05-17 16:00:00";55.14375;6.41703;48.5;63.6;22.63125;0.93878;21.7;24.5
"2013-05-17 16:00:00";"2013-05-17 16:30:00";60.93061;4.35605;55.9;70.1;20.80612;1.39948;19.5;23.8
"2013-05-17 16:30:00";"2013-05-17 17:00:00";86.5918;2.15941;82.9;91.4;16.8541;0.77154;15.8;18.4
"2013-05-17 17:00:00";"2013-05-17 17:30:00";91.56078;2.3832;86.9;95.1;16.51373;0.60001;14.8;17.2
"2013-05-17 17:30:00";"2013-05-17 18:00:00";91.32857;3.38244;86.8;95.1;15.16;0.6433;13.9;16.1
"2013-05-17 18:00:00";"2013-05-17 18:30:00";91.35385;3.32094;86.6;94.8;13.15385;0.61471;12.1;13.8
"2013-05-17 18:30:00";"2013-05-17 19:00:00";91.42632;3.42773;86.6;94.8;13.01053;0.51799;12.1;13.5
"2013-05-17 19:00:00";"2013-05-17 19:30:00";;;;;;;;
"2013-05-17 19:30:00";"2013-05-17 20:00:00";91.18;3.42427;86.5;94.7;12.61333;0.5818;11.6;13.3
"2013-05-17 20:00:00";"2013-05-17 20:30:00";91.53;3.07849;86.5;94.7;12.24;0.44989;11.4;12.7
"2013-05-17 20:30:00";"2013-05-17 21:00:00";92.08235;3.31134;86.3;94.6;11.67647;0.58564;10.5;12.3
"2013-05-17 21:00:00";"2013-05-17 21:30:00";90.7;3.24551;86.3;94.5;11.08889;0.48177;10.2;11.5
"2013-05-17 21:30:00";"2013-05-17 22:00:00";91.74;2.91863;86.3;94.5;11.3;0.36148;10.5;11.6
"2013-05-17 22:00:00";"2013-05-17 22:30:00";;;;;;;;
"2013-05-17 22:30:00";"2013-05-17 23:00:00";;;;;;;;
"2013-05-17 23:00:00";"2013-05-17 23:30:00";91.35;2.68859;86.3;94.4;10.8;0.4219;9.8;11.2
"2013-05-17 23:30:00";"2013-05-18 00:00:00";90.91111;3.40863;86.3;94.5;10.85556;0.49241;10.1;11.3
"2013-05-18 00:00:00";"2013-05-18 00:30:00";89.975;3.35941;86.3;94.5;10.68125;0.4419;10;11.4
"2013-05-18 00:30:00";"2013-05-18 01:00:00";91.44286;3.41336;86.3;94.5;10.91429;0.44217;10.2;11.4
"2013-05-18 01:00:00";"2013-05-18 01:30:00";91.55833;2.63295;86.1;94.3;9.925;0.56292;8.7;10.4
"2013-05-18 01:30:00";"2013-05-18 02:00:00";89.43333;3.59276;86.1;94.3;9.19524;0.68485;8.5;10
"2013-05-18 02:00:00";"2013-05-18 02:30:00";90.76667;3.44222;86.1;94.3;9.86667;0.47376;9;10.4
"2013-05-18 02:30:00";"2013-05-18 03:00:00";91.05;3.02118;86.1;94.3;10.1;0.41833;9.4;10.5
"2013-05-18 03:00:00";"2013-05-18 03:30:00";91.05;3.02118;86.1;94.3;10.125;0.37666;9.5;10.5
"2013-05-18 03:30:00";"2013-05-18 04:00:00";91.72;2.96135;86.2;94.3;10.4;0.31623;9.8;10.7
"2013-05-18 04:00:00";"2013-05-18 04:30:00";90.14286;3.53305;86.2;94.3;10.3;0.42088;9.8;10.8
"2013-05-18 04:30:00";"2013-05-18 05:00:00";;;;;;;;
"2013-05-18 05:00:00";"2013-05-18 05:30:00";;;;;;;;
"2013-05-18 05:30:00";"2013-05-18 06:00:00";91.12;2.72353;86;94.2;9.22;0.46217;8.3;9.5
"2013-05-18 06:00:00";"2013-05-18 06:30:00";89.95088;3.63034;86.2;94.7;11.44737;0.77778;9.9;13.1
"2013-05-18 06:30:00";"2013-05-18 07:00:00";90.3551;3.64087;86.5;95;13.37959;1.03411;11.6;15.7
"2013-05-18 07:00:00";"2013-05-18 07:30:00";90.42097;2.93308;85.7;95.1;15.43065;0.87687;13.7;16.8
"2013-05-18 07:30:00";"2013-05-18 08:00:00";;;;;;;;
"2013-05-18 08:00:00";"2013-05-18 08:30:00";76.58882;5.34628;71.1;89;16.8882;0.51347;16.3;18.3
"2013-05-18 08:30:00";"2013-05-18 09:00:00";;;;;;;;
"2013-05-18 09:00:00";"2013-05-18 09:30:00";76.01768;7.5867;63.7;92.5;16.94756;0.71478;16;18.6
"2013-05-18 09:30:00";"2013-05-18 10:00:00";;;;;;;;
"2013-05-18 10:00:00";"2013-05-18 10:30:00";50.27111;3.93258;45.1;58.3;23.23333;1.27924;22.1;26.5
"2013-05-18 10:30:00";"2013-05-18 11:00:00";;;;;;;;
"2013-05-18 11:00:00";"2013-05-18 11:30:00";54.40111;4.31085;49.6;63.8;21.67556;0.85652;20.9;23.3
"2013-05-18 11:30:00";"2013-05-18 12:00:00";;;;;;;;
"2013-05-18 12:00:00";"2013-05-18 12:30:00";;;;;;;;
"2013-05-18 12:30:00";"2013-05-18 13:00:00";;;;;;;;
"2013-05-18 13:00:00";"2013-05-18 13:30:00";66.31616;4.92406;54.8;74.1;19.93333;0.67883;19.2;21.4
"2013-05-18 13:30:00";"2013-05-18 14:00:00";;;;;;;;
"2013-05-18 14:00:00";"2013-05-18 14:30:00";;;;;;;;
"2013-05-18 14:30:00";"2013-05-18 15:00:00";75.31136;2.40758;69.2;78.9;18.775;0.98191;17.8;21.2
"2013-05-18 15:00:00";"2013-05-18 15:30:00";76.02925;2.50437;72.9;82.9;18.78302;0.6361;18.2;19.9
"2013-05-18 15:30:00";"2013-05-18 16:00:00";;;;;;;;
"2013-05-18 16:00:00";"2013-05-18 16:30:00";;;;;;;;
"2013-05-18 16:30:00";"2013-05-18 17:00:00";74.69677;3.52401;67.7;82.1;17.83419;1.08112;16.5;21
"2013-05-18 17:00:00";"2013-05-18 17:30:00";69.92121;6.66459;57.2;78.3;18.25051;1.70699;15.7;21.3
"2013-05-18 17:30:00";"2013-05-18 18:00:00";79.58839;1.57422;77.5;85.3;15.90089;0.98093;14.9;18.4
"2013-05-18 18:00:00";"2013-05-18 18:30:00";90.515;3.33246;86.5;94.8;13.345;0.53896;12.3;14.3
"2013-05-18 18:30:00";"2013-05-18 19:00:00";90.76667;3.13404;86.5;94.7;12.96667;0.43843;12.3;13.3
"2013-05-18 19:00:00";"2013-05-18 19:30:00";;;;;;;;
"2013-05-18 19:30:00";"2013-05-18 20:00:00";91.18182;2.94242;86.6;94.7;13.4;0.22563;13;13.7
"2013-05-18 20:00:00";"2013-05-18 20:30:00";91.54348;3.10747;86.6;94.7;13.42174;0.26368;12.9;13.8
"2013-05-18 20:30:00";"2013-05-18 21:00:00";91.1;3.53088;86.5;94.7;12.77857;0.48282;11.8;13.3
"2013-05-18 21:00:00";"2013-05-18 21:30:00";91.92;2.96135;86.4;94.5;11.76;0.48415;10.8;12.1
"2013-05-18 21:30:00";"2013-05-18 22:00:00";91.31429;3.29954;86.3;94.5;11.22857;0.60288;10;12
"2013-05-18 22:00:00";"2013-05-18 22:30:00";90.66429;3.39129;86.3;94.5;10.81429;0.54492;10;11.4
"2013-05-18 22:30:00";"2013-05-18 23:00:00";90.2;3.30273;86.3;94.4;11.06;0.5004;10.4;11.5
"2013-05-18 23:00:00";"2013-05-18 23:30:00";90.93333;3.35195;86.4;94.4;11.46667;0.41899;10.9;11.9
"2013-05-18 23:30:00";"2013-05-19 00:00:00";;;;;;;;
