"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2013-07-08 09:00:00";"2013-07-08 09:10:00";60;0;60;60;20.65;0.25;20.4;20.9;15.3;0.2;15.1;15.5
"2013-07-08 09:10:00";"2013-07-08 09:20:00";60;1;59;61;20.85;0.35;20.5;21.2;15.45;0.45;15;15.9
"2013-07-08 09:20:00";"2013-07-08 09:30:00";64.5;0.5;64;65;19.35;0.05;19.3;19.4;14.75;0.05;14.7;14.8
"2013-07-08 09:30:00";"2013-07-08 09:40:00";69.5;2.5;67;72;17.95;0.85;17.1;18.8;14.15;0.45;13.7;14.6
"2013-07-08 09:40:00";"2013-07-08 09:50:00";65.5;0.5;65;66;17.7;0;17.7;17.7;13.4;0.1;13.3;13.5
"2013-07-08 09:50:00";"2013-07-08 10:00:00";67;0;67;67;17.05;0.05;17;17.1;13.05;0.05;13;13.1
"2013-07-08 10:00:00";"2013-07-08 10:10:00";63;0;63;63;18.75;0.05;18.7;18.8;14;0;14;14
"2013-07-08 10:10:00";"2013-07-08 10:20:00";59;3;56;62;20.95;1.45;19.5;22.4;15.4;0.8;14.6;16.2
"2013-07-08 10:20:00";"2013-07-08 10:30:00";59;1;58;60;21.3;0.3;21;21.6;15.65;0.15;15.5;15.8
"2013-07-08 10:30:00";"2013-07-08 10:40:00";56;0;56;56;22.05;0.05;22;22.1;15.8;0;15.8;15.8
"2013-07-08 10:40:00";"2013-07-08 10:50:00";58;1;57;59;22.4;0.7;21.7;23.1;16.4;0.4;16;16.8
"2013-07-08 10:50:00";"2013-07-08 11:00:00";60.5;2.5;58;63;21.3;0.7;20.6;22;15.85;0.25;15.6;16.1
"2013-07-08 11:00:00";"2013-07-08 11:10:00";60.5;1.5;59;62;20.1;0.5;19.6;20.6;14.85;0.25;14.6;15.1
"2013-07-08 11:10:00";"2013-07-08 11:20:00";56.5;1.5;55;58;22.6;0.5;22.1;23.1;16.35;0.15;16.2;16.5
"2013-07-08 11:20:00";"2013-07-08 11:30:00";59.5;2.5;57;62;20.85;0.35;20.5;21.2;15.35;0.05;15.3;15.4
"2013-07-08 11:30:00";"2013-07-08 11:40:00";55.5;1.5;54;57;21.8;1;20.8;22.8;15.5;1.1;14.4;16.6
"2013-07-08 11:40:00";"2013-07-08 11:50:00";56.5;0.5;56;57;23.55;1.05;22.5;24.6;17.2;1;16.2;18.2
"2013-07-08 11:50:00";"2013-07-08 12:00:00";56;2;54;58;22.55;0.95;21.6;23.5;16.2;0.5;15.7;16.7
"2013-07-08 12:00:00";"2013-07-08 12:10:00";55.5;1.5;54;57;22.2;1;21.2;23.2;15.85;0.65;15.2;16.5
"2013-07-08 12:10:00";"2013-07-08 12:20:00";57;2;55;59;22.2;0.2;22;22.4;16.05;0.15;15.9;16.2
"2013-07-08 12:20:00";"2013-07-08 12:30:00";52.5;0.5;52;53;23.9;0.7;23.2;24.6;16.85;0.65;16.2;17.5
"2013-07-08 12:30:00";"2013-07-08 12:40:00";52.5;2.5;50;55;23.7;0.3;23.4;24;16.7;0.7;16;17.4
"2013-07-08 12:40:00";"2013-07-08 12:50:00";53;0;53;53;25.35;0.15;25.2;25.5;18.1;0.2;17.9;18.3
"2013-07-08 12:50:00";"2013-07-08 13:00:00";53;0;53;53;24.85;0.65;24.2;25.5;17.7;0.5;17.2;18.2
"2013-07-08 13:00:00";"2013-07-08 13:10:00";54.5;2.5;52;57;24.8;0.7;24.1;25.5;17.9;0.1;17.8;18
"2013-07-08 13:10:00";"2013-07-08 13:20:00";53;0;53;53;27.3;0.3;27;27.6;19.75;0.25;19.5;20
"2013-07-08 13:20:00";"2013-07-08 13:30:00";53;1;52;54;26.9;0;26.9;26.9;19.45;0.15;19.3;19.6
"2013-07-08 13:30:00";"2013-07-08 13:40:00";51.5;1.5;50;53;27;0.6;26.4;27.6;19.25;0.75;18.5;20
"2013-07-08 13:40:00";"2013-07-08 13:50:00";52.5;0.5;52;53;27;0.9;26.1;27.9;19.35;0.65;18.7;20
"2013-07-08 13:50:00";"2013-07-08 14:00:00";51;0;51;51;27.25;0.25;27;27.5;19.3;0.2;19.1;19.5
"2013-07-08 14:00:00";"2013-07-08 14:10:00";53.5;0.5;53;54;25.95;0.35;25.6;26.3;18.65;0.25;18.4;18.9
