"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2013-04-09 00:00:00";"2013-04-09 02:59:59";;;;;;;;;;;;
"2013-04-09 02:59:59";"2013-04-09 05:59:59";;;;;;;;;;;;
"2013-04-09 05:59:59";"2013-04-09 08:59:59";72.09524;7.20387;65;90;17.44286;1.58402;14.7;20.2;14.03333;0.81201;12.6;15.7
"2013-04-09 08:59:59";"2013-04-09 11:59:59";68.58333;6.55903;57;79;20.51944;1.49459;18.3;23.6;16.35;0.64743;15.2;17.6
"2013-04-09 11:59:59";"2013-04-09 14:59:58";65.66667;6.17342;57;77;23.68889;2.87071;18.6;27.9;18.71389;1.67534;15.8;21.9
"2013-04-09 14:59:58";"2013-04-09 17:59:58";70.69444;11.20223;57;91;22.46111;4.12488;15.1;28.3;18.25833;2.1809;14.2;21.6
"2013-04-09 17:59:58";"2013-04-09 20:59:58";94.47222;0.83287;92;95;12.91667;0.72361;11.7;14.8;12.375;0.65293;11.3;14
"2013-04-09 20:59:58";"2013-04-09 23:59:58";94.88889;0.73703;94;96;11.75278;0.52941;10.9;12.5;11.29444;0.53226;10.4;12
"2013-04-09 23:59:58";"2013-04-10 02:59:57";94.94444;0.62113;94;97;11.11389;0.5127;10.3;12.1;10.7;0.51153;9.9;11.6
"2013-04-10 02:59:57";"2013-04-10 05:59:57";95;0.4714;94;96;10.14444;0.40031;9.7;11.1;9.74444;0.38038;9.3;10.6
"2013-04-10 05:59:57";"2013-04-10 08:59:57";78.51429;11.39517;65;95;15.56;4.08846;9.4;20.8;12.96571;2.52789;9;16.8
"2013-04-10 08:59:57";"2013-04-10 11:59:57";67.61111;6.08859;58;80;21.53056;2.25066;18.8;25.9;17.10278;1.23996;15;19.7
"2013-04-10 11:59:57";"2013-04-10 14:59:56";70.66667;5.65194;57;82;20.30278;2.15116;17.3;24.7;16.46111;1.3162;14.2;18.6
"2013-04-10 14:59:56";"2013-04-10 17:59:56";85.80556;3.34016;79;92;16.30833;1.4805;13.7;18.8;14.71667;1.04523;12.9;16.3
"2013-04-10 17:59:56";"2013-04-10 20:59:56";93.69444;0.6591;92;95;12.16667;0.75093;11.1;13.5;11.575;0.71039;10.5;12.8
"2013-04-10 20:59:56";"2013-04-10 23:59:56";94.80556;0.6591;94;96;10.95556;0.9394;9.2;12.2;10.51944;0.91434;8.8;11.8
"2013-04-10 23:59:56";"2013-04-11 02:59:55";95.52778;0.55207;94;96;9.44444;0.59463;8.7;10.4;9.09722;0.60667;8.4;10
"2013-04-11 02:59:55";"2013-04-11 05:59:55";95.83333;0.72648;95;98;9.13611;0.80628;7.9;10.4;8.81944;0.78486;7.6;10.1
"2013-04-11 05:59:55";"2013-04-11 08:59:55";80.02857;11.37035;65;97;14.34857;3.89324;8.6;20.8;12.03143;2.39318;8.3;16.2
"2013-04-11 08:59:55";"2013-04-11 11:59:55";64.61111;3.39344;57;71;21.525;1.81619;18.3;27;16.68889;1.23553;14.6;20.3
"2013-04-11 11:59:55";"2013-04-11 14:59:54";64.19444;3.94278;58;75;24.92778;1.65321;20.9;27.3;19.65;1.17533;17.5;21.7
"2013-04-11 14:59:54";"2013-04-11 17:59:54";77.94444;10.84216;59;93;19.97778;3.65924;15.4;26.7;17.04167;1.94213;14.6;21.1
"2013-04-11 17:59:54";"2013-04-11 20:59:54";92.94444;0.84802;91;95;13.66389;0.87659;12.5;15.3;12.95833;0.86839;11.9;14.6
"2013-04-11 20:59:54";"2013-04-11 23:59:54";94.86111;0.53504;94;96;11.89167;0.81628;10.5;13;11.41944;0.76078;10.1;12.4
"2013-04-11 23:59:54";"2013-04-12 02:59:53";95.36111;0.53504;95;97;10.96111;0.48263;10.1;11.6;10.59167;0.49124;9.8;11.3
"2013-04-12 02:59:53";"2013-04-12 05:59:53";95.5;0.55277;94;96;9.54444;0.40169;8.8;10.2;9.19444;0.40204;8.4;9.9
"2013-04-12 05:59:53";"2013-04-12 08:59:53";85.11111;9.69472;66;96;13.65;3.75681;8.7;21;11.96667;2.49422;8.4;16.5
"2013-04-12 08:59:53";"2013-04-12 11:59:53";66.55556;2.93867;62;76;21.00556;1.13332;18.7;23.2;16.54444;0.81187;15.2;18.5
"2013-04-12 11:59:53";"2013-04-12 14:59:52";67.55556;6.97792;57;80;22.09167;2.69345;18.8;28.3;17.60278;1.70546;15.9;22.2
"2013-04-12 14:59:52";"2013-04-12 17:59:52";79.13889;7.53567;64;92;19.21389;2.37757;15.1;23.8;16.58056;1.29225;14.2;18.7
"2013-04-12 17:59:52";"2013-04-12 20:59:52";93.97143;0.77407;92;95;12.68571;0.93538;11.5;15;12.10286;0.89042;11.1;14.3
"2013-04-12 20:59:52";"2013-04-12 23:59:52";94.63889;0.673;94;97;10.46111;0.44801;9.8;11.4;10.025;0.46689;9.4;11.1
"2013-04-12 23:59:52";"2013-04-13 02:59:51";94.6;0.61101;93;95;9.38;0.26382;9;9.9;8.94;0.23036;8.6;9.4
"2013-04-13 02:59:51";"2013-04-13 05:59:51";;;;;;;;;;;;
"2013-04-13 05:59:51";"2013-04-13 08:59:51";;;;;;;;;;;;
"2013-04-13 08:59:51";"2013-04-13 11:59:51";;;;;;;;;;;;
"2013-04-13 11:59:51";"2013-04-13 14:59:50";;;;;;;;;;;;
"2013-04-13 14:59:50";"2013-04-13 17:59:50";;;;;;;;;;;;
"2013-04-13 17:59:50";"2013-04-13 20:59:50";;;;;;;;;;;;
