"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2013-04-09 00:00:00";"2013-04-09 00:17:59";;;;;;;;;;;;
"2013-04-09 00:17:59";"2013-04-09 00:35:59";;;;;;;;;;;;
"2013-04-09 00:35:59";"2013-04-09 00:53:59";;;;;;;;;;;;
"2013-04-09 00:53:59";"2013-04-09 01:11:59";;;;;;;;;;;;
"2013-04-09 01:11:59";"2013-04-09 01:29:59";;;;;;;;;;;;
"2013-04-09 01:29:59";"2013-04-09 01:47:59";;;;;;;;;;;;
"2013-04-09 01:47:59";"2013-04-09 02:05:59";;;;;;;;;;;;
"2013-04-09 02:05:59";"2013-04-09 02:23:59";;;;;;;;;;;;
"2013-04-09 02:23:59";"2013-04-09 02:41:59";;;;;;;;;;;;
"2013-04-09 02:41:59";"2013-04-09 02:59:59";;;;;;;;;;;;
"2013-04-09 02:59:59";"2013-04-09 03:17:59";;;;;;;;;;;;
"2013-04-09 03:17:59";"2013-04-09 03:35:59";;;;;;;;;;;;
"2013-04-09 03:35:59";"2013-04-09 03:53:59";;;;;;;;;;;;
"2013-04-09 03:53:59";"2013-04-09 04:11:59";;;;;;;;;;;;
"2013-04-09 04:11:59";"2013-04-09 04:29:59";;;;;;;;;;;;
"2013-04-09 04:29:59";"2013-04-09 04:47:59";;;;;;;;;;;;
"2013-04-09 04:47:59";"2013-04-09 05:05:59";;;;;;;;;;;;
"2013-04-09 05:05:59";"2013-04-09 05:23:59";;;;;;;;;;;;
"2013-04-09 05:23:59";"2013-04-09 05:41:59";;;;;;;;;;;;
"2013-04-09 05:41:59";"2013-04-09 05:59:59";;;;;;;;;;;;
"2013-04-09 05:59:59";"2013-04-09 06:17:59";;;;;;;;;;;;
"2013-04-09 06:17:59";"2013-04-09 06:35:59";;;;;;;;;;;;
"2013-04-09 06:35:59";"2013-04-09 06:53:59";;;;;;;;;;;;
