"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-01-01 00:00:00";"2013-01-01 03:05:59";;;;;;;;;;;;
"2013-01-01 03:05:59";"2013-01-01 06:11:59";;;;;;;;;;;;
"2013-01-01 06:11:59";"2013-01-01 09:17:59";;;;;;;;;;;;
"2013-01-01 09:17:59";"2013-01-01 12:23:59";;;;;;;;;;;;
"2013-01-01 12:23:59";"2013-01-01 15:29:59";;;;;;;;;;;;
"2013-01-01 15:29:59";"2013-01-01 18:35:59";;;;;;;;;;;;
"2013-01-01 18:35:59";"2013-01-01 21:41:59";;;;;;;;;;;;
"2013-01-01 21:41:59";"2013-01-02 00:47:59";;;;;;;;;;;;
"2013-01-02 00:47:59";"2013-01-02 03:53:58";;;;;;;;;;;;
"2013-01-02 03:53:58";"2013-01-02 06:59:58";;;;;;;;;;;;
"2013-01-02 06:59:58";"2013-01-02 10:05:58";;;;;;;;;;;;
"2013-01-02 10:05:58";"2013-01-02 13:11:58";;;;;;;;;;;;
"2013-01-02 13:11:58";"2013-01-02 16:17:58";;;;;;;;;;;;
"2013-01-02 16:17:58";"2013-01-02 19:23:58";;;;;;;;;;;;
"2013-01-02 19:23:58";"2013-01-02 22:29:58";;;;;;;;;;;;
"2013-01-02 22:29:58";"2013-01-03 01:35:58";;;;;;;;;;;;
"2013-01-03 01:35:58";"2013-01-03 04:41:57";;;;;;;;;;;;
"2013-01-03 04:41:57";"2013-01-03 07:47:57";;;;;;;;;;;;
"2013-01-03 07:47:57";"2013-01-03 10:53:57";;;;;;;;;;;;
"2013-01-03 10:53:57";"2013-01-03 13:59:57";;;;;;;;;;;;
"2013-01-03 13:59:57";"2013-01-03 17:05:57";;;;;;;;;;;;
"2013-01-03 17:05:57";"2013-01-03 20:11:57";;;;;;;;;;;;
"2013-01-03 20:11:57";"2013-01-03 23:17:57";;;;;;;;;;;;
"2013-01-03 23:17:57";"2013-01-04 02:23:57";;;;;;;;;;;;
"2013-01-04 02:23:57";"2013-01-04 05:29:56";;;;;;;;;;;;
"2013-01-04 05:29:56";"2013-01-04 08:35:56";;;;;;;;;;;;
"2013-01-04 08:35:56";"2013-01-04 11:41:56";;;;;;;;;;;;
"2013-01-04 11:41:56";"2013-01-04 14:47:56";;;;;;;;;;;;
"2013-01-04 14:47:56";"2013-01-04 17:53:56";;;;;;;;;;;;
"2013-01-04 17:53:56";"2013-01-04 20:59:56";;;;;;;;;;;;
"2013-01-04 20:59:56";"2013-01-05 00:05:56";;;;;;;;;;;;
"2013-01-05 00:05:56";"2013-01-05 03:11:56";;;;;;;;;;;;
"2013-01-05 03:11:56";"2013-01-05 06:17:55";;;;;;;;;;;;
"2013-01-05 06:17:55";"2013-01-05 09:23:55";;;;;;;;;;;;
"2013-01-05 09:23:55";"2013-01-05 12:29:55";;;;;;;;;;;;
"2013-01-05 12:29:55";"2013-01-05 15:35:55";;;;;;;;;;;;
"2013-01-05 15:35:55";"2013-01-05 18:41:55";;;;;;;;;;;;
"2013-01-05 18:41:55";"2013-01-05 21:47:55";;;;;;;;;;;;
"2013-01-05 21:47:55";"2013-01-06 00:53:55";;;;;;;;;;;;
"2013-01-06 00:53:55";"2013-01-06 03:59:55";;;;;;;;;;;;
"2013-01-06 03:59:55";"2013-01-06 07:05:54";;;;;;;;;;;;
"2013-01-06 07:05:54";"2013-01-06 10:11:54";;;;;;;;;;;;
"2013-01-06 10:11:54";"2013-01-06 13:17:54";;;;;;;;;;;;
"2013-01-06 13:17:54";"2013-01-06 16:23:54";;;;;;;;;;;;
"2013-01-06 16:23:54";"2013-01-06 19:29:54";;;;;;;;;;;;
"2013-01-06 19:29:54";"2013-01-06 22:35:54";;;;;;;;;;;;
"2013-01-06 22:35:54";"2013-01-07 01:41:54";;;;;;;;;;;;
