"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-01-01 00:00:00";"2013-01-01 15:29:59";;;;;;;;;;;;
"2013-01-01 15:29:59";"2013-01-02 06:59:58";;;;;;;;;;;;
"2013-01-02 06:59:58";"2013-01-02 22:29:58";;;;;;;;;;;;
"2013-01-02 22:29:58";"2013-01-03 13:59:57";;;;;;;;;;;;
"2013-01-03 13:59:57";"2013-01-04 05:29:56";;;;;;;;;;;;
"2013-01-04 05:29:56";"2013-01-04 20:59:56";;;;;;;;;;;;
"2013-01-04 20:59:56";"2013-01-05 12:29:55";;;;;;;;;;;;
"2013-01-05 12:29:55";"2013-01-06 03:59:55";;;;;;;;;;;;
"2013-01-06 03:59:55";"2013-01-06 19:29:54";;;;;;;;;;;;
"2013-01-06 19:29:54";"2013-01-07 10:59:53";;;;;;;;;;;;
"2013-01-07 10:59:53";"2013-01-08 02:29:53";;;;;;;;;;;;
"2013-01-08 02:29:53";"2013-01-08 17:59:52";;;;;;;;;;;;
"2013-01-08 17:59:52";"2013-01-09 09:29:51";;;;;;;;;;;;
"2013-01-09 09:29:51";"2013-01-10 00:59:51";;;;;;;;;;;;
"2013-01-10 00:59:51";"2013-01-10 16:29:50";;;;;;;;;;;;
"2013-01-10 16:29:50";"2013-01-11 07:59:50";;;;;;;;;;;;
"2013-01-11 07:59:50";"2013-01-11 23:29:49";;;;;;;;;;;;
"2013-01-11 23:29:49";"2013-01-12 14:59:48";;;;;;;;;;;;
"2013-01-12 14:59:48";"2013-01-13 06:29:48";;;;;;;;;;;;
"2013-01-13 06:29:48";"2013-01-13 21:59:47";;;;;;;;;;;;
"2013-01-13 21:59:47";"2013-01-14 13:29:46";;;;;;;;;;;;
"2013-01-14 13:29:46";"2013-01-15 04:59:46";;;;;;;;;;;;
"2013-01-15 04:59:46";"2013-01-15 20:29:45";;;;;;;;;;;;
"2013-01-15 20:29:45";"2013-01-16 11:59:45";;;;;;;;;;;;
"2013-01-16 11:59:45";"2013-01-17 03:29:44";;;;;;;;;;;;
"2013-01-17 03:29:44";"2013-01-17 18:59:43";;;;;;;;;;;;
"2013-01-17 18:59:43";"2013-01-18 10:29:43";;;;;;;;;;;;
"2013-01-18 10:29:43";"2013-01-19 01:59:42";;;;;;;;;;;;
"2013-01-19 01:59:42";"2013-01-19 17:29:41";;;;;;;;;;;;
"2013-01-19 17:29:41";"2013-01-20 08:59:41";;;;;;;;;;;;
"2013-01-20 08:59:41";"2013-01-21 00:29:40";;;;;;;;;;;;
"2013-01-21 00:29:40";"2013-01-21 15:59:40";;;;;;;;;;;;
"2013-01-21 15:59:40";"2013-01-22 07:29:39";;;;;;;;;;;;
"2013-01-22 07:29:39";"2013-01-22 22:59:38";;;;;;;;;;;;
"2013-01-22 22:59:38";"2013-01-23 14:29:38";;;;;;;;;;;;
"2013-01-23 14:29:38";"2013-01-24 05:59:37";;;;;;;;;;;;
"2013-01-24 05:59:37";"2013-01-24 21:29:36";;;;;;;;;;;;
"2013-01-24 21:29:36";"2013-01-25 12:59:36";;;;;;;;;;;;
"2013-01-25 12:59:36";"2013-01-26 04:29:35";;;;;;;;;;;;
"2013-01-26 04:29:35";"2013-01-26 19:59:35";;;;;;;;;;;;
"2013-01-26 19:59:35";"2013-01-27 11:29:34";;;;;;;;;;;;
"2013-01-27 11:29:34";"2013-01-28 02:59:33";;;;;;;;;;;;
"2013-01-28 02:59:33";"2013-01-28 18:29:33";;;;;;;;;;;;
"2013-01-28 18:29:33";"2013-01-29 09:59:32";;;;;;;;;;;;
"2013-01-29 09:59:32";"2013-01-30 01:29:31";;;;;;;;;;;;
"2013-01-30 01:29:31";"2013-01-30 16:59:31";;;;;;;;;;;;
"2013-01-30 16:59:31";"2013-01-31 08:29:30";;;;;;;;;;;;
"2013-01-31 08:29:30";"2013-01-31 23:59:30";;;;;;;;;;;;
"2013-01-31 23:59:30";"2013-02-01 15:29:29";;;;;;;;;;;;
"2013-02-01 15:29:29";"2013-02-02 06:59:28";;;;;;;;;;;;
"2013-02-02 06:59:28";"2013-02-02 22:29:28";;;;;;;;;;;;
"2013-02-02 22:29:28";"2013-02-03 13:59:27";;;;;;;;;;;;
"2013-02-03 13:59:27";"2013-02-04 05:29:26";;;;;;;;;;;;
"2013-02-04 05:29:26";"2013-02-04 20:59:26";;;;;;;;;;;;
"2013-02-04 20:59:26";"2013-02-05 12:29:25";;;;;;;;;;;;
"2013-02-05 12:29:25";"2013-02-06 03:59:25";;;;;;;;;;;;
"2013-02-06 03:59:25";"2013-02-06 19:29:24";;;;;;;;;;;;
"2013-02-06 19:29:24";"2013-02-07 10:59:23";;;;;;;;;;;;
"2013-02-07 10:59:23";"2013-02-08 02:29:23";;;;;;;;;;;;
"2013-02-08 02:29:23";"2013-02-08 17:59:22";;;;;;;;;;;;
"2013-02-08 17:59:22";"2013-02-09 09:29:21";;;;;;;;;;;;
"2013-02-09 09:29:21";"2013-02-10 00:59:21";;;;;;;;;;;;
"2013-02-10 00:59:21";"2013-02-10 16:29:20";;;;;;;;;;;;
"2013-02-10 16:29:20";"2013-02-11 07:59:20";;;;;;;;;;;;
"2013-02-11 07:59:20";"2013-02-11 23:29:19";;;;;;;;;;;;
"2013-02-11 23:29:19";"2013-02-12 14:59:18";;;;;;;;;;;;
"2013-02-12 14:59:18";"2013-02-13 06:29:18";;;;;;;;;;;;
"2013-02-13 06:29:18";"2013-02-13 21:59:17";;;;;;;;;;;;
"2013-02-13 21:59:17";"2013-02-14 13:29:16";;;;;;;;;;;;
"2013-02-14 13:29:16";"2013-02-15 04:59:16";;;;;;;;;;;;
"2013-02-15 04:59:16";"2013-02-15 20:29:15";;;;;;;;;;;;
"2013-02-15 20:29:15";"2013-02-16 11:59:15";;;;;;;;;;;;
"2013-02-16 11:59:15";"2013-02-17 03:29:14";;;;;;;;;;;;
"2013-02-17 03:29:14";"2013-02-17 18:59:13";;;;;;;;;;;;
"2013-02-17 18:59:13";"2013-02-18 10:29:13";;;;;;;;;;;;
"2013-02-18 10:29:13";"2013-02-19 01:59:12";;;;;;;;;;;;
"2013-02-19 01:59:12";"2013-02-19 17:29:11";73.96163;2.39373;69;79;23.09856;1.85763;20.1;27.1;19.53741;1.42976;17;22.8
"2013-02-19 17:29:11";"2013-02-20 08:59:11";78.04223;4.04558;69;87;22.45298;1.31291;20.4;25.6;19.53167;1.07302;17.8;22.4
"2013-02-20 08:59:11";"2013-02-21 00:29:10";74.23234;7.62331;63;90;24.21699;3.66645;17.7;30;20.51453;2.34114;16;24.4
"2013-02-21 00:29:10";"2013-02-21 15:59:10";;;;;;;;;;;;
"2013-02-21 15:59:10";"2013-02-22 07:29:09";;;;;;;;;;;;
"2013-02-22 07:29:09";"2013-02-22 22:59:08";;;;;;;;;;;;
