"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-03-01 00:00:00";"2013-03-01 06:08:59";98.80992;0.91194;97;101;11.81488;0.14919;11.6;12.1;11.76446;0.15204;11.5;12
"2013-03-01 06:08:59";"2013-03-01 12:17:59";80.70079;13.24991;62;100;17.65827;4.72628;9.8;24.4;15.14331;2.87987;9.7;19.1
"2013-03-01 12:17:59";"2013-03-01 18:26:59";81.22167;6.30623;68;94;19.14002;2.1251;15.3;24.1;16.80936;1.31928;14.3;19.8
"2013-03-01 18:26:59";"2013-03-02 00:35:59";;;;;;;;;;;;
"2013-03-02 00:35:59";"2013-03-02 06:44:59";;;;;;;;;;;;
"2013-03-02 06:44:59";"2013-03-02 12:53:59";;;;;;;;;;;;
"2013-03-02 12:53:59";"2013-03-02 19:02:59";;;;;;;;;;;;
"2013-03-02 19:02:59";"2013-03-03 01:11:59";;;;;;;;;;;;
"2013-03-03 01:11:59";"2013-03-03 07:20:58";;;;;;;;;;;;
"2013-03-03 07:20:58";"2013-03-03 13:29:58";;;;;;;;;;;;
"2013-03-03 13:29:58";"2013-03-03 19:38:58";;;;;;;;;;;;
"2013-03-03 19:38:58";"2013-03-04 01:47:58";;;;;;;;;;;;
"2013-03-04 01:47:58";"2013-03-04 07:56:58";;;;;;;;;;;;
"2013-03-04 07:56:58";"2013-03-04 14:05:58";;;;;;;;;;;;
"2013-03-04 14:05:58";"2013-03-04 20:14:58";;;;;;;;;;;;
"2013-03-04 20:14:58";"2013-03-05 02:23:58";;;;;;;;;;;;
"2013-03-05 02:23:58";"2013-03-05 08:32:57";;;;;;;;;;;;
"2013-03-05 08:32:57";"2013-03-05 14:41:57";78.47059;2.08968;74;83;20.27059;0.92911;19;22.1;17.53529;0.70539;16.3;18.9
"2013-03-05 14:41:57";"2013-03-05 20:50:57";81.93243;4.31318;74;94;20.92162;2.41618;16.1;26.2;18.62432;1.99647;15.5;23.1
"2013-03-05 20:50:57";"2013-03-06 02:59:57";98.51389;1.19016;94;100;13.51528;0.72239;12.4;15.9;13.38194;0.63821;12.4;15.3
"2013-03-06 02:59:57";"2013-03-06 09:08:57";98.35135;0.82907;97;100;11.83919;0.53469;10.8;12.7;11.74324;0.52584;10.7;12.6
"2013-03-06 09:08:57";"2013-03-06 15:17:57";80.24658;10.76369;61;98;18.98767;5.1067;10.7;26.5;16.39452;3.71767;10.4;22.6
"2013-03-06 15:17:57";"2013-03-06 21:26:57";80.83562;8.35187;70;97;21.44247;2.90804;15;26.8;18.88904;1.79303;14.6;22.6
"2013-03-06 21:26:57";"2013-03-07 03:35:57";99.2027;0.92969;97;101;12.41081;0.93888;11.2;15;12.37432;0.906;11.1;14.7
"2013-03-07 03:35:57";"2013-03-07 09:44:56";98.5;0.80957;97;100;11.43919;0.30836;10.8;12;11.35541;0.29553;10.8;11.9
"2013-03-07 09:44:56";"2013-03-07 15:53:56";75.31507;10.30345;61;98;21.98767;5.21026;12.1;28.3;18.53151;3.90324;11.9;23.8
"2013-03-07 15:53:56";"2013-03-07 22:02:56";86.2027;9.22245;70;100;21.21757;4.30488;14.1;29.1;19.3527;3.0539;14;24.6
"2013-03-07 22:02:56";"2013-03-08 04:11:56";98.71622;0.9935;97;101;11.81081;0.8633;10.6;14;11.72432;0.83339;10.6;13.9
"2013-03-08 04:11:56";"2013-03-08 10:20:56";98.02703;1.09016;96;100;8.89459;0.93229;7.3;10.8;8.77568;0.93228;7.2;10.7
"2013-03-08 10:20:56";"2013-03-08 16:29:56";74.34247;5.94085;62;96;21.44795;2.54914;11.4;25.9;18.03699;1.96862;11.1;22
"2013-03-08 16:29:56";"2013-03-08 22:38:56";82.68493;7.81967;72;100;18.7411;3.62525;12.3;24.4;16.56986;2.52997;12.1;20.5
"2013-03-08 22:38:56";"2013-03-09 04:47:56";99.31081;0.94334;97;101;11.01351;0.31765;10.6;12.1;10.97838;0.33137;10.5;12.1
"2013-03-09 04:47:56";"2013-03-09 10:56:55";98.21622;1.77269;93;101;9.97432;0.97483;8.8;12.6;9.84865;0.87769;8.7;12
"2013-03-09 10:56:55";"2013-03-09 17:05:55";81.37838;5.61057;70;94;18.36757;2.22541;12.8;22.1;16.1027;1.55337;12.1;18.7
"2013-03-09 17:05:55";"2013-03-09 23:14:55";89.64615;6.94911;79;101;16.08308;3.13695;10.7;19.8;14.89846;2.34189;10.6;18.2
"2013-03-09 23:14:55";"2013-03-10 05:23:55";;;;;;;;;;;;
"2013-03-10 05:23:55";"2013-03-10 11:32:55";;;;;;;;;;;;
"2013-03-10 11:32:55";"2013-03-10 17:41:55";;;;;;;;;;;;
"2013-03-10 17:41:55";"2013-03-10 23:50:55";;;;;;;;;;;;
"2013-03-10 23:50:55";"2013-03-11 05:59:55";;;;;;;;;;;;
"2013-03-11 05:59:55";"2013-03-11 12:08:54";;;;;;;;;;;;
"2013-03-11 12:08:54";"2013-03-11 18:17:54";79.33333;1.69967;77;81;23.4;0.21602;23.2;23.7;20.63333;0.04714;20.6;20.7
"2013-03-11 18:17:54";"2013-03-12 00:26:54";94.14706;5.21667;79;102;14.61471;3.26768;10.7;22.6;13.97353;2.67832;10.6;20.3
"2013-03-12 00:26:54";"2013-03-12 06:35:54";;;;;;;;;;;;
"2013-03-12 06:35:54";"2013-03-12 12:44:54";69.13333;1.40791;67;72;22.84667;1.07881;21.2;25;18.57333;0.96365;17.3;20.5
"2013-03-12 12:44:54";"2013-03-12 18:53:54";83.59459;7.58897;65;97;20.09865;2.78754;15.6;27.1;18;1.69602;15.2;22
"2013-03-12 18:53:54";"2013-03-13 01:02:54";95.50685;5.57913;86;101;14.04247;2.39027;11.5;19.2;13.58493;1.79258;11.5;17.5
"2013-03-13 01:02:54";"2013-03-13 07:11:54";99.08;1.05527;97;100;10.80933;1.12465;8.2;12.2;10.76533;1.15487;8;12.2
"2013-03-13 07:11:54";"2013-03-13 13:20:53";90.04167;12.87055;59;101;12.61528;5.17692;7.3;23.7;11.38889;3.53186;7.2;18.5
"2013-03-13 13:20:53";"2013-03-13 19:29:53";82.90698;9.44461;67;101;20.79186;3.35297;13.3;26.1;18.53256;2.18241;13.4;22.1
"2013-03-13 19:29:53";"2013-03-14 01:38:53";100.07143;0.83361;98;102;11.23143;0.66387;10.4;13.2;11.27143;0.66872;10.4;13.2
"2013-03-14 01:38:53";"2013-03-14 07:47:53";96.21333;7.24117;70;101;9.86667;2.47054;7.2;18.4;9.508;1.82915;7.2;14.9
"2013-03-14 07:47:53";"2013-03-14 13:56:53";75.24324;8.27371;59;90;22.93919;2.39017;18.5;27.2;19.51892;1.58427;15.5;22.9
"2013-03-14 13:56:53";"2013-03-14 20:05:53";84.64815;6.80184;76;100;21.22593;3.06523;14.5;25.7;19.22407;2.11931;14.5;22.3
"2013-03-14 20:05:53";"2013-03-15 02:14:53";;;;;;;;;;;;
"2013-03-15 02:14:53";"2013-03-15 08:23:53";;;;;;;;;;;;
"2013-03-15 08:23:53";"2013-03-15 14:32:52";86.42857;3.18585;80;91;16.36429;0.7662;15.5;18.2;14.84524;0.4594;14.2;15.9
"2013-03-15 14:32:52";"2013-03-15 20:41:52";92.83562;4.80015;80;100;14.46164;2.22591;10.8;20.5;13.70411;1.68657;10.7;18
"2013-03-15 20:41:52";"2013-03-16 02:50:52";97.84615;0.76923;97;100;10.4;0.23205;10.1;10.8;10.26923;0.21974;10;10.7
"2013-03-16 02:50:52";"2013-03-16 08:59:52";;;;;;;;;;;;
"2013-03-16 08:59:52";"2013-03-16 15:08:52";;;;;;;;;;;;
"2013-03-16 15:08:52";"2013-03-16 21:17:52";;;;;;;;;;;;
"2013-03-16 21:17:52";"2013-03-17 03:26:52";;;;;;;;;;;;
"2013-03-17 03:26:52";"2013-03-17 09:35:52";;;;;;;;;;;;
"2013-03-17 09:35:52";"2013-03-17 15:44:51";;;;;;;;;;;;
"2013-03-17 15:44:51";"2013-03-17 21:53:51";;;;;;;;;;;;
"2013-03-17 21:53:51";"2013-03-18 04:02:51";;;;;;;;;;;;
"2013-03-18 04:02:51";"2013-03-18 10:11:51";69.5;4.45814;63;78;22.49375;1.76935;19.8;25.3;18.2875;1.12131;16.6;20.4
"2013-03-18 10:11:51";"2013-03-18 16:20:51";80.32432;10.27869;58;99;21.38919;3.46592;15.4;27.8;18.71486;1.9869;15.2;22
"2013-03-18 16:20:51";"2013-03-18 22:29:51";95.87143;3.95663;79;99;14.27714;1.76645;12.6;20.5;13.85;1.31733;12.5;17.9
"2013-03-18 22:29:51";"2013-03-19 04:38:51";98.56164;0.59648;97;100;12.79726;0.25318;12.2;13.1;12.67945;0.25747;12.1;13
"2013-03-19 04:38:51";"2013-03-19 10:47:51";84.87838;13.53469;62;100;16.89054;4.43704;11.9;25.2;14.92838;2.60548;11.8;19.5
"2013-03-19 10:47:51";"2013-03-19 16:56:50";83.28378;8.36421;68;95;20.18108;3.60486;15.1;27.5;18.01216;2.39238;14.4;23.3
"2013-03-19 16:56:50";"2013-03-19 23:05:50";97.5;3.76775;84;101;12.90541;2.10302;10.6;19.4;12.65541;1.7178;10.4;17.8
"2013-03-19 23:05:50";"2013-03-20 05:14:50";98.69863;1.00253;97;100;10.48356;0.46641;9.7;11.4;10.4137;0.46679;9.6;11.3
"2013-03-20 05:14:50";"2013-03-20 11:23:50";83.35135;11.2291;62;100;16.82973;4.8835;9.8;25.4;14.74054;3.40417;9.7;20.2
"2013-03-20 11:23:50";"2013-03-20 17:32:50";79.83784;7.83621;66;92;23.22027;3.47372;17.9;31.2;20.42838;2.25248;17;25.8
"2013-03-20 17:32:50";"2013-03-20 23:41:50";97.90541;1.61219;92;100;13.25676;1.81793;10.5;17.7;13.06622;1.73231;10.5;16.8
"2013-03-20 23:41:50";"2013-03-21 05:50:50";98.83333;0.7533;98;100;11.35952;0.32001;10.6;11.8;11.29048;0.31457;10.5;11.7
