"dia";"hora";"sanpedro/005/humidity";"sanpedro/005/temperature"
"2013-05-05";"23:57:14";94.5;12.6
"2013-05-05";"23:57:03";86.5;11.8
"2013-05-05";"23:55:30";92.3;12.2
"2013-05-05";"23:52:09";94.5;12.6
"2013-05-05";"23:51:57";86.5;11.8
"2013-05-05";"23:50:25";92.3;12.2
"2013-05-05";"23:28:24";94.5;12.7
"2013-05-05";"23:27:45";86.5;11.9
"2013-05-05";"23:26:46";94.5;12.8
"2013-05-05";"23:26:45";86.5;12
"2013-05-05";"23:25:07";92.3;12.4
"2013-05-05";"23:25:02";92.3;12.3
"2013-05-05";"22:28:02";94.5;12.7
"2013-05-05";"22:26:56";92.3;12.3
"2013-05-05";"22:26:24";86.5;11.9
"2013-05-05";"22:22:57";94.5;12.7
"2013-05-05";"22:21:51";92.3;12.3
"2013-05-05";"22:21:18";86.5;11.9
"2013-05-05";"22:19:46";94.5;12.7
"2013-05-05";"22:16:51";92.3;12.3
"2013-05-05";"22:16:13";86.5;11.9
"2013-05-05";"22:15:02";94.5;12.6
"2013-05-05";"22:13:57";94.5;12.7
"2013-05-05";"22:13:35";94.5;12.6
"2013-05-05";"22:11:46";92.3;12.3
"2013-05-05";"22:11:13";86.5;11.9
"2013-05-05";"22:08:29";94.5;12.6
"2013-05-05";"22:06:40";92.3;12.3
"2013-05-05";"22:06:35";86.5;11.8
"2013-05-05";"22:04:24";94.5;12.5
"2013-05-05";"22:01:35";92.3;12.3
"2013-05-05";"22:01:29";86.5;11.8
"2013-05-05";"21:59:19";94.5;12.5
"2013-05-05";"21:57:13";86.5;11.7
"2013-05-05";"21:56:35";92.3;12.3
"2013-05-05";"21:56:02";92.3;12.2
"2013-05-05";"21:54:19";94.5;12.5
"2013-05-05";"21:53:07";92.3;12.3
"2013-05-05";"21:52:13";86.5;11.7
"2013-05-05";"21:52:02";92.3;12.2
"2013-05-05";"21:49:18";94.5;12.5
"2013-05-05";"21:47:07";86.5;11.7
"2013-05-05";"21:46:56";92.3;12.2
"2013-05-05";"21:44:18";94.5;12.5
"2013-05-05";"21:42:07";86.5;11.7
"2013-05-05";"21:41:56";92.3;12.2
"2013-05-05";"21:41:45";86.5;11.8
"2013-05-05";"21:39:18";94.5;12.5
"2013-05-05";"21:36:56";92.3;12.2
"2013-05-05";"21:36:45";86.5;11.8
"2013-05-05";"21:35:45";86.5;11.9
"2013-05-05";"21:34:18";94.5;12.5
"2013-05-05";"21:32:18";94.5;12.6
"2013-05-05";"21:30:45";86.5;11.9
"2013-05-05";"21:27:18";94.5;12.6
"2013-05-05";"21:27:17";92.3;12
"2013-05-05";"21:27:12";92.3;12.1
