"dia";"hora";"sanpedro/005/humidity";"sanpedro/005/temperature"
"2013-02-28";"23:58:07";94.5;12.4
"2013-02-28";"23:53:02";94.5;12.4
"2013-02-28";"23:47:58";94.5;12.4
"2013-02-28";"23:42:53";94.5;12.4
"2013-02-28";"23:41:33";94.5;12.5
"2013-02-28";"23:38:10";94.5;12.4
"2013-02-28";"23:36:13";94.6;12.4
"2013-02-28";"23:33:43";94.6;12.5
"2013-02-28";"23:28:38";94.6;12.5
"2013-02-28";"23:23:44";94.6;12.6
"2013-02-28";"23:23:39";94.6;12.6
"2013-02-28";"23:18:34";94.6;12.7
"2013-02-28";"23:15:22";94.6;12.6
"2013-02-28";"23:11:27";94.6;12.7
"2013-02-28";"23:07:42";94.6;12.8
"2013-02-28";"23:06:54";94.6;12.9
"2013-02-28";"23:01:49";94.6;12.9
"2013-02-28";"22:56:45";94.6;12.9
"2013-02-28";"22:51:40";94.6;12.9
"2013-02-28";"22:46:36";94.6;12.9
"2013-02-28";"22:41:31";94.6;12.9
"2013-02-28";"22:36:26";94.6;12.9
"2013-02-28";"22:33:40";94.6;13
"2013-02-28";"22:33:30";94.7;13
"2013-02-28";"22:29:07";94.7;13.1
"2013-02-28";"22:26:53";94.7;13.2
"2013-02-28";"22:25:33";94.7;13.3
"2013-02-28";"22:20:29";94.7;13.3
"2013-02-28";"22:20:02";94.7;13.4
"2013-02-28";"22:14:57";94.7;13.4
"2013-02-28";"22:13:26";94.7;13.5
"2013-02-28";"22:08:22";94.7;13.5
"2013-02-28";"22:03:16";94.7;13.5
"2013-02-28";"21:58:38";94.7;13.6
"2013-02-28";"21:53:34";94.7;13.6
"2013-02-28";"21:53:01";94.7;13.7
"2013-02-28";"21:47:57";94.7;13.7
"2013-02-28";"21:43:40";94.7;13.8
"2013-02-28";"21:40:55";94.8;13.8
"2013-02-28";"21:36:01";94.8;13.9
"2013-02-28";"21:30:56";94.8;13.9
"2013-02-28";"21:28:00";94.8;14
"2013-02-28";"21:25:19";94.8;14.1
"2013-02-28";"21:22:55";94.8;14.2
"2013-02-28";"21:19:42";94.8;14.3
"2013-02-28";"21:19:36";94.8;14.4
"2013-02-28";"21:14:32";94.8;14.4
"2013-02-28";"21:11:03";94.8;14.5
"2013-02-28";"21:05:58";94.8;14.5
"2013-02-28";"21:00:54";94.8;14.5
"2013-02-28";"20:55:49";94.8;14.5
"2013-02-28";"20:50:44";94.8;14.5
"2013-02-28";"20:50:39";94.8;14.5
"2013-02-28";"20:45:34";94.8;14.4
"2013-02-28";"20:40:30";94.8;14.4
