"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2013-03-29 00:00:00";"2013-03-29 00:10:00";94;0;94;94;9.9;0.1;9.8;10;9.4;0.1;9.3;9.5
"2013-03-29 00:10:00";"2013-03-29 00:20:00";94;0;94;94;9.75;0.05;9.7;9.8;9.25;0.05;9.2;9.3
"2013-03-29 00:20:00";"2013-03-29 00:30:00";94;0;94;94;9.75;0.05;9.7;9.8;9.25;0.05;9.2;9.3
"2013-03-29 00:30:00";"2013-03-29 00:40:00";94;0;94;94;9.65;0.15;9.5;9.8;9.15;0.15;9;9.3
"2013-03-29 00:40:00";"2013-03-29 00:50:00";94;0;94;94;9.45;0.05;9.4;9.5;8.95;0.05;8.9;9
"2013-03-29 00:50:00";"2013-03-29 01:00:00";94;0;94;94;9.45;0.05;9.4;9.5;8.95;0.05;8.9;9
"2013-03-29 01:00:00";"2013-03-29 01:10:00";95;0;95;95;9.25;0.05;9.2;9.3;8.85;0.05;8.8;8.9
"2013-03-29 01:10:00";"2013-03-29 01:20:00";95;0;95;95;9.05;0.05;9;9.1;8.65;0.05;8.6;8.7
"2013-03-29 01:20:00";"2013-03-29 01:30:00";95.5;0.5;95;96;9.1;0;9.1;9.1;8.75;0.05;8.7;8.8
"2013-03-29 01:30:00";"2013-03-29 01:40:00";94.5;0.5;94;95;9.05;0.05;9;9.1;8.6;0;8.6;8.6
"2013-03-29 01:40:00";"2013-03-29 01:50:00";95;0;95;95;9;0;9;9;8.6;0;8.6;8.6
"2013-03-29 01:50:00";"2013-03-29 02:00:00";95;0;95;95;8.95;0.05;8.9;9;8.55;0.05;8.5;8.6
"2013-03-29 02:00:00";"2013-03-29 02:10:00";94.5;0.5;94;95;8.9;0;8.9;8.9;8.45;0.05;8.4;8.5
"2013-03-29 02:10:00";"2013-03-29 02:20:00";95;1;94;96;8.8;0.1;8.7;8.9;8.4;0;8.4;8.4
"2013-03-29 02:20:00";"2013-03-29 02:30:00";96;0;96;96;8.55;0.05;8.5;8.6;8.25;0.05;8.2;8.3
"2013-03-29 02:30:00";"2013-03-29 02:40:00";95.5;0.5;95;96;8.6;0.1;8.5;8.7;8.25;0.05;8.2;8.3
"2013-03-29 02:40:00";"2013-03-29 02:50:00";96;0;96;96;8.4;0.1;8.3;8.5;8.1;0.1;8;8.2
"2013-03-29 02:50:00";"2013-03-29 03:00:00";94.5;0.5;94;95;8.25;0.05;8.2;8.3;7.8;0.1;7.7;7.9
"2013-03-29 03:00:00";"2013-03-29 03:10:00";94.5;0.5;94;95;8.05;0.15;7.9;8.2;7.65;0.15;7.5;7.8
"2013-03-29 03:10:00";"2013-03-29 03:20:00";95;0;95;95;7.95;0.05;7.9;8;7.55;0.05;7.5;7.6
"2013-03-29 03:20:00";"2013-03-29 03:30:00";96;0;96;96;7.75;0.05;7.7;7.8;7.45;0.05;7.4;7.5
"2013-03-29 03:30:00";"2013-03-29 03:40:00";95;0;95;95;7.6;0;7.6;7.6;7.2;0;7.2;7.2
"2013-03-29 03:40:00";"2013-03-29 03:50:00";95.5;0.5;95;96;7.4;0;7.4;7.4;7.05;0.05;7;7.1
"2013-03-29 03:50:00";"2013-03-29 04:00:00";95;0;95;95;7.3;0;7.3;7.3;6.9;0;6.9;6.9
"2013-03-29 04:00:00";"2013-03-29 04:10:00";95;1;94;96;7.1;0.1;7;7.2;6.7;0;6.7;6.7
"2013-03-29 04:10:00";"2013-03-29 04:20:00";95;0;95;95;7.15;0.05;7.1;7.2;6.75;0.05;6.7;6.8
"2013-03-29 04:20:00";"2013-03-29 04:30:00";95.5;0.5;95;96;7;0;7;7;6.65;0.05;6.6;6.7
"2013-03-29 04:30:00";"2013-03-29 04:40:00";96;0;96;96;7;0;7;7;6.7;0;6.7;6.7
"2013-03-29 04:40:00";"2013-03-29 04:50:00";96;0;96;96;7;0;7;7;6.7;0;6.7;6.7
"2013-03-29 04:50:00";"2013-03-29 05:00:00";96.5;0.5;96;97;6.65;0.15;6.5;6.8;6.4;0.2;6.2;6.6
"2013-03-29 05:00:00";"2013-03-29 05:10:00";96.5;0.5;96;97;6.35;0.05;6.3;6.4;6.1;0;6.1;6.1
"2013-03-29 05:10:00";"2013-03-29 05:20:00";95;0;95;95;6.75;0.15;6.6;6.9;6.35;0.15;6.2;6.5
"2013-03-29 05:20:00";"2013-03-29 05:30:00";95.5;0.5;95;96;7.2;0.1;7.1;7.3;6.85;0.15;6.7;7
"2013-03-29 05:30:00";"2013-03-29 05:40:00";96;0;96;96;7.45;0.05;7.4;7.5;7.15;0.05;7.1;7.2
"2013-03-29 05:40:00";"2013-03-29 05:50:00";96;0;96;96;7.45;0.05;7.4;7.5;7.15;0.05;7.1;7.2
"2013-03-29 05:50:00";"2013-03-29 06:00:00";96;0;96;96;7.65;0.05;7.6;7.7;7.35;0.05;7.3;7.4
"2013-03-29 06:00:00";"2013-03-29 06:10:00";95.5;0.5;95;96;7.95;0.15;7.8;8.1;7.6;0.1;7.5;7.7
"2013-03-29 06:10:00";"2013-03-29 06:20:00";96;0;96;96;8.2;0.1;8.1;8.3;7.9;0.1;7.8;8
"2013-03-29 06:20:00";"2013-03-29 06:30:00";95;0;95;95;8.85;0.25;8.6;9.1;8.45;0.25;8.2;8.7
"2013-03-29 06:30:00";"2013-03-29 06:40:00";93.5;0.5;93;94;10;0.3;9.7;10.3;9.45;0.25;9.2;9.7
"2013-03-29 06:40:00";"2013-03-29 06:50:00";90.5;0.5;90;91;11.15;0.25;10.9;11.4;10.25;0.15;10.1;10.4
"2013-03-29 06:50:00";"2013-03-29 07:00:00";89;1;88;90;11.85;0.35;11.5;12.2;10.75;0.25;10.5;11
"2013-03-29 07:00:00";"2013-03-29 07:10:00";85;0;85;85;13.2;0.3;12.9;13.5;11.7;0.3;11.4;12
"2013-03-29 07:10:00";"2013-03-29 07:20:00";81;1;80;82;14.4;0.3;14.1;14.7;12.35;0.15;12.2;12.5
"2013-03-29 07:20:00";"2013-03-29 07:30:00";78.5;0.5;78;79;15.75;0.15;15.6;15.9;13.3;0.1;13.2;13.4
"2013-03-29 07:30:00";"2013-03-29 07:40:00";75.5;0.5;75;76;17.8;0.5;17.3;18.3;14.8;0.4;14.4;15.2
"2013-03-29 07:40:00";"2013-03-29 07:50:00";72;0;72;72;18.9;0;18.9;18.9;15.4;0;15.4;15.4
"2013-03-29 07:50:00";"2013-03-29 08:00:00";70.5;0.5;70;71;18.05;0.05;18;18.1;14.45;0.05;14.4;14.5
"2013-03-29 08:00:00";"2013-03-29 08:10:00";69.5;0.5;69;70;18.55;0.25;18.3;18.8;14.75;0.25;14.5;15
"2013-03-29 08:10:00";"2013-03-29 08:20:00";68.5;0.5;68;69;18.75;0.05;18.7;18.8;14.8;0;14.8;14.8
"2013-03-29 08:20:00";"2013-03-29 08:30:00";68;1;67;69;19.1;0.3;18.8;19.4;15;0.4;14.6;15.4
"2013-03-29 08:30:00";"2013-03-29 08:40:00";67;0;67;67;19.1;0.4;18.7;19.5;14.9;0.4;14.5;15.3
"2013-03-29 08:40:00";"2013-03-29 08:50:00";68.5;1.5;67;70;19.65;1.15;18.5;20.8;15.6;0.8;14.8;16.4
"2013-03-29 08:50:00";"2013-03-29 09:00:00";62;2;60;64;19.95;0.75;19.2;20.7;14.95;0.35;14.6;15.3
"2013-03-29 09:00:00";"2013-03-29 09:10:00";60;1;59;61;21.35;0.05;21.3;21.4;15.9;0.2;15.7;16.1
"2013-03-29 09:10:00";"2013-03-29 09:20:00";66;0;66;66;21.3;0.5;20.8;21.8;16.75;0.45;16.3;17.2
"2013-03-29 09:20:00";"2013-03-29 09:30:00";;;;;;;;;;;;
"2013-03-29 09:30:00";"2013-03-29 09:40:00";;;;;;;;;;;;
