"inicio";"fin";"humidity (valentina 002)";"std";"min";"max";"temperature (valentina 002)";"std";"min";"max"
"2013-08-17 00:00:00";"2013-08-17 00:10:00";86.2;0;86.2;86.2;10.1;0;10.1;10.1
"2013-08-17 00:10:00";"2013-08-17 00:20:00";84.8;1.9799;82;86.2;9.9;0.3559;9.4;10.2
"2013-08-17 00:20:00";"2013-08-17 00:30:00";86.2;0;86.2;86.2;10.2;0;10.2;10.2
"2013-08-17 00:30:00";"2013-08-17 00:40:00";86.2;0;86.2;86.2;10.3;0;10.3;10.3
"2013-08-17 00:40:00";"2013-08-17 00:50:00";86.2;0;86.2;86.2;10.1;0.1;10;10.2
"2013-08-17 00:50:00";"2013-08-17 01:00:00";86.15;0.05;86.1;86.2;9.45;0.15;9.3;9.6
"2013-08-17 01:00:00";"2013-08-17 01:10:00";86.1;0;86.1;86.1;9.05;0.05;9;9.1
"2013-08-17 01:10:00";"2013-08-17 01:20:00";84.6;1.9799;81.8;86;8.63333;0.12472;8.5;8.8
"2013-08-17 01:20:00";"2013-08-17 01:30:00";86;0;86;86;8.4;0.1;8.3;8.5
"2013-08-17 01:30:00";"2013-08-17 01:40:00";86;0;86;86;8.35;0.05;8.3;8.4
"2013-08-17 01:40:00";"2013-08-17 01:50:00";86;0;86;86;8.45;0.15;8.3;8.6
"2013-08-17 01:50:00";"2013-08-17 02:00:00";86;0;86;86;8.4;0.1;8.3;8.5
"2013-08-17 02:00:00";"2013-08-17 02:10:00";86;0;86;86;8.65;0.15;8.5;8.8
"2013-08-17 02:10:00";"2013-08-17 02:20:00";84.6;1.9799;81.8;86;8.76667;0.28674;8.4;9.1
"2013-08-17 02:20:00";"2013-08-17 02:30:00";86.1;0;86.1;86.1;9.5;0.1;9.4;9.6
"2013-08-17 02:30:00";"2013-08-17 02:40:00";86.1;0;86.1;86.1;9.6;0;9.6;9.6
"2013-08-17 02:40:00";"2013-08-17 02:50:00";86.1;0;86.1;86.1;9.5;0.1;9.4;9.6
"2013-08-17 02:50:00";"2013-08-17 03:00:00";84.66667;2.02704;81.8;86.1;9.56667;0.40277;9;9.9
"2013-08-17 03:00:00";"2013-08-17 03:10:00";86.2;0;86.2;86.2;10.15;0.05;10.1;10.2
"2013-08-17 03:10:00";"2013-08-17 03:20:00";86.2;0;86.2;86.2;10.2;0;10.2;10.2
