"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-04-10 00:00:00";"2013-04-10 01:00:00";99.40323;0.90624;98;101;12.01613;0.28522;11.6;12.5;12;0.27416;11.5;12.4
"2013-04-10 01:00:00";"2013-04-10 02:00:00";99.66667;1.00326;98;101;11.08431;0.43086;10.3;11.8;11.08824;0.43053;10.3;11.7
"2013-04-10 02:00:00";"2013-04-10 03:00:00";98.15217;0.95479;97;100;11.06957;0.33158;10.3;11.5;10.95435;0.3174;10.3;11.4
"2013-04-10 03:00:00";"2013-04-10 04:00:00";99.38776;1.17484;97;101;11.00204;0.41625;10.2;11.5;10.98367;0.37977;10.3;11.4
"2013-04-10 04:00:00";"2013-04-10 05:00:00";98.55263;1.16297;97;101;10.19737;0.09594;10;10.4;10.11842;0.07899;10;10.2
"2013-04-10 05:00:00";"2013-04-10 06:00:00";99.47059;1.3555;97;101;10.21176;0.25178;9.7;10.5;10.19412;0.20428;9.7;10.5
"2013-04-10 06:00:00";"2013-04-10 07:00:00";93.93684;3.65862;87;101;11.06737;1.06033;9.5;13.2;10.52105;0.67651;9.5;11.9
"2013-04-10 07:00:00";"2013-04-10 08:00:00";78.85238;5.22285;71;88;16.72905;1.91668;13.2;19.5;14.24619;1.17161;12;15.8
"2013-04-10 08:00:00";"2013-04-10 09:00:00";67.00643;2.11105;62;72;22.08617;1.03086;19.5;23.9;17.57267;0.69044;15.8;19.1
"2013-04-10 09:00:00";"2013-04-10 10:00:00";68.60417;5.20312;60;77;23.59667;1.38615;20.8;25.8;19.15083;0.6227;17.7;20.4
"2013-04-10 10:00:00";"2013-04-10 11:00:00";71.31402;4.38215;66;80;24.75549;2.53908;20.3;28.9;20.6314;1.75656;17.6;24
"2013-04-10 11:00:00";"2013-04-10 12:00:00";79.84444;12.22428;65;108;23.70444;4.13745;17;29.6;20.78063;2.30908;17.6;24.5
"2013-04-10 12:00:00";"2013-04-10 13:00:00";92.07054;9.32177;78;112;19.38008;1.49609;16.6;22.2;18.41079;0.44261;17.6;19.6
"2013-04-10 13:00:00";"2013-04-10 14:00:00";84.2585;2.13837;79;89;18.54898;0.92511;17.1;20.9;16.68503;0.75524;15.5;18.4
"2013-04-10 14:00:00";"2013-04-10 15:00:00";80.19355;1.17554;79;83;18.43226;0.45393;17.8;19.3;16.05484;0.33296;15.6;16.7
"2013-04-10 15:00:00";"2013-04-10 16:00:00";;;;;;;;;;;;
"2013-04-10 16:00:00";"2013-04-10 17:00:00";94.35;1.37629;91;97;17.31667;0.72576;16.3;18.5;16.725;0.58981;15.9;17.6
"2013-04-10 17:00:00";"2013-04-10 18:00:00";98.84286;1.07751;96;101;15.25714;0.65172;14.2;16.3;15.15857;0.5569;14.3;16
