"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2013-05-16 00:00:00";"2013-05-16 00:17:59";91.06667;3.38657;86.5;94.6;12.16667;0.26247;11.8;12.4
"2013-05-16 00:17:59";"2013-05-16 00:35:59";;;;;;;;
"2013-05-16 00:35:59";"2013-05-16 00:53:59";;;;;;;;
"2013-05-16 00:53:59";"2013-05-16 01:11:59";;;;;;;;
"2013-05-16 01:11:59";"2013-05-16 01:29:58";;;;;;;;
"2013-05-16 01:29:58";"2013-05-16 01:47:58";91.48;2.67163;86.5;94.6;12.02;0.25612;11.6;12.4
"2013-05-16 01:47:58";"2013-05-16 02:05:58";90.99286;3.49376;86.5;94.6;12.00714;0.34323;11.5;12.4
"2013-05-16 02:05:58";"2013-05-16 02:23:58";;;;;;;;
"2013-05-16 02:23:58";"2013-05-16 02:41:57";;;;;;;;
"2013-05-16 02:41:57";"2013-05-16 02:59:57";90.3;3.30273;86.4;94.5;11.3;0.37417;10.8;11.7
"2013-05-16 02:59:57";"2013-05-16 03:17:57";91;3.39706;86.4;94.5;11.36667;0.33993;10.9;11.7
"2013-05-16 03:17:57";"2013-05-16 03:35:57";90.92143;3.5031;86.4;94.5;11.58571;0.34405;11.1;12
"2013-05-16 03:35:57";"2013-05-16 03:53:56";91.35;3.38947;86.4;94.5;11.68;0.34293;11.2;12.1
"2013-05-16 03:53:56";"2013-05-16 04:11:56";;;;;;;;
"2013-05-16 04:11:56";"2013-05-16 04:29:56";;;;;;;;
"2013-05-16 04:29:56";"2013-05-16 04:47:56";;;;;;;;
"2013-05-16 04:47:56";"2013-05-16 05:05:55";;;;;;;;
"2013-05-16 05:05:55";"2013-05-16 05:23:55";;;;;;;;
"2013-05-16 05:23:55";"2013-05-16 05:41:55";91.11818;3.10742;86.3;94.4;10.83636;0.43542;10.1;11.2
"2013-05-16 05:41:55";"2013-05-16 05:59:55";91.35;3.2928;86.3;94.4;10.82222;0.37647;10.2;11.1
"2013-05-16 05:59:55";"2013-05-16 06:17:54";90.68;3.68206;86.3;94.4;11.06;0.42237;10.5;11.5
"2013-05-16 06:17:54";"2013-05-16 06:35:54";89.51429;3.69997;86.3;94.5;11.42857;0.4165;11;12
"2013-05-16 06:35:54";"2013-05-16 06:53:54";91.96;2.9964;86.4;94.6;12.28;0.27857;11.8;12.6
"2013-05-16 06:53:54";"2013-05-16 07:11:54";89.86429;3.46752;86.5;94.6;12.49286;0.25485;12;12.9
"2013-05-16 07:11:54";"2013-05-16 07:29:53";;;;;;;;
"2013-05-16 07:29:53";"2013-05-16 07:47:53";79.29184;5.39882;75.2;90.1;16.64286;0.22039;16.5;17.3
"2013-05-16 07:47:53";"2013-05-16 08:05:53";75.04314;5.31717;69.6;86;17.7;0.66774;17;19
"2013-05-16 08:05:53";"2013-05-16 08:23:53";73.97736;5.02915;69.7;86;17.96226;0.89532;17;19.5
"2013-05-16 08:23:53";"2013-05-16 08:41:52";;;;;;;;
"2013-05-16 08:41:52";"2013-05-16 08:59:52";;;;;;;;
"2013-05-16 08:59:52";"2013-05-16 09:17:52";;;;;;;;
"2013-05-16 09:17:52";"2013-05-16 09:35:52";;;;;;;;
"2013-05-16 09:35:52";"2013-05-16 09:53:51";;;;;;;;
"2013-05-16 09:53:51";"2013-05-16 10:11:51";;;;;;;;
"2013-05-16 10:11:51";"2013-05-16 10:29:51";;;;;;;;
"2013-05-16 10:29:51";"2013-05-16 10:47:51";72.14545;4.73796;67.6;82.6;17.59273;0.7422;16.9;19
"2013-05-16 10:47:51";"2013-05-16 11:05:50";;;;;;;;
"2013-05-16 11:05:50";"2013-05-16 11:23:50";;;;;;;;
"2013-05-16 11:23:50";"2013-05-16 11:41:50";;;;;;;;
"2013-05-16 11:41:50";"2013-05-16 11:59:50";;;;;;;;
"2013-05-16 11:59:50";"2013-05-16 12:17:49";60.47872;2.74853;55.8;66.1;20.18936;1.2504;19;22.4
"2013-05-16 12:17:49";"2013-05-16 12:35:49";;;;;;;;
"2013-05-16 12:35:49";"2013-05-16 12:53:49";;;;;;;;
"2013-05-16 12:53:49";"2013-05-16 13:11:49";58.01522;2.00141;55.9;63.4;21.10217;1.88674;19.7;24.2
"2013-05-16 13:11:49";"2013-05-16 13:29:48";;;;;;;;
"2013-05-16 13:29:48";"2013-05-16 13:47:48";;;;;;;;
"2013-05-16 13:47:48";"2013-05-16 14:05:48";;;;;;;;
"2013-05-16 14:05:48";"2013-05-16 14:23:48";;;;;;;;
"2013-05-16 14:23:48";"2013-05-16 14:41:47";75.88909;3.14016;72.4;81.6;18.32364;0.40225;17.9;18.9
"2013-05-16 14:41:47";"2013-05-16 14:59:47";;;;;;;;
"2013-05-16 14:59:47";"2013-05-16 15:17:47";;;;;;;;
"2013-05-16 15:17:47";"2013-05-16 15:35:47";;;;;;;;
"2013-05-16 15:35:47";"2013-05-16 15:53:46";;;;;;;;
"2013-05-16 15:53:46";"2013-05-16 16:11:46";85.1193;2.69603;83;91.2;16.76667;0.51753;16.3;17.7
"2013-05-16 16:11:46";"2013-05-16 16:29:46";86.55046;3.27256;82.8;93.2;16.64679;0.53545;16;17.6
"2013-05-16 16:29:46";"2013-05-16 16:47:46";91.55385;3.26817;86.9;95;15.66923;0.43036;15;16.2
"2013-05-16 16:47:46";"2013-05-16 17:05:45";86.9;0;86.9;86.9;14.9;0;14.9;14.9
"2013-05-16 17:05:45";"2013-05-16 17:23:45";90.5625;3.83567;86.8;95;14.55;0.52202;14;15.2
"2013-05-16 17:23:45";"2013-05-16 17:41:45";90.74286;3.53305;86.8;94.9;14.22857;0.43659;13.7;14.8
"2013-05-16 17:41:45";"2013-05-16 17:59:45";90.5;3.42345;86.8;94.9;14.14444;0.41929;13.6;14.7
"2013-05-16 17:59:45";"2013-05-16 18:17:44";;;;;;;;
"2013-05-16 18:17:44";"2013-05-16 18:35:44";;;;;;;;
"2013-05-16 18:35:44";"2013-05-16 18:53:44";;;;;;;;
"2013-05-16 18:53:44";"2013-05-16 19:11:44";90.025;3.53721;86.6;94.7;12.825;0.38324;12.4;13.3
"2013-05-16 19:11:44";"2013-05-16 19:29:43";90.75;3.06472;86.6;94.7;12.88333;0.32361;12.4;13.3
"2013-05-16 19:29:43";"2013-05-16 19:47:43";90.025;3.53721;86.6;94.7;12.85;0.32016;12.5;13.3
"2013-05-16 19:47:43";"2013-05-16 20:05:43";89.3;3.81838;86.6;94.7;13.03333;0.26247;12.8;13.4
"2013-05-16 20:05:43";"2013-05-16 20:23:43";90.075;3.48882;86.7;94.7;13.05;0.20616;12.9;13.4
"2013-05-16 20:23:43";"2013-05-16 20:41:42";;;;;;;;
"2013-05-16 20:41:42";"2013-05-16 20:59:42";91.16667;3.38657;86.6;94.7;12.86667;0.36818;12.4;13.3
"2013-05-16 20:59:42";"2013-05-16 21:17:42";91.35455;3.08909;86.6;94.7;12.85455;0.28719;12.4;13.3
"2013-05-16 21:17:42";"2013-05-16 21:35:42";;;;;;;;
"2013-05-16 21:35:42";"2013-05-16 21:53:41";90.96;3.67511;86.6;94.7;12.94;0.36111;12.5;13.4
"2013-05-16 21:53:41";"2013-05-16 22:11:41";;;;;;;;
"2013-05-16 22:11:41";"2013-05-16 22:29:41";90.98;3.68206;86.6;94.7;12.68;0.45343;12.1;13.2
"2013-05-16 22:29:41";"2013-05-16 22:47:41";89.86;3.45317;86.5;94.6;12.55;0.38794;12.1;13.1
"2013-05-16 22:47:41";"2013-05-16 23:05:40";89.82222;3.81744;86.4;94.6;12.1;0.6;11.4;13.1
"2013-05-16 23:05:40";"2013-05-16 23:23:40";89.825;3.61758;86.3;94.5;11.2;0.62849;10.5;11.9
"2013-05-16 23:23:40";"2013-05-16 23:41:40";90.5375;3.40806;86.3;94.5;11.1875;0.50852;10.5;11.6
"2013-05-16 23:41:40";"2013-05-16 23:59:40";89.8;3.60139;86.3;94.5;11.175;0.53092;10.6;11.8
"2013-05-16 23:59:40";"2013-05-17 00:17:39";90.67143;3.81003;86.3;94.5;11.5;0.41404;11;12
"2013-05-17 00:17:39";"2013-05-17 00:35:39";90.46;3.44128;86.4;94.5;11.72;0.37452;11.2;12.3
"2013-05-17 00:35:39";"2013-05-17 00:53:39";;;;;;;;
"2013-05-17 00:53:39";"2013-05-17 01:11:39";89.85;3.55282;86.4;94.5;11.95;0.38079;11.5;12.5
"2013-05-17 01:11:39";"2013-05-17 01:29:38";90.78;3.68206;86.4;94.5;12.14;0.40299;11.7;12.6
"2013-05-17 01:29:38";"2013-05-17 01:47:38";89.25;2.85;86.4;92.1;12.05;0.25;11.8;12.3
"2013-05-17 01:47:38";"2013-05-17 02:05:38";91;3.39706;86.4;94.5;12.16667;0.36818;11.7;12.6
"2013-05-17 02:05:38";"2013-05-17 02:23:38";;;;;;;;
"2013-05-17 02:23:38";"2013-05-17 02:41:37";;;;;;;;
"2013-05-17 02:41:37";"2013-05-17 02:59:37";91.93636;2.82401;86.4;94.5;11.98182;0.32702;11.4;12.4
"2013-05-17 02:59:37";"2013-05-17 03:17:37";86.4;0;86.4;86.4;11.4;0;11.4;11.4
"2013-05-17 03:17:37";"2013-05-17 03:35:37";;;;;;;;
"2013-05-17 03:35:37";"2013-05-17 03:53:36";;;;;;;;
"2013-05-17 03:53:36";"2013-05-17 04:11:36";;;;;;;;
