"inicio";"fin";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-16 06:39:00";"2013-04-16 06:49:00";89.3;2.8;86.5;92.1;11.9;0.2;11.7;12.1
"2013-04-16 06:49:00";"2013-04-16 06:59:00";94.5;0;94.5;94.5;12.2;0;12.2;12.2
"2013-04-16 06:59:00";"2013-04-16 07:09:00";84.61842;4.26293;81.5;94.9;14.17105;0.30857;13.7;15.2
"2013-04-16 07:09:00";"2013-04-16 07:19:00";82.77182;5.7443;75.5;94.1;15.35727;0.60655;14.4;16.7
"2013-04-16 07:19:00";"2013-04-16 07:29:00";80.86198;5.38589;75.2;89.7;16.12893;0.71124;15.4;17.4
"2013-04-16 07:29:00";"2013-04-16 07:39:00";80.73945;4.90345;74.2;91.1;15.2789;0.91622;13.8;17.4
"2013-04-16 07:39:00";"2013-04-16 07:49:00";84.2785;6.12256;73.1;92.9;15.12243;1.13872;13.7;18
"2013-04-16 07:49:00";"2013-04-16 07:59:00";72.575;5.68445;66.4;87.9;18.21354;1.45363;16.6;22.7
"2013-04-16 07:59:00";"2013-04-16 08:09:00";64.71856;2.4527;61.1;73.8;19.93918;2.01651;18.1;25
"2013-04-16 08:09:00";"2013-04-16 08:19:00";62.54526;2.6742;56.2;69.7;20.15474;2.57922;18.3;25.8
"2013-04-16 08:19:00";"2013-04-16 08:29:00";61.07241;3.27555;53.8;68.3;20.26034;2.54355;18.4;25.9
"2013-04-16 08:29:00";"2013-04-16 08:39:00";59.36533;1.71336;55;63.2;20.944;2.48431;19.1;26.1
"2013-04-16 08:39:00";"2013-04-16 08:49:00";52.9869;1.74682;48.9;58.2;22.60119;2.41545;20.4;27.9
"2013-04-16 08:49:00";"2013-04-16 08:59:00";54.41778;1.37748;50;57;22.54222;2.69019;20.4;27.1
"2013-04-16 08:59:00";"2013-04-16 09:09:00";52.1759;6.48086;46.4;77.4;23.66265;2.82151;20.8;29.2
"2013-04-16 09:09:00";"2013-04-16 09:19:00";52.07701;6.58339;45.6;72.7;23.2046;2.48822;20.5;30
"2013-04-16 09:19:00";"2013-04-16 09:29:00";50.87391;5.71898;45.5;69.4;23.80761;2.25274;20.9;28.3
"2013-04-16 09:29:00";"2013-04-16 09:39:00";49.32667;2.09543;46.4;58.5;24.11556;2.49198;21.8;29.1
"2013-04-16 09:39:00";"2013-04-16 09:49:00";45.87111;1.42168;41.8;50.5;25.14444;3.10215;22.9;30.8
"2013-04-16 09:49:00";"2013-04-16 09:59:00";45.42472;1.64803;39.6;51.6;25.27978;3.17961;23.1;32.3
"2013-04-16 09:59:00";"2013-04-16 10:09:00";45.24353;1.97767;40;49.2;25.33882;3.53487;22.6;32.4
"2013-04-16 10:09:00";"2013-04-16 10:19:00";47.50824;2.43843;41.5;55.2;24.16235;2.94782;21.7;31.3
"2013-04-16 10:19:00";"2013-04-16 10:29:00";50.53111;3.87102;42.6;58.4;23.03889;1.95884;20.5;26.8
"2013-04-16 10:29:00";"2013-04-16 10:39:00";49.96522;5.06206;42.1;63.7;22.72174;1.25679;21.3;26.6
"2013-04-16 10:39:00";"2013-04-16 10:49:00";50.67253;4.9385;46.6;63.5;22.18352;0.68392;21.6;24
"2013-04-16 10:49:00";"2013-04-16 10:59:00";53.02474;5.64775;45.5;67.2;21.90619;0.78554;21;23.7
"2013-04-16 10:59:00";"2013-04-16 11:09:00";51.28444;5.45572;45.6;62.4;21.96;0.82527;21;23.5
"2013-04-16 11:09:00";"2013-04-16 11:19:00";48.36867;4.37071;42.4;60.2;22.72651;1.25747;21.2;25.8
"2013-04-16 11:19:00";"2013-04-16 11:29:00";53.93617;4.46806;48.9;63.9;21.5266;1.0067;20.7;24.4
"2013-04-16 11:29:00";"2013-04-16 11:39:00";53.56702;6.51745;47.1;68.7;21.21915;0.40404;20.8;22.1
"2013-04-16 11:39:00";"2013-04-16 11:49:00";53.34286;7.06183;47.1;68;21.10769;0.3789;20.7;22.2
"2013-04-16 11:49:00";"2013-04-16 11:59:00";52.16813;7.88763;44.5;68.5;22.23077;0.82591;21.2;24.6
"2013-04-16 11:59:00";"2013-04-16 12:09:00";48.06556;4.78022;43.9;64.6;22.95333;0.84751;21.9;25
"2013-04-16 12:09:00";"2013-04-16 12:19:00";50.31613;6.10225;44.9;67.5;22.48495;0.86757;21.7;24.4
"2013-04-16 12:19:00";"2013-04-16 12:29:00";47.10714;4.54317;41.2;59;24.83095;1.41942;22.5;28.3
"2013-04-16 12:29:00";"2013-04-16 12:39:00";53.54318;4.50625;45.2;63.1;23.36477;1.9352;20.9;28.5
"2013-04-16 12:39:00";"2013-04-16 12:49:00";51.75824;5.85653;46;64.6;21.76374;0.59031;20.9;23
"2013-04-16 12:49:00";"2013-04-16 12:59:00";51.50543;7.1112;44.5;65.4;22.50217;0.56221;21.8;23.5
"2013-04-16 12:59:00";"2013-04-16 13:09:00";49.90632;7.1519;43.2;67.3;22.50316;0.70851;21.4;24.5
"2013-04-16 13:09:00";"2013-04-16 13:19:00";52.92093;7.73195;46.4;70;21.41395;0.44752;21.1;22.4
"2013-04-16 13:19:00";"2013-04-16 13:29:00";59.19355;6.37372;47.4;71.1;21.76667;0.4427;21.2;23.2
"2013-04-16 13:29:00";"2013-04-16 13:39:00";55.23333;6.21804;44.9;68.8;22.36556;0.39558;21.9;23.6
"2013-04-16 13:39:00";"2013-04-16 13:49:00";54.92812;6.47332;45.9;68.5;22.60104;0.81516;21.4;24.3
"2013-04-16 13:49:00";"2013-04-16 13:59:00";63.13846;2.06194;61;66.1;21.94615;0.80347;21.3;23.1
"2013-04-16 13:59:00";"2013-04-16 14:09:00";65.91139;4.46199;58.3;74.9;21.47848;0.43156;20.9;22.3
"2013-04-16 14:09:00";"2013-04-16 14:19:00";53.18372;8.28257;42.9;68.5;24.47674;2.02815;21.5;27.5
"2013-04-16 14:19:00";"2013-04-16 14:29:00";48.96316;5.3818;40;56.4;26.35158;1.86986;23.9;29.9
"2013-04-16 14:29:00";"2013-04-16 14:39:00";54.43412;2.81887;50.3;64.4;24.58471;1.36136;23.2;27.1
"2013-04-16 14:39:00";"2013-04-16 14:49:00";52.92674;4.06564;48.4;64.9;24.40233;1.53494;22.5;28.4
"2013-04-16 14:49:00";"2013-04-16 14:59:00";52.37065;4.39455;47.4;69.1;24.99348;1.60792;22.6;29.1
"2013-04-16 14:59:00";"2013-04-16 15:09:00";55.24239;4.01966;47.5;67.5;24.42174;1.44439;23;29.1
"2013-04-16 15:09:00";"2013-04-16 15:19:00";53.76;4.26161;48.1;64.5;24.79579;1.06533;23.6;27
"2013-04-16 15:19:00";"2013-04-16 15:29:00";52.94333;4.92032;47.5;66.2;25.13111;0.64681;24.3;26.7
"2013-04-16 15:29:00";"2013-04-16 15:39:00";52.87442;5.31188;46.4;64.3;25.04419;0.76942;23.2;26.9
"2013-04-16 15:39:00";"2013-04-16 15:49:00";56.3967;4.8028;49.2;69.3;24.1956;0.85201;23;26.2
"2013-04-16 15:49:00";"2013-04-16 15:59:00";53.91538;5.4242;48.9;70;24.3956;0.44964;23.3;25.4
"2013-04-16 15:59:00";"2013-04-16 16:09:00";55.08804;6.77697;49.2;72.8;24.25217;0.40122;23.3;24.8
"2013-04-16 16:09:00";"2013-04-16 16:19:00";56.08667;7.36534;48.4;70.5;24.37111;0.46266;23.6;25.1
