"dia";"hora";"sanpedro/005/humidity";"sanpedro/005/temperature"
"2013-04-15";"23:07:24";94.6;12.7
"2013-04-15";"23:07:02";86.4;11.8
"2013-04-15";"23:06:41";92.2;12.3
"2013-04-15";"23:02:19";94.6;12.7
"2013-04-15";"23:01:58";86.4;11.8
"2013-04-15";"23:01:36";92.2;12.3
"2013-04-15";"22:58:13";94.6;12.6
"2013-04-15";"22:56:53";86.4;11.8
"2013-04-15";"22:56:32";92.2;12.3
"2013-04-15";"22:53:09";94.6;12.6
"2013-04-15";"22:52:10";92.2;12.2
"2013-04-15";"22:52:04";92.2;12.2
"2013-04-15";"22:51:48";86.4;11.8
"2013-04-15";"22:48:04";94.6;12.6
"2013-04-15";"22:46:59";92.2;12.1
"2013-04-15";"22:46:43";86.4;11.8
"2013-04-15";"22:04:39";94.7;13.2
"2013-04-15";"22:04:22";86.6;12.7
"2013-04-15";"22:04:12";86.6;12.8
"2013-04-15";"22:02:20";92.3;12.7
"2013-04-15";"22:02:14";92.3;12.6
"2013-04-15";"22:01:53";92.3;12.7
"2013-04-15";"22:01:47";92.3;12.6
"2013-04-15";"22:01:42";92.3;12.7
"2013-04-15";"22:01:36";92.3;12.6
"2013-04-15";"22:01:15";92.3;12.7
"2013-04-15";"22:01:10";92.3;12.6
"2013-04-15";"22:00:48";92.3;12.7
"2013-04-15";"22:00:43";92.3;12.6
"2013-04-15";"22:00:21";92.3;12.7
"2013-04-15";"22:00:16";92.3;12.6
"2013-04-15";"22:00:10";92.3;12.7
"2013-04-15";"22:00:05";92.3;12.6
"2013-04-15";"21:54:33";94.7;13.2
"2013-04-15";"21:54:06";86.6;12.8
"2013-04-15";"21:54:00";86.6;12.8
"2013-04-15";"21:51:58";92.3;12.7
"2013-04-15";"21:51:52";92.3;12.6
"2013-04-15";"21:51:47";92.3;12.7
"2013-04-15";"21:51:42";92.3;12.6
"2013-04-15";"21:51:36";92.3;12.7
"2013-04-15";"21:49:28";94.7;13.2
"2013-04-15";"21:48:56";86.6;12.7
"2013-04-15";"21:47:41";86.6;12.6
"2013-04-15";"21:45:54";94.7;13.1
"2013-04-15";"21:27:27";92.3;12.7
"2013-04-15";"21:27:22";86.6;12.6
"2013-04-15";"21:22:23";94.7;13.2
"2013-04-15";"21:22:22";92.3;12.7
"2013-04-15";"21:22:17";86.6;12.6
"2013-04-15";"21:20:51";92.3;12.8
"2013-04-15";"21:17:18";94.7;13.2
"2013-04-15";"21:17:12";86.6;12.6
"2013-04-15";"21:16:51";86.6;12.7
"2013-04-15";"21:15:47";92.3;12.8
"2013-04-15";"20:59:55";94.7;13.5
"2013-04-15";"20:59:49";86.7;13.1
"2013-04-15";"20:59:38";86.7;13.2
"2013-04-15";"20:57:24";92.3;12.9
"2013-04-15";"20:56:52";92.3;13
"2013-04-15";"20:55:54";94.7;13.6
"2013-04-15";"20:14:59";94.8;14.1
"2013-04-15";"20:13:49";92.4;13.4
"2013-04-15";"20:12:50";92.4;13.5
"2013-04-15";"20:12:08";94.8;14.2
"2013-04-15";"20:10:31";86.7;13.8
"2013-04-15";"20:10:26";86.7;13.9
"2013-04-15";"20:03:40";94.8;14.3
"2013-04-15";"20:02:41";92.4;13.5
"2013-04-15";"20:00:16";86.7;13.9
"2013-04-15";"19:58:35";94.8;14.3
"2013-04-15";"19:57:36";92.4;13.5
"2013-04-15";"19:56:42";86.7;14
"2013-04-15";"19:53:30";94.8;14.3
"2013-04-15";"19:52:31";92.4;13.5
"2013-04-15";"19:51:38";86.7;14
"2013-04-15";"19:48:25";94.8;14.3
"2013-04-15";"19:47:27";92.4;13.5
"2013-04-15";"19:46:33";86.7;14
"2013-04-15";"19:43:21";94.8;14.3
"2013-04-15";"19:42:22";92.4;13.5
"2013-04-15";"19:41:28";86.7;14
"2013-04-15";"19:23:50";94.8;14.2
"2013-04-15";"19:23:12";92.4;13.6
"2013-04-15";"19:20:11";86.7;13.6
"2013-04-15";"19:20:05";86.7;13.7
"2013-04-15";"19:18:45";94.8;14.2
"2013-04-15";"19:18:08";92.4;13.6
"2013-04-15";"19:15:01";86.7;13.7
"2013-04-15";"19:13:41";94.8;14.2
"2013-04-15";"19:13:19";86.7;13.6
"2013-04-15";"19:13:03";92.4;13.6
"2013-04-15";"19:12:41";86.7;13.5
"2013-04-15";"19:10:06";86.7;13.6
"2013-04-15";"19:08:36";94.8;14.2
"2013-04-15";"19:07:58";92.4;13.6
"2013-04-15";"19:07:52";86.7;13.5
"2013-04-15";"19:07:42";94.8;14.3
"2013-04-15";"18:59:56";94.9;14.3
"2013-04-15";"18:59:35";94.9;14.4
"2013-04-15";"18:58:31";92.4;13.6
"2013-04-15";"18:57:53";86.7;13.6
"2013-04-15";"18:55:29";86.7;13.7
"2013-04-15";"18:54:30";94.9;14.4
"2013-04-15";"18:54:14";92.4;13.7
"2013-04-15";"18:52:48";92.4;13.8
"2013-04-15";"18:51:33";86.7;13.8
"2013-04-15";"18:49:25";94.9;14.4
"2013-04-15";"18:47:43";92.4;13.8
"2013-04-15";"18:47:01";94.9;14.5
"2013-04-15";"18:46:55";86.7;13.9
"2013-04-15";"18:18:34";94.9;14.8
"2013-04-15";"18:17:13";92.5;14.1
"2013-04-15";"18:15:48";92.5;14.2
"2013-04-15";"18:15:42";86.7;14.3
"2013-04-15";"18:15:37";86.7;14.3
"2013-04-15";"18:13:29";94.9;14.8
"2013-04-15";"18:10:38";92.5;14.3
"2013-04-15";"18:10:32";86.7;14.2
"2013-04-15";"18:08:40";94.9;14.9
"2013-04-15";"18:06:21";92.5;14.4
"2013-04-15";"18:06:10";86.7;14.1
"2013-04-15";"18:05:22";86.7;14.2
"2013-04-15";"18:04:44";94.9;15
"2013-04-15";"18:04:39";95;15
"2013-04-15";"18:04:01";86.8;14.2
"2013-04-15";"18:03:51";95;15.1
"2013-04-15";"18:02:57";92.5;14.5
"2013-04-15";"18:02:41";92.5;14.6
"2013-04-15";"18:02:04";86.8;14.3
"2013-04-15";"17:43:52";95;15.8
"2013-04-15";"17:43:36";95;15.9
"2013-04-15";"17:43:25";94.9;15.9
"2013-04-15";"17:43:19";94.8;15.9
"2013-04-15";"17:43:14";94.7;15.9
"2013-04-15";"17:43:08";86.8;14.9
"2013-04-15";"17:43:03";86.7;14.9
"2013-04-15";"17:42:57";86.6;14.9
"2013-04-15";"17:42:52";86.4;14.9
"2013-04-15";"17:42:46";86.2;14.9
"2013-04-15";"17:42:41";86;14.9
"2013-04-15";"17:42:36";85.9;15
"2013-04-15";"17:42:30";85.7;15
"2013-04-15";"17:42:25";85.6;15
"2013-04-15";"17:42:19";85.5;15
"2013-04-15";"17:42:14";85.4;15
"2013-04-15";"17:42:03";85.3;15
"2013-04-15";"17:41:58";94.2;16
"2013-04-15";"17:41:57";85.2;15
"2013-04-15";"17:41:52";94.1;16
"2013-04-15";"17:41:47";85.1;15
"2013-04-15";"17:41:41";85;15
"2013-04-15";"17:41:36";84.9;15
"2013-04-15";"17:41:30";84.8;15
"2013-04-15";"17:41:14";84.6;15
"2013-04-15";"17:41:09";84.7;15
"2013-04-15";"17:41:03";84.8;15
"2013-04-15";"17:40:58";84.8;15.1
"2013-04-15";"17:40:47";93.5;16.1
"2013-04-15";"17:40:42";85.1;15.1
"2013-04-15";"17:40:36";85;15.1
"2013-04-15";"17:40:25";93.3;16.2
"2013-04-15";"17:40:20";84.9;15.1
"2013-04-15";"17:40:14";84.8;15.1
"2013-04-15";"17:39:58";93.1;16.2
"2013-04-15";"17:39:48";93.1;16.3
"2013-04-15";"17:39:47";84.6;15.1
"2013-04-15";"17:39:37";84.5;15.1
"2013-04-15";"17:39:31";84.3;15.1
"2013-04-15";"17:39:26";84.1;15.1
"2013-04-15";"17:39:20";83.9;15.1
"2013-04-15";"17:39:15";83.8;15.2
"2013-04-15";"17:39:09";83.7;15.2
"2013-04-15";"17:39:04";83.6;15.2
"2013-04-15";"17:38:53";92.6;16.4
"2013-04-15";"17:38:48";83.5;15.2
"2013-04-15";"17:38:42";83.6;15.2
"2013-04-15";"17:38:37";92.4;16.4
"2013-04-15";"17:38:36";83.7;15.2
"2013-04-15";"17:38:31";83.9;15.2
"2013-04-15";"17:38:26";84.1;15.2
"2013-04-15";"17:38:20";84.3;15.2
"2013-04-15";"17:38:15";84.4;15.2
"2013-04-15";"17:38:09";84.6;15.2
"2013-04-15";"17:37:58";84.7;15.3
"2013-04-15";"17:37:47";84.6;15.3
"2013-04-15";"17:37:42";84.7;15.3
"2013-04-15";"17:37:36";84.8;15.3
"2013-04-15";"17:37:31";91.7;16.5
"2013-04-15";"17:37:26";91.6;16.6
"2013-04-15";"17:37:20";84.9;15.3
"2013-04-15";"17:37:15";91.5;16.6
"2013-04-15";"17:37:14";84.8;15.3
"2013-04-15";"17:37:09";84.5;15.3
"2013-04-15";"17:37:03";84.2;15.3
"2013-04-15";"17:36:58";84.1;15.3
"2013-04-15";"17:36:53";84;15.3
"2013-04-15";"17:36:47";83.7;15.3
"2013-04-15";"17:36:36";83.6;15.3
"2013-04-15";"17:36:31";83.7;15.3
"2013-04-15";"17:36:25";83.8;15.3
"2013-04-15";"17:36:20";83.9;15.3
"2013-04-15";"17:36:15";91.2;16.8
"2013-04-15";"17:36:14";84.1;15.3
"2013-04-15";"17:36:09";84.2;15.3
"2013-04-15";"17:36:04";91.1;16.8
"2013-04-15";"17:36:03";84.4;15.3
"2013-04-15";"17:35:58";91;16.8
"2013-04-15";"17:35:52";84.7;15.3
"2013-04-15";"17:35:47";90.9;16.8
"2013-04-15";"17:35:42";90.8;16.8
"2013-04-15";"17:35:41";84.8;15.3
"2013-04-15";"17:35:36";84.8;15.4
"2013-04-15";"17:35:31";90.3;16.9
"2013-04-15";"17:35:30";84.7;15.4
"2013-04-15";"17:35:25";84.5;15.4
"2013-04-15";"17:35:20";90.1;16.9
"2013-04-15";"17:35:19";84.2;15.4
"2013-04-15";"17:35:14";84;15.4
"2013-04-15";"17:35:09";89.9;16.9
"2013-04-15";"17:35:08";83.8;15.4
"2013-04-15";"17:35:03";83.5;15.4
"2013-04-15";"17:34:58";89.5;17
"2013-04-15";"17:34:41";83.4;15.4
"2013-04-15";"17:34:36";83.3;15.4
"2013-04-15";"17:34:30";83.2;15.4
"2013-04-15";"17:34:19";83.1;15.4
"2013-04-15";"17:34:14";83.2;15.4
"2013-04-15";"17:34:09";83.6;15.4
"2013-04-15";"17:34:03";83.8;15.4
"2013-04-15";"17:33:58";88.3;17.1
"2013-04-15";"17:33:57";84.1;15.4
"2013-04-15";"17:33:52";84.2;15.4
"2013-04-15";"17:33:47";88;17.2
"2013-04-15";"17:33:41";87.9;17.2
"2013-04-15";"17:33:36";87.6;17.2
"2013-04-15";"17:33:30";84.3;15.4
"2013-04-15";"17:33:25";87.5;17.2
"2013-04-15";"17:33:24";84.4;15.4
"2013-04-15";"17:33:19";84.5;15.4
"2013-04-15";"17:33:14";87.3;17.3
"2013-04-15";"17:33:13";84.4;15.4
"2013-04-15";"17:33:08";84.3;15.4
"2013-04-15";"17:33:03";87.2;17.3
"2013-04-15";"17:33:02";84.3;15.5
"2013-04-15";"17:32:57";84.2;15.5
"2013-04-15";"17:32:52";84.1;15.5
"2013-04-15";"17:32:46";83.9;15.5
"2013-04-15";"17:32:41";83.7;15.5
"2013-04-15";"17:32:35";83.6;15.5
"2013-04-15";"17:32:30";83.5;15.5
"2013-04-15";"17:32:24";83.4;15.5
"2013-04-15";"17:32:19";86.3;17.5
"2013-04-15";"17:32:18";83.3;15.5
"2013-04-15";"17:32:13";83.2;15.5
"2013-04-15";"17:32:08";86.1;17.5
"2013-04-15";"17:31:57";83.1;15.5
"2013-04-15";"17:31:52";86.2;17.5
"2013-04-15";"17:31:46";86.3;17.6
"2013-04-15";"17:31:41";86.5;17.6
"2013-04-15";"17:31:40";83;15.5
"2013-04-15";"17:31:35";83.1;15.5
"2013-04-15";"17:31:24";83.2;15.5
"2013-04-15";"17:31:19";83.3;15.5
"2013-04-15";"17:31:13";86.1;17.7
"2013-04-15";"17:31:08";85.9;17.7
"2013-04-15";"17:31:02";83.5;15.5
"2013-04-15";"17:30:57";83.4;15.5
"2013-04-15";"17:30:52";85.4;17.7
"2013-04-15";"17:30:46";92.6;15.6
"2013-04-15";"17:30:41";83.2;15.5
"2013-04-15";"17:30:36";85.6;17.7
"2013-04-15";"17:30:35";83.5;15.6
"2013-04-15";"17:30:30";85.7;17.7
"2013-04-15";"17:30:25";85.8;17.8
"2013-04-15";"17:30:24";83.6;15.6
"2013-04-15";"17:30:19";83.7;15.6
"2013-04-15";"17:30:14";85.6;17.8
"2013-04-15";"17:30:08";83.8;15.6
"2013-04-15";"17:30:03";83.6;15.6
"2013-04-15";"17:24:57";82.1;15.6
"2013-04-15";"17:24:51";90.5;15.8
"2013-04-15";"17:24:46";90.7;15.8
"2013-04-15";"17:24:40";82.2;15.6
"2013-04-15";"17:24:34";81.9;15.6
"2013-04-15";"17:24:29";91;15.9
"2013-04-15";"17:24:23";81.7;15.6
"2013-04-15";"17:24:18";81.8;15.6
"2013-04-15";"17:24:07";81.9;15.6
"2013-04-15";"17:24:02";91.1;15.9
"2013-04-15";"17:23:56";82;15.6
"2013-04-15";"17:23:51";82.1;15.6
"2013-04-15";"17:23:45";90.9;15.9
"2013-04-15";"17:23:40";82.2;15.6
"2013-04-15";"17:23:34";82.3;15.6
"2013-04-15";"17:23:29";82.5;15.6
"2013-04-15";"17:23:23";82.6;15.6
"2013-04-15";"17:23:18";90.5;15.9
"2013-04-15";"17:23:17";82.5;15.6
"2013-04-15";"17:23:12";82.4;15.6
"2013-04-15";"17:23:07";82.3;15.6
"2013-04-15";"17:23:01";82.1;15.6
"2013-04-15";"17:22:56";90.5;15.9
"2013-04-15";"17:22:55";81.9;15.6
"2013-04-15";"17:22:50";81.8;15.6
"2013-04-15";"17:22:45";89.5;17.4
"2013-04-15";"17:22:44";81.7;15.6
"2013-04-15";"17:22:39";89.6;17.4
"2013-04-15";"17:22:34";89.8;17.4
"2013-04-15";"17:22:33";81.6;15.6
"2013-04-15";"17:22:28";81.5;15.6
"2013-04-15";"17:22:17";81.4;15.6
"2013-04-15";"17:22:12";81.5;15.6
"2013-04-15";"17:22:06";81.7;15.6
"2013-04-15";"17:22:01";82;15.6
"2013-04-15";"17:21:55";82.3;15.6
"2013-04-15";"17:21:50";90.3;17.4
"2013-04-15";"17:21:49";90;15.9
"2013-04-15";"17:21:44";89.9;15.9
"2013-04-15";"17:21:39";90.4;17.4
"2013-04-15";"17:21:38";82.4;15.6
"2013-04-15";"17:21:33";89.5;15.9
"2013-04-15";"17:21:28";90.7;17.3
"2013-04-15";"17:21:27";89.4;15.9
"2013-04-15";"17:21:22";82.3;15.6
"2013-04-15";"17:21:16";82.2;15.6
"2013-04-15";"17:21:11";82.1;15.6
"2013-04-15";"17:21:05";82;15.6
"2013-04-15";"17:21:00";81.8;15.6
"2013-04-15";"17:20:49";81.6;15.6
"2013-04-15";"17:20:43";81.5;15.6
"2013-04-15";"17:20:38";81.6;15.6
"2013-04-15";"17:20:32";81.7;15.6
"2013-04-15";"17:20:27";81.9;15.6
"2013-04-15";"17:20:22";91.2;17.2
"2013-04-15";"17:20:21";82.2;15.6
"2013-04-15";"17:20:16";82.4;15.6
"2013-04-15";"17:20:11";91.4;17.2
"2013-04-15";"17:19:54";82.5;15.6
"2013-04-15";"17:19:49";89.2;15.9
"2013-04-15";"17:19:44";92.2;17.2
"2013-04-15";"17:19:38";89.1;15.9
"2013-04-15";"17:19:33";91.9;17.1
"2013-04-15";"17:19:32";82.4;15.6
"2013-04-15";"17:19:27";82.8;15.6
"2013-04-15";"17:19:21";83.1;15.6
"2013-04-15";"17:19:16";88.8;15.9
"2013-04-15";"17:19:10";82.9;15.6
"2013-04-15";"17:19:00";91.3;17.1
"2013-04-15";"17:18:59";83;15.6
"2013-04-15";"17:18:54";82.9;15.6
"2013-04-15";"17:18:49";82.8;15.6
"2013-04-15";"17:18:43";88.4;15.9
"2013-04-15";"17:18:38";88.2;15.9
"2013-04-15";"17:18:37";82.7;15.6
"2013-04-15";"17:18:27";91.3;17.1
"2013-04-15";"17:18:21";82.6;15.6
"2013-04-15";"17:18:16";82.5;15.6
"2013-04-15";"17:18:11";91.1;17
"2013-04-15";"17:18:10";82.4;15.6
"2013-04-15";"17:18:00";91;17
"2013-04-15";"17:17:59";88.1;15.9
"2013-04-15";"17:17:54";82.2;15.6
"2013-04-15";"17:17:43";88.2;15.9
"2013-04-15";"17:17:38";82.1;15.6
"2013-04-15";"17:17:32";82.3;15.6
"2013-04-15";"17:17:27";82.4;15.6
"2013-04-15";"17:17:22";90.9;17
"2013-04-15";"17:17:16";82.5;15.6
"2013-04-15";"17:17:11";90.7;17
"2013-04-15";"17:17:10";87.9;16
"2013-04-15";"17:17:05";87.7;16
"2013-04-15";"17:17:00";90.6;17
"2013-04-15";"17:16:59";87.6;16
"2013-04-15";"17:16:54";82.2;15.6
"2013-04-15";"17:16:49";90.2;17
"2013-04-15";"17:16:37";82.1;15.6
"2013-04-15";"17:16:27";87.2;16
"2013-04-15";"17:16:21";87.1;16
"2013-04-15";"17:16:16";87;16
"2013-04-15";"17:16:10";90.2;17
"2013-04-15";"17:16:05";82;15.6
"2013-04-15";"17:15:59";81.9;15.6
"2013-04-15";"17:15:43";81.8;15.6
"2013-04-15";"17:15:32";81.7;15.6
"2013-04-15";"17:15:26";81.8;15.6
"2013-04-15";"17:15:21";87;16.1
"2013-04-15";"17:15:10";81.9;15.6
"2013-04-15";"17:15:05";90.7;17
"2013-04-15";"17:15:04";81.8;15.6
"2013-04-15";"17:09:59";87;16.3
"2013-04-15";"17:09:54";91.1;17.1
"2013-04-15";"17:09:32";86.9;16.3
"2013-04-15";"17:09:27";91.2;17.1
"2013-04-15";"17:09:21";82.3;15.9
"2013-04-15";"17:09:10";82.4;15.9
"2013-04-15";"17:09:05";91.2;17.2
"2013-04-15";"17:09:00";82.5;15.9
"2013-04-15";"17:08:54";90.8;17.2
"2013-04-15";"17:08:49";86.8;16.4
"2013-04-15";"17:08:33";90.7;17.2
"2013-04-15";"17:08:32";82.6;15.9
"2013-04-15";"17:08:27";86.9;16.4
"2013-04-15";"17:08:16";82.6;16
"2013-04-15";"17:08:06";90.5;17.2
"2013-04-15";"17:08:00";82.5;16
"2013-04-15";"17:07:55";90.5;17.2
"2013-04-15";"17:07:54";82.4;16
"2013-04-15";"17:07:49";86.8;16.4
"2013-04-15";"17:07:44";90.6;17.2
"2013-04-15";"17:07:43";86.6;16.4
"2013-04-15";"17:07:38";82.3;16
"2013-04-15";"17:07:32";82.3;15.9
"2013-04-15";"17:07:27";82.4;16
"2013-04-15";"17:07:21";86.2;16.4
"2013-04-15";"17:07:16";86.1;16.4
"2013-04-15";"17:07:10";82.5;16
"2013-04-15";"17:07:05";82.4;16
"2013-04-15";"17:06:59";82.3;16
"2013-04-15";"17:06:54";82.2;16
"2013-04-15";"17:06:49";90.7;17.3
"2013-04-15";"17:06:48";82.1;16
"2013-04-15";"17:06:43";82;16
"2013-04-15";"17:06:37";81.9;16
"2013-04-15";"17:06:32";90.4;17.3
"2013-04-15";"17:06:27";90.3;17.3
"2013-04-15";"17:06:21";85.6;16.4
"2013-04-15";"17:06:16";81.8;16
"2013-04-15";"17:06:10";90.2;17.3
"2013-04-15";"17:06:05";85.5;16.5
"2013-04-15";"17:05:59";81.6;16
"2013-04-15";"17:05:54";81.5;16
"2013-04-15";"17:05:48";81.4;16
"2013-04-15";"17:05:43";85.3;16.5
"2013-04-15";"17:05:37";90.4;17.3
"2013-04-15";"17:05:32";81.1;16
"2013-04-15";"17:05:26";81;16
"2013-04-15";"17:05:21";80.9;16
"2013-04-15";"17:05:15";80.7;16
"2013-04-15";"17:05:10";90.4;17.4
"2013-04-15";"17:05:05";90.3;17.4
"2013-04-15";"17:05:04";80.6;16
"2013-04-15";"17:04:59";80.5;16
"2013-04-15";"17:04:54";90.1;17.4
"2013-04-15";"17:04:53";80.3;16
"2013-04-15";"17:04:48";80.2;16
"2013-04-15";"17:04:43";84.9;16.5
"2013-04-15";"17:04:42";80;16
"2013-04-15";"17:04:37";85;16.5
"2013-04-15";"17:04:32";85.1;16.5
"2013-04-15";"17:04:26";79.8;16
"2013-04-15";"17:04:21";79.7;16
"2013-04-15";"17:04:15";79.6;16
"2013-04-15";"17:04:10";79.3;16
"2013-04-15";"17:04:04";85.6;16.6
"2013-04-15";"17:03:59";79.2;16
"2013-04-15";"17:03:53";90;17.4
"2013-04-15";"17:03:48";86;16.6
"2013-04-15";"17:03:42";85.9;16.6
"2013-04-15";"17:03:37";85.7;16.6
"2013-04-15";"17:03:31";79.1;16
"2013-04-15";"17:03:26";85.3;16.6
"2013-04-15";"17:03:20";85.1;16.6
"2013-04-15";"17:03:15";85;16.6
"2013-04-15";"17:03:09";79;16
"2013-04-15";"17:03:04";78.9;16.1
"2013-04-15";"17:02:58";78.4;16.1
"2013-04-15";"17:02:53";84.2;16.6
"2013-04-15";"17:02:47";78.1;16.1
"2013-04-15";"17:02:42";78.3;16.1
"2013-04-15";"17:02:37";90.1;17.5
"2013-04-15";"17:02:31";90;17.5
"2013-04-15";"17:02:26";78.5;16.1
"2013-04-15";"17:02:20";78.3;16.1
"2013-04-15";"17:02:15";78.2;16.1
"2013-04-15";"17:02:10";89.9;17.5
"2013-04-15";"17:02:09";77.8;16.1
"2013-04-15";"17:02:04";90;17.5
"2013-04-15";"17:01:59";90.2;17.6
"2013-04-15";"17:01:58";77.7;16.1
"2013-04-15";"17:01:53";90.4;17.6
"2013-04-15";"17:01:48";77.6;16.1
"2013-04-15";"17:01:42";77.5;16.1
"2013-04-15";"17:01:10";77.4;16.1
"2013-04-15";"17:01:05";90.5;17.6
"2013-04-15";"17:01:04";77.3;16.1
"2013-04-15";"17:00:48";90.2;17.6
"2013-04-15";"17:00:43";77.1;16.1
"2013-04-15";"17:00:37";77;16.1
"2013-04-15";"17:00:32";76.9;16.1
"2013-04-15";"17:00:26";76.7;16.1
"2013-04-15";"17:00:21";83.6;16.7
"2013-04-15";"17:00:20";76.6;16.1
"2013-04-15";"17:00:15";76.5;16.1
"2013-04-15";"17:00:10";76.4;16.1
"2013-04-15";"16:59:54";90.5;17.7
"2013-04-15";"16:59:43";90.6;17.7
"2013-04-15";"16:59:38";90.7;17.7
"2013-04-15";"16:59:37";76.3;16.1
"2013-04-15";"16:59:27";83.7;16.7
"2013-04-15";"16:59:21";76.1;16.1
"2013-04-15";"16:59:16";83.9;16.7
"2013-04-15";"16:59:10";76.1;16.2
"2013-04-15";"16:59:05";84.2;16.8
"2013-04-15";"16:59:04";76.2;16.2
"2013-04-15";"16:58:54";76.3;16.2
"2013-04-15";"16:58:48";76.2;16.2
"2013-04-15";"16:58:21";76;16.2
"2013-04-15";"16:58:16";75.8;16.2
"2013-04-15";"16:58:10";75.6;16.3
"2013-04-15";"16:58:05";75.4;16.3
"2013-04-15";"16:57:59";75.5;16.3
"2013-04-15";"16:57:54";75.6;16.3
"2013-04-15";"16:57:48";75.8;16.3
"2013-04-15";"16:57:43";91;17.8
"2013-04-15";"16:57:37";84.3;16.9
"2013-04-15";"16:57:27";90.9;17.8
"2013-04-15";"16:57:26";76.1;16.3
"2013-04-15";"16:57:21";76.2;16.4
"2013-04-15";"16:57:16";91;17.8
"2013-04-15";"16:57:15";76.1;16.4
"2013-04-15";"16:57:10";76;16.4
"2013-04-15";"16:57:05";91.1;17.9
"2013-04-15";"16:56:59";84;16.9
"2013-04-15";"16:56:54";84.1;16.9
"2013-04-15";"16:56:48";84.2;16.9
"2013-04-15";"16:56:43";84.3;16.9
"2013-04-15";"16:56:38";91.3;17.9
"2013-04-15";"16:56:37";75.9;16.4
"2013-04-15";"16:56:32";76;16.4
"2013-04-15";"16:56:26";76.1;16.4
"2013-04-15";"16:56:21";76;16.4
"2013-04-15";"16:56:15";75.7;16.5
"2013-04-15";"16:56:10";75.5;16.5
"2013-04-15";"16:56:04";75.4;16.5
"2013-04-15";"16:55:59";75.7;16.5
"2013-04-15";"16:55:53";76.5;16.5
"2013-04-15";"16:55:48";76.9;16.5
"2013-04-15";"16:55:42";86.1;17
"2013-04-15";"16:55:37";86.3;17
"2013-04-15";"16:55:31";77.1;16.5
"2013-04-15";"16:55:26";76.9;16.5
"2013-04-15";"16:55:20";76.5;16.5
"2013-04-15";"16:55:15";76.2;16.5
"2013-04-15";"16:55:09";76.3;16.5
"2013-04-15";"16:55:04";86.9;17
"2013-04-15";"16:55:03";76.7;16.5
"2013-04-15";"16:49:57";90.6;18.2
"2013-04-15";"16:49:56";81.1;16.8
"2013-04-15";"16:49:46";86.2;17.2
"2013-04-15";"16:49:40";81;16.8
"2013-04-15";"16:49:35";80.9;16.8
"2013-04-15";"16:49:29";90.4;18.2
"2013-04-15";"16:49:24";80.7;16.9
"2013-04-15";"16:49:18";80.9;16.9
"2013-04-15";"16:49:13";81;16.9
"2013-04-15";"16:49:08";90;18.2
