"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2012-12-01 00:00:00";"2012-12-03 23:04:35";;;;;;;;
"2012-12-03 23:04:35";"2012-12-06 22:09:11";;;;;;;;
"2012-12-06 22:09:11";"2012-12-09 21:13:47";;;;;;;;
"2012-12-09 21:13:47";"2012-12-12 20:18:23";;;;;;;;
"2012-12-12 20:18:23";"2012-12-15 19:22:58";;;;;;;;
"2012-12-15 19:22:58";"2012-12-18 18:27:34";;;;;;;;
"2012-12-18 18:27:34";"2012-12-21 17:32:10";;;;;;;;
"2012-12-21 17:32:10";"2012-12-24 16:36:46";;;;;;;;
"2012-12-24 16:36:46";"2012-12-27 15:41:21";;;;;;;;
"2012-12-27 15:41:21";"2012-12-30 14:45:57";;;;;;;;
"2012-12-30 14:45:57";"2013-01-02 13:50:33";;;;;;;;
"2013-01-02 13:50:33";"2013-01-05 12:55:09";;;;;;;;
"2013-01-05 12:55:09";"2013-01-08 11:59:45";;;;;;;;
"2013-01-08 11:59:45";"2013-01-11 11:04:20";;;;;;;;
"2013-01-11 11:04:20";"2013-01-14 10:08:56";;;;;;;;
"2013-01-14 10:08:56";"2013-01-17 09:13:32";;;;;;;;
"2013-01-17 09:13:32";"2013-01-20 08:18:08";;;;;;;;
"2013-01-20 08:18:08";"2013-01-23 07:22:43";;;;;;;;
"2013-01-23 07:22:43";"2013-01-26 06:27:19";;;;;;;;
"2013-01-26 06:27:19";"2013-01-29 05:31:55";;;;;;;;
"2013-01-29 05:31:55";"2013-02-01 04:36:31";;;;;;;;
"2013-02-01 04:36:31";"2013-02-04 03:41:06";;;;;;;;
"2013-02-04 03:41:06";"2013-02-07 02:45:42";;;;;;;;
"2013-02-07 02:45:42";"2013-02-10 01:50:18";;;;;;;;
"2013-02-10 01:50:18";"2013-02-13 00:54:54";;;;;;;;
"2013-02-13 00:54:54";"2013-02-15 23:59:30";;;;;;;;
"2013-02-15 23:59:30";"2013-02-18 23:04:05";;;;;;;;
"2013-02-18 23:04:05";"2013-02-21 22:08:41";50.27598;12.60179;23.4;77.1;20.9086;2.36592;16.5;26.3
"2013-02-21 22:08:41";"2013-02-24 21:13:17";67.86392;8.97894;53;86.9;17.97711;1.51082;14.1;20.9
"2013-02-24 21:13:17";"2013-02-27 20:17:53";63.37948;10.99343;39.1;87;18.16348;2.9362;6;24
"2013-02-27 20:17:53";"2013-03-02 19:22:28";70.03474;11.9113;42.7;86.9;17.1414;2.9706;8;23.4
"2013-03-02 19:22:28";"2013-03-05 18:27:04";57.43226;4.77675;47.8;65.7;19.92097;1.15118;18.3;22.7
"2013-03-05 18:27:04";"2013-03-08 17:31:40";74.46773;16.55624;31.8;86.8;14.71084;5.07669;5.3;26.2
"2013-03-08 17:31:40";"2013-03-11 16:36:16";75.45444;13.25236;36.7;86.7;14.05186;4.57266;7.5;25.5
"2013-03-11 16:36:16";"2013-03-14 15:40:51";75.91867;13.5268;37.3;86.9;14.45417;5.17262;6;26.1
"2013-03-14 15:40:51";"2013-03-17 14:45:27";81.0125;7.70564;56.7;86.8;14.85062;2.88188;9.1;21.1
"2013-03-17 14:45:27";"2013-03-20 13:50:03";77.53975;12.63562;39.2;86.9;15.14674;4.39326;8.6;26.5
"2013-03-20 13:50:03";"2013-03-23 12:54:39";79.72544;11.11166;43;86.9;14.00977;4.34984;6.7;25.5
"2013-03-23 12:54:39";"2013-03-26 11:59:15";76.83262;13.80568;37.8;87;13.42518;5.52371;5.1;25.8
"2013-03-26 11:59:15";"2013-03-29 11:03:50";74.57993;16.8713;25.2;86.9;13.58689;6.30351;1.8;26.9
"2013-03-29 11:03:50";"2013-04-01 10:08:26";75.29281;13.71782;39.3;86.9;13.34811;5.08421;5.4;23.9
"2013-04-01 10:08:26";"2013-04-04 09:13:02";74.44841;19.69463;44.8;94.8;14.84841;5.1216;8.7;23.2
"2013-04-04 09:13:02";"2013-04-07 08:17:38";82.81844;12.96045;40.4;95;14.03654;5.03123;6.3;31.1
"2013-04-07 08:17:38";"2013-04-10 07:22:13";84.3305;11.66669;51.1;95;14.1207;4.38494;8.5;27.1
"2013-04-10 07:22:13";"2013-04-13 06:26:49";85.68779;10.61247;55.9;94.9;12.17878;3.32089;7.6;19.9
"2013-04-13 06:26:49";"2013-04-16 05:31:25";85.22671;8.9884;63.2;95;14.57687;3.45357;10.1;21.3
"2013-04-16 05:31:25";"2013-04-19 04:36:01";84.62985;10.84424;32.5;95.2;14.05624;3.65192;7.6;32
"2013-04-19 04:36:01";"2013-04-22 03:40:36";90.991;3.42484;86.3;94.9;12.53505;1.1697;10.4;15.3
"2013-04-22 03:40:36";"2013-04-25 02:45:12";83.38381;6.61366;68.7;94.9;13.65673;2.10844;8.8;20.7
"2013-04-25 02:45:12";"2013-04-28 01:49:48";83.19531;11.43836;47.8;95;13.63876;4.59469;5.4;26
"2013-04-28 01:49:48";"2013-05-01 00:54:24";85.78054;9.07211;51.5;95;13.96546;2.99747;9.5;25.8
"2013-05-01 00:54:24";"2013-05-03 23:59:00";84.79248;8.70893;63.3;94.9;14.40622;2.6566;10.3;21.5
