"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2013-04-16 06:26:00";"2013-04-16 06:36:00";90.58333;3.0678;86.4;94.4;11.48333;0.32361;11.1;11.9
"2013-04-16 06:36:00";"2013-04-16 06:46:00";92.9;1.13137;92.1;94.5;11.73333;0.26247;11.5;12.1
"2013-04-16 06:46:00";"2013-04-16 06:56:00";92.1;0;92.1;92.1;11.9;0;11.9;11.9
"2013-04-16 06:56:00";"2013-04-16 07:06:00";90.94545;3.49425;86.5;94.6;12.39091;0.21086;12;12.7
"2013-04-16 07:06:00";"2013-04-16 07:16:00";;;;;;;;
"2013-04-16 07:16:00";"2013-04-16 07:26:00";;;;;;;;
"2013-04-16 07:26:00";"2013-04-16 07:36:00";;;;;;;;
"2013-04-16 07:36:00";"2013-04-16 07:46:00";;;;;;;;
"2013-04-16 07:46:00";"2013-04-16 07:56:00";;;;;;;;
"2013-04-16 07:56:00";"2013-04-16 08:06:00";;;;;;;;
"2013-04-16 08:06:00";"2013-04-16 08:16:00";;;;;;;;
"2013-04-16 08:16:00";"2013-04-16 08:26:00";;;;;;;;
"2013-04-16 08:26:00";"2013-04-16 08:36:00";61.18367;2.32619;54.3;63.5;20.35306;2.74733;18.1;25.5
"2013-04-16 08:36:00";"2013-04-16 08:46:00";;;;;;;;
"2013-04-16 08:46:00";"2013-04-16 08:56:00";56.17333;0.83037;54.6;58.9;21.55556;2.48198;19.9;26.2
"2013-04-16 08:56:00";"2013-04-16 09:06:00";;;;;;;;
"2013-04-16 09:06:00";"2013-04-16 09:16:00";;;;;;;;
"2013-04-16 09:16:00";"2013-04-16 09:26:00";;;;;;;;
"2013-04-16 09:26:00";"2013-04-16 09:36:00";;;;;;;;
"2013-04-16 09:36:00";"2013-04-16 09:46:00";;;;;;;;
"2013-04-16 09:46:00";"2013-04-16 09:56:00";;;;;;;;
"2013-04-16 09:56:00";"2013-04-16 10:06:00";;;;;;;;
"2013-04-16 10:06:00";"2013-04-16 10:16:00";;;;;;;;
"2013-04-16 10:16:00";"2013-04-16 10:26:00";;;;;;;;
"2013-04-16 10:26:00";"2013-04-16 10:36:00";;;;;;;;
"2013-04-16 10:36:00";"2013-04-16 10:46:00";;;;;;;;
"2013-04-16 10:46:00";"2013-04-16 10:56:00";;;;;;;;
"2013-04-16 10:56:00";"2013-04-16 11:06:00";51.31136;5.4876;46.7;67.1;22.02273;0.61933;21.2;23.5
"2013-04-16 11:06:00";"2013-04-16 11:16:00";;;;;;;;
"2013-04-16 11:16:00";"2013-04-16 11:26:00";;;;;;;;
"2013-04-16 11:26:00";"2013-04-16 11:36:00";;;;;;;;
"2013-04-16 11:36:00";"2013-04-16 11:46:00";;;;;;;;
"2013-04-16 11:46:00";"2013-04-16 11:56:00";;;;;;;;
"2013-04-16 11:56:00";"2013-04-16 12:06:00";;;;;;;;
"2013-04-16 12:06:00";"2013-04-16 12:16:00";;;;;;;;
"2013-04-16 12:16:00";"2013-04-16 12:26:00";;;;;;;;
"2013-04-16 12:26:00";"2013-04-16 12:36:00";;;;;;;;
"2013-04-16 12:36:00";"2013-04-16 12:46:00";;;;;;;;
"2013-04-16 12:46:00";"2013-04-16 12:56:00";;;;;;;;
"2013-04-16 12:56:00";"2013-04-16 13:06:00";;;;;;;;
"2013-04-16 13:06:00";"2013-04-16 13:16:00";54.0449;7.89965;46.4;70.9;21.50408;0.46024;21.1;22.7
"2013-04-16 13:16:00";"2013-04-16 13:26:00";;;;;;;;
"2013-04-16 13:26:00";"2013-04-16 13:36:00";;;;;;;;
"2013-04-16 13:36:00";"2013-04-16 13:46:00";;;;;;;;
"2013-04-16 13:46:00";"2013-04-16 13:56:00";65.866;3.02712;61.5;71;21.414;0.94425;20.5;22.9
"2013-04-16 13:56:00";"2013-04-16 14:06:00";64.94773;3.49483;61.3;73.5;21.38636;0.53877;20.7;22.4
"2013-04-16 14:06:00";"2013-04-16 14:16:00";53.49756;5.90112;47.4;67.2;23.98049;0.61692;22.9;25.4
"2013-04-16 14:16:00";"2013-04-16 14:26:00";;;;;;;;
"2013-04-16 14:26:00";"2013-04-16 14:36:00";;;;;;;;
"2013-04-16 14:36:00";"2013-04-16 14:46:00";;;;;;;;
"2013-04-16 14:46:00";"2013-04-16 14:56:00";;;;;;;;
"2013-04-16 14:56:00";"2013-04-16 15:06:00";;;;;;;;
"2013-04-16 15:06:00";"2013-04-16 15:16:00";;;;;;;;
"2013-04-16 15:16:00";"2013-04-16 15:26:00";;;;;;;;
"2013-04-16 15:26:00";"2013-04-16 15:36:00";;;;;;;;
"2013-04-16 15:36:00";"2013-04-16 15:46:00";;;;;;;;
"2013-04-16 15:46:00";"2013-04-16 15:56:00";;;;;;;;
"2013-04-16 15:56:00";"2013-04-16 16:06:00";;;;;;;;
"2013-04-16 16:06:00";"2013-04-16 16:16:00";54.04043;6.30645;49.2;68.7;24.66383;0.35755;23.8;25.1
"2013-04-16 16:16:00";"2013-04-16 16:26:00";;;;;;;;
"2013-04-16 16:26:00";"2013-04-16 16:36:00";;;;;;;;
"2013-04-16 16:36:00";"2013-04-16 16:46:00";;;;;;;;
"2013-04-16 16:46:00";"2013-04-16 16:56:00";;;;;;;;
"2013-04-16 16:56:00";"2013-04-16 17:06:00";74.46364;3.76353;71.5;83.8;18.79091;0.65983;18.1;20.8
"2013-04-16 17:06:00";"2013-04-16 17:16:00";76.892;4.63611;70.8;85.3;18.366;1.07408;16.8;20.8
"2013-04-16 17:16:00";"2013-04-16 17:26:00";85.08929;2.15768;82.6;89.7;16.61964;0.92223;16;18.8
"2013-04-16 17:26:00";"2013-04-16 17:36:00";;;;;;;;
"2013-04-16 17:36:00";"2013-04-16 17:46:00";90.93036;2.79872;86.5;95;15.71964;0.58597;14.7;16.7
"2013-04-16 17:46:00";"2013-04-16 17:56:00";91.45714;2.83542;86.7;95;15.00476;0.43804;14;15.8
"2013-04-16 17:56:00";"2013-04-16 18:06:00";91.57143;3.22478;86.7;94.9;14.47143;0.45893;13.8;15.1
"2013-04-16 18:06:00";"2013-04-16 18:16:00";91.48571;3.20331;86.6;94.8;13.9;0.41057;13.3;14.4
"2013-04-16 18:16:00";"2013-04-16 18:26:00";90.59167;3.49105;86.6;94.8;13.46667;0.43076;12.8;14.1
"2013-04-16 18:26:00";"2013-04-16 18:36:00";91.26667;3.44222;86.6;94.8;13.36667;0.36818;12.9;13.8
"2013-04-16 18:36:00";"2013-04-16 18:46:00";86.5;0;86.5;86.5;12.5;0;12.5;12.5
"2013-04-16 18:46:00";"2013-04-16 18:56:00";91.5;3.03562;86.5;94.7;13.15;0.43301;12.4;13.4
"2013-04-16 18:56:00";"2013-04-16 19:06:00";91.04;3.10747;86.5;94.7;12.92;0.34583;12.3;13.2
"2013-04-16 19:06:00";"2013-04-16 19:16:00";89.61111;3.56914;86.5;94.7;12.48889;0.34783;12;13
"2013-04-16 19:16:00";"2013-04-16 19:26:00";;;;;;;;
"2013-04-16 19:26:00";"2013-04-16 19:36:00";;;;;;;;
"2013-04-16 19:36:00";"2013-04-16 19:46:00";94.6;0;94.6;94.6;12.5;0;12.5;12.5
"2013-04-16 19:46:00";"2013-04-16 19:56:00";91.52;2.72353;86.4;94.6;12.14;0.38262;11.4;12.5
"2013-04-16 19:56:00";"2013-04-16 20:06:00";89.2;3.51226;86.4;94.6;11.96;0.44989;11.5;12.6
"2013-04-16 20:06:00";"2013-04-16 20:16:00";92.3;0;92.3;92.3;12.8;0;12.8;12.8
"2013-04-16 20:16:00";"2013-04-16 20:26:00";91.27143;3.22478;86.4;94.6;12.61429;0.40153;12;13
"2013-04-16 20:26:00";"2013-04-16 20:36:00";;;;;;;;
"2013-04-16 20:36:00";"2013-04-16 20:46:00";;;;;;;;
"2013-04-16 20:46:00";"2013-04-16 20:56:00";;;;;;;;
"2013-04-16 20:56:00";"2013-04-16 21:06:00";89.4;2.9;86.5;92.3;12.6;0.2;12.4;12.8
"2013-04-16 21:06:00";"2013-04-16 21:16:00";;;;;;;;
"2013-04-16 21:16:00";"2013-04-16 21:26:00";89.975;3.56888;86.5;94.6;12.85;0.39051;12.5;13.5
"2013-04-16 21:26:00";"2013-04-16 21:36:00";;;;;;;;
"2013-04-16 21:36:00";"2013-04-16 21:46:00";;;;;;;;
"2013-04-16 21:46:00";"2013-04-16 21:56:00";;;;;;;;
"2013-04-16 21:56:00";"2013-04-16 22:06:00";91.32857;3.21146;86.5;94.7;13.11429;0.41206;12.7;13.8
"2013-04-16 22:06:00";"2013-04-16 22:16:00";;;;;;;;
"2013-04-16 22:16:00";"2013-04-16 22:26:00";91.32857;3.21146;86.5;94.7;13.17143;0.35341;12.8;13.7
"2013-04-16 22:26:00";"2013-04-16 22:36:00";91.16667;3.44222;86.5;94.7;13.2;0.37417;12.8;13.7
"2013-04-16 22:36:00";"2013-04-16 22:46:00";91.16667;3.44222;86.5;94.7;13.21667;0.35785;12.8;13.7
"2013-04-16 22:46:00";"2013-04-16 22:56:00";91.16667;3.44222;86.5;94.7;13.23333;0.33993;12.9;13.7
"2013-04-16 22:56:00";"2013-04-16 23:06:00";;;;;;;;
"2013-04-16 23:06:00";"2013-04-16 23:16:00";;;;;;;;
"2013-04-16 23:16:00";"2013-04-16 23:26:00";;;;;;;;
"2013-04-16 23:26:00";"2013-04-16 23:36:00";;;;;;;;
"2013-04-16 23:36:00";"2013-04-16 23:46:00";90.975;3.63241;86.4;94.7;12.45;0.48218;11.8;13
"2013-04-16 23:46:00";"2013-04-16 23:56:00";;;;;;;;
"2013-04-16 23:56:00";"2013-04-17 00:06:00";;;;;;;;
"2013-04-17 00:06:00";"2013-04-17 00:16:00";92.2;0;92.2;92.2;11.9;0;11.9;11.9
"2013-04-17 00:16:00";"2013-04-17 00:26:00";90.96667;3.49889;86.2;94.5;11.21667;0.7559;10.1;11.8
"2013-04-17 00:26:00";"2013-04-17 00:36:00";;;;;;;;
"2013-04-17 00:36:00";"2013-04-17 00:46:00";;;;;;;;
"2013-04-17 00:46:00";"2013-04-17 00:56:00";;;;;;;;
"2013-04-17 00:56:00";"2013-04-17 01:06:00";;;;;;;;
"2013-04-17 01:06:00";"2013-04-17 01:16:00";89;3;86;92;9.6;0.8;8.8;10.4
"2013-04-17 01:16:00";"2013-04-17 01:26:00";91.72;3.03934;86;94.3;9.98;0.64312;8.7;10.4
"2013-04-17 01:26:00";"2013-04-17 01:36:00";;;;;;;;
"2013-04-17 01:36:00";"2013-04-17 01:46:00";;;;;;;;
"2013-04-17 01:46:00";"2013-04-17 01:56:00";;;;;;;;
"2013-04-17 01:56:00";"2013-04-17 02:06:00";;;;;;;;
"2013-04-17 02:06:00";"2013-04-17 02:16:00";91.62;3.03934;85.9;94.2;9.06;0.63119;7.8;9.4
"2013-04-17 02:16:00";"2013-04-17 02:26:00";89.5;2.93939;85.9;91.9;8.8;0.73756;7.9;9.5
"2013-04-17 02:26:00";"2013-04-17 02:36:00";;;;;;;;
"2013-04-17 02:36:00";"2013-04-17 02:46:00";91.73333;2.74631;86;94.2;9.88333;0.40586;9;10.2
"2013-04-17 02:46:00";"2013-04-17 02:56:00";90.04;3.39506;86;94.2;9.58;0.51923;8.9;10.1
"2013-04-17 02:56:00";"2013-04-17 03:06:00";;;;;;;;
"2013-04-17 03:06:00";"2013-04-17 03:16:00";88.95;2.95;86;91.9;9;0.3;8.7;9.3
"2013-04-17 03:16:00";"2013-04-17 03:26:00";89.33333;3.42036;86;94.2;9.16667;0.41899;8.7;9.8
"2013-04-17 03:26:00";"2013-04-17 03:36:00";91.575;3.35289;86;94.2;9.675;0.47104;8.9;10.1
"2013-04-17 03:36:00";"2013-04-17 03:46:00";;;;;;;;
"2013-04-17 03:46:00";"2013-04-17 03:56:00";;;;;;;;
"2013-04-17 03:56:00";"2013-04-17 04:06:00";90.44;3.76117;85.9;94.2;9.06;0.62801;8.3;9.7
