"dia";"hora";"valentina/002/humidity";"valentina/002/temperature"
"2013-04-13";"01:13:51";86;8.5
"2013-04-13";"01:08:51";86;8.6
"2013-04-13";"01:03:50";86;9.2
"2013-04-13";"00:58:50";86;8.5
"2013-04-13";"00:53:49";86;8.7
"2013-04-13";"00:48:49";86;8.8
"2013-04-13";"00:43:49";81.8;10.6
"2013-04-13";"00:43:48";86;9
"2013-04-13";"00:38:48";86;9
"2013-04-13";"00:33:48";86;9.3
"2013-04-13";"00:28:47";86;9.3
"2013-04-13";"00:23:47";86;8.9
"2013-04-13";"00:18:46";86;9
"2013-04-13";"00:13:46";86;9.1
"2013-04-13";"00:08:45";86.1;9.1
"2013-04-13";"00:03:45";86.1;9.3
"2013-04-12";"23:59:58";;
"2013-04-12";"23:58:44";86.1;9.6
"2013-04-12";"23:53:44";86.1;9.5
"2013-04-12";"23:48:44";81.9;11
"2013-04-12";"23:48:43";86.1;9.5
"2013-04-12";"23:43:43";86.1;9.3
"2013-04-12";"23:38:43";81.9;11.3
"2013-04-12";"23:38:42";86.1;9.3
"2013-04-12";"23:33:42";86.1;9.5
"2013-04-12";"23:28:42";81.9;11.4
"2013-04-12";"23:28:41";86.2;9.6
"2013-04-12";"23:23:41";86.2;9.7
"2013-04-12";"23:18:41";86.2;9.8
"2013-04-12";"23:13:40";86.2;10
"2013-04-12";"23:08:40";86.2;10.2
"2013-04-12";"23:03:39";86.2;10.2
"2013-04-12";"22:58:39";86.2;10
"2013-04-12";"22:53:38";86.2;10.1
"2013-04-12";"22:48:38";86.2;10.1
"2013-04-12";"22:43:37";86.2;10.1
"2013-04-12";"22:38:37";86.2;9.9
"2013-04-12";"22:33:37";81.9;11.3
"2013-04-12";"22:33:36";86.2;10
"2013-04-12";"22:28:36";86.2;10
"2013-04-12";"22:23:36";86.2;9.9
"2013-04-12";"22:18:35";86.2;10
"2013-04-12";"22:13:35";86.2;10.1
"2013-04-12";"22:08:34";86.2;10.2
"2013-04-12";"22:03:34";86.3;10.3
"2013-04-12";"21:58:33";86.3;10.4
"2013-04-12";"21:53:33";86.3;10.4
"2013-04-12";"21:48:32";86.3;10.3
"2013-04-12";"21:43:32";86.3;10.4
"2013-04-12";"21:40:24";;
"2013-04-12";"21:38:32";82.1;12.1
"2013-04-12";"21:38:31";86.3;10.6
"2013-04-12";"21:33:31";86.4;10.9
"2013-04-12";"21:28:31";82.1;12.3
"2013-04-12";"21:28:30";86.4;11
"2013-04-12";"21:23:30";86.4;11.1
"2013-04-12";"21:18:30";86.4;11.1
"2013-04-12";"21:13:29";86.4;11.1
"2013-04-12";"21:08:29";86.4;11.1
"2013-04-12";"21:03:28";86.4;11.1
"2013-04-12";"20:58:28";86.4;11.2
"2013-04-12";"20:53:27";86.4;11.3
"2013-04-12";"20:48:27";86.4;11.4
"2013-04-12";"20:43:26";86.4;11.4
"2013-04-12";"20:38:26";86.4;11.6
"2013-04-12";"20:33:25";86.5;11.8
"2013-04-12";"20:28:25";86.5;12.2
"2013-04-12";"20:23:24";86.5;12.4
"2013-04-12";"20:18:24";86.5;12.6
"2013-04-12";"20:08:23";86.5;12.7
"2013-04-12";"20:03:23";82.2;13.5
"2013-04-12";"20:03:22";86.5;12.4
"2013-04-12";"19:58:22";86.5;12.1
"2013-04-12";"19:53:22";86.5;11.9
"2013-04-12";"19:48:21";86.5;11.8
"2013-04-12";"19:43:21";86.5;11.8
"2013-04-12";"19:38:20";86.5;11.9
"2013-04-12";"19:33:20";86.5;12.4
"2013-04-12";"19:28:19";85.6;13.1
"2013-04-12";"19:23:19";83.7;13.3
"2013-04-12";"19:18:18";86.5;13.1
"2013-04-12";"19:13:18";86.6;12.8
"2013-04-12";"19:08:17";86.6;12.9
"2013-04-12";"19:03:17";86.6;13
"2013-04-12";"18:58:16";86.6;13.4
"2013-04-12";"18:53:16";86.6;13.4
"2013-04-12";"18:48:15";86.6;13.2
"2013-04-12";"18:43:15";86.7;13.4
"2013-04-12";"18:38:15";82.3;14.3
"2013-04-12";"18:38:14";86.7;13.4
"2013-04-12";"18:33:14";86.7;13.8
