"dia";"hora";"sanpedro/005/humidity";"sanpedro/005/temperature"
"2013-04-27";"07:24:59";85.6;13.3
"2013-04-27";"07:24:54";89.5;14.4
"2013-04-27";"07:24:53";85.8;13.3
"2013-04-27";"07:24:48";86;13.3
"2013-04-27";"07:24:42";86.4;13.3
"2013-04-27";"07:24:37";89.8;14.4
"2013-04-27";"07:24:36";86.5;13.2
"2013-04-27";"07:24:31";89.9;13.2
"2013-04-27";"07:24:25";90;13.2
"2013-04-27";"07:24:20";90.1;13.1
"2013-04-27";"07:24:14";86.6;13.2
"2013-04-27";"07:24:08";90.4;13.1
"2013-04-27";"07:24:03";90.5;14.3
"2013-04-27";"07:24:02";86.6;13.1
"2013-04-27";"07:23:57";90.5;14.2
"2013-04-27";"07:23:51";90.7;13
"2013-04-27";"07:23:46";90.8;13
"2013-04-27";"07:23:45";86.6;13
"2013-04-27";"07:23:40";86.6;12.9
"2013-04-27";"07:23:34";86.5;12.9
"2013-04-27";"07:23:28";91;12.9
"2013-04-27";"07:23:23";91.2;14.1
"2013-04-27";"07:23:17";86.5;12.8
"2013-04-27";"07:23:12";91.8;14
"2013-04-27";"07:23:06";86.5;12.7
"2013-04-27";"07:23:00";91.8;14
"2013-04-27";"07:22:54";86.5;12.6
"2013-04-27";"07:22:49";91.7;13.9
"2013-04-27";"07:22:43";86.5;12.5
"2013-04-27";"07:22:38";91.5;13.9
"2013-04-27";"07:22:32";86.5;12.4
"2013-04-27";"07:22:26";91.6;13.8
"2013-04-27";"07:22:21";91.7;13.8
"2013-04-27";"07:22:20";86.5;12.3
"2013-04-27";"07:22:09";86.5;12.2
"2013-04-27";"07:22:04";91.7;13.7
"2013-04-27";"07:21:52";86.5;12.1
"2013-04-27";"07:21:47";86.5;12
"2013-04-27";"07:21:41";86.4;12
"2013-04-27";"07:21:30";86.4;11.9
"2013-04-27";"07:21:19";86.4;11.8
"2013-04-27";"07:21:13";91.6;12.3
"2013-04-27";"07:21:08";91.9;13.5
"2013-04-27";"07:21:02";86.4;11.7
