"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2013-04-16 00:00:00";"2013-04-16 01:00:00";89.13333;3.86552;86.4;94.6;12.26667;0.30912;12;12.7
"2013-04-16 01:00:00";"2013-04-16 02:00:00";90.92059;3.48356;86.3;94.6;11.77059;0.52217;10.9;12.8
"2013-04-16 02:00:00";"2013-04-16 03:00:00";89.935;3.44213;86.2;94.5;10.73;0.40012;10.1;11.5
"2013-04-16 03:00:00";"2013-04-16 04:00:00";89.99444;3.48544;86.2;94.4;10.95556;0.39892;10.4;11.8
"2013-04-16 04:00:00";"2013-04-16 05:00:00";89.86429;3.66433;86.2;94.5;11.12857;0.41906;10.4;11.8
"2013-04-16 05:00:00";"2013-04-16 06:00:00";89.82609;3.45848;86.3;94.5;10.8;0.52668;10;11.8
"2013-04-16 06:00:00";"2013-04-16 07:00:00";89.92424;3.59082;86.2;94.5;11.18485;0.62722;10.1;12.3
"2013-04-16 07:00:00";"2013-04-16 08:00:00";88.74474;3.85676;84.3;94.8;13.20263;0.42332;12.3;14
"2013-04-16 08:00:00";"2013-04-16 09:00:00";;;;;;;;
"2013-04-16 09:00:00";"2013-04-16 10:00:00";;;;;;;;
"2013-04-16 10:00:00";"2013-04-16 11:00:00";;;;;;;;
"2013-04-16 11:00:00";"2013-04-16 12:00:00";;;;;;;;
"2013-04-16 12:00:00";"2013-04-16 13:00:00";;;;;;;;
"2013-04-16 13:00:00";"2013-04-16 14:00:00";;;;;;;;
"2013-04-16 14:00:00";"2013-04-16 15:00:00";;;;;;;;
"2013-04-16 15:00:00";"2013-04-16 16:00:00";;;;;;;;
"2013-04-16 16:00:00";"2013-04-16 17:00:00";67.92982;4.1113;63.4;75.8;20.77895;1.09876;20;24.4
"2013-04-16 17:00:00";"2013-04-16 18:00:00";86.26338;2.5509;83.2;92.3;16.09577;0.84302;15.2;18.2
"2013-04-16 18:00:00";"2013-04-16 19:00:00";90.70606;3.24466;86.5;94.9;13.25455;0.59242;12.2;14.6
"2013-04-16 19:00:00";"2013-04-16 20:00:00";90.14;3.32912;86.4;94.7;12.34;0.45505;11.5;13.1
