"dia","hora","valentina/001/humidity","valentina/001/temperature","valentina/002/humidity","valentina/002/temperature","valentina/003/humidity","valentina/003/temp_dry","valentina/003/temp_wet"
"2013-04-02","23:59:58",,,,,,,
"2013-04-02","23:59:58",,,,,,,
"2013-04-02","23:59:58",,,,,,,
"2013-04-02","23:56:31",,,85.9,8.6,,,
"2013-04-02","23:56:30",,,,,95,8.7,8.3
"2013-04-02","23:51:31",,,85.9,8.8,,,
"2013-04-02","23:51:29",,,,,95,8.8,8.4
"2013-04-02","23:46:30",,,85.9,8.2,,,
"2013-04-02","23:46:29",,,,,95,8.8,8.4
"2013-04-02","23:41:30",,,85.9,8.4,,,
"2013-04-02","23:41:28",,,,,94,9,8.5
"2013-04-02","23:36:29",,,85.9,8.5,,,
"2013-04-02","23:36:28",,,,,95,9,8.6
"2013-04-02","23:31:29",,,86,8.6,,,
"2013-04-02","23:31:27",,,,,95,9.1,8.7
"2013-04-02","23:26:28",,,86,8.8,,,
"2013-04-02","23:26:27",,,,,95,9.3,8.9
"2013-04-02","23:21:28",,,86,8.8,,,
"2013-04-02","23:21:26",,,,,95,9.1,8.7
"2013-04-02","23:16:28",,,81.7,10.1,,,
"2013-04-02","23:16:27",,,86,8.6,,,
"2013-04-02","23:16:26",,,,,95,9,8.6
"2013-04-02","23:11:27",,,86,8.7,,,
"2013-04-02","23:11:25",,,,,95,9,8.6
"2013-04-02","23:06:27",,,86,8.7,,,
"2013-04-02","23:06:25",,,,,95,9,8.6
"2013-04-02","23:01:26",,,86,8.6,,,
"2013-04-02","23:01:24",,,,,95,9.3,8.9
"2013-04-02","22:56:26",,,86,8.7,,,
"2013-04-02","22:56:24",,,,,94,9.3,8.8
"2013-04-02","22:51:25",,,86,8.8,,,
"2013-04-02","22:51:24",,,,,95,9.2,8.8
"2013-04-02","22:46:25",,,86,8.9,,,
"2013-04-02","22:46:23",,,,,95,9.3,8.9
"2013-04-02","22:41:24",,,86,9,,,
"2013-04-02","22:41:23",,,,,95,9.3,8.9
"2013-04-02","22:36:24",,,86,9.1,,,
"2013-04-02","22:36:22",,,,,95,9.3,8.9
"2013-04-02","22:31:23",,,86,9,,,
"2013-04-02","22:31:22",,,,,95,9.4,9
"2013-04-02","22:26:23",,,86,9,,,
"2013-04-02","22:26:21",,,,,94,9.4,8.9
"2013-04-02","22:21:22",,,86,8.8,,,
"2013-04-02","22:21:21",,,,,95,9.4,9
"2013-04-02","22:16:22",,,86,8.7,,,
"2013-04-02","22:16:20",,,,,94,9.3,8.8
"2013-04-02","22:11:21",,,86,8.7,,,
"2013-04-02","22:11:20",,,,,95,9.3,8.9
"2013-04-02","22:06:21",,,86,8.8,,,
"2013-04-02","22:06:19",,,,,94,9.4,8.9
"2013-04-02","22:01:21",,,81.8,10.8,,,
"2013-04-02","22:01:20",,,86,8.9,,,
"2013-04-02","22:01:19",,,,,95,9.6,9.2
"2013-04-02","21:56:20",,,86,9.2,,,
"2013-04-02","21:56:18",,,,,94,9.7,9.2
"2013-04-02","21:51:20",,,86,9,,,
"2013-04-02","21:51:18",,,,,94,9.9,9.4
"2013-04-02","21:46:19",,,86,9.2,,,
"2013-04-02","21:46:17",,,,,94,9.9,9.4
"2013-04-02","21:41:19",,,86,9.3,,,
"2013-04-02","21:41:17",,,,,95,9.8,9.4
"2013-04-02","21:36:18",,,86.1,9.5,,,
"2013-04-02","21:36:16",,,,,94,10,9.5
"2013-04-02","21:31:18",,,86.1,9.6,,,
"2013-04-02","21:31:16",,,,,94,10.2,9.7
"2013-04-02","21:26:17",,,86.1,10,,,
"2013-04-02","21:26:16",,,,,94,10.4,9.9
"2013-04-02","21:21:17",,,86.2,10.1,,,
"2013-04-02","21:21:15",,,,,94,10.5,10
"2013-04-02","21:16:16",,,86.2,10.2,,,
"2013-04-02","21:16:15",,,,,93,10.6,10
"2013-04-02","21:11:16",,,86.3,10.8,,,
"2013-04-02","21:11:14",,,,,94,10.7,10.2
"2013-04-02","21:06:15",,,86.4,11.6,,,
"2013-04-02","21:06:14",,,,,93,10.8,10.2
"2013-04-02","21:01:15",,,86.3,11.6,,,
"2013-04-02","21:01:13",,,,,93,10.9,10.3
"2013-04-02","20:56:14",,,86.3,11,,,
"2013-04-02","20:56:13",,,,,94,10.7,10.2
"2013-04-02","20:52:58",,,,,,,
"2013-04-02","20:51:47",,,,,,,
"2013-04-02","20:51:14",,,86.3,10.6,,,
"2013-04-02","20:51:12",,,,,93,10.9,10.3
"2013-04-02","20:46:13",,,86.3,10.8,,,
"2013-04-02","20:46:12",,,,,93,10.8,10.2
"2013-04-02","20:43:42",,,,,,,
"2013-04-02","20:36:13",,,82,12.1,,,
"2013-04-02","20:36:12",,,86.3,11.3,,,
"2013-04-02","20:36:11",,,,,93,10.9,10.3
"2013-04-02","20:31:12",,,86.3,11.1,,,
"2013-04-02","20:31:10",,,,,93,10.9,10.3
"2013-04-02","20:26:12",,,82,12.2,,,
"2013-04-02","20:26:11",,,86.3,11.4,,,
"2013-04-02","20:26:10",,,,,93,11,10.4
"2013-04-02","20:21:11",,,86.3,11.1,,,
"2013-04-02","20:21:09",,,,,94,11,10.5
"2013-04-02","20:16:11",,,86.3,11.1,,,
"2013-04-02","20:16:09",,,,,94,11,10.5
"2013-04-02","20:11:10",,,86.3,10.9,,,
"2013-04-02","20:11:09",,,,,94,11.1,10.6
"2013-04-02","20:06:10",,,86.3,10.8,,,
"2013-04-02","20:06:08",,,,,93,11,10.4
"2013-04-02","20:01:09",,,86.3,10.8,,,
"2013-04-02","20:01:08",,,,,94,11,10.5
"2013-04-02","19:56:09",,,86.3,10.9,,,
"2013-04-02","19:56:07",,,,,94,11.1,10.6
"2013-04-02","19:51:08",,,86.3,11,,,
"2013-04-02","19:51:07",,,,,94,11.4,10.9
"2013-04-02","19:46:08",,,86.3,11.1,,,
"2013-04-02","19:46:06",,,,,94,11.3,10.8
"2013-04-02","19:41:07",,,86.3,11.3,,,
"2013-04-02","19:41:06",,,,,93,11.5,10.9
"2013-04-02","19:36:07",,,86.3,11.5,,,
"2013-04-02","19:36:05",,,,,94,11.5,11
"2013-04-02","19:31:06",,,86.3,11.5,,,
"2013-04-02","19:31:05",,,,,95,11.6,11.1
"2013-04-02","19:26:06",,,86.4,11.7,,,
"2013-04-02","19:26:04",,,,,94,11.7,11.2
"2013-04-02","19:21:05",,,86.4,11.8,,,
"2013-04-02","19:21:04",,,,,93,11.7,11.1
"2013-04-02","19:16:05",,,86.4,11.8,,,
"2013-04-02","19:16:03",,,,,93,11.8,11.2
"2013-04-02","19:11:05",,,82.1,12.9,,,
"2013-04-02","19:11:04",,,86.4,11.9,,,
"2013-04-02","19:11:03",,,,,93,11.8,11.2
"2013-04-02","19:06:04",,,86.4,12,,,
"2013-04-02","19:06:02",,,,,93,11.9,11.3
"2013-04-02","19:01:04",,,86.4,12.1,,,
"2013-04-02","19:01:02",,,,,92,11.9,11.2
"2013-04-02","18:56:03",,,86.4,12,,,
"2013-04-02","18:56:01",,,,,94,11.9,11.4
"2013-04-02","18:51:03",,,86.4,11.9,,,
"2013-04-02","18:51:01",,,,,94,11.9,11.4
"2013-04-02","18:46:02",,,86.4,12.1,,,
"2013-04-02","18:46:01",,,,,93,12.1,11.4
"2013-04-02","18:41:02",,,86.4,12.1,,,
"2013-04-02","18:41:00",,,,,93,12.3,11.6
"2013-04-02","18:36:01",,,86.4,12.2,,,
"2013-04-02","18:36:00",,,,,94,12.2,11.6
"2013-04-02","18:31:01",,,86.5,12.4,,,
"2013-04-02","18:30:59",,,,,93,12.3,11.6
"2013-04-02","18:26:00",,,86.5,12.6,,,
"2013-04-02","18:25:59",,,,,93,12.4,11.7
"2013-04-02","18:21:00",,,86.5,12.6,,,
"2013-04-02","18:20:58",,,,,93,12.6,11.9
"2013-04-02","18:20:22",,,,,,,
"2013-04-02","18:19:54",,,,,,,
"2013-04-02","18:17:19",,,,,,,
"2013-04-02","18:15:59",,,86.5,12.7,,,
"2013-04-02","18:15:58",,,,,93,12.7,12
"2013-04-02","18:15:52",,,,,,,
"2013-04-02","18:14:26",,,,,,,
"2013-04-02","18:10:59",,,86.5,12.8,,,
"2013-04-02","18:10:57",,,,,93,12.9,12.2
"2013-04-02","18:05:58",,,86.5,13.1,,,
"2013-04-02","18:05:57",,,,,92,13.2,12.4
"2013-04-02","18:00:58",,,86.6,13.3,,,
"2013-04-02","18:00:56",,,,,92,13.6,12.8
"2013-04-02","17:55:58",,,82.3,15,,,
"2013-04-02","17:55:57",,,86.6,13.7,,,
"2013-04-02","17:55:56",,,,,91,13.8,12.9
"2013-04-02","17:50:57",,,86.6,14.1,,,
"2013-04-02","17:50:55",,,,,92,14,13.2
"2013-04-02","17:45:57",,,85.3,14.4,,,
"2013-04-02","17:45:55",,,,,90,14.2,13.2
"2013-04-02","17:45:52",,,,,,,
"2013-04-02","17:45:46",,,,,,,
"2013-04-02","17:45:09",,,,,,,
"2013-04-02","17:44:44",,,,,,,
"2013-04-02","17:43:54",,,,,,,
"2013-04-02","17:43:51",,,,,,,
"2013-04-02","17:43:36",,,,,,,
"2013-04-02","17:42:08",,,,,,,
"2013-04-02","17:41:26",,,,,,,
"2013-04-02","17:40:56",,,83.7,14.7,,,
"2013-04-02","17:40:54",,,,,89,14.4,13.3
"2013-04-02","17:39:41",,,,,,,
"2013-04-02","17:37:20",,,,,,,
"2013-04-02","17:37:10",,,,,,,
"2013-04-02","17:35:55",,,82.1,15.1,,,
"2013-04-02","17:35:54",,,,,89,14.7,13.6
"2013-04-02","17:34:58",,,,,,,
"2013-04-02","17:34:17",,,,,,,
"2013-04-02","17:30:55",,,82.2,15.2,,,
"2013-04-02","17:30:53",,,,,89,14.7,13.5
"2013-04-02","17:25:55",,,78.9,16.5,,,
"2013-04-02","17:25:54",,,82.3,15.1,,,
"2013-04-02","17:25:53",,,,,89,14.9,13.7
"2013-04-02","17:20:54",,,83.2,14.8,,,
"2013-04-02","17:20:52",,,,,89,14.8,13.6
"2013-04-02","17:15:54",,,82.3,14.8,,,
"2013-04-02","17:15:52",,,,,88,15.2,13.9
"2013-04-02","17:10:53",,,82.2,15,,,
"2013-04-02","17:10:51",,,,,86,15.1,13.6
"2013-04-02","17:07:07",,,,,,,
"2013-04-02","17:05:53",,,79.3,15.3,,,
"2013-04-02","17:05:51",,,,,86,15.7,14.2
"2013-04-02","17:04:54",,,,,,,
"2013-04-02","17:04:15",,,,,,,
"2013-04-02","17:04:07",,,,,,,
"2013-04-02","17:00:52",,,81.5,15.1,,,
"2013-04-02","17:00:51",,,,,86,15.7,14.2
"2013-04-02","16:55:52",,,80.6,15.3,,,
"2013-04-02","16:55:50",,,,,86,15.7,14.2
"2013-04-02","16:55:14",,,,,,,
"2013-04-02","16:50:51",,,79,15.8,,,
"2013-04-02","16:50:50",,,,,86,16.1,14.5
"2013-04-02","16:45:51",,,77.8,16,,,
"2013-04-02","16:45:49",,,,,86,16.2,14.6
"2013-04-02","16:40:50",,,75.8,16.6,,,
"2013-04-02","16:40:49",,,,,83,16.9,15
"2013-04-02","16:35:50",,,75.7,16.3,,,
"2013-04-02","16:35:48",,,,,83,17.3,15.3
"2013-04-02","16:30:49",,,72.9,16.7,,,
"2013-04-02","16:30:48",,,,,82,17.1,15
"2013-04-02","16:25:49",,,76.4,16.4,,,
"2013-04-02","16:25:47",,,,,83,16.9,14.9
"2013-04-02","16:20:49",,,69.8,19.3,,,
"2013-04-02","16:20:48",,,75.4,16.5,,,
"2013-04-02","16:20:47",,,,,83,17.3,15.4
"2013-04-02","16:15:48",,,76.3,15.8,,,
"2013-04-02","16:15:46",,,,,83,17.3,15.4
"2013-04-02","16:10:48",,,71.1,19.1,,,
"2013-04-02","16:10:47",,,77.5,16,,,
"2013-04-02","16:10:46",,,,,85,16.9,15.2
"2013-04-02","16:08:06",,,,,,,
"2013-04-02","16:05:47",,,81.7,15.3,,,
"2013-04-02","16:05:45",,,,,85,16.7,15
"2013-04-02","16:00:47",,,67.5,19.5,,,
"2013-04-02","16:00:46",,,81.2,15.5,,,
"2013-04-02","16:00:45",,,,,85,16.9,15.2
"2013-04-02","15:56:02",,,,,,,
"2013-04-02","15:55:46",,,79.6,15.8,,,
"2013-04-02","15:55:44",,,,,83,17.3,15.4
"2013-04-02","15:50:46",,,76.6,16.2,,,
"2013-04-02","15:50:44",,,,,82,18.2,16.1
"2013-04-02","15:48:07",,,,,,,
"2013-04-02","15:47:21",,,,,,,
"2013-04-02","15:45:45",,,78.3,16,,,
"2013-04-02","15:45:43",,,,,81,18.1,15.8
"2013-04-02","15:40:45",,,77,16.3,,,
"2013-04-02","15:40:43",,,,,81,18.4,16.1
"2013-04-02","15:35:44",,,73.8,16.8,,,
"2013-04-02","15:35:43",,,,,80,18.4,16
"2013-04-02","15:30:44",,,73.8,16.8,,,
"2013-04-02","15:30:42",,,,,79,18.8,16.2
"2013-04-02","15:25:43",,,69,17.6,,,
"2013-04-02","15:25:42",,,,,76,19.8,16.8
"2013-04-02","15:20:43",,,69.5,17.5,,,
"2013-04-02","15:20:41",,,,,74,20.3,17
"2013-04-02","15:15:42",,,67.3,17.9,,,
"2013-04-02","15:15:41",,,,,75,20.3,17.1
"2013-04-02","15:10:42",,,59.8,19.4,,,
"2013-04-02","15:10:40",,,,,72,21.5,17.8
"2013-04-02","15:07:23",,,,,,,
"2013-04-02","15:05:41",,,36.9,26.4,,,
"2013-04-02","15:05:40",,,,,68,22.8,18.4
"2013-04-02","15:02:54",,,,,,,
"2013-04-02","15:00:41",,,37.8,26.7,,,
"2013-04-02","15:00:39",,,,,67,23.7,19.1
"2013-04-02","14:59:15",,,,,,,
"2013-04-02","14:57:22",,,,,,,
"2013-04-02","14:56:24",,,,,,,
