"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2012-10-01 00:00:00";"2012-10-02 00:00:00";;;;;;;;
"2012-10-02 00:00:00";"2012-10-03 00:00:00";;;;;;;;
"2012-10-03 00:00:00";"2012-10-04 00:00:00";;;;;;;;
"2012-10-04 00:00:00";"2012-10-05 00:00:00";;;;;;;;
"2012-10-05 00:00:00";"2012-10-06 00:00:00";;;;;;;;
"2012-10-06 00:00:00";"2012-10-07 00:00:00";;;;;;;;
"2012-10-07 00:00:00";"2012-10-08 00:00:00";;;;;;;;
"2012-10-08 00:00:00";"2012-10-09 00:00:00";;;;;;;;
"2012-10-09 00:00:00";"2012-10-10 00:00:00";;;;;;;;
"2012-10-10 00:00:00";"2012-10-11 00:00:00";;;;;;;;
"2012-10-11 00:00:00";"2012-10-12 00:00:00";;;;;;;;
"2012-10-12 00:00:00";"2012-10-13 00:00:00";;;;;;;;
"2012-10-13 00:00:00";"2012-10-14 00:00:00";;;;;;;;
"2012-10-14 00:00:00";"2012-10-15 00:00:00";;;;;;;;
"2012-10-15 00:00:00";"2012-10-16 00:00:00";;;;;;;;
"2012-10-16 00:00:00";"2012-10-17 00:00:00";;;;;;;;
"2012-10-17 00:00:00";"2012-10-18 00:00:00";;;;;;;;
"2012-10-18 00:00:00";"2012-10-19 00:00:00";;;;;;;;
"2012-10-19 00:00:00";"2012-10-20 00:00:00";;;;;;;;
"2012-10-20 00:00:00";"2012-10-21 00:00:00";;;;;;;;
"2012-10-21 00:00:00";"2012-10-22 00:00:00";;;;;;;;
"2012-10-22 00:00:00";"2012-10-23 00:00:00";;;;;;;;
"2012-10-23 00:00:00";"2012-10-24 00:00:00";;;;;;;;
"2012-10-24 00:00:00";"2012-10-25 00:00:00";;;;;;;;
"2012-10-25 00:00:00";"2012-10-26 00:00:00";;;;;;;;
"2012-10-26 00:00:00";"2012-10-27 00:00:00";;;;;;;;
"2012-10-27 00:00:00";"2012-10-28 00:00:00";;;;;;;;
"2012-10-28 00:00:00";"2012-10-29 00:00:00";;;;;;;;
