"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-02-01 00:00:00";"2013-02-01 01:32:59";;;;;;;;;;;;
"2013-02-01 01:32:59";"2013-02-01 03:05:59";;;;;;;;;;;;
"2013-02-01 03:05:59";"2013-02-01 04:38:59";;;;;;;;;;;;
"2013-02-01 04:38:59";"2013-02-01 06:11:59";;;;;;;;;;;;
"2013-02-01 06:11:59";"2013-02-01 07:44:59";;;;;;;;;;;;
"2013-02-01 07:44:59";"2013-02-01 09:17:59";;;;;;;;;;;;
"2013-02-01 09:17:59";"2013-02-01 10:50:59";;;;;;;;;;;;
"2013-02-01 10:50:59";"2013-02-01 12:23:59";;;;;;;;;;;;
"2013-02-01 12:23:59";"2013-02-01 13:56:58";;;;;;;;;;;;
"2013-02-01 13:56:58";"2013-02-01 15:29:58";;;;;;;;;;;;
"2013-02-01 15:29:58";"2013-02-01 17:02:58";;;;;;;;;;;;
"2013-02-01 17:02:58";"2013-02-01 18:35:58";;;;;;;;;;;;
"2013-02-01 18:35:58";"2013-02-01 20:08:58";;;;;;;;;;;;
"2013-02-01 20:08:58";"2013-02-01 21:41:58";;;;;;;;;;;;
"2013-02-01 21:41:58";"2013-02-01 23:14:58";;;;;;;;;;;;
"2013-02-01 23:14:58";"2013-02-02 00:47:58";;;;;;;;;;;;
"2013-02-02 00:47:58";"2013-02-02 02:20:57";;;;;;;;;;;;
"2013-02-02 02:20:57";"2013-02-02 03:53:57";;;;;;;;;;;;
"2013-02-02 03:53:57";"2013-02-02 05:26:57";;;;;;;;;;;;
"2013-02-02 05:26:57";"2013-02-02 06:59:57";;;;;;;;;;;;
"2013-02-02 06:59:57";"2013-02-02 08:32:57";;;;;;;;;;;;
"2013-02-02 08:32:57";"2013-02-02 10:05:57";;;;;;;;;;;;
"2013-02-02 10:05:57";"2013-02-02 11:38:57";;;;;;;;;;;;
"2013-02-02 11:38:57";"2013-02-02 13:11:57";;;;;;;;;;;;
"2013-02-02 13:11:57";"2013-02-02 14:44:56";;;;;;;;;;;;
"2013-02-02 14:44:56";"2013-02-02 16:17:56";;;;;;;;;;;;
"2013-02-02 16:17:56";"2013-02-02 17:50:56";;;;;;;;;;;;
"2013-02-02 17:50:56";"2013-02-02 19:23:56";;;;;;;;;;;;
"2013-02-02 19:23:56";"2013-02-02 20:56:56";;;;;;;;;;;;
"2013-02-02 20:56:56";"2013-02-02 22:29:56";;;;;;;;;;;;
"2013-02-02 22:29:56";"2013-02-03 00:02:56";;;;;;;;;;;;
"2013-02-03 00:02:56";"2013-02-03 01:35:56";;;;;;;;;;;;
"2013-02-03 01:35:56";"2013-02-03 03:08:55";;;;;;;;;;;;
"2013-02-03 03:08:55";"2013-02-03 04:41:55";;;;;;;;;;;;
"2013-02-03 04:41:55";"2013-02-03 06:14:55";;;;;;;;;;;;
"2013-02-03 06:14:55";"2013-02-03 07:47:55";;;;;;;;;;;;
"2013-02-03 07:47:55";"2013-02-03 09:20:55";;;;;;;;;;;;
"2013-02-03 09:20:55";"2013-02-03 10:53:55";;;;;;;;;;;;
"2013-02-03 10:53:55";"2013-02-03 12:26:55";;;;;;;;;;;;
"2013-02-03 12:26:55";"2013-02-03 13:59:55";;;;;;;;;;;;
"2013-02-03 13:59:55";"2013-02-03 15:32:54";;;;;;;;;;;;
"2013-02-03 15:32:54";"2013-02-03 17:05:54";;;;;;;;;;;;
"2013-02-03 17:05:54";"2013-02-03 18:38:54";;;;;;;;;;;;
"2013-02-03 18:38:54";"2013-02-03 20:11:54";;;;;;;;;;;;
"2013-02-03 20:11:54";"2013-02-03 21:44:54";;;;;;;;;;;;
"2013-02-03 21:44:54";"2013-02-03 23:17:54";;;;;;;;;;;;
"2013-02-03 23:17:54";"2013-02-04 00:50:54";;;;;;;;;;;;
"2013-02-04 00:50:54";"2013-02-04 02:23:54";;;;;;;;;;;;
"2013-02-04 02:23:54";"2013-02-04 03:56:53";;;;;;;;;;;;
"2013-02-04 03:56:53";"2013-02-04 05:29:53";;;;;;;;;;;;
"2013-02-04 05:29:53";"2013-02-04 07:02:53";;;;;;;;;;;;
"2013-02-04 07:02:53";"2013-02-04 08:35:53";;;;;;;;;;;;
"2013-02-04 08:35:53";"2013-02-04 10:08:53";;;;;;;;;;;;
"2013-02-04 10:08:53";"2013-02-04 11:41:53";;;;;;;;;;;;
"2013-02-04 11:41:53";"2013-02-04 13:14:53";;;;;;;;;;;;
"2013-02-04 13:14:53";"2013-02-04 14:47:53";;;;;;;;;;;;
"2013-02-04 14:47:53";"2013-02-04 16:20:52";;;;;;;;;;;;
"2013-02-04 16:20:52";"2013-02-04 17:53:52";;;;;;;;;;;;
"2013-02-04 17:53:52";"2013-02-04 19:26:52";;;;;;;;;;;;
"2013-02-04 19:26:52";"2013-02-04 20:59:52";;;;;;;;;;;;
"2013-02-04 20:59:52";"2013-02-04 22:32:52";;;;;;;;;;;;
"2013-02-04 22:32:52";"2013-02-05 00:05:52";;;;;;;;;;;;
"2013-02-05 00:05:52";"2013-02-05 01:38:52";;;;;;;;;;;;
"2013-02-05 01:38:52";"2013-02-05 03:11:52";;;;;;;;;;;;
"2013-02-05 03:11:52";"2013-02-05 04:44:51";;;;;;;;;;;;
"2013-02-05 04:44:51";"2013-02-05 06:17:51";;;;;;;;;;;;
"2013-02-05 06:17:51";"2013-02-05 07:50:51";;;;;;;;;;;;
"2013-02-05 07:50:51";"2013-02-05 09:23:51";;;;;;;;;;;;
"2013-02-05 09:23:51";"2013-02-05 10:56:51";;;;;;;;;;;;
"2013-02-05 10:56:51";"2013-02-05 12:29:51";;;;;;;;;;;;
"2013-02-05 12:29:51";"2013-02-05 14:02:51";;;;;;;;;;;;
"2013-02-05 14:02:51";"2013-02-05 15:35:51";;;;;;;;;;;;
"2013-02-05 15:35:51";"2013-02-05 17:08:50";;;;;;;;;;;;
"2013-02-05 17:08:50";"2013-02-05 18:41:50";;;;;;;;;;;;
"2013-02-05 18:41:50";"2013-02-05 20:14:50";;;;;;;;;;;;
"2013-02-05 20:14:50";"2013-02-05 21:47:50";;;;;;;;;;;;
"2013-02-05 21:47:50";"2013-02-05 23:20:50";;;;;;;;;;;;
"2013-02-05 23:20:50";"2013-02-06 00:53:50";;;;;;;;;;;;
"2013-02-06 00:53:50";"2013-02-06 02:26:50";;;;;;;;;;;;
"2013-02-06 02:26:50";"2013-02-06 03:59:50";;;;;;;;;;;;
"2013-02-06 03:59:50";"2013-02-06 05:32:49";;;;;;;;;;;;
"2013-02-06 05:32:49";"2013-02-06 07:05:49";;;;;;;;;;;;
"2013-02-06 07:05:49";"2013-02-06 08:38:49";;;;;;;;;;;;
"2013-02-06 08:38:49";"2013-02-06 10:11:49";;;;;;;;;;;;
"2013-02-06 10:11:49";"2013-02-06 11:44:49";;;;;;;;;;;;
"2013-02-06 11:44:49";"2013-02-06 13:17:49";;;;;;;;;;;;
"2013-02-06 13:17:49";"2013-02-06 14:50:49";;;;;;;;;;;;
"2013-02-06 14:50:49";"2013-02-06 16:23:49";;;;;;;;;;;;
"2013-02-06 16:23:49";"2013-02-06 17:56:48";;;;;;;;;;;;
"2013-02-06 17:56:48";"2013-02-06 19:29:48";;;;;;;;;;;;
"2013-02-06 19:29:48";"2013-02-06 21:02:48";;;;;;;;;;;;
"2013-02-06 21:02:48";"2013-02-06 22:35:48";;;;;;;;;;;;
"2013-02-06 22:35:48";"2013-02-07 00:08:48";;;;;;;;;;;;
"2013-02-07 00:08:48";"2013-02-07 01:41:48";;;;;;;;;;;;
"2013-02-07 01:41:48";"2013-02-07 03:14:48";;;;;;;;;;;;
"2013-02-07 03:14:48";"2013-02-07 04:47:48";;;;;;;;;;;;
"2013-02-07 04:47:48";"2013-02-07 06:20:47";;;;;;;;;;;;
"2013-02-07 06:20:47";"2013-02-07 07:53:47";;;;;;;;;;;;
"2013-02-07 07:53:47";"2013-02-07 09:26:47";;;;;;;;;;;;
"2013-02-07 09:26:47";"2013-02-07 10:59:47";;;;;;;;;;;;
"2013-02-07 10:59:47";"2013-02-07 12:32:47";;;;;;;;;;;;
"2013-02-07 12:32:47";"2013-02-07 14:05:47";;;;;;;;;;;;
"2013-02-07 14:05:47";"2013-02-07 15:38:47";;;;;;;;;;;;
"2013-02-07 15:38:47";"2013-02-07 17:11:47";;;;;;;;;;;;
"2013-02-07 17:11:47";"2013-02-07 18:44:46";;;;;;;;;;;;
"2013-02-07 18:44:46";"2013-02-07 20:17:46";;;;;;;;;;;;
"2013-02-07 20:17:46";"2013-02-07 21:50:46";;;;;;;;;;;;
"2013-02-07 21:50:46";"2013-02-07 23:23:46";;;;;;;;;;;;
"2013-02-07 23:23:46";"2013-02-08 00:56:46";;;;;;;;;;;;
"2013-02-08 00:56:46";"2013-02-08 02:29:46";;;;;;;;;;;;
