"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2013-04-20 00:00:00";"2013-04-20 01:00:00";91.37429;3.31597;86.4;94.7;12.02571;0.493;11.3;12.9
"2013-04-20 01:00:00";"2013-04-20 02:00:00";90.97333;3.15214;86.4;94.6;11.61333;0.48355;10.9;12.5
"2013-04-20 02:00:00";"2013-04-20 03:00:00";90.28;3.37544;86.3;94.6;11.12;0.49558;10.6;12
"2013-04-20 03:00:00";"2013-04-20 04:00:00";91.15556;3.17056;86.3;94.5;11.10556;0.46004;10.5;11.8
"2013-04-20 04:00:00";"2013-04-20 05:00:00";91.24118;3.34507;86.3;94.5;11.17647;0.48813;10.5;11.8
"2013-04-20 05:00:00";"2013-04-20 06:00:00";91.18148;3.32321;86.3;94.5;11.13333;0.45947;10.5;11.8
"2013-04-20 06:00:00";"2013-04-20 07:00:00";;;;;;;;
"2013-04-20 07:00:00";"2013-04-20 08:00:00";90.2925;3.59554;83.7;95;14.39;1.32274;11.3;16.6
"2013-04-20 08:00:00";"2013-04-20 09:00:00";71.02781;9.01608;55.4;88.6;18.81921;2.86259;15.2;24.8
"2013-04-20 09:00:00";"2013-04-20 10:00:00";;;;;;;;
"2013-04-20 10:00:00";"2013-04-20 11:00:00";;;;;;;;
"2013-04-20 11:00:00";"2013-04-20 12:00:00";;;;;;;;
"2013-04-20 12:00:00";"2013-04-20 13:00:00";;;;;;;;
"2013-04-20 13:00:00";"2013-04-20 14:00:00";;;;;;;;
"2013-04-20 14:00:00";"2013-04-20 15:00:00";;;;;;;;
"2013-04-20 15:00:00";"2013-04-20 16:00:00";;;;;;;;
"2013-04-20 16:00:00";"2013-04-20 17:00:00";;;;;;;;
"2013-04-20 17:00:00";"2013-04-20 18:00:00";;;;;;;;
"2013-04-20 18:00:00";"2013-04-20 19:00:00";;;;;;;;
"2013-04-20 19:00:00";"2013-04-20 20:00:00";;;;;;;;
"2013-04-20 20:00:00";"2013-04-20 21:00:00";;;;;;;;
"2013-04-20 21:00:00";"2013-04-20 22:00:00";;;;;;;;
"2013-04-20 22:00:00";"2013-04-20 23:00:00";;;;;;;;
"2013-04-20 23:00:00";"2013-04-21 00:00:00";;;;;;;;
"2013-04-21 00:00:00";"2013-04-21 01:00:00";;;;;;;;
"2013-04-21 01:00:00";"2013-04-21 02:00:00";;;;;;;;
"2013-04-21 02:00:00";"2013-04-21 03:00:00";;;;;;;;
"2013-04-21 03:00:00";"2013-04-21 04:00:00";;;;;;;;
"2013-04-21 04:00:00";"2013-04-21 05:00:00";;;;;;;;
"2013-04-21 05:00:00";"2013-04-21 06:00:00";;;;;;;;
"2013-04-21 06:00:00";"2013-04-21 07:00:00";;;;;;;;
"2013-04-21 07:00:00";"2013-04-21 08:00:00";;;;;;;;
"2013-04-21 08:00:00";"2013-04-21 09:00:00";;;;;;;;
"2013-04-21 09:00:00";"2013-04-21 10:00:00";;;;;;;;
"2013-04-21 10:00:00";"2013-04-21 11:00:00";;;;;;;;
"2013-04-21 11:00:00";"2013-04-21 12:00:00";;;;;;;;
"2013-04-21 12:00:00";"2013-04-21 13:00:00";;;;;;;;
"2013-04-21 13:00:00";"2013-04-21 14:00:00";;;;;;;;
"2013-04-21 14:00:00";"2013-04-21 15:00:00";;;;;;;;
"2013-04-21 15:00:00";"2013-04-21 16:00:00";;;;;;;;
"2013-04-21 16:00:00";"2013-04-21 17:00:00";;;;;;;;
"2013-04-21 17:00:00";"2013-04-21 18:00:00";;;;;;;;
"2013-04-21 18:00:00";"2013-04-21 19:00:00";;;;;;;;
"2013-04-21 19:00:00";"2013-04-21 20:00:00";;;;;;;;
"2013-04-21 20:00:00";"2013-04-21 21:00:00";;;;;;;;
"2013-04-21 21:00:00";"2013-04-21 22:00:00";;;;;;;;
"2013-04-21 22:00:00";"2013-04-21 23:00:00";;;;;;;;
"2013-04-21 23:00:00";"2013-04-22 00:00:00";;;;;;;;
"2013-04-22 00:00:00";"2013-04-22 01:00:00";;;;;;;;
"2013-04-22 01:00:00";"2013-04-22 02:00:00";;;;;;;;
"2013-04-22 02:00:00";"2013-04-22 03:00:00";;;;;;;;
"2013-04-22 03:00:00";"2013-04-22 04:00:00";;;;;;;;
"2013-04-22 04:00:00";"2013-04-22 05:00:00";;;;;;;;
"2013-04-22 05:00:00";"2013-04-22 06:00:00";;;;;;;;
"2013-04-22 06:00:00";"2013-04-22 07:00:00";;;;;;;;
"2013-04-22 07:00:00";"2013-04-22 08:00:00";;;;;;;;
"2013-04-22 08:00:00";"2013-04-22 09:00:00";;;;;;;;
"2013-04-22 09:00:00";"2013-04-22 10:00:00";;;;;;;;
"2013-04-22 10:00:00";"2013-04-22 11:00:00";;;;;;;;
"2013-04-22 11:00:00";"2013-04-22 12:00:00";;;;;;;;
"2013-04-22 12:00:00";"2013-04-22 13:00:00";65.69333;1.92659;61.8;69.3;20.56444;1.37617;19.6;23.4
"2013-04-22 13:00:00";"2013-04-22 14:00:00";73.87059;0.85481;72;75.6;18.66667;1.07095;17.6;20.7
"2013-04-22 14:00:00";"2013-04-22 15:00:00";73.44565;3.72738;65.1;78.4;19.13043;1.58593;17.9;22.4
"2013-04-22 15:00:00";"2013-04-22 16:00:00";77.21923;2.98863;73.4;83.2;17.45962;0.49176;16.8;18.6
"2013-04-22 16:00:00";"2013-04-22 17:00:00";61.80714;7.40084;51.8;77.4;21.21837;1.07924;19.6;23.7
"2013-04-22 17:00:00";"2013-04-22 18:00:00";91.84412;2.67804;86.8;95;15.57941;0.63975;14.4;16.9
"2013-04-22 18:00:00";"2013-04-22 19:00:00";91.64444;2.86089;86.6;94.8;13.46667;0.40825;12.7;13.9
"2013-04-22 19:00:00";"2013-04-22 20:00:00";90.5931;3.17869;86.3;94.7;12.0069;0.75837;10.4;13.2
"2013-04-22 20:00:00";"2013-04-22 21:00:00";90.00444;3.3079;86.2;94.5;11.24889;0.64105;10.2;12.2
"2013-04-22 21:00:00";"2013-04-22 22:00:00";89.5;3.39559;86.2;94.4;10.31667;0.62561;9.6;11.1
"2013-04-22 22:00:00";"2013-04-22 23:00:00";90.97895;3.00378;86.2;94.4;10.81579;0.51633;9.9;11.4
"2013-04-22 23:00:00";"2013-04-23 00:00:00";91.10526;3.0932;86.2;94.4;10.67895;0.51461;9.7;11.3
"2013-04-23 00:00:00";"2013-04-23 01:00:00";91.53333;3.16007;86.2;94.4;11.00476;0.43147;10.2;11.5
