"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max"
"2013-10-21 00:00:00";"2013-10-21 03:00:00";97.81081;0.89053;96;100
"2013-10-21 03:00:00";"2013-10-21 06:00:00";98.46619;1.15664;96;101
"2013-10-21 06:00:00";"2013-10-21 09:00:00";79.22016;10.02777;62;100
"2013-10-21 09:00:00";"2013-10-21 12:00:00";62.9987;4.84694;54;75
"2013-10-21 12:00:00";"2013-10-21 15:00:00";65.00937;4.75093;55;75
"2013-10-21 15:00:00";"2013-10-21 18:00:00";72.96629;10.57817;61;94
"2013-10-21 18:00:00";"2013-10-21 21:00:00";95.72669;1.13943;92;98
"2013-10-21 21:00:00";"2013-10-22 00:00:00";97.65482;0.69999;96;99
"2013-10-22 00:00:00";"2013-10-22 03:00:00";97.51381;0.83836;96;100
"2013-10-22 03:00:00";"2013-10-22 06:00:00";97.90303;0.96121;96;100
"2013-10-22 06:00:00";"2013-10-22 09:00:00";73.16234;10.57814;59;99
"2013-10-22 09:00:00";"2013-10-22 12:00:00";68.25127;6.38628;57;81
"2013-10-22 12:00:00";"2013-10-22 15:00:00";76.72754;4.68188;67;87
"2013-10-22 15:00:00";"2013-10-22 18:00:00";80.13212;8.51641;65;96
"2013-10-22 18:00:00";"2013-10-22 21:00:00";96.71691;0.80714;95;98
"2013-10-22 21:00:00";"2013-10-23 00:00:00";98.11053;0.74225;97;100
"2013-10-23 00:00:00";"2013-10-23 03:00:00";98.80925;1.10883;97;101
"2013-10-23 03:00:00";"2013-10-23 06:00:00";99.79487;0.83756;98;101
"2013-10-23 06:00:00";"2013-10-23 09:00:00";75.98411;10.42677;63;101
"2013-10-23 09:00:00";"2013-10-23 12:00:00";64.31589;4.58902;57;77
"2013-10-23 12:00:00";"2013-10-23 15:00:00";67.91208;4.93171;55;81
"2013-10-23 15:00:00";"2013-10-23 18:00:00";89.1759;4.61484;80;97
"2013-10-23 18:00:00";"2013-10-23 21:00:00";97.21901;0.90771;95;99
"2013-10-23 21:00:00";"2013-10-24 00:00:00";98.12195;0.72567;96;100
"2013-10-24 00:00:00";"2013-10-24 03:00:00";98.17222;1.05846;96;100
"2013-10-24 03:00:00";"2013-10-24 06:00:00";98.37634;1.21148;96;101
"2013-10-24 06:00:00";"2013-10-24 09:00:00";83.6355;11.18028;65;101
"2013-10-24 09:00:00";"2013-10-24 12:00:00";64.65036;3.98661;57;74
"2013-10-24 12:00:00";"2013-10-24 15:00:00";81.82473;5.84798;67;90
"2013-10-24 15:00:00";"2013-10-24 18:00:00";83.17241;3.89579;77;92
"2013-10-24 18:00:00";"2013-10-24 21:00:00";;;;
"2013-10-24 21:00:00";"2013-10-25 00:00:00";;;;
"2013-10-25 00:00:00";"2013-10-25 03:00:00";;;;
"2013-10-25 03:00:00";"2013-10-25 06:00:00";;;;
"2013-10-25 06:00:00";"2013-10-25 09:00:00";;;;
"2013-10-25 09:00:00";"2013-10-25 12:00:00";;;;
"2013-10-25 12:00:00";"2013-10-25 15:00:00";;;;
"2013-10-25 15:00:00";"2013-10-25 18:00:00";;;;
"2013-10-25 18:00:00";"2013-10-25 21:00:00";;;;
"2013-10-25 21:00:00";"2013-10-26 00:00:00";;;;
"2013-10-26 00:00:00";"2013-10-26 03:00:00";;;;
"2013-10-26 03:00:00";"2013-10-26 06:00:00";;;;
"2013-10-26 06:00:00";"2013-10-26 09:00:00";;;;
"2013-10-26 09:00:00";"2013-10-26 12:00:00";;;;
"2013-10-26 12:00:00";"2013-10-26 15:00:00";;;;
"2013-10-26 15:00:00";"2013-10-26 18:00:00";;;;
"2013-10-26 18:00:00";"2013-10-26 21:00:00";;;;
"2013-10-26 21:00:00";"2013-10-27 00:00:00";;;;
"2013-10-27 00:00:00";"2013-10-27 03:00:00";;;;
"2013-10-27 03:00:00";"2013-10-27 06:00:00";;;;
"2013-10-27 06:00:00";"2013-10-27 09:00:00";;;;
"2013-10-27 09:00:00";"2013-10-27 12:00:00";;;;
"2013-10-27 12:00:00";"2013-10-27 15:00:00";;;;
"2013-10-27 15:00:00";"2013-10-27 18:00:00";;;;
"2013-10-27 18:00:00";"2013-10-27 21:00:00";;;;
"2013-10-27 21:00:00";"2013-10-28 00:00:00";;;;
"2013-10-28 00:00:00";"2013-10-28 03:00:00";;;;
"2013-10-28 03:00:00";"2013-10-28 06:00:00";;;;
"2013-10-28 06:00:00";"2013-10-28 09:00:00";;;;
"2013-10-28 09:00:00";"2013-10-28 12:00:00";;;;
"2013-10-28 12:00:00";"2013-10-28 15:00:00";;;;
"2013-10-28 15:00:00";"2013-10-28 18:00:00";;;;
"2013-10-28 18:00:00";"2013-10-28 21:00:00";;;;
"2013-10-28 21:00:00";"2013-10-29 00:00:00";;;;
"2013-10-29 00:00:00";"2013-10-29 03:00:00";;;;
"2013-10-29 03:00:00";"2013-10-29 06:00:00";;;;
"2013-10-29 06:00:00";"2013-10-29 09:00:00";;;;
"2013-10-29 09:00:00";"2013-10-29 12:00:00";;;;
"2013-10-29 12:00:00";"2013-10-29 15:00:00";;;;
"2013-10-29 15:00:00";"2013-10-29 18:00:00";;;;
"2013-10-29 18:00:00";"2013-10-29 21:00:00";;;;
"2013-10-29 21:00:00";"2013-10-30 00:00:00";;;;
"2013-10-30 00:00:00";"2013-10-30 03:00:00";;;;
"2013-10-30 03:00:00";"2013-10-30 06:00:00";;;;
"2013-10-30 06:00:00";"2013-10-30 09:00:00";;;;
"2013-10-30 09:00:00";"2013-10-30 12:00:00";;;;
"2013-10-30 12:00:00";"2013-10-30 15:00:00";;;;
"2013-10-30 15:00:00";"2013-10-30 18:00:00";;;;
"2013-10-30 18:00:00";"2013-10-30 21:00:00";;;;
"2013-10-30 21:00:00";"2013-10-31 00:00:00";;;;
"2013-10-31 00:00:00";"2013-10-31 03:00:00";;;;
"2013-10-31 03:00:00";"2013-10-31 06:00:00";;;;
"2013-10-31 06:00:00";"2013-10-31 09:00:00";;;;
"2013-10-31 09:00:00";"2013-10-31 12:00:00";;;;
"2013-10-31 12:00:00";"2013-10-31 15:00:00";;;;
"2013-10-31 15:00:00";"2013-10-31 18:00:00";;;;
"2013-10-31 18:00:00";"2013-10-31 21:00:00";;;;
"2013-10-31 21:00:00";"2013-11-01 00:00:00";;;;
"2013-11-01 00:00:00";"2013-11-01 03:00:00";;;;
"2013-11-01 03:00:00";"2013-11-01 06:00:00";;;;
"2013-11-01 06:00:00";"2013-11-01 09:00:00";;;;
"2013-11-01 09:00:00";"2013-11-01 12:00:00";;;;
"2013-11-01 12:00:00";"2013-11-01 15:00:00";;;;
"2013-11-01 15:00:00";"2013-11-01 18:00:00";100.43478;2.66542;94;105
"2013-11-01 18:00:00";"2013-11-01 21:00:00";101.10671;1.40042;98;104
"2013-11-01 21:00:00";"2013-11-02 00:00:00";102.0107;0.87746;100;104
"2013-11-02 00:00:00";"2013-11-02 03:00:00";101.07639;0.82563;100;103
"2013-11-02 03:00:00";"2013-11-02 06:00:00";100.53614;0.70831;98;102
"2013-11-02 06:00:00";"2013-11-02 09:00:00";78.56693;9.05607;65;102
"2013-11-02 09:00:00";"2013-11-02 12:00:00";80.79943;8.6157;65;99
"2013-11-02 12:00:00";"2013-11-02 15:00:00";94.86554;4.94898;85;106
"2013-11-02 15:00:00";"2013-11-02 18:00:00";101.38462;1.83636;97;105
"2013-11-02 18:00:00";"2013-11-02 21:00:00";101.53774;0.92832;99;104
"2013-11-02 21:00:00";"2013-11-03 00:00:00";99.84804;0.85832;97;102
"2013-11-03 00:00:00";"2013-11-03 03:00:00";99.87407;0.58916;98;101
"2013-11-03 03:00:00";"2013-11-03 06:00:00";100.2377;0.65353;99;102
"2013-11-03 06:00:00";"2013-11-03 09:00:00";90.85761;4.59271;84;101
"2013-11-03 09:00:00";"2013-11-03 12:00:00";79.6929;8.03114;69;101
"2013-11-03 12:00:00";"2013-11-03 15:00:00";87.26738;8.57425;68;100
"2013-11-03 15:00:00";"2013-11-03 18:00:00";98.34803;3.46135;88;104
"2013-11-03 18:00:00";"2013-11-03 21:00:00";101.52814;1.16509;99;104
"2013-11-03 21:00:00";"2013-11-04 00:00:00";99.63248;0.79096;98;101
"2013-11-04 00:00:00";"2013-11-04 03:00:00";99.72566;0.88496;98;101
"2013-11-04 03:00:00";"2013-11-04 06:00:00";100.08571;0.79719;98;102
"2013-11-04 06:00:00";"2013-11-04 09:00:00";96.60759;2.071;93;100
"2013-11-04 09:00:00";"2013-11-04 12:00:00";77.32692;7.20691;65;93
"2013-11-04 12:00:00";"2013-11-04 15:00:00";89.99299;8.97554;75;103
"2013-11-04 15:00:00";"2013-11-04 18:00:00";97.19723;4.81842;86;103
"2013-11-04 18:00:00";"2013-11-04 21:00:00";101.05;0.72858;100;102
"2013-11-04 21:00:00";"2013-11-05 00:00:00";100.1811;0.3851;100;101
"2013-11-05 00:00:00";"2013-11-05 03:00:00";100.46763;0.67111;99;102
"2013-11-05 03:00:00";"2013-11-05 06:00:00";100.61194;0.76207;100;102
"2013-11-05 06:00:00";"2013-11-05 09:00:00";80.72696;8.78491;66;101
"2013-11-05 09:00:00";"2013-11-05 12:00:00";80.44988;7.12913;68;95
"2013-11-05 12:00:00";"2013-11-05 15:00:00";90.24709;3.53498;81;99
