"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-01-01 00:00:00";"2013-01-01 18:11:59";;;;;;;;;;;;
"2013-01-01 18:11:59";"2013-01-02 12:23:59";;;;;;;;;;;;
"2013-01-02 12:23:59";"2013-01-03 06:35:59";;;;;;;;;;;;
"2013-01-03 06:35:59";"2013-01-04 00:47:59";;;;;;;;;;;;
"2013-01-04 00:47:59";"2013-01-04 18:59:58";;;;;;;;;;;;
"2013-01-04 18:59:58";"2013-01-05 13:11:58";;;;;;;;;;;;
"2013-01-05 13:11:58";"2013-01-06 07:23:58";;;;;;;;;;;;
"2013-01-06 07:23:58";"2013-01-07 01:35:58";;;;;;;;;;;;
"2013-01-07 01:35:58";"2013-01-07 19:47:57";;;;;;;;;;;;
"2013-01-07 19:47:57";"2013-01-08 13:59:57";;;;;;;;;;;;
"2013-01-08 13:59:57";"2013-01-09 08:11:57";;;;;;;;;;;;
"2013-01-09 08:11:57";"2013-01-10 02:23:57";;;;;;;;;;;;
"2013-01-10 02:23:57";"2013-01-10 20:35:56";;;;;;;;;;;;
"2013-01-10 20:35:56";"2013-01-11 14:47:56";;;;;;;;;;;;
"2013-01-11 14:47:56";"2013-01-12 08:59:56";;;;;;;;;;;;
"2013-01-12 08:59:56";"2013-01-13 03:11:56";;;;;;;;;;;;
"2013-01-13 03:11:56";"2013-01-13 21:23:55";;;;;;;;;;;;
"2013-01-13 21:23:55";"2013-01-14 15:35:55";;;;;;;;;;;;
"2013-01-14 15:35:55";"2013-01-15 09:47:55";;;;;;;;;;;;
"2013-01-15 09:47:55";"2013-01-16 03:59:55";;;;;;;;;;;;
"2013-01-16 03:59:55";"2013-01-16 22:11:54";;;;;;;;;;;;
"2013-01-16 22:11:54";"2013-01-17 16:23:54";;;;;;;;;;;;
"2013-01-17 16:23:54";"2013-01-18 10:35:54";;;;;;;;;;;;
"2013-01-18 10:35:54";"2013-01-19 04:47:54";;;;;;;;;;;;
"2013-01-19 04:47:54";"2013-01-19 22:59:53";;;;;;;;;;;;
"2013-01-19 22:59:53";"2013-01-20 17:11:53";;;;;;;;;;;;
"2013-01-20 17:11:53";"2013-01-21 11:23:53";;;;;;;;;;;;
"2013-01-21 11:23:53";"2013-01-22 05:35:53";;;;;;;;;;;;
"2013-01-22 05:35:53";"2013-01-22 23:47:52";;;;;;;;;;;;
"2013-01-22 23:47:52";"2013-01-23 17:59:52";;;;;;;;;;;;
"2013-01-23 17:59:52";"2013-01-24 12:11:52";;;;;;;;;;;;
"2013-01-24 12:11:52";"2013-01-25 06:23:52";;;;;;;;;;;;
"2013-01-25 06:23:52";"2013-01-26 00:35:51";;;;;;;;;;;;
"2013-01-26 00:35:51";"2013-01-26 18:47:51";;;;;;;;;;;;
"2013-01-26 18:47:51";"2013-01-27 12:59:51";;;;;;;;;;;;
"2013-01-27 12:59:51";"2013-01-28 07:11:51";;;;;;;;;;;;
"2013-01-28 07:11:51";"2013-01-29 01:23:50";;;;;;;;;;;;
"2013-01-29 01:23:50";"2013-01-29 19:35:50";;;;;;;;;;;;
"2013-01-29 19:35:50";"2013-01-30 13:47:50";;;;;;;;;;;;
"2013-01-30 13:47:50";"2013-01-31 07:59:50";;;;;;;;;;;;
"2013-01-31 07:59:50";"2013-02-01 02:11:49";;;;;;;;;;;;
"2013-02-01 02:11:49";"2013-02-01 20:23:49";;;;;;;;;;;;
"2013-02-01 20:23:49";"2013-02-02 14:35:49";;;;;;;;;;;;
"2013-02-02 14:35:49";"2013-02-03 08:47:49";;;;;;;;;;;;
"2013-02-03 08:47:49";"2013-02-04 02:59:48";;;;;;;;;;;;
"2013-02-04 02:59:48";"2013-02-04 21:11:48";;;;;;;;;;;;
"2013-02-04 21:11:48";"2013-02-05 15:23:48";;;;;;;;;;;;
"2013-02-05 15:23:48";"2013-02-06 09:35:48";;;;;;;;;;;;
"2013-02-06 09:35:48";"2013-02-07 03:47:47";;;;;;;;;;;;
"2013-02-07 03:47:47";"2013-02-07 21:59:47";;;;;;;;;;;;
"2013-02-07 21:59:47";"2013-02-08 16:11:47";;;;;;;;;;;;
"2013-02-08 16:11:47";"2013-02-09 10:23:47";;;;;;;;;;;;
"2013-02-09 10:23:47";"2013-02-10 04:35:46";;;;;;;;;;;;
"2013-02-10 04:35:46";"2013-02-10 22:47:46";;;;;;;;;;;;
"2013-02-10 22:47:46";"2013-02-11 16:59:46";;;;;;;;;;;;
"2013-02-11 16:59:46";"2013-02-12 11:11:46";;;;;;;;;;;;
"2013-02-12 11:11:46";"2013-02-13 05:23:45";;;;;;;;;;;;
"2013-02-13 05:23:45";"2013-02-13 23:35:45";;;;;;;;;;;;
"2013-02-13 23:35:45";"2013-02-14 17:47:45";;;;;;;;;;;;
"2013-02-14 17:47:45";"2013-02-15 11:59:45";;;;;;;;;;;;
