"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2013-09-27 00:00:00";"2013-09-27 00:10:00";;;;;;;;;;;;
"2013-09-27 00:10:00";"2013-09-27 00:20:00";;;;;;;;;;;;
"2013-09-27 00:20:00";"2013-09-27 00:30:00";94;0;94;94;12.1;0;12.1;12.1;11.6;0;11.6;11.6
"2013-09-27 00:30:00";"2013-09-27 00:40:00";94;0;94;94;12.1;0;12.1;12.1;11.6;0;11.6;11.6
"2013-09-27 00:40:00";"2013-09-27 00:50:00";95;0;95;95;12;0;12;12;11.55;0.05;11.5;11.6
"2013-09-27 00:50:00";"2013-09-27 01:00:00";95;0;95;95;12;0;12;12;11.6;0;11.6;11.6
"2013-09-27 01:00:00";"2013-09-27 01:10:00";95;0;95;95;12;0;12;12;11.55;0.05;11.5;11.6
"2013-09-27 01:10:00";"2013-09-27 01:20:00";95;0;95;95;12;0;12;12;11.55;0.05;11.5;11.6
"2013-09-27 01:20:00";"2013-09-27 01:30:00";96;0;96;96;11.9;0;11.9;11.9;11.5;0;11.5;11.5
"2013-09-27 01:30:00";"2013-09-27 01:40:00";96;0;96;96;11.9;0;11.9;11.9;11.5;0;11.5;11.5
"2013-09-27 01:40:00";"2013-09-27 01:50:00";96.5;0.5;96;97;11.65;0.05;11.6;11.7;11.35;0.05;11.3;11.4
"2013-09-27 01:50:00";"2013-09-27 02:00:00";95.5;0.5;95;96;11.3;0.1;11.2;11.4;10.9;0.1;10.8;11
"2013-09-27 02:00:00";"2013-09-27 02:10:00";95;0;95;95;10.95;0.05;10.9;11;10.55;0.05;10.5;10.6
"2013-09-27 02:10:00";"2013-09-27 02:20:00";95;0;95;95;10.75;0.15;10.6;10.9;10.35;0.15;10.2;10.5
"2013-09-27 02:20:00";"2013-09-27 02:30:00";95;0;95;95;10.35;0.15;10.2;10.5;9.95;0.15;9.8;10.1
"2013-09-27 02:30:00";"2013-09-27 02:40:00";95;0;95;95;10.2;0.1;10.1;10.3;9.8;0.1;9.7;9.9
"2013-09-27 02:40:00";"2013-09-27 02:50:00";96;0;96;96;9.85;0.05;9.8;9.9;9.55;0.05;9.5;9.6
"2013-09-27 02:50:00";"2013-09-27 03:00:00";94.5;0.5;94;95;9.65;0.05;9.6;9.7;9.2;0;9.2;9.2
"2013-09-27 03:00:00";"2013-09-27 03:10:00";95;0;95;95;9.4;0;9.4;9.4;9;0;9;9
"2013-09-27 03:10:00";"2013-09-27 03:20:00";95;0;95;95;9.3;0;9.3;9.3;8.9;0;8.9;8.9
"2013-09-27 03:20:00";"2013-09-27 03:30:00";95;0;95;95;9.1;0;9.1;9.1;8.7;0;8.7;8.7
"2013-09-27 03:30:00";"2013-09-27 03:40:00";95.5;0.5;95;96;9.2;0;9.2;9.2;8.85;0.05;8.8;8.9
"2013-09-27 03:40:00";"2013-09-27 03:50:00";96;0;96;96;8.95;0.05;8.9;9;8.65;0.05;8.6;8.7
"2013-09-27 03:50:00";"2013-09-27 04:00:00";96;0;96;96;8.75;0.05;8.7;8.8;8.45;0.05;8.4;8.5
"2013-09-27 04:00:00";"2013-09-27 04:10:00";96;0;96;96;8.65;0.05;8.6;8.7;8.35;0.05;8.3;8.4
"2013-09-27 04:10:00";"2013-09-27 04:20:00";96.5;0.5;96;97;8.5;0.1;8.4;8.6;8.25;0.15;8.1;8.4
"2013-09-27 04:20:00";"2013-09-27 04:30:00";97;0;97;97;8.35;0.05;8.3;8.4;8.15;0.05;8.1;8.2
"2013-09-27 04:30:00";"2013-09-27 04:40:00";96;0;96;96;8.35;0.05;8.3;8.4;8.05;0.05;8;8.1
"2013-09-27 04:40:00";"2013-09-27 04:50:00";96.5;0.5;96;97;8.2;0;8.2;8.2;7.95;0.05;7.9;8
"2013-09-27 04:50:00";"2013-09-27 05:00:00";96.5;0.5;96;97;8.1;0;8.1;8.1;7.85;0.05;7.8;7.9
"2013-09-27 05:00:00";"2013-09-27 05:10:00";96;0;96;96;8.05;0.05;8;8.1;7.75;0.05;7.7;7.8
"2013-09-27 05:10:00";"2013-09-27 05:20:00";96;1;95;97;7.85;0.05;7.8;7.9;7.55;0.05;7.5;7.6
"2013-09-27 05:20:00";"2013-09-27 05:30:00";96;0;96;96;7.8;0;7.8;7.8;7.5;0;7.5;7.5
"2013-09-27 05:30:00";"2013-09-27 05:40:00";97;0;97;97;7.7;0;7.7;7.7;7.5;0;7.5;7.5
"2013-09-27 05:40:00";"2013-09-27 05:50:00";97;0;97;97;7.65;0.05;7.6;7.7;7.45;0.05;7.4;7.5
"2013-09-27 05:50:00";"2013-09-27 06:00:00";96;0;96;96;7.75;0.05;7.7;7.8;7.45;0.05;7.4;7.5
"2013-09-27 06:00:00";"2013-09-27 06:10:00";96;0;96;96;7.95;0.15;7.8;8.1;7.65;0.15;7.5;7.8
