"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-10-16 00:00:00";"2013-10-16 03:00:00";95.52941;0.60563;94;97;9.32647;0.1945;8.9;9.7;8.97941;0.18752;8.6;9.2
"2013-10-16 03:00:00";"2013-10-16 06:00:00";96.11628;0.78383;94;98;7.70155;0.62083;7.1;9.4;7.41473;0.65095;6.8;9.2
"2013-10-16 06:00:00";"2013-10-16 09:00:00";71.84444;10.51043;57;96;17.44607;4.61225;7.4;24.8;13.73793;2.95213;7;18.6
"2013-10-16 09:00:00";"2013-10-16 12:00:00";71.43718;4.91283;61;88;18.91773;1.43173;15.5;22.1;15.19587;1.04724;13.3;18.1
"2013-10-16 12:00:00";"2013-10-16 15:00:00";79.46543;7.48867;67;91;16.69713;2.16592;13.3;20.7;14.17504;1.09495;12.1;16.3
"2013-10-16 15:00:00";"2013-10-16 18:00:00";90.85366;1.86463;88;96;12.65645;0.33819;12;13.6;11.73519;0.18624;11.3;12.3
"2013-10-16 18:00:00";"2013-10-16 21:00:00";96;0.77085;94;97;11.81812;0.20755;11.2;12.2;11.41739;0.16677;10.9;11.7
"2013-10-16 21:00:00";"2013-10-17 00:00:00";97.61364;0.72455;96;99;11.18939;0.20459;10.6;11.5;10.95455;0.17895;10.4;11.2
"2013-10-17 00:00:00";"2013-10-17 03:00:00";97.6391;0.94462;96;100;10.10376;0.21041;9.8;10.7;9.90526;0.22186;9.5;10.5
"2013-10-17 03:00:00";"2013-10-17 06:00:00";98.10286;0.90758;96;100;9.77943;0.23184;9.1;10.2;9.64286;0.21946;9.1;10
"2013-10-17 06:00:00";"2013-10-17 09:00:00";80.13288;8.96915;67;98;15.18739;3.05776;9.1;20;12.80562;1.86587;8.9;15.6
"2013-10-17 09:00:00";"2013-10-17 12:00:00";68.58832;3.72058;59;77;19.08614;1.42063;16.1;23.1;14.94321;0.79287;13.3;17.3
"2013-10-17 12:00:00";"2013-10-17 15:00:00";64.55072;3.48303;56;71;21.12889;1.59036;17.7;25;16.17014;0.93732;13.9;18.7
"2013-10-17 15:00:00";"2013-10-17 18:00:00";70.41019;4.8551;60;89;16.50777;1.54812;12.1;18.9;12.86723;1.27467;10.8;15.1
"2013-10-17 18:00:00";"2013-10-17 21:00:00";93.52941;1.90719;88;97;10.74549;0.72699;9.4;12.1;10.12549;0.59033;8.9;10.9
"2013-10-17 21:00:00";"2013-10-18 00:00:00";95.35987;0.87122;93;97;8.57293;0.5582;7.5;9.7;8.20924;0.51778;7.2;9.2
"2013-10-18 00:00:00";"2013-10-18 03:00:00";95.09163;0.82513;93;97;8.22709;0.40117;7.6;9;7.83506;0.37624;7.2;8.6
"2013-10-18 03:00:00";"2013-10-18 06:00:00";95.15421;0.74228;93;97;8.04486;0.51569;6.9;8.6;7.66168;0.49759;6.6;8.2
"2013-10-18 06:00:00";"2013-10-18 09:00:00";73.03286;10.50246;57;95;15.76678;4.52168;6.9;23.5;12.36256;2.95246;6.5;17.2
"2013-10-18 09:00:00";"2013-10-18 12:00:00";57.56657;5.47378;46;68;22.99037;2.29624;17.9;27;16.62087;1.2354;13.4;19
"2013-10-18 12:00:00";"2013-10-18 15:00:00";60.2455;1.94828;53;69;23.33016;0.9576;19.8;26.3;17.42804;0.59125;15.5;19.1
"2013-10-18 15:00:00";"2013-10-18 18:00:00";72.83028;5.04372;66;90;17.55872;1.69792;13.4;19.7;14.13624;1.10902;11.7;15.8
"2013-10-18 18:00:00";"2013-10-18 21:00:00";93.44771;1.38109;89;96;12.07059;0.62139;10.6;13.4;11.41765;0.57691;10.2;12.3
"2013-10-18 21:00:00";"2013-10-19 00:00:00";95.40254;0.83045;94;98;9.88559;0.53627;8.8;10.8;9.4928;0.48406;8.5;10.3
"2013-10-19 00:00:00";"2013-10-19 03:00:00";95.4698;0.73783;94;97;8.06309;0.43223;7.2;9;7.7104;0.44215;6.9;8.6
"2013-10-19 03:00:00";"2013-10-19 06:00:00";95.72325;0.80644;93;97;7.58413;0.28115;7.1;8.2;7.25461;0.2963;6.8;7.8
"2013-10-19 06:00:00";"2013-10-19 09:00:00";74.18919;9.93013;59;95;15.76338;4.46258;7.5;21.8;12.51784;2.92426;7;16.4
"2013-10-19 09:00:00";"2013-10-19 12:00:00";56.46643;4.8004;48;67;23.42766;1.9416;19;27.9;16.82086;1.00127;14.5;19.5
"2013-10-19 12:00:00";"2013-10-19 15:00:00";63.25119;3.5842;56;74;22.9452;1.52047;19.2;25.9;17.57631;0.86091;15.8;19.7
"2013-10-19 15:00:00";"2013-10-19 18:00:00";79.37475;7.58346;69;94;17.56192;2.06724;13.3;20.1;14.98617;1.02593;12.6;16.6
"2013-10-19 18:00:00";"2013-10-19 21:00:00";95.67069;0.9506;93;98;11.66586;0.76325;10.1;13.4;11.2426;0.68741;9.8;12.8
"2013-10-19 21:00:00";"2013-10-20 00:00:00";96.20846;0.86666;94;99;8.99184;0.54852;8;10.4;8.70755;0.51816;7.8;10
"2013-10-20 00:00:00";"2013-10-20 03:00:00";95.73387;0.70835;94;97;8.01411;0.25543;7.5;8.6;7.68629;0.24995;7.1;8.2
"2013-10-20 03:00:00";"2013-10-20 06:00:00";96.64463;0.74811;95;99;8.12149;0.48561;7.6;9.1;7.88471;0.48436;7.4;8.9
"2013-10-20 06:00:00";"2013-10-20 09:00:00";75.61949;9.00634;61;97;15.82443;4.09956;7.7;22.5;12.79599;2.7488;7.4;16.9
"2013-10-20 09:00:00";"2013-10-20 12:00:00";60.36581;3.93822;51;70;22.79871;1.79397;19.5;27.4;16.96232;1.15254;14.7;20.1
"2013-10-20 12:00:00";"2013-10-20 15:00:00";67.10143;8.62769;53;90;21.02978;2.5329;15.4;25.5;16.3974;1.09133;14.1;18.3
"2013-10-20 15:00:00";"2013-10-20 18:00:00";84.51613;4.23459;77;95;16.46475;1.3115;13.2;18.4;14.65161;0.80583;12.6;16.1
"2013-10-20 18:00:00";"2013-10-20 21:00:00";94.94545;1.00305;93;97;13.11909;0.30076;12.4;13.6;12.61364;0.25189;12;13
"2013-10-20 21:00:00";"2013-10-21 00:00:00";97.35897;0.83678;95;99;11.76368;0.62532;10.7;12.8;11.51368;0.57563;10.5;12.5
"2013-10-21 00:00:00";"2013-10-21 03:00:00";97.81081;0.89053;96;100;9.82748;0.57736;8.8;10.8;9.67658;0.56288;8.7;10.6
"2013-10-21 03:00:00";"2013-10-21 06:00:00";98.46619;1.15664;96;101;8.72491;0.37305;8.1;9.4;8.63594;0.37143;8;9.3
"2013-10-21 06:00:00";"2013-10-21 09:00:00";79.22016;10.02777;62;100;16.12853;3.49395;8.6;21.4;13.54124;2.1142;8.6;16.6
