"inicio";"fin";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max"
"2013-11-12 00:00:00";"2013-11-12 00:10:00";85.9;0;85.9;85.9;6.84737;0.04993;6.8;6.9
"2013-11-12 00:10:00";"2013-11-12 00:20:00";85.9;0;85.9;85.9;6.7;0.07071;6.6;6.8
"2013-11-12 00:20:00";"2013-11-12 00:30:00";85.9;0;85.9;85.9;6.55;0.05;6.5;6.6
"2013-11-12 00:30:00";"2013-11-12 00:40:00";85.83333;0.04714;85.8;85.9;6.46667;0.04714;6.4;6.5
"2013-11-12 00:40:00";"2013-11-12 00:50:00";85.8;0;85.8;85.8;6.29375;0.08992;6.2;6.5
"2013-11-12 00:50:00";"2013-11-12 01:00:00";85.8;0;85.8;85.8;6.23333;0.06236;6.1;6.3
"2013-11-12 01:00:00";"2013-11-12 01:10:00";85.8;0;85.8;85.8;6.2;0.06325;6.1;6.3
"2013-11-12 01:10:00";"2013-11-12 01:20:00";85.8;0;85.8;85.8;6.3;0.08165;6.2;6.4
"2013-11-12 01:20:00";"2013-11-12 01:30:00";85.8;0;85.8;85.8;6.33333;0.04714;6.3;6.4
"2013-11-12 01:30:00";"2013-11-12 01:40:00";85.8;0;85.8;85.8;6.63889;0.05906;6.5;6.7
"2013-11-12 01:40:00";"2013-11-12 01:50:00";85.8;0;85.8;85.8;6.5;0.05774;6.4;6.6
"2013-11-12 01:50:00";"2013-11-12 02:00:00";85.85;0.05;85.8;85.9;6.75;0.12956;6.6;7
"2013-11-12 02:00:00";"2013-11-12 02:10:00";85.9;0;85.9;85.9;7;0.07071;6.9;7.1
"2013-11-12 02:10:00";"2013-11-12 02:20:00";85.9;0;85.9;85.9;6.62143;0.10127;6.5;6.8
"2013-11-12 02:20:00";"2013-11-12 02:30:00";85.9;0;85.9;85.9;6.58077;0.06805;6.5;6.7
"2013-11-12 02:30:00";"2013-11-12 02:40:00";85.9;0;85.9;85.9;6.96667;0.15456;6.8;7.3
"2013-11-12 02:40:00";"2013-11-12 02:50:00";85.98333;0.03727;85.9;86;7.56667;0.14907;7.4;7.8
"2013-11-12 02:50:00";"2013-11-12 03:00:00";86.03333;0.04714;86;86.1;7.9;0;7.9;7.9
"2013-11-12 03:00:00";"2013-11-12 03:10:00";86.1;0;86.1;86.1;7.975;0.0433;7.9;8
"2013-11-12 03:10:00";"2013-11-12 03:20:00";86.1;0;86.1;86.1;8.13889;0.05906;8;8.2
"2013-11-12 03:20:00";"2013-11-12 03:30:00";86.1;0;86.1;86.1;8.31333;0.0718;8.2;8.4
"2013-11-12 03:30:00";"2013-11-12 03:40:00";86.1;0;86.1;86.1;8.4625;0.04841;8.4;8.5
"2013-11-12 03:40:00";"2013-11-12 03:50:00";86.1;0;86.1;86.1;8.54375;0.04961;8.5;8.6
"2013-11-12 03:50:00";"2013-11-12 04:00:00";86.1;0;86.1;86.1;8.61667;0.06872;8.5;8.7
"2013-11-12 04:00:00";"2013-11-12 04:10:00";86.1;0;86.1;86.1;8.74737;0.04993;8.7;8.8
