"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-01-01 00:00:00";"2013-01-01 03:06:00";;;;;;;;;;;;
"2013-01-01 03:06:00";"2013-01-01 06:12:00";;;;;;;;;;;;
"2013-01-01 06:12:00";"2013-01-01 09:18:00";;;;;;;;;;;;
"2013-01-01 09:18:00";"2013-01-01 12:24:00";;;;;;;;;;;;
"2013-01-01 12:24:00";"2013-01-01 15:30:00";;;;;;;;;;;;
"2013-01-01 15:30:00";"2013-01-01 18:36:00";;;;;;;;;;;;
"2013-01-01 18:36:00";"2013-01-01 21:42:00";;;;;;;;;;;;
"2013-01-01 21:42:00";"2013-01-02 00:48:00";;;;;;;;;;;;
"2013-01-02 00:48:00";"2013-01-02 03:54:00";;;;;;;;;;;;
"2013-01-02 03:54:00";"2013-01-02 07:00:00";;;;;;;;;;;;
"2013-01-02 07:00:00";"2013-01-02 10:06:00";;;;;;;;;;;;
"2013-01-02 10:06:00";"2013-01-02 13:12:00";;;;;;;;;;;;
"2013-01-02 13:12:00";"2013-01-02 16:18:00";;;;;;;;;;;;
"2013-01-02 16:18:00";"2013-01-02 19:24:00";;;;;;;;;;;;
"2013-01-02 19:24:00";"2013-01-02 22:30:00";;;;;;;;;;;;
"2013-01-02 22:30:00";"2013-01-03 01:36:00";;;;;;;;;;;;
"2013-01-03 01:36:00";"2013-01-03 04:42:00";;;;;;;;;;;;
"2013-01-03 04:42:00";"2013-01-03 07:48:00";;;;;;;;;;;;
"2013-01-03 07:48:00";"2013-01-03 10:54:00";;;;;;;;;;;;
"2013-01-03 10:54:00";"2013-01-03 14:00:00";;;;;;;;;;;;
"2013-01-03 14:00:00";"2013-01-03 17:06:00";;;;;;;;;;;;
"2013-01-03 17:06:00";"2013-01-03 20:12:00";;;;;;;;;;;;
"2013-01-03 20:12:00";"2013-01-03 23:18:00";;;;;;;;;;;;
"2013-01-03 23:18:00";"2013-01-04 02:24:00";;;;;;;;;;;;
"2013-01-04 02:24:00";"2013-01-04 05:30:00";;;;;;;;;;;;
"2013-01-04 05:30:00";"2013-01-04 08:36:00";;;;;;;;;;;;
"2013-01-04 08:36:00";"2013-01-04 11:42:00";;;;;;;;;;;;
"2013-01-04 11:42:00";"2013-01-04 14:48:00";;;;;;;;;;;;
"2013-01-04 14:48:00";"2013-01-04 17:54:00";;;;;;;;;;;;
"2013-01-04 17:54:00";"2013-01-04 21:00:00";;;;;;;;;;;;
"2013-01-04 21:00:00";"2013-01-05 00:06:00";;;;;;;;;;;;
"2013-01-05 00:06:00";"2013-01-05 03:12:00";;;;;;;;;;;;
"2013-01-05 03:12:00";"2013-01-05 06:18:00";;;;;;;;;;;;
"2013-01-05 06:18:00";"2013-01-05 09:24:00";;;;;;;;;;;;
"2013-01-05 09:24:00";"2013-01-05 12:30:00";;;;;;;;;;;;
"2013-01-05 12:30:00";"2013-01-05 15:36:00";;;;;;;;;;;;
"2013-01-05 15:36:00";"2013-01-05 18:42:00";;;;;;;;;;;;
"2013-01-05 18:42:00";"2013-01-05 21:48:00";;;;;;;;;;;;
"2013-01-05 21:48:00";"2013-01-06 00:54:00";;;;;;;;;;;;
"2013-01-06 00:54:00";"2013-01-06 04:00:00";;;;;;;;;;;;
"2013-01-06 04:00:00";"2013-01-06 07:06:00";;;;;;;;;;;;
"2013-01-06 07:06:00";"2013-01-06 10:12:00";;;;;;;;;;;;
"2013-01-06 10:12:00";"2013-01-06 13:18:00";;;;;;;;;;;;
"2013-01-06 13:18:00";"2013-01-06 16:24:00";;;;;;;;;;;;
"2013-01-06 16:24:00";"2013-01-06 19:30:00";;;;;;;;;;;;
"2013-01-06 19:30:00";"2013-01-06 22:36:00";;;;;;;;;;;;
"2013-01-06 22:36:00";"2013-01-07 01:42:00";;;;;;;;;;;;
"2013-01-07 01:42:00";"2013-01-07 04:48:00";;;;;;;;;;;;
"2013-01-07 04:48:00";"2013-01-07 07:54:00";;;;;;;;;;;;
