"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-04-15";"22:38:31";86.5;11.9
"2013-04-15";"22:37:54";94.6;12.6
"2013-04-15";"22:37:48";86.5;12
"2013-04-15";"22:36:28";94.6;12.7
"2013-04-15";"22:36:01";92.2;12.3
"2013-04-15";"22:35:02";92.3;12.3
"2013-04-15";"22:32:43";86.5;12
"2013-04-15";"22:31:23";94.6;12.7
"2013-04-15";"22:31:18";94.6;12.7
"2013-04-15";"22:31:12";92.3;12.4
"2013-04-15";"22:28:32";86.5;12.1
"2013-04-15";"22:26:13";94.6;12.8
"2013-04-15";"22:26:07";92.3;12.4
"2013-04-15";"22:25:41";94.7;12.8
"2013-04-15";"22:23:27";86.5;12.1
"2013-04-15";"22:21:08";94.7;12.9
"2013-04-15";"22:21:03";92.3;12.4
"2013-04-15";"22:18:22";86.5;12.1
"2013-04-15";"22:17:34";94.7;13
"2013-04-15";"22:17:24";92.3;12.5
"2013-04-15";"22:17:18";94.7;13.1
"2013-04-15";"22:15:53";86.5;12.2
"2013-04-15";"22:13:44";86.5;12.3
"2013-04-15";"22:13:28";86.5;12.4
"2013-04-15";"22:12:35";92.3;12.6
"2013-04-15";"22:12:13";94.7;13.1
"2013-04-15";"22:11:25";86.6;12.4
"2013-04-15";"22:09:38";86.6;12.5
"2013-04-15";"22:07:30";92.3;12.6
"2013-04-15";"22:07:24";92.3;12.6
"2013-04-15";"22:07:19";86.6;12.6
"2013-04-15";"22:07:08";94.7;13.1
"2013-04-15";"21:11:46";86.6;12.7
"2013-04-15";"21:10:42";92.3;12.8
"2013-04-15";"21:10:31";94.7;13.4
"2013-04-15";"21:09:38";86.6;12.8
"2013-04-15";"21:08:18";92.3;12.9
"2013-04-15";"21:06:52";86.6;12.9
"2013-04-15";"21:05:27";94.7;13.4
"2013-04-15";"21:05:00";94.7;13.5
"2013-04-15";"21:03:45";86.6;13
"2013-04-15";"21:03:13";92.3;12.9
"2013-04-15";"21:02:03";86.6;13.1
"2013-04-15";"21:00:54";92.3;13
"2013-04-15";"21:00:38";92.3;12.9
"2013-04-15";"21:00:21";92.3;13
"2013-04-15";"20:54:33";86.7;13.2
"2013-04-15";"20:54:28";86.7;13.2
"2013-04-15";"20:53:08";94.8;13.6
"2013-04-15";"20:52:41";94.8;13.7
"2013-04-15";"20:51:48";92.3;13
"2013-04-15";"20:50:01";92.3;13.1
"2013-04-15";"20:49:23";86.7;13.3
"2013-04-15";"20:47:36";94.8;13.7
"2013-04-15";"20:46:37";86.7;13.4
"2013-04-15";"20:46:32";86.7;13.5
"2013-04-15";"20:46:21";94.8;13.8
"2013-04-15";"19:34:47";86.7;13.7
"2013-04-15";"19:33:22";92.4;13.6
"2013-04-15";"19:33:11";94.8;14.3
"2013-04-15";"19:30:09";86.7;13.6
"2013-04-15";"19:02:58";86.7;13.6
"2013-04-15";"19:02:53";92.4;13.6
"2013-04-15";"19:02:37";94.8;14.3
"2013-04-15";"19:00:44";92.4;13.5
"2013-04-15";"18:43:11";86.7;14
"2013-04-15";"18:42:38";92.4;13.8
"2013-04-15";"18:41:56";94.9;14.5
"2013-04-15";"18:41:02";94.9;14.6
"2013-04-15";"18:40:25";86.7;14.1
"2013-04-15";"18:34:15";86.7;14.2
"2013-04-15";"18:32:18";92.4;13.9
"2013-04-15";"18:31:24";86.7;14.1
"2013-04-15";"18:30:52";94.9;14.6
"2013-04-15";"18:30:31";94.9;14.7
"2013-04-15";"18:28:28";86.7;14.2
"2013-04-15";"18:27:13";92.4;13.9
