"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max"
"2013-09-01 00:00:00";"2013-09-01 03:00:00";91.89245;0.09683;91.7;92
"2013-09-01 03:00:00";"2013-09-01 06:00:00";91.64355;0.1466;91.4;91.8
"2013-09-01 06:00:00";"2013-09-01 09:00:00";68.0393;11.27417;51.6;92.1
"2013-09-01 09:00:00";"2013-09-01 12:00:00";58.89664;9.41194;41.6;73.5
"2013-09-01 12:00:00";"2013-09-01 15:00:00";53.25927;5.30081;37.1;63.3
"2013-09-01 15:00:00";"2013-09-01 18:00:00";72.99465;10.21236;52;92.2
"2013-09-01 18:00:00";"2013-09-01 21:00:00";91.88182;0.10431;91.8;92.1
"2013-09-01 21:00:00";"2013-09-02 00:00:00";91.58519;0.08904;91.5;91.8
"2013-09-02 00:00:00";"2013-09-02 03:00:00";91.5;0;91.5;91.5
"2013-09-02 03:00:00";"2013-09-02 06:00:00";;;;
"2013-09-02 06:00:00";"2013-09-02 09:00:00";;;;
"2013-09-02 09:00:00";"2013-09-02 12:00:00";;;;
"2013-09-02 12:00:00";"2013-09-02 15:00:00";;;;
"2013-09-02 15:00:00";"2013-09-02 18:00:00";;;;
"2013-09-02 18:00:00";"2013-09-02 21:00:00";;;;
"2013-09-02 21:00:00";"2013-09-03 00:00:00";;;;
"2013-09-03 00:00:00";"2013-09-03 03:00:00";;;;
"2013-09-03 03:00:00";"2013-09-03 06:00:00";;;;
"2013-09-03 06:00:00";"2013-09-03 09:00:00";;;;
"2013-09-03 09:00:00";"2013-09-03 12:00:00";;;;
"2013-09-03 12:00:00";"2013-09-03 15:00:00";;;;
"2013-09-03 15:00:00";"2013-09-03 18:00:00";;;;
"2013-09-03 18:00:00";"2013-09-03 21:00:00";;;;
"2013-09-03 21:00:00";"2013-09-04 00:00:00";;;;
"2013-09-04 00:00:00";"2013-09-04 03:00:00";;;;
"2013-09-04 03:00:00";"2013-09-04 06:00:00";;;;
"2013-09-04 06:00:00";"2013-09-04 09:00:00";;;;
"2013-09-04 09:00:00";"2013-09-04 12:00:00";;;;
"2013-09-04 12:00:00";"2013-09-04 15:00:00";;;;
"2013-09-04 15:00:00";"2013-09-04 18:00:00";;;;
"2013-09-04 18:00:00";"2013-09-04 21:00:00";;;;
"2013-09-04 21:00:00";"2013-09-05 00:00:00";;;;
"2013-09-05 00:00:00";"2013-09-05 03:00:00";;;;
"2013-09-05 03:00:00";"2013-09-05 06:00:00";;;;
"2013-09-05 06:00:00";"2013-09-05 09:00:00";;;;
"2013-09-05 09:00:00";"2013-09-05 12:00:00";;;;
"2013-09-05 12:00:00";"2013-09-05 15:00:00";;;;
"2013-09-05 15:00:00";"2013-09-05 18:00:00";;;;
"2013-09-05 18:00:00";"2013-09-05 21:00:00";;;;
"2013-09-05 21:00:00";"2013-09-06 00:00:00";;;;
"2013-09-06 00:00:00";"2013-09-06 03:00:00";;;;
"2013-09-06 03:00:00";"2013-09-06 06:00:00";;;;
"2013-09-06 06:00:00";"2013-09-06 09:00:00";;;;
"2013-09-06 09:00:00";"2013-09-06 12:00:00";;;;
"2013-09-06 12:00:00";"2013-09-06 15:00:00";;;;
"2013-09-06 15:00:00";"2013-09-06 18:00:00";;;;
