"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-02-28";"23:59:32";86.4;11.3
"2013-02-28";"23:55:48";86.4;11.2
"2013-02-28";"23:51:31";86.4;11.3
"2013-02-28";"23:46:27";86.4;11.3
"2013-02-28";"23:42:05";86.4;11.2
"2013-02-28";"23:37:00";86.4;11.2
"2013-02-28";"23:34:47";86.4;11.3
"2013-02-28";"23:29:42";86.4;11.3
"2013-02-28";"23:24:38";86.4;11.3
"2013-02-28";"23:19:33";86.4;11.3
"2013-02-28";"23:14:28";86.4;11.3
"2013-02-28";"23:11:21";86.4;11.4
"2013-02-28";"23:08:30";86.4;11.5
"2013-02-28";"23:04:35";86.4;11.6
"2013-02-28";"23:01:28";86.4;11.7
"2013-02-28";"22:59:41";86.4;11.7
"2013-02-28";"22:54:36";86.4;11.7
"2013-02-28";"22:54:26";86.4;11.6
"2013-02-28";"22:49:21";86.4;11.6
"2013-02-28";"22:44:16";86.4;11.6
"2013-02-28";"22:42:03";86.4;11.5
"2013-02-28";"22:37:25";86.4;11.6
"2013-02-28";"22:35:11";86.5;11.6
"2013-02-28";"22:31:26";86.5;11.7
"2013-02-28";"22:28:14";86.5;11.8
"2013-02-28";"22:27:41";86.5;11.9
"2013-02-28";"22:22:37";86.5;11.9
"2013-02-28";"22:18:20";86.5;12
"2013-02-28";"22:18:09";86.5;12.1
"2013-02-28";"22:13:04";86.5;12.1
"2013-02-28";"22:08:00";86.5;12.1
"2013-02-28";"22:05:57";86.5;12.2
"2013-02-28";"22:05:25";86.6;12.2
"2013-02-28";"22:00:20";86.6;12.2
"2013-02-28";"22:00:14";86.6;12.2
"2013-02-28";"21:55:10";86.6;12.3
"2013-02-28";"21:50:05";86.6;12.3
"2013-02-28";"21:46:52";86.6;12.4
"2013-02-28";"21:41:48";86.6;12.4
"2013-02-28";"21:40:28";86.6;12.5
"2013-02-28";"21:35:23";86.6;12.5
"2013-02-28";"21:30:19";86.6;12.5
"2013-02-28";"21:29:36";86.6;12.6
"2013-02-28";"21:24:30";86.6;12.6
"2013-02-28";"21:21:13";86.6;12.7
"2013-02-28";"21:17:07";86.6;12.8
"2013-02-28";"21:12:02";86.6;12.8
"2013-02-28";"21:10:57";86.6;12.9
"2013-02-28";"21:05:52";86.6;12.9
"2013-02-28";"21:00:48";86.6;12.9
"2013-02-28";"20:56:21";86.6;12.8
"2013-02-28";"20:51:16";86.6;12.8
"2013-02-28";"20:49:24";86.6;12.7
"2013-02-28";"20:44:46";86.6;12.8
"2013-02-28";"20:42:11";86.6;12.7
"2013-02-28";"20:38:11";86.6;12.8
"2013-02-28";"20:36:18";86.6;12.7
"2013-02-28";"20:33:38";86.6;12.8
"2013-02-28";"20:29:53";86.6;12.9
"2013-02-28";"20:24:48";86.6;12.9
"2013-02-28";"20:20:05";86.6;13
"2013-02-28";"20:17:41";86.6;13.1
"2013-02-28";"20:15:27";86.7;13.1
"2013-02-28";"20:12:52";86.7;13.2
"2013-02-28";"20:10:27";86.7;13.3
"2013-02-28";"20:09:12";86.7;13.4
"2013-02-28";"20:07:36";86.7;13.5
"2013-02-28";"20:05:33";86.7;13.6
"2013-02-28";"20:04:01";86.7;13.7
"2013-02-28";"20:03:03";86.7;13.8
"2013-02-28";"20:02:46";86.8;13.8
"2013-02-28";"20:00:22";86.8;13.9
"2013-02-28";"19:58:19";86.8;14
"2013-02-28";"19:53:15";86.8;14
"2013-02-28";"19:51:59";86.8;14.1
"2013-02-28";"19:46:58";86.8;14.1
"2013-02-28";"19:45:26";86.8;14.2
"2013-02-28";"19:40:23";86.8;14.2
"2013-02-28";"19:37:09";86.8;14.3
"2013-02-28";"19:35:59";86.8;14.4
"2013-02-28";"19:35:42";86.8;14.4
"2013-02-28";"19:35:31";86.8;14.5
"2013-02-28";"19:33:33";86.8;14.4
