"inicio";"fin";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-26 07:27:00";"2013-04-26 07:37:00";;;;;;;;
"2013-04-26 07:37:00";"2013-04-26 07:47:00";;;;;;;;
"2013-04-26 07:47:00";"2013-04-26 07:57:00";;;;;;;;
"2013-04-26 07:57:00";"2013-04-26 08:07:00";;;;;;;;
"2013-04-26 08:07:00";"2013-04-26 08:17:00";;;;;;;;
"2013-04-26 08:17:00";"2013-04-26 08:27:00";;;;;;;;
"2013-04-26 08:27:00";"2013-04-26 08:37:00";;;;;;;;
"2013-04-26 08:37:00";"2013-04-26 08:47:00";;;;;;;;
"2013-04-26 08:47:00";"2013-04-26 08:57:00";;;;;;;;
"2013-04-26 08:57:00";"2013-04-26 09:07:00";;;;;;;;
"2013-04-26 09:07:00";"2013-04-26 09:17:00";;;;;;;;
"2013-04-26 09:17:00";"2013-04-26 09:27:00";;;;;;;;
"2013-04-26 09:27:00";"2013-04-26 09:37:00";;;;;;;;
"2013-04-26 09:37:00";"2013-04-26 09:47:00";;;;;;;;
"2013-04-26 09:47:00";"2013-04-26 09:57:00";53.75208;2.93293;49;60.9;21.83125;1.83339;20.4;25.3
"2013-04-26 09:57:00";"2013-04-26 10:07:00";42.99565;4.3552;38.5;54.1;25.71087;1.43242;23.7;28.7
"2013-04-26 10:07:00";"2013-04-26 10:17:00";47.3314;2.59733;43.1;53.9;24.18721;1.72794;22.4;27.4
"2013-04-26 10:17:00";"2013-04-26 10:27:00";52.21294;2.79221;48.2;59.8;22.14824;1.5191;20.9;26.6
"2013-04-26 10:27:00";"2013-04-26 10:37:00";49.72326;4.12169;43.9;60.4;23.44419;1.47763;21.1;26.2
"2013-04-26 10:37:00";"2013-04-26 10:47:00";53.88431;1.59181;51.9;61.3;21.77451;1.48678;20.6;25.1
"2013-04-26 10:47:00";"2013-04-26 10:57:00";57.75132;2.99686;52;65.2;20.65395;1.45244;19.3;24.2
"2013-04-26 10:57:00";"2013-04-26 11:07:00";52.85;3.01054;49.4;64.1;22.39792;1.27304;21;25.6
"2013-04-26 11:07:00";"2013-04-26 11:17:00";53.54889;1.35214;50.4;56.9;22.21;1.84999;20.8;25.6
"2013-04-26 11:17:00";"2013-04-26 11:27:00";51.58889;2.6621;47.7;59.7;23.19333;1.74718;21.4;27.4
"2013-04-26 11:27:00";"2013-04-26 11:37:00";50.15;2.0143;45.2;56.2;24.15667;2.06247;22.4;28.3
"2013-04-26 11:37:00";"2013-04-26 11:47:00";53.10941;2.74027;48;59.6;22.59059;1.90896;21.1;27.5
"2013-04-26 11:47:00";"2013-04-26 11:57:00";51.73256;2.21441;46.3;56.3;23.4093;1.66025;21.7;27.1
"2013-04-26 11:57:00";"2013-04-26 12:07:00";50.31264;2.47868;44.5;57;23.13793;1.57402;21.9;27.3
"2013-04-26 12:07:00";"2013-04-26 12:17:00";46.54096;2.81022;43.2;57.2;24.79518;1.58524;23.6;29.1
"2013-04-26 12:17:00";"2013-04-26 12:27:00";46.14767;2.2786;41.8;52.4;25.59419;2.50197;23.2;29.8
"2013-04-26 12:27:00";"2013-04-26 12:37:00";47.15172;1.89706;42.3;53.2;24.94713;2.01949;23.7;29.6
"2013-04-26 12:37:00";"2013-04-26 12:47:00";48.12955;2.65262;41.6;55.4;25.12955;2.38209;23.4;30.1
"2013-04-26 12:47:00";"2013-04-26 12:57:00";51.41512;2.67454;43.4;58.8;24.70465;1.89761;23.3;29.8
"2013-04-26 12:57:00";"2013-04-26 13:07:00";52.55556;2.38607;44.3;56.4;24.21481;1.82865;22.8;29.4
"2013-04-26 13:07:00";"2013-04-26 13:17:00";54.4;1.15758;53.6;56.4;23.375;1.92012;22.2;26.7
"2013-04-26 13:17:00";"2013-04-26 13:27:00";54.31556;3.21064;47.7;61.6;24.11667;1.84242;22.1;28.4
"2013-04-26 13:27:00";"2013-04-26 13:37:00";51.5764;2.40169;46;58.3;24.96966;1.73894;23.7;28.6
"2013-04-26 13:37:00";"2013-04-26 13:47:00";56.29111;2.54544;47.4;62.9;23.49444;1.61117;22.3;28.5
"2013-04-26 13:47:00";"2013-04-26 13:57:00";56.48632;2.55823;52.3;66.1;23.64421;1.3538;22.1;26.8
"2013-04-26 13:57:00";"2013-04-26 14:07:00";58.35402;2.59911;53.6;66.4;23.18851;1.33704;21.7;26.5
"2013-04-26 14:07:00";"2013-04-26 14:17:00";57.68723;1.78714;52.2;61;23.31702;1.40187;21.9;26.4
"2013-04-26 14:17:00";"2013-04-26 14:27:00";58.00238;1.78958;53.1;62.6;23.1119;1.69118;21.9;26.5
"2013-04-26 14:27:00";"2013-04-26 14:37:00";57.76235;1.94156;53.1;61.2;23.15176;1.47262;21.9;26.4
"2013-04-26 14:37:00";"2013-04-26 14:47:00";59.90222;1.86267;54.1;63;22.77556;1.43607;21.6;26
"2013-04-26 14:47:00";"2013-04-26 14:57:00";59.59091;1.91428;53.1;63.9;22.89773;1.52241;21.7;26.5
"2013-04-26 14:57:00";"2013-04-26 15:07:00";55.8236;2.03083;51.5;61.6;23.60899;1.33901;22.1;26.6
"2013-04-26 15:07:00";"2013-04-26 15:17:00";59.3266;2.09346;53.2;62.9;22.48511;1.44037;21.3;26.2
"2013-04-26 15:17:00";"2013-04-26 15:27:00";58.46552;2.12553;54.6;65.3;22.65402;1.17657;21.4;25.3
"2013-04-26 15:27:00";"2013-04-26 15:37:00";59.10833;2.25432;55.2;65.9;22.20238;1.20218;21.1;25
"2013-04-26 15:37:00";"2013-04-26 15:47:00";54.16087;3.99219;50.3;62.6;23.06739;0.54096;22.2;24.3
"2013-04-26 15:47:00";"2013-04-26 15:57:00";52.46607;4.72071;46.7;64.1;23.42679;0.52013;22.8;24.9
"2013-04-26 15:57:00";"2013-04-26 16:07:00";50.99778;4.60019;42.1;65.4;23.43222;0.60034;22.5;24.6
"2013-04-26 16:07:00";"2013-04-26 16:17:00";47.8913;7.77185;41.4;66.2;24.5587;0.32442;23.6;25.2
"2013-04-26 16:17:00";"2013-04-26 16:27:00";47.90449;6.55439;41.6;63.4;24.15506;0.48575;23.4;25.3
"2013-04-26 16:27:00";"2013-04-26 16:37:00";49.48526;5.63377;43.9;63.4;22.98105;0.95854;21.8;25.2
"2013-04-26 16:37:00";"2013-04-26 16:47:00";58.26907;5.13828;48.6;67.9;20.05361;1.39284;18.4;24.6
"2013-04-26 16:47:00";"2013-04-26 16:57:00";67.66792;3.55248;62.2;74.9;18.63302;0.95766;17.9;21.3
"2013-04-26 16:57:00";"2013-04-26 17:07:00";67.06765;4.26061;61.2;75.7;18.98824;0.79487;17.9;20.6
"2013-04-26 17:07:00";"2013-04-26 17:17:00";69.06696;5.14265;61.4;79.2;18.98214;1.00055;17.3;20.7
"2013-04-26 17:17:00";"2013-04-26 17:27:00";75.23529;2.46754;72.1;80.6;17.47647;0.75501;16.9;19.2
"2013-04-26 17:27:00";"2013-04-26 17:37:00";82.35079;3.60242;77.5;89.3;16.73016;0.47363;16.2;17.7
"2013-04-26 17:37:00";"2013-04-26 17:47:00";88.25424;3.22013;84.5;94.7;15.97288;0.34682;15.5;16.7
"2013-04-26 17:47:00";"2013-04-26 17:57:00";;;;;;;;
"2013-04-26 17:57:00";"2013-04-26 18:07:00";;;;;;;;
"2013-04-26 18:07:00";"2013-04-26 18:17:00";;;;;;;;
"2013-04-26 18:17:00";"2013-04-26 18:27:00";;;;;;;;
"2013-04-26 18:27:00";"2013-04-26 18:37:00";86.8;0;86.8;86.8;14.65;0.05;14.6;14.7
"2013-04-26 18:37:00";"2013-04-26 18:47:00";89.125;3.37765;86.7;95;14.70833;0.34024;14.4;15.4
"2013-04-26 18:47:00";"2013-04-26 18:57:00";91.43333;3.48744;86.7;95;14.81667;0.38909;14.3;15.3
"2013-04-26 18:57:00";"2013-04-26 19:07:00";90.75714;3.6288;86.7;95;14.61429;0.38333;14.2;15.2
