"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-07-21 00:00:00";"2013-07-21 01:42:59";;;;;;;;;;;;
"2013-07-21 01:42:59";"2013-07-21 03:25:59";;;;;;;;;;;;
"2013-07-21 03:25:59";"2013-07-21 05:08:59";;;;;;;;;;;;
"2013-07-21 05:08:59";"2013-07-21 06:51:59";;;;;;;;;;;;
"2013-07-21 06:51:59";"2013-07-21 08:34:59";;;;;;;;;;;;
"2013-07-21 08:34:59";"2013-07-21 10:17:59";;;;;;;;;;;;
"2013-07-21 10:17:59";"2013-07-21 12:00:59";;;;;;;;;;;;
"2013-07-21 12:00:59";"2013-07-21 13:43:59";;;;;;;;;;;;
"2013-07-21 13:43:59";"2013-07-21 15:26:59";;;;;;;;;;;;
"2013-07-21 15:26:59";"2013-07-21 17:09:59";;;;;;;;;;;;
"2013-07-21 17:09:59";"2013-07-21 18:52:59";;;;;;;;;;;;
"2013-07-21 18:52:59";"2013-07-21 20:35:59";;;;;;;;;;;;
"2013-07-21 20:35:59";"2013-07-21 22:18:59";;;;;;;;;;;;
"2013-07-21 22:18:59";"2013-07-22 00:01:59";;;;;;;;;;;;
"2013-07-22 00:01:59";"2013-07-22 01:44:59";;;;;;;;;;;;
"2013-07-22 01:44:59";"2013-07-22 03:27:59";;;;;;;;;;;;
"2013-07-22 03:27:59";"2013-07-22 05:10:59";;;;;;;;;;;;
"2013-07-22 05:10:59";"2013-07-22 06:53:59";;;;;;;;;;;;
"2013-07-22 06:53:59";"2013-07-22 08:36:59";;;;;;;;;;;;
"2013-07-22 08:36:59";"2013-07-22 10:19:59";;;;;;;;;;;;
"2013-07-22 10:19:59";"2013-07-22 12:02:59";;;;;;;;;;;;
"2013-07-22 12:02:59";"2013-07-22 13:45:59";65.96411;2.88058;58;73;19.82823;0.94148;17.6;22.1;15.23541;0.47005;14.1;16.2
"2013-07-22 13:45:59";"2013-07-22 15:28:59";70.94474;3.49956;65;81;17.99105;0.89102;15.7;19.7;14.28816;0.4015;13.3;15.3
"2013-07-22 15:28:59";"2013-07-22 17:11:59";80.06358;1.64176;76;83;15.31503;0.38768;14.7;16.4;13.01965;0.22468;12.7;13.7
"2013-07-22 17:11:59";"2013-07-22 18:54:58";86.664;2.65011;82;92;13.8672;0.63583;12.6;14.9;12.4272;0.32824;11.7;13
"2013-07-22 18:54:58";"2013-07-22 20:37:58";93.85714;1.29726;91;96;11.41868;0.76774;10.1;12.8;10.80989;0.66051;9.6;11.9
"2013-07-22 20:37:58";"2013-07-22 22:20:58";94.42857;0.84515;93;96;9.4602;0.31453;9;10.3;8.99184;0.27318;8.6;9.7
"2013-07-22 22:20:58";"2013-07-23 00:03:58";94.78846;0.7162;93;96;9.03654;0.17977;8.8;9.6;8.61538;0.14921;8.4;9.1
"2013-07-23 00:03:58";"2013-07-23 01:46:58";94.48077;0.53674;93;95;9.93077;0.21886;9.5;10.2;9.43846;0.18518;9;9.7
"2013-07-23 01:46:58";"2013-07-23 03:29:58";94.98571;0.74628;93;96;9.63286;0.1273;9.3;9.9;9.22714;0.13724;8.9;9.5
"2013-07-23 03:29:58";"2013-07-23 05:12:58";95.95699;0.73197;94;97;8.66452;0.3591;8;9.4;8.36022;0.35413;7.8;9.1
"2013-07-23 05:12:58";"2013-07-23 06:55:58";95.40909;0.98438;94;99;9.26545;0.58066;8.6;10.7;8.88909;0.49181;8.3;10.2
"2013-07-23 06:55:58";"2013-07-23 08:38:58";85.41667;5.00763;75;95;13.785;1.60362;10.8;16.4;12.175;1.00199;10.2;13.9
"2013-07-23 08:38:58";"2013-07-23 10:21:58";64.57778;6.55363;51;77;19.14593;2.1488;15.4;23.7;14.36049;0.93117;12.6;16.6
"2013-07-23 10:21:58";"2013-07-23 12:04:58";48.1161;2.90358;42;54;24.84272;1.13479;22.1;27.9;16.50929;0.60637;15.1;17.9
"2013-07-23 12:04:58";"2013-07-23 13:47:58";50.89091;4.6762;40;58;22.99354;2.75175;19.6;28.6;15.44101;1.44335;13.5;18.5
"2013-07-23 13:47:58";"2013-07-23 15:30:58";59.56077;2.67439;55;69;18.68508;1.18499;16.5;20.7;13.2663;0.71955;11.9;14.7
"2013-07-23 15:30:58";"2013-07-23 17:13:58";66.33898;2.3309;62;72;15.59944;0.7249;14.3;16.9;11.51186;0.40018;10.7;12.1
"2013-07-23 17:13:58";"2013-07-23 18:56:58";79.42857;4.87326;71;86;12.73008;0.78883;11.6;14.4;10.50075;0.26571;10;11.2
"2013-07-23 18:56:58";"2013-07-23 20:39:58";88.98824;1.21262;86;91;10.98235;0.21918;10.6;11.5;9.88118;0.23887;9.4;10.2
"2013-07-23 20:39:58";"2013-07-23 22:22:58";90.24837;1.48316;86;93;9.13203;0.80494;8;10.7;8.23725;0.64917;7.3;9.5
"2013-07-23 22:22:58";"2013-07-24 00:05:58";89.66867;1.27718;87;92;8.41205;0.25097;7.8;9;7.47711;0.27891;7;8
"2013-07-24 00:05:58";"2013-07-24 01:48:58";89.02381;0.86799;87;91;8.11111;0.22369;7.6;8.5;7.11111;0.17738;6.7;7.4
"2013-07-24 01:48:58";"2013-07-24 03:31:58";89.47009;0.88262;87;91;7.57009;0.09631;7.4;7.8;6.6188;0.11542;6.4;7
"2013-07-24 03:31:58";"2013-07-24 05:14:58";90.31507;0.66983;89;92;7.06507;0.19395;6.7;7.6;6.19795;0.17496;5.9;6.7
"2013-07-24 05:14:58";"2013-07-24 06:57:58";87.41509;2.45795;82;91;8.22264;1.16985;6.7;10.8;7.0522;0.92327;5.9;9.1
"2013-07-24 06:57:58";"2013-07-24 08:40:58";67.74202;8.40782;54;85;16.33537;3.2992;10.6;21.5;12.24149;1.84686;9;15.1
"2013-07-24 08:40:58";"2013-07-24 10:23:58";59.25;2.57978;53;66;19.24698;1.42575;17;22.5;13.70524;0.89673;12.1;15.6
"2013-07-24 10:23:58";"2013-07-24 12:06:57";57.67954;3.16923;50;66;20.24286;1.1962;18;23.3;14.31622;0.70058;13;15.9
