"dia";"hora";"marly/003/humidity";"marly/003/temperature"
"2013-05-29";"11:39:59";;
"2013-05-29";"11:39:05";;
"2013-05-29";"11:38:59";;
"2013-05-29";"08:47:30";;
"2013-05-29";"08:47:25";;
"2013-05-29";"08:46:30";71.7;14.3
"2013-05-29";"08:46:25";;
"2013-05-29";"08:46:19";63.6;19.1
"2013-05-29";"06:42:04";;
"2013-05-29";"06:41:59";;
"2013-05-29";"06:41:04";;
"2013-05-29";"06:40:59";;
"2013-05-29";"06:23:32";;
"2013-05-29";"06:23:26";;
"2013-05-29";"06:22:32";86.2;5.9
"2013-05-29";"06:22:27";;
"2013-05-29";"06:22:10";85.6;8.8
"2013-05-29";"05:58:41";;
"2013-05-29";"05:58:35";;
"2013-05-29";"05:57:41";86.1;4.9
"2013-05-29";"05:57:36";;
"2013-05-29";"05:57:14";85.6;8
"2013-05-29";"05:39:04";;
"2013-05-29";"05:38:58";;
"2013-05-29";"05:38:04";;
"2013-05-29";"05:37:59";;
"2013-05-29";"05:31:18";;
"2013-05-29";"05:31:12";;
"2013-05-29";"05:30:18";86.1;5
"2013-05-29";"05:30:12";85.6;8.1
"2013-05-29";"04:58:38";;
"2013-05-29";"04:58:33";;
"2013-05-29";"04:57:39";;
"2013-05-29";"04:57:33";;
"2013-05-29";"04:17:13";;
"2013-05-29";"04:17:07";;
"2013-05-29";"04:16:13";;
"2013-05-29";"04:16:08";;
"2013-05-29";"04:04:01";;
"2013-05-29";"04:03:56";;
"2013-05-29";"04:02:34";;
"2013-05-29";"04:02:29";;
"2013-05-29";"03:31:54";;
"2013-05-29";"03:31:49";;
"2013-05-29";"03:30:55";;
"2013-05-29";"03:30:54";86.2;5.7
"2013-05-29";"03:30:05";85.7;8.9
"2013-05-29";"03:09:16";;
"2013-05-29";"03:08:22";;
"2013-05-29";"03:08:17";;
