"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-11-01 00:00:00";"2013-11-01 01:32:59";;;;;;;;;;;;
"2013-11-01 01:32:59";"2013-11-01 03:05:59";;;;;;;;;;;;
"2013-11-01 03:05:59";"2013-11-01 04:38:59";;;;;;;;;;;;
"2013-11-01 04:38:59";"2013-11-01 06:11:59";;;;;;;;;;;;
"2013-11-01 06:11:59";"2013-11-01 07:44:59";;;;;;;;;;;;
"2013-11-01 07:44:59";"2013-11-01 09:17:59";;;;;;;;;;;;
"2013-11-01 09:17:59";"2013-11-01 10:50:59";;;;;;;;;;;;
"2013-11-01 10:50:59";"2013-11-01 12:23:59";;;;;;;;;;;;
"2013-11-01 12:23:59";"2013-11-01 13:56:58";;;;;;;;;;;;
"2013-11-01 13:56:58";"2013-11-01 15:29:58";102.59091;0.80674;101;104;16.96136;0.22383;16.4;17.3;17.32045;0.24081;16.8;17.7
"2013-11-01 15:29:58";"2013-11-01 17:02:58";99.27948;2.68272;94;105;16.60524;0.97393;14.9;18.1;16.56812;0.79545;14.9;18
"2013-11-01 17:02:58";"2013-11-01 18:35:58";102.21893;1.15359;99;104;13.74675;0.57554;12.9;15;14.06805;0.58313;12.9;15.3
"2013-11-01 18:35:58";"2013-11-01 20:08:58";100.79213;1.4365;98;104;12.47584;0.24341;11.9;13;12.62416;0.3047;11.9;13.2
"2013-11-01 20:08:58";"2013-11-01 21:41:58";101.18421;1.03928;99;104;11.67281;0.25727;11;12;11.85263;0.21692;11.3;12.3
"2013-11-01 21:41:58";"2013-11-01 23:14:58";102.15686;0.84882;101;104;10.91863;0.21906;10.5;11.4;11.18529;0.20166;10.7;11.7
"2013-11-01 23:14:58";"2013-11-02 00:47:58";101.53061;0.84761;100;104;10.47653;0.60488;9.6;11.5;10.65816;0.62823;9.8;11.7
"2013-11-02 00:47:58";"2013-11-02 02:20:57";101;0.77267;100;102;10.53433;0.30398;9.9;10.9;10.66119;0.31336;10;11
"2013-11-02 02:20:57";"2013-11-02 03:53:57";100.59036;0.69484;100;102;10.64337;0.2561;10.1;11.1;10.73494;0.25809;10.2;11.2
"2013-11-02 03:53:57";"2013-11-02 05:26:57";100.41892;0.67797;98;102;9.97027;0.19082;9.6;10.3;10.03378;0.19192;9.7;10.4
"2013-11-02 05:26:57";"2013-11-02 06:59:57";97.82171;2.98692;89;102;10.68682;0.54834;10;12.3;10.48217;0.28077;10.1;11.3
"2013-11-02 06:59:57";"2013-11-02 08:32:57";76.59069;5.05476;66;89;17.38407;2.02151;12.4;20.9;14.47328;1.24329;11.3;16.6
"2013-11-02 08:32:57";"2013-11-02 10:05:57";73.44612;4.00064;65;80;20.96711;2.05929;17.9;26.3;17.37372;1.59125;15.2;21.1
"2013-11-02 10:05:57";"2013-11-02 11:38:57";83.72329;8.08344;66;99;23.7275;2.45765;19.9;28.8;21.44063;1.61754;18.3;25.6
"2013-11-02 11:38:57";"2013-11-02 13:11:57";92.11905;3.09323;85;99;23.5487;1.2974;20.7;26.1;22.52576;0.95639;20.3;24.2
"2013-11-02 13:11:57";"2013-11-02 14:44:56";97.15633;4.87442;87;106;20.86011;2.78147;17.1;26.1;20.51294;2.19924;17.3;24.3
"2013-11-02 14:44:56";"2013-11-02 16:17:56";100.7697;1.79772;97;104;16.52121;0.3574;15.7;17.4;16.66909;0.32708;16;17.7
"2013-11-02 16:17:56";"2013-11-02 17:50:56";102.27966;1.42547;100;105;14.78475;0.6918;13.2;15.8;15.11441;0.65823;13.7;16
"2013-11-02 17:50:56";"2013-11-02 19:23:56";101.30357;1.02504;99;104;12.52768;0.29314;11.9;13.2;12.74821;0.32237;12.2;13.6
"2013-11-02 19:23:56";"2013-11-02 20:56:56";101.97273;0.79154;100;104;11.09091;0.39601;10.4;12;11.34818;0.41269;10.7;12.4
"2013-11-02 20:56:56";"2013-11-02 22:29:56";99.86885;0.91393;97;102;11.04508;0.15687;10.8;11.4;11.06967;0.18986;10.7;11.5
"2013-11-02 22:29:56";"2013-11-03 00:02:56";99.85057;0.76607;98;102;11.01379;0.19368;10.7;11.4;11.03333;0.19098;10.7;11.4
"2013-11-03 00:02:56";"2013-11-03 01:35:56";99.73846;0.70769;98;101;11.02923;0.15365;10.8;11.3;11.03692;0.12839;10.7;11.3
