"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-04-16 06:46:00";"2013-04-16 06:56:00";93.8125;0.72618;93;95;11.78125;0.10136;11.6;11.9;11.25625;0.07881;11.1;11.4
"2013-04-16 06:56:00";"2013-04-16 07:06:00";89.05263;2.5438;86;94;13.25;0.73117;12;14.4;12.12368;0.45621;11.3;12.9
"2013-04-16 07:06:00";"2013-04-16 07:16:00";83.08108;1.30236;81;86;15.46216;0.51273;14.5;16.2;13.59189;0.39;13;14.3
"2013-04-16 07:16:00";"2013-04-16 07:26:00";79.87879;1.24943;78;83;16.67879;0.3772;16.1;17.3;14.37576;0.26859;13.9;14.8
"2013-04-16 07:26:00";"2013-04-16 07:36:00";81.64706;1.95361;79;85;16.24118;0.72075;15;17.4;14.16471;0.44845;13.4;14.9
"2013-04-16 07:36:00";"2013-04-16 07:46:00";83.64;3.32722;78;88;15.22;0.80548;14.2;16.9;13.412;0.40182;12.8;14.3
"2013-04-16 07:46:00";"2013-04-16 07:56:00";74.23256;2.2082;70;78;18.47209;0.77709;17;19.8;15.31163;0.45043;14.4;16
"2013-04-16 07:56:00";"2013-04-16 08:06:00";68.95745;0.89816;67;71;20.94681;0.46988;19.9;21.7;16.84043;0.33622;16.1;17.4
"2013-04-16 08:06:00";"2013-04-16 08:16:00";66.65789;1.24131;65;69;21.48947;0.39523;20.9;22.1;16.98421;0.20714;16.6;17.3
"2013-04-16 08:16:00";"2013-04-16 08:26:00";65.57143;0.60609;65;67;22.19184;0.26329;21.7;22.6;17.45918;0.26643;16.9;17.9
"2013-04-16 08:26:00";"2013-04-16 08:36:00";66.47273;1.00643;65;68;22.60909;0.49773;22;23.8;17.96727;0.42685;17.4;18.8
"2013-04-16 08:36:00";"2013-04-16 08:46:00";62.82692;1.43743;61;66;24.27115;0.27689;23.8;24.9;18.85192;0.277;18.3;19.2
"2013-04-16 08:46:00";"2013-04-16 08:56:00";66.2381;2.36183;61;70;22.86984;0.44495;22.1;23.8;18.16667;0.2895;17.6;18.8
"2013-04-16 08:56:00";"2013-04-16 09:06:00";63.72131;1.96803;60;68;24.50328;0.6019;23.1;25.3;19.21967;0.43563;18.5;20.1
"2013-04-16 09:06:00";"2013-04-16 09:16:00";64.01429;3.04017;60;70;25.55286;0.7305;23.7;26.4;20.18286;0.38358;19.5;21
"2013-04-16 09:16:00";"2013-04-16 09:26:00";66.69492;2.37397;63;71;24.14068;0.65306;23.1;25.1;19.37119;0.29346;18.7;19.8
"2013-04-16 09:26:00";"2013-04-16 09:36:00";69.42373;1.4521;66;72;24.12542;0.48454;23.3;24.8;19.79322;0.30189;19.3;20.4
"2013-04-16 09:36:00";"2013-04-16 09:46:00";70.39623;0.70949;69;72;24.49811;0.46031;23.3;25.1;20.29623;0.42823;19.4;21
"2013-04-16 09:46:00";"2013-04-16 09:56:00";70.08929;0.85098;68;72;25.71964;0.71024;24.7;27.1;21.34643;0.56092;20.4;22.4
"2013-04-16 09:56:00";"2013-04-16 10:06:00";69.2069;1.45932;67;73;27.38966;0.28143;26.7;27.9;22.73103;0.43558;21.8;23.4
"2013-04-16 10:06:00";"2013-04-16 10:16:00";71.27419;2.83509;67;76;25.98226;1.09685;24.5;27.9;21.77419;0.62215;21;23.1
"2013-04-16 10:16:00";"2013-04-16 10:26:00";76.60938;2.67288;72;82;23.76406;0.69335;22.9;25.1;20.55313;0.53531;19.8;21.8
"2013-04-16 10:26:00";"2013-04-16 10:36:00";76.4386;2.32468;72;81;23.07544;1.04416;21.7;24.6;19.88246;0.67203;19;21
"2013-04-16 10:36:00";"2013-04-16 10:46:00";77.34694;0.91587;76;79;22.28367;0.39453;21.6;23;19.29388;0.25747;18.9;19.8
"2013-04-16 10:46:00";"2013-04-16 10:56:00";77.72973;1.51833;75;81;21.71622;0.22603;21.4;22.1;18.80811;0.18942;18.3;19.2
"2013-04-16 10:56:00";"2013-04-16 11:06:00";77.61111;1.18504;76;80;21.33333;0.34075;20.8;21.8;18.43333;0.20138;18;18.7
"2013-04-16 11:06:00";"2013-04-16 11:16:00";74.51786;2.33751;70;78;22.30179;0.70647;21.2;23.5;18.89286;0.35145;18.2;19.5
"2013-04-16 11:16:00";"2013-04-16 11:26:00";79.83333;0.96465;77;82;20.95625;0.43297;20.4;21.9;18.39792;0.37388;17.7;19
"2013-04-16 11:26:00";"2013-04-16 11:36:00";79.13793;0.68098;78;80;20.6931;0.2258;20.3;21;18.04138;0.2267;17.6;18.4
"2013-04-16 11:36:00";"2013-04-16 11:46:00";78.97368;0.93152;77;81;20.73158;0.10028;20.6;21;18.06842;0.13785;17.8;18.3
"2013-04-16 11:46:00";"2013-04-16 11:56:00";75.20833;0.7348;73;77;22.19375;0.53557;21;23.1;18.88125;0.45123;18;19.8
"2013-04-16 11:56:00";"2013-04-16 12:06:00";74.29412;1.8289;71;78;23.17647;0.56727;22.4;24.1;19.67255;0.38556;19;20.3
"2013-04-16 12:06:00";"2013-04-16 12:16:00";77.30233;0.63006;76;79;22.5093;0.12725;22.3;22.8;19.47209;0.15299;19.2;19.8
"2013-04-16 12:16:00";"2013-04-16 12:26:00";73.35185;1.79668;71;78;23.49815;0.74647;22.7;24.9;19.81111;0.5432;19;20.9
"2013-04-16 12:26:00";"2013-04-16 12:36:00";79.62903;3.8489;73;86;23.40484;1.01368;21.4;24.7;20.65;0.43948;19.6;21.3
"2013-04-16 12:36:00";"2013-04-16 12:46:00";82.54545;2.87192;77;87;21.28788;0.25317;20.9;21.8;19.06364;0.22404;18.7;19.6
"2013-04-16 12:46:00";"2013-04-16 12:56:00";75.97059;0.70649;74;77;21.98235;0.25949;21.5;22.4;18.81765;0.20069;18.4;19.2
"2013-04-16 12:56:00";"2013-04-16 13:06:00";75.79167;1.11726;73;78;22.4875;0.45718;21.7;23.3;19.26042;0.40246;18.6;20
"2013-04-16 13:06:00";"2013-04-16 13:16:00";79.42308;1.41891;76;82;21.4;0.15442;21.1;21.6;18.75769;0.19049;18.5;19.2
"2013-04-16 13:16:00";"2013-04-16 13:26:00";81.24324;1.47786;78;84;21.47838;0.17879;21.2;21.8;19.07568;0.35823;18.5;19.8
"2013-04-16 13:26:00";"2013-04-16 13:36:00";84.92105;1.40266;82;88;21.80263;0.24332;21.4;22.2;19.89474;0.21269;19.4;20.2
"2013-04-16 13:36:00";"2013-04-16 13:46:00";78.59259;1.13069;76;82;22.42778;0.27313;21.6;22.8;19.6;0.18257;19.3;20
"2013-04-16 13:46:00";"2013-04-16 13:56:00";84.11429;2.32712;79;87;21.22;0.54026;20.5;22.1;19.23143;0.22523;18.9;19.7
"2013-04-16 13:56:00";"2013-04-16 14:06:00";86.30769;0.7216;85;88;21.0359;0.14586;20.7;21.2;19.35128;0.17956;18.9;19.6
"2013-04-16 14:06:00";"2013-04-16 14:16:00";79.43137;2.92558;75;85;23.20588;1.29242;21.1;25.3;20.43725;0.80949;19.2;21.8
"2013-04-16 14:16:00";"2013-04-16 14:26:00";72.50725;1.49029;71;77;26.15217;0.83832;25;27.7;22.15942;0.72817;20.9;23.5
"2013-04-16 14:26:00";"2013-04-16 14:36:00";80.27273;1.3274;77;83;23.78182;0.42857;23.1;24.9;21.12364;0.31907;20.5;21.7
"2013-04-16 14:36:00";"2013-04-16 14:46:00";77.52857;2.41259;74;82;24.63714;0.68768;22.9;25.6;21.51143;0.59751;20.3;22.5
"2013-04-16 14:46:00";"2013-04-16 14:56:00";78.65455;2.15084;76;82;23.87636;0.8061;22.4;24.8;20.97273;0.49155;20.1;21.6
"2013-04-16 14:56:00";"2013-04-16 15:06:00";80.09259;2.86271;76;86;24.02593;0.81993;22.3;25.1;21.31852;0.39538;20.5;21.9
"2013-04-16 15:06:00";"2013-04-16 15:16:00";83.63636;1.28082;82;87;23.05455;0.32853;22.3;23.4;20.89773;0.16305;20.5;21.2
"2013-04-16 15:16:00";"2013-04-16 15:26:00";82.36842;0.74059;81;84;22.59737;0.24972;22.2;23.1;20.29474;0.19728;20;20.9
"2013-04-16 15:26:00";"2013-04-16 15:36:00";82.10345;1.56127;80;85;23.04483;0.18493;22.6;23.4;20.6931;0.20499;20.3;21
"2013-04-16 15:36:00";"2013-04-16 15:46:00";85.15152;2.70937;81;90;22.51212;0.49037;21.9;23.3;20.59091;0.16943;20.3;20.9
"2013-04-16 15:46:00";"2013-04-16 15:56:00";86.25;1.06066;84;88;22.19687;0.1237;21.9;22.4;20.44687;0.14787;20.1;20.7
"2013-04-16 15:56:00";"2013-04-16 16:06:00";87.42857;1.0942;86;89;21.75714;0.16204;21.4;22;20.19048;0.19738;19.8;20.5
"2013-04-16 16:06:00";"2013-04-16 16:16:00";90;1.35873;87;92;21.17692;0.13953;21;21.5;19.95;0.09303;19.8;20.1
"2013-04-16 16:16:00";"2013-04-16 16:26:00";91.17143;0.55988;90;92;20.42286;0.36339;19.8;21.1;19.37429;0.32719;18.8;19.9
"2013-04-16 16:26:00";"2013-04-16 16:36:00";94.41379;0.85166;93;96;19.31379;0.23885;18.9;19.8;18.67586;0.21918;18.3;19
"2013-04-16 16:36:00";"2013-04-16 16:46:00";94.38095;0.65292;93;95;19.57143;0.26752;19.2;20;18.91429;0.24159;18.5;19.3
"2013-04-16 16:46:00";"2013-04-16 16:56:00";93.84211;1.26754;92;96;19.53684;0.34975;19;20;18.84737;0.22093;18.5;19.3
"2013-04-16 16:56:00";"2013-04-16 17:06:00";95.42105;0.81536;94;97;18.57895;0.19078;18.3;18.9;18.11053;0.14471;17.9;18.5
"2013-04-16 17:06:00";"2013-04-16 17:16:00";96.15789;0.81196;95;98;18.18421;0.19538;17.8;18.4;17.8;0.2;17.5;18.1
"2013-04-16 17:16:00";"2013-04-16 17:26:00";97.4;0.73485;96;99;17.275;0.2586;17;17.8;17.015;0.2414;16.7;17.4
"2013-04-16 17:26:00";"2013-04-16 17:36:00";98.13636;0.69383;97;99;16.85455;0.23106;16.5;17.2;16.66818;0.21823;16.3;17
"2013-04-16 17:36:00";"2013-04-16 17:46:00";99.58824;0.9737;98;101;16;0.30293;15.5;16.4;16;0.19403;15.7;16.4
"2013-04-16 17:46:00";"2013-04-16 17:56:00";100.81818;0.71582;100;102;15.25455;0.13048;15.1;15.5;15.44545;0.09875;15.3;15.6
"2013-04-16 17:56:00";"2013-04-16 18:06:00";101.84615;0.76923;101;103;14.80769;0.23026;14.4;15.2;15.09231;0.17303;14.8;15.4
"2013-04-16 18:06:00";"2013-04-16 18:16:00";102.5;0.5;102;103;14.2;0.17795;13.9;14.5;14.55;0.17078;14.3;14.8
"2013-04-16 18:16:00";"2013-04-16 18:26:00";102.54545;0.65555;102;104;13.78182;0.11134;13.6;14;14.12727;0.10523;14;14.3
"2013-04-16 18:26:00";"2013-04-16 18:36:00";103.16667;0.68718;102;104;13.56667;0.04714;13.5;13.6;13.91667;0.06872;13.8;14
"2013-04-16 18:36:00";"2013-04-16 18:46:00";102.5;0.86603;101;104;13.25;0.1;13.1;13.4;13.6;0.14142;13.4;13.8
"2013-04-16 18:46:00";"2013-04-16 18:56:00";102.125;0.59948;101;103;13.1625;0.0857;13;13.3;13.4625;0.04841;13.4;13.5
"2013-04-16 18:56:00";"2013-04-16 19:06:00";102.0625;0.65848;101;103;12.825;0.16394;12.6;13.1;13.10625;0.20146;12.8;13.5
"2013-04-16 19:06:00";"2013-04-16 19:16:00";101;1;100;102;12.65;0.05;12.6;12.7;12.8;0;12.8;12.8
"2013-04-16 19:16:00";"2013-04-16 19:26:00";101.75;0.43301;101;102;12.55;0.05;12.5;12.6;12.7625;0.04841;12.7;12.8
