"dia";"hora";"sanpedro/005/humidity";"sanpedro/005/temperature"
"2013-04-24";"02:54:12";94.2;10.2
"2013-04-24";"02:53:50";92;10
"2013-04-24";"02:53:29";86.1;9.1
"2013-04-24";"02:53:23";94.3;10.2
"2013-04-24";"02:53:07";94.3;10.3
"2013-04-24";"02:52:24";92;10.1
"2013-04-24";"02:50:59";86.1;9.2
"2013-04-24";"02:09:43";94.4;11.3
"2013-04-24";"02:08:54";86.3;10.3
"2013-04-24";"02:08:17";92.1;11.1
"2013-04-24";"02:07:23";86.3;10.4
"2013-04-24";"02:04:38";94.4;11.3
"2013-04-24";"02:03:13";92.1;11.1
"2013-04-24";"02:02:19";86.3;10.4
"2013-04-24";"02:01:20";94.4;11.4
"2013-04-24";"01:54:40";94.4;11.5
"2013-04-24";"01:53:03";92.1;11.1
"2013-04-24";"01:52:26";94.4;11.4
"2013-04-24";"01:52:10";86.3;10.4
"2013-04-24";"01:50:28";92.1;11.2
"2013-04-24";"01:48:25";94.4;11.5
"2013-04-24";"01:47:37";94.4;11.6
"2013-04-24";"01:47:05";86.3;10.4
"2013-04-24";"01:46:38";94.4;11.5
"2013-04-24";"01:45:23";92.1;11.2
"2013-04-24";"01:39:41";94.4;11.6
"2013-04-24";"01:39:30";86.3;10.5
"2013-04-24";"01:36:40";92.1;11.3
"2013-04-24";"01:34:37";94.4;11.6
"2013-04-24";"01:34:26";86.3;10.5
"2013-04-24";"01:34:10";94.5;11.6
"2013-04-24";"01:31:41";94.5;11.7
"2013-04-24";"01:31:35";92.1;11.3
"2013-04-24";"01:30:25";86.3;10.6
"2013-04-24";"01:28:50";94.5;11.8
"2013-04-24";"01:28:44";92.1;11.4
"2013-04-24";"01:27:45";86.3;10.7
"2013-04-24";"01:27:40";86.4;10.7
"2013-04-24";"01:27:08";86.4;10.8
"2013-04-24";"00:19:57";94.5;12.3
"2013-04-24";"00:18:10";92.1;11.8
"2013-04-24";"00:17:16";86.4;11.4
"2013-04-24";"00:15:51";92.1;11.7
"2013-04-24";"00:14:52";94.5;12.3
"2013-04-24";"00:13:32";92.1;11.8
"2013-04-24";"00:12:12";86.4;11.4
"2013-04-24";"00:11:50";94.5;12.4
"2013-04-23";"23:59:54";;
"2013-04-23";"23:59:32";94.5;12.3
"2013-04-23";"23:58:12";94.5;12.2
"2013-04-23";"23:58:07";94.5;12.2
"2013-04-23";"23:57:08";92.1;11.8
"2013-04-23";"23:57:02";86.4;11.4
"2013-04-23";"23:53:02";94.5;12.3
"2013-04-23";"23:52:03";92.1;11.8
"2013-04-23";"23:51:58";86.4;11.4
"2013-04-23";"23:51:31";92.1;11.7
"2013-04-23";"23:51:04";94.5;12.2
"2013-04-23";"22:53:47";94.4;11.8
"2013-04-23";"22:51:55";86.3;10.8
"2013-04-23";"22:51:12";92.1;11.5
"2013-04-23";"22:50:19";94.4;11.7
"2013-04-23";"22:09:03";94.5;11.9
"2013-04-23";"22:08:41";86.4;10.9
"2013-04-23";"22:05:29";92.1;11.7
"2013-04-23";"22:04:57";94.5;12
"2013-04-23";"22:04:51";92.2;11.7
"2013-04-23";"22:03:58";86.4;11
"2013-04-23";"22:03:20";92.2;11.8
"2013-04-23";"22:03:15";92.2;11.9
"2013-04-23";"22:03:10";92.2;11.8
"2013-04-23";"22:03:04";92.2;11.9
"2013-04-23";"22:02:59";92.2;11.8
"2013-04-23";"22:01:49";94.5;12.1
"2013-04-23";"22:01:33";86.4;11.1
"2013-04-23";"21:27:25";94.5;12.5
"2013-04-23";"21:26:53";94.5;12.6
"2013-04-23";"21:25:33";92.2;12.3
"2013-04-23";"21:25:17";86.5;11.8
"2013-04-23";"21:14:35";94.5;12.4
"2013-04-23";"21:13:20";86.5;11.7
"2013-04-23";"21:10:51";92.2;12.2
"2013-04-23";"21:10:24";86.5;11.6
"2013-04-23";"21:09:31";94.5;12.4
"2013-04-23";"21:05:46";92.2;12.2
"2013-04-23";"21:05:35";86.5;11.7
"2013-04-23";"21:05:09";86.5;11.6
"2013-04-23";"21:04:26";94.5;12.4
"2013-04-23";"21:03:38";94.6;12.4
"2013-04-23";"21:01:14";94.6;12.5
"2013-04-23";"21:00:42";92.2;12.2
"2013-04-23";"21:00:09";92.3;12.2
"2013-04-23";"21:00:04";86.5;11.6
"2013-04-23";"20:58:33";94.6;12.6
"2013-04-23";"20:56:25";94.6;12.7
"2013-04-23";"20:56:09";86.5;11.7
"2013-04-23";"20:56:04";92.3;12.3
"2013-04-23";"20:39:29";94.6;13.1
"2013-04-23";"20:38:56";86.6;12.4
"2013-04-23";"20:38:51";86.6;12.5
"2013-04-23";"18:59:58";82.7;13.5
"2013-04-23";"18:59:53";82.6;13.5
"2013-04-23";"18:59:47";82.5;13.5
"2013-04-23";"18:59:42";82.2;13.5
"2013-04-23";"18:59:36";82.1;13.5
"2013-04-23";"18:59:26";92.4;13.2
"2013-04-23";"18:59:20";82;13.5
"2013-04-23";"18:59:15";81.9;13.5
"2013-04-23";"18:59:09";81.8;13.5
"2013-04-23";"18:58:59";81.7;13.5
"2013-04-23";"18:58:48";81.8;13.5
"2013-04-23";"18:58:42";81.9;13.5
"2013-04-23";"18:58:37";82.1;13.5
"2013-04-23";"18:58:32";82.3;13.5
"2013-04-23";"18:58:21";82.5;13.5
"2013-04-23";"18:58:15";82.6;13.5
"2013-04-23";"18:58:05";82.8;13.6
"2013-04-23";"18:57:59";82.7;13.6
"2013-04-23";"18:57:54";82.5;13.6
"2013-04-23";"18:57:48";82.4;13.6
"2013-04-23";"18:57:38";82.3;13.6
"2013-04-23";"18:57:27";82.4;13.6
"2013-04-23";"18:57:21";82.5;13.6
"2013-04-23";"18:57:16";82.6;13.6
"2013-04-23";"18:57:11";82.7;13.6
"2013-04-23";"18:56:49";82.8;13.6
"2013-04-23";"18:56:38";82.9;13.6
"2013-04-23";"18:56:33";83.1;13.6
"2013-04-23";"18:56:28";94.7;14
"2013-04-23";"18:56:27";83.8;13.6
"2013-04-23";"18:56:22";85;13.6
"2013-04-23";"18:56:16";85.3;13.6
"2013-04-23";"18:56:11";85.1;13.6
"2013-04-23";"18:56:06";84.8;13.6
"2013-04-23";"18:56:00";84.6;13.6
"2013-04-23";"18:55:55";84.1;13.6
"2013-04-23";"18:55:44";83.8;13.6
"2013-04-23";"18:55:39";83.9;13.6
"2013-04-23";"18:55:33";84.1;13.6
"2013-04-23";"18:55:22";84.4;13.6
"2013-04-23";"18:55:17";84.3;13.6
"2013-04-23";"18:55:11";83.9;13.6
"2013-04-23";"18:55:06";83.2;13.6
"2013-04-23";"18:55:01";82.3;13.6
"2013-04-23";"18:19:57";93.2;14.3
"2013-04-23";"18:19:56";78.3;13.9
"2013-04-23";"18:19:51";78;13.9
"2013-04-23";"18:19:46";93;14.3
"2013-04-23";"18:19:45";77.7;13.9
"2013-04-23";"18:19:40";77.2;13.9
"2013-04-23";"18:19:35";93.7;14.3
"2013-04-23";"18:19:34";76.8;13.9
"2013-04-23";"18:19:29";76.6;13.9
