"inicio";"fin";"humidity (valentina 003)";"std";"min";"max";"temp_dry (valentina 003)";"std";"min";"max";"temp_wet (valentina 003)";"std";"min";"max"
"2013-05-02 00:00:00";"2013-05-02 01:00:00";93.90909;0.51426;93;95;11.43636;0.10679;11.3;11.7;10.92727;0.08624;10.8;11.1
"2013-05-02 01:00:00";"2013-05-02 02:00:00";94.33333;0.4714;94;95;11.425;0.05951;11.3;11.5;10.95833;0.07592;10.8;11.1
"2013-05-02 02:00:00";"2013-05-02 03:00:00";95.25;0.43301;95;96;11.36667;0.06236;11.3;11.5;10.99167;0.06401;10.9;11.1
"2013-05-02 03:00:00";"2013-05-02 04:00:00";95.66667;0.4714;95;96;11.38333;0.05528;11.3;11.5;11.05;0.06455;11;11.2
"2013-05-02 04:00:00";"2013-05-02 05:00:00";96.08333;0.27639;96;97;11.16667;0.06236;11.1;11.3;10.825;0.05951;10.8;11
"2013-05-02 05:00:00";"2013-05-02 06:00:00";96.16667;0.55277;96;98;10.84167;0.12555;10.7;11.1;10.55;0.11902;10.4;10.8
"2013-05-02 06:00:00";"2013-05-02 07:00:00";95.58333;1.03749;94;98;11.68333;0.77334;10.7;12.9;11.3;0.70475;10.4;12.4
"2013-05-02 07:00:00";"2013-05-02 08:00:00";93.08333;2.87107;86;96;14.29167;1.05235;12.9;16.2;13.58333;0.76139;12.5;14.7
"2013-05-02 08:00:00";"2013-05-02 09:00:00";71.63636;5.15704;66;81;20.64545;1.72593;17.5;22.3;16.91818;0.89119;15.3;17.8
"2013-05-02 09:00:00";"2013-05-02 10:00:00";63.83333;2.30338;61;68;25.39167;1.3549;22.8;27.1;20.04167;0.90135;18.4;21.3
"2013-05-02 10:00:00";"2013-05-02 11:00:00";60.83333;2.79384;58;67;27.30833;1.61321;24;29.1;21.18333;0.99736;19.3;22.4
"2013-05-02 11:00:00";"2013-05-02 12:00:00";61.16667;3.26173;56;67;26.51667;1.60823;23.2;28.1;20.525;0.95055;18.5;21.7
"2013-05-02 12:00:00";"2013-05-02 13:00:00";68.75;4.67484;62;78;23.625;1.32232;22;25.7;19.21667;0.61486;18.3;20.1
"2013-05-02 13:00:00";"2013-05-02 14:00:00";79.5;1.60728;77;82;20.325;0.99174;19.4;22.5;17.75833;0.78789;16.8;19.5
"2013-05-02 14:00:00";"2013-05-02 15:00:00";76.25;2.61805;69;79;20.51667;1.4988;19;24.3;17.46667;1.07031;16.2;19.9
"2013-05-02 15:00:00";"2013-05-02 16:00:00";74.25;3.89711;64;78;21.06667;1.68787;19.1;24.2;17.69167;1.20448;16.2;19.9
"2013-05-02 16:00:00";"2013-05-02 17:00:00";71.25;3.93965;61;77;19.85;1.42215;17.9;23.7;16.14167;0.76861;15.2;18
"2013-05-02 17:00:00";"2013-05-02 18:00:00";84.25;5.47913;73;90;15.48333;1.65017;13.7;18.8;13.74167;0.92237;12.6;15.5
"2013-05-02 18:00:00";"2013-05-02 19:00:00";91.58333;1.75396;89;94;12.5;0.38297;12;13.3;11.65833;0.26913;11.4;12.4
"2013-05-02 19:00:00";"2013-05-02 20:00:00";94.91667;0.95379;94;96;11.81667;0.07993;11.7;11.9;11.36667;0.09428;11.2;11.5
"2013-05-02 20:00:00";"2013-05-02 21:00:00";94.33333;0.62361;93;95;12.01667;0.28235;11.7;12.4;11.5;0.27988;11.1;11.9
"2013-05-02 21:00:00";"2013-05-02 22:00:00";95.08333;0.49301;94;96;12.425;0.10104;12.3;12.6;11.93333;0.12472;11.8;12.1
"2013-05-02 22:00:00";"2013-05-02 23:00:00";95.5;0.5;95;96;12.525;0.13617;12.4;12.7;12.075;0.13617;11.9;12.3
"2013-05-02 23:00:00";"2013-05-03 00:00:00";95.83333;0.37268;95;96;12.10833;0.32264;11.7;12.6;11.725;0.30311;11.4;12.2
"2013-05-03 00:00:00";"2013-05-03 01:00:00";96.08333;0.27639;96;97;12.21667;0.05528;12.1;12.3;11.825;0.07217;11.7;12
"2013-05-03 01:00:00";"2013-05-03 02:00:00";96.33333;0.4714;96;97;11.99167;0.23614;11.7;12.3;11.65833;0.20599;11.4;11.9
"2013-05-03 02:00:00";"2013-05-03 03:00:00";96.16667;0.37268;96;97;11.725;0.0433;11.7;11.8;11.41667;0.03727;11.4;11.5
"2013-05-03 03:00:00";"2013-05-03 04:00:00";95.41667;0.49301;95;96;11.65;0.09574;11.4;11.7;11.29167;0.12555;11;11.4
"2013-05-03 04:00:00";"2013-05-03 05:00:00";95.25;0.72169;94;96;11.11667;0.1675;10.8;11.4;10.725;0.14216;10.5;11
