"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2013-04-15 00:00:00";"2013-04-15 00:10:00";;;;;;;;
"2013-04-15 00:10:00";"2013-04-15 00:20:00";;;;;;;;
"2013-04-15 00:20:00";"2013-04-15 00:30:00";;;;;;;;
"2013-04-15 00:30:00";"2013-04-15 00:40:00";;;;;;;;
"2013-04-15 00:40:00";"2013-04-15 00:50:00";;;;;;;;
"2013-04-15 00:50:00";"2013-04-15 01:00:00";;;;;;;;
"2013-04-15 01:00:00";"2013-04-15 01:10:00";;;;;;;;
"2013-04-15 01:10:00";"2013-04-15 01:20:00";;;;;;;;
"2013-04-15 01:20:00";"2013-04-15 01:30:00";;;;;;;;
"2013-04-15 01:30:00";"2013-04-15 01:40:00";;;;;;;;
"2013-04-15 01:40:00";"2013-04-15 01:50:00";;;;;;;;
"2013-04-15 01:50:00";"2013-04-15 02:00:00";;;;;;;;
"2013-04-15 02:00:00";"2013-04-15 02:10:00";;;;;;;;
"2013-04-15 02:10:00";"2013-04-15 02:20:00";;;;;;;;
"2013-04-15 02:20:00";"2013-04-15 02:30:00";;;;;;;;
"2013-04-15 02:30:00";"2013-04-15 02:40:00";;;;;;;;
"2013-04-15 02:40:00";"2013-04-15 02:50:00";;;;;;;;
"2013-04-15 02:50:00";"2013-04-15 03:00:00";;;;;;;;
"2013-04-15 03:00:00";"2013-04-15 03:10:00";;;;;;;;
"2013-04-15 03:10:00";"2013-04-15 03:20:00";;;;;;;;
"2013-04-15 03:20:00";"2013-04-15 03:30:00";;;;;;;;
"2013-04-15 03:30:00";"2013-04-15 03:40:00";;;;;;;;
"2013-04-15 03:40:00";"2013-04-15 03:50:00";;;;;;;;
"2013-04-15 03:50:00";"2013-04-15 04:00:00";;;;;;;;
"2013-04-15 04:00:00";"2013-04-15 04:10:00";;;;;;;;
"2013-04-15 04:10:00";"2013-04-15 04:20:00";;;;;;;;
"2013-04-15 04:20:00";"2013-04-15 04:30:00";;;;;;;;
"2013-04-15 04:30:00";"2013-04-15 04:40:00";;;;;;;;
"2013-04-15 04:40:00";"2013-04-15 04:50:00";;;;;;;;
"2013-04-15 04:50:00";"2013-04-15 05:00:00";;;;;;;;
"2013-04-15 05:00:00";"2013-04-15 05:10:00";;;;;;;;
"2013-04-15 05:10:00";"2013-04-15 05:20:00";;;;;;;;
"2013-04-15 05:20:00";"2013-04-15 05:30:00";;;;;;;;
"2013-04-15 05:30:00";"2013-04-15 05:40:00";;;;;;;;
"2013-04-15 05:40:00";"2013-04-15 05:50:00";;;;;;;;
"2013-04-15 05:50:00";"2013-04-15 06:00:00";;;;;;;;
"2013-04-15 06:00:00";"2013-04-15 06:10:00";;;;;;;;
"2013-04-15 06:10:00";"2013-04-15 06:20:00";;;;;;;;
"2013-04-15 06:20:00";"2013-04-15 06:30:00";;;;;;;;
"2013-04-15 06:30:00";"2013-04-15 06:40:00";;;;;;;;
"2013-04-15 06:40:00";"2013-04-15 06:50:00";;;;;;;;
"2013-04-15 06:50:00";"2013-04-15 07:00:00";;;;;;;;
"2013-04-15 07:00:00";"2013-04-15 07:10:00";;;;;;;;
"2013-04-15 07:10:00";"2013-04-15 07:20:00";;;;;;;;
"2013-04-15 07:20:00";"2013-04-15 07:30:00";;;;;;;;
"2013-04-15 07:30:00";"2013-04-15 07:40:00";;;;;;;;
"2013-04-15 07:40:00";"2013-04-15 07:50:00";;;;;;;;
"2013-04-15 07:50:00";"2013-04-15 08:00:00";;;;;;;;
"2013-04-15 08:00:00";"2013-04-15 08:10:00";90.9;3.35697;86.8;94.9;15.56923;0.27564;15.1;16.1
"2013-04-15 08:10:00";"2013-04-15 08:20:00";88.03784;3.43813;85;95;16.00811;0.25081;15.6;16.7
"2013-04-15 08:20:00";"2013-04-15 08:30:00";;;;;;;;
"2013-04-15 08:30:00";"2013-04-15 08:40:00";;;;;;;;
"2013-04-15 08:40:00";"2013-04-15 08:50:00";;;;;;;;
"2013-04-15 08:50:00";"2013-04-15 09:00:00";;;;;;;;
"2013-04-15 09:00:00";"2013-04-15 09:10:00";68.822;3.1082;63.9;76;20.53;1.50722;18.6;23
"2013-04-15 09:10:00";"2013-04-15 09:20:00";72.4963;4.23351;68;81.1;19.15741;1.13049;18;21
"2013-04-15 09:20:00";"2013-04-15 09:30:00";;;;;;;;
"2013-04-15 09:30:00";"2013-04-15 09:40:00";;;;;;;;
"2013-04-15 09:40:00";"2013-04-15 09:50:00";;;;;;;;
"2013-04-15 09:50:00";"2013-04-15 10:00:00";;;;;;;;
"2013-04-15 10:00:00";"2013-04-15 10:10:00";;;;;;;;
"2013-04-15 10:10:00";"2013-04-15 10:20:00";;;;;;;;
"2013-04-15 10:20:00";"2013-04-15 10:30:00";;;;;;;;
"2013-04-15 10:30:00";"2013-04-15 10:40:00";;;;;;;;
"2013-04-15 10:40:00";"2013-04-15 10:50:00";;;;;;;;
"2013-04-15 10:50:00";"2013-04-15 11:00:00";;;;;;;;
"2013-04-15 11:00:00";"2013-04-15 11:10:00";;;;;;;;
"2013-04-15 11:10:00";"2013-04-15 11:20:00";;;;;;;;
"2013-04-15 11:20:00";"2013-04-15 11:30:00";;;;;;;;
"2013-04-15 11:30:00";"2013-04-15 11:40:00";;;;;;;;
"2013-04-15 11:40:00";"2013-04-15 11:50:00";;;;;;;;
