"inicio";"fin";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-02-01 00:00:00";"2013-02-01 02:47:59";;;;;;;;
"2013-02-01 02:47:59";"2013-02-01 05:35:59";;;;;;;;
"2013-02-01 05:35:59";"2013-02-01 08:23:59";;;;;;;;
"2013-02-01 08:23:59";"2013-02-01 11:11:59";;;;;;;;
"2013-02-01 11:11:59";"2013-02-01 13:59:58";;;;;;;;
"2013-02-01 13:59:58";"2013-02-01 16:47:58";;;;;;;;
"2013-02-01 16:47:58";"2013-02-01 19:35:58";;;;;;;;
"2013-02-01 19:35:58";"2013-02-01 22:23:58";;;;;;;;
"2013-02-01 22:23:58";"2013-02-02 01:11:57";;;;;;;;
"2013-02-02 01:11:57";"2013-02-02 03:59:57";;;;;;;;
"2013-02-02 03:59:57";"2013-02-02 06:47:57";;;;;;;;
"2013-02-02 06:47:57";"2013-02-02 09:35:57";;;;;;;;
"2013-02-02 09:35:57";"2013-02-02 12:23:56";;;;;;;;
"2013-02-02 12:23:56";"2013-02-02 15:11:56";;;;;;;;
"2013-02-02 15:11:56";"2013-02-02 17:59:56";;;;;;;;
"2013-02-02 17:59:56";"2013-02-02 20:47:56";;;;;;;;
"2013-02-02 20:47:56";"2013-02-02 23:35:55";;;;;;;;
"2013-02-02 23:35:55";"2013-02-03 02:23:55";;;;;;;;
"2013-02-03 02:23:55";"2013-02-03 05:11:55";;;;;;;;
"2013-02-03 05:11:55";"2013-02-03 07:59:55";;;;;;;;
"2013-02-03 07:59:55";"2013-02-03 10:47:54";;;;;;;;
"2013-02-03 10:47:54";"2013-02-03 13:35:54";;;;;;;;
"2013-02-03 13:35:54";"2013-02-03 16:23:54";;;;;;;;
"2013-02-03 16:23:54";"2013-02-03 19:11:54";;;;;;;;
"2013-02-03 19:11:54";"2013-02-03 21:59:53";;;;;;;;
"2013-02-03 21:59:53";"2013-02-04 00:47:53";;;;;;;;
"2013-02-04 00:47:53";"2013-02-04 03:35:53";;;;;;;;
"2013-02-04 03:35:53";"2013-02-04 06:23:53";;;;;;;;
"2013-02-04 06:23:53";"2013-02-04 09:11:52";;;;;;;;
"2013-02-04 09:11:52";"2013-02-04 11:59:52";;;;;;;;
"2013-02-04 11:59:52";"2013-02-04 14:47:52";;;;;;;;
"2013-02-04 14:47:52";"2013-02-04 17:35:52";;;;;;;;
"2013-02-04 17:35:52";"2013-02-04 20:23:51";;;;;;;;
"2013-02-04 20:23:51";"2013-02-04 23:11:51";;;;;;;;
"2013-02-04 23:11:51";"2013-02-05 01:59:51";;;;;;;;
"2013-02-05 01:59:51";"2013-02-05 04:47:51";;;;;;;;
"2013-02-05 04:47:51";"2013-02-05 07:35:50";;;;;;;;
"2013-02-05 07:35:50";"2013-02-05 10:23:50";;;;;;;;
"2013-02-05 10:23:50";"2013-02-05 13:11:50";;;;;;;;
"2013-02-05 13:11:50";"2013-02-05 15:59:50";;;;;;;;
"2013-02-05 15:59:50";"2013-02-05 18:47:49";;;;;;;;
"2013-02-05 18:47:49";"2013-02-05 21:35:49";;;;;;;;
"2013-02-05 21:35:49";"2013-02-06 00:23:49";;;;;;;;
"2013-02-06 00:23:49";"2013-02-06 03:11:49";;;;;;;;
"2013-02-06 03:11:49";"2013-02-06 05:59:48";;;;;;;;
"2013-02-06 05:59:48";"2013-02-06 08:47:48";;;;;;;;
